Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,AMZN,sideways,0.28,5.79,0.0162,214460.49,11.0,0.0308,254212.35,10.0,0.028,246578.19,15.0,0.042,284748.97,0.28,1002800.0,Tit-for-Tat
2,2025-07-09,AMZN,sideways,0.66,5.0,0.033,181043.24,11.0,0.0726,256998.92,10.0,0.066,242426.96,15.0,0.099,319530.88,0.66,1009418.48,Tit-for-Tat
3,2025-07-03,AMZN,sideways,0.72,5.0,0.036,167382.57,11.0,0.0792,242692.53,79.83,0.5748,283966.11,15.0,0.108,305958.8,0.72,1016686.29,Defector
4,2025-06-30,AMZN,sideways,-1.85,5.0,-0.0925,193522.37,28.92,-0.5351,259986.34,79.83,-1.4769,252892.24,60.38,-1.1171,293599.05,-1.85,997877.6,Signal Follower
5,2025-06-25,AMZN,sideways,-1.23,5.0,-0.0615,215711.12,40.57,-0.499,252511.64,69.28,-0.8522,216351.2,15.0,-0.1845,315426.05,-1.23,985603.7,Signal Follower
6,2025-06-20,AMZN,bear,-2.32,10.17,-0.236,231448.16,23.83,-0.5529,257672.62,74.9,-1.7378,178296.31,15.0,-0.348,332582.91,-2.32,962737.7,Signal Follower
7,2025-06-16,AMZN,sideways,1.79,5.0,0.0895,212415.66,28.99,0.5189,259260.61,76.83,1.3753,210833.37,15.0,0.2685,317490.36,1.79,979970.7,Defector
8,2025-06-11,AMZN,bear,-1.94,5.0,-0.097,241854.8,28.15,-0.5462,273336.13,76.84,-1.4906,184909.99,58.28,-1.1307,299899.09,-1.94,960959.27,Signal Follower
9,2025-06-06,AMZN,bear,0.55,36.21,0.1991,241348.97,38.24,0.2103,275662.47,69.76,0.3837,216796.04,15.0,0.0825,266192.52,0.55,966244.55,Defector
10,2025-06-03,AMZN,bear,-0.68,5.79,-0.0394,276082.22,34.35,-0.2336,282465.96,70.09,-0.4766,189790.41,53.33,-0.3627,251661.42,-0.68,959674.08,Signal Follower
11,2025-05-29,AMZN,bear,-1.12,5.79,-0.0649,301797.15,36.47,-0.4084,273776.03,69.42,-0.7775,158685.21,15.0,-0.168,265741.61,-1.12,948925.73,Signal Follower
12,2025-05-23,AMZN,bear,1.05,5.0,0.0525,279330.33,26.45,0.2778,275578.4,75.46,0.7923,189096.36,15.0,0.1575,255994.91,1.05,958889.45,Defector
13,2025-05-20,AMZN,bear,-0.27,5.0,-0.0135,312643.34,27.8,-0.0751,285968.22,77.26,-0.2086,162772.84,57.32,-0.1548,238615.6,-0.27,956300.45,Signal Follower
14,2025-05-15,AMZN,bear,-0.62,5.0,-0.031,340490.42,39.12,-0.2426,273185.31,69.98,-0.4339,135809.02,15.0,-0.093,250515.25,-0.62,950371.39,Signal Follower
15,2025-05-12,AMZN,bear,-0.98,5.0,-0.049,362480.61,26.39,-0.2587,269712.67,75.15,-0.7364,110162.86,15.0,-0.147,257643.86,-0.98,941057.75,Signal Follower
16,2025-05-07,AMZN,sideways,1.7,5.0,0.085,339943.88,27.72,0.4713,275805.26,77.27,1.3135,133013.92,15.0,0.255,251236.94,1.7,957055.73,Defector
17,2025-05-02,AMZN,bear,-0.76,5.0,-0.038,375162.8,28.27,-0.2148,281815.92,77.05,-0.5856,113096.61,58.59,-0.4453,229924.68,-0.76,949782.11,Signal Follower
18,2025-04-29,AMZN,sideways,1.85,5.0,0.0925,345190.35,39.4,0.7288,299407.87,69.69,1.2893,134332.95,15.0,0.2775,221068.83,1.85,967353.08,Cooperator
19,2025-04-24,AMZN,bull,3.11,33.77,1.0502,340063.03,25.7,0.7992,282236.59,75.1,2.3356,161570.55,32.35,1.006,216129.82,3.11,997437.76,Signal Follower
20,2025-04-21,AMZN,sideways,-1.34,41.0,-0.5494,346277.2,41.05,-0.5501,287299.23,69.7,-0.9339,132527.92,31.74,-0.4253,233895.64,-1.34,984072.09,Tit-for-Tat
21,2025-04-15,AMZN,sideways,-1.0,5.79,-0.0579,381231.14,39.86,-0.3986,272710.99,66.03,-0.6603,110348.76,26.72,-0.2672,235709.11,-1.0,974231.37,Signal Follower
22,2025-04-10,AMZN,sideways,-2.28,36.17,-0.8247,375802.67,28.09,-0.6405,278831.75,72.94,-1.663,90346.5,15.0,-0.342,255019.07,-2.28,952018.89,Tit-for-Tat
23,2025-04-07,AMZN,bull,8.19,41.0,3.3581,383950.08,37.06,3.0351,278962.92,71.79,5.8796,107265.34,18.6,1.5233,229821.66,8.19,1029989.24,Signal Follower
