Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,NVDA,sideways,-0.79,36.17,-0.2857,206698.73,17.0,-0.1343,264433.76,17.0,-0.1343,264433.76,17.0,-0.1343,264433.76,-0.79,992100.0,Cooperator
2,2025-07-09,NVDA,sideways,1.03,36.17,0.3725,244949.49,17.0,0.1751,251683.5,17.0,0.1751,251683.5,17.0,0.1751,251683.5,1.03,1002318.63,Signal Follower
3,2025-07-03,NVDA,sideways,0.61,5.0,0.0305,218267.58,21.31,0.13,240502.84,73.31,0.4472,292257.64,29.82,0.1819,248971.94,0.61,1008432.77,Defector
4,2025-06-30,NVDA,sideways,-0.26,7.25,-0.0189,249660.4,28.23,-0.0734,255549.71,75.65,-0.1967,256850.56,55.81,-0.1451,237939.33,-0.26,1005810.85,Signal Follower
5,2025-06-25,NVDA,bull,3.38,16.85,0.5694,228940.66,37.11,1.2542,257776.28,69.78,2.3587,297079.98,15.0,0.507,216203.08,3.38,1039807.26,Defector
6,2025-06-20,NVDA,sideways,-1.1,5.0,-0.055,262236.51,29.39,-0.3232,270618.8,73.51,-0.8086,260484.73,53.35,-0.5868,206659.95,-1.1,1028369.38,Signal Follower
7,2025-06-16,NVDA,bull,0.93,5.0,0.0465,233286.62,37.14,0.3454,275292.33,70.38,0.6545,299367.44,15.0,0.1395,192053.6,0.93,1037933.21,Defector
8,2025-06-11,NVDA,sideways,-1.23,5.0,-0.0615,265197.06,26.5,-0.3259,290698.47,75.48,-0.9284,260992.21,53.76,-0.6613,183112.26,-1.23,1025166.63,Signal Follower
9,2025-06-06,NVDA,sideways,-0.55,36.21,-0.1991,272345.95,36.87,-0.2028,297555.68,70.79,-0.3893,222436.34,15.0,-0.0825,207662.03,-0.55,1019528.22,Tit-for-Tat
10,2025-06-03,NVDA,bull,1.76,5.0,0.088,244515.09,34.61,0.6092,302573.86,70.32,1.2376,258120.95,15.0,0.264,194790.1,1.76,1037471.91,Defector
11,2025-05-29,NVDA,sideways,-2.15,5.0,-0.1075,275624.89,26.48,-0.5694,316953.75,75.9,-1.6318,223062.4,53.72,-1.1551,184358.96,-2.15,1015166.27,Signal Follower
12,2025-05-23,NVDA,sideways,0.99,5.0,0.0495,246239.57,37.85,0.3747,324380.16,70.8,0.7009,257378.87,15.0,0.1485,172001.41,0.99,1025216.41,Defector
13,2025-05-20,NVDA,sideways,0.07,5.0,0.0035,215097.58,26.61,0.0186,309770.02,75.36,0.0528,293080.0,54.06,0.0378,182052.4,0.07,1025934.06,Defector
14,2025-05-15,NVDA,sideways,0.4,5.0,0.02,181720.4,37.8,0.1512,301085.1,70.72,0.2829,322262.33,63.29,0.2531,194932.17,0.4,1030037.8,Defector
15,2025-05-12,NVDA,sideways,0.84,36.21,0.3041,161682.09,37.99,0.3191,271514.98,67.32,0.5655,354669.98,65.5,0.5502,212132.95,0.84,1038690.12,Defector
16,2025-05-07,NVDA,bull,3.55,7.25,0.2576,145978.8,42.44,1.5066,287017.24,10.0,0.355,324490.22,62.09,2.2041,242513.74,3.55,1075563.62,Tit-for-Tat
17,2025-05-02,NVDA,bull,0.28,5.0,0.014,124116.16,23.66,0.0663,266511.79,66.37,0.1858,359458.42,47.96,0.1343,249913.63,0.28,1078575.19,Defector
18,2025-04-29,NVDA,bull,1.25,5.0,0.0625,102909.14,33.93,0.4241,251354.23,72.23,0.9029,393265.21,50.96,0.637,252471.42,1.25,1092057.38,Defector
19,2025-04-24,NVDA,bull,2.85,5.0,0.1425,84204.44,36.2,1.0317,235680.79,70.02,1.9955,419636.42,60.78,1.7323,260478.34,2.85,1123181.02,Defector
20,2025-04-21,NVDA,bull,-1.88,47.86,-0.8998,91365.08,37.02,-0.696,276085.02,68.0,-1.2784,387936.57,66.17,-1.2439,244613.33,-1.88,1102065.22,Signal Follower
21,2025-04-15,NVDA,bull,1.11,10.17,0.1129,82020.16,45.47,0.5048,308308.56,10.0,0.111,347845.08,38.0,0.4218,261826.2,1.11,1114298.14,Cooperator
22,2025-04-10,NVDA,bull,-1.65,41.0,-0.6765,83784.79,21.67,-0.3576,350201.31,69.39,-1.145,296896.24,39.93,-0.6589,269117.66,-1.65,1095912.22,Signal Follower
23,2025-04-07,NVDA,bull,11.64,41.95,4.8834,79772.74,41.98,4.886,333494.1,67.9,7.9034,344142.8,35.6,4.144,242590.36,11.64,1223476.4,Defector
24,2025-04-02,NVDA,bull,2.92,41.0,1.1973,70268.19,42.04,1.2275,297143.57,65.08,1.9003,384190.62,55.63,1.6244,248397.62,2.92,1259201.91,Defector
25,2025-03-28,NVDA,bull,-1.63,47.86,-0.7801,66533.23,42.46,-0.6922,297490.92,31.5,-0.5134,427040.12,58.36,-0.9513,208935.72,-1.63,1238676.92,Signal Follower
26,2025-03-25,NVDA,bull,0.12,10.17,0.0122,59936.8,35.14,0.0422,323911.72,10.0,0.012,384149.62,38.0,0.0456,232001.86,0.12,1240163.34,Cooperator
27,2025-03-20,NVDA,bull,1.7,41.0,0.697,58849.52,21.67,0.3685,284435.57,71.12,1.209,439265.36,32.69,0.5558,217449.55,1.7,1261246.11,Defector
28,2025-03-17,NVDA,bull,-2.62,41.0,-1.0743,67366.43,41.89,-1.0975,323354.43,69.1,-1.8105,393012.18,57.88,-1.5165,216266.96,-2.62,1228201.46,Signal Follower
29,2025-03-12,NVDA,bull,1.42,48.41,0.6874,78855.83,43.92,0.6236,353940.68,32.0,0.4544,351011.32,38.3,0.5439,216192.17,1.42,1245641.93,Cooperator
30,2025-03-07,NVDA,bull,1.29,47.86,0.6174,94941.21,33.43,0.4313,342859.9,31.5,0.4064,328946.69,40.19,0.5185,233252.2,1.29,1261710.71,Cooperator
31,2025-03-04,NVDA,bull,4.83,39.41,1.9034,110474.17,29.16,1.4082,357273.41,15.0,0.7245,287558.27,29.75,1.4368,244694.15,4.83,1322651.33,Cooperator
32,2025-02-27,NVDA,bull,-11.0,47.86,-5.2647,106401.8,26.18,-2.8795,389444.04,68.61,-7.5476,242027.76,29.39,-3.233,262126.4,-11.0,1177159.69,Signal Follower
33,2025-02-24,NVDA,bear,-4.6,5.79,-0.2665,124744.67,40.74,-1.874,393257.84,67.76,-3.117,213966.55,38.0,-1.7481,268030.93,-4.6,1123010.34,Signal Follower
34,2025-02-19,NVDA,bear,-0.2,10.17,-0.0203,136099.23,29.03,-0.0581,397954.61,70.91,-0.1418,178945.25,15.0,-0.03,287000.9,-0.2,1120764.32,Signal Follower
35,2025-02-13,NVDA,bear,2.84,14.49,0.4114,127461.58,26.38,0.7492,391610.51,75.97,2.1574,211553.9,15.0,0.426,269374.01,2.84,1152594.03,Defector
36,2025-02-10,NVDA,bear,2.68,10.17,0.2726,110773.19,27.61,0.7398,367033.72,75.69,2.0285,238051.55,57.68,1.5457,284141.53,2.68,1183483.55,Defector
37,2025-02-05,NVDA,sideways,2.52,41.0,1.0333,99048.02,41.59,1.0481,329821.79,69.09,1.7411,263437.18,65.95,1.662,307693.02,2.52,1213307.33,Tit-for-Tat
38,2025-01-31,NVDA,bear,-3.0,47.86,-1.4358,95963.29,45.47,-1.3642,328592.11,31.5,-0.945,304749.5,55.62,-1.6685,270695.1,-3.0,1176908.11,Signal Follower
39,2025-01-28,NVDA,sideways,5.89,41.0,2.415,103385.92,39.59,2.3321,346175.26,27.0,1.5903,256053.42,41.6,2.4504,294385.4,5.89,1246228.0,Cooperator
40,2025-01-23,NVDA,sideways,1.5,5.0,0.075,88338.29,31.43,0.4715,368002.78,10.0,0.15,228889.27,32.22,0.4832,314769.66,1.5,1264921.42,Cooperator
41,2025-01-17,NVDA,sideways,0.75,41.0,0.3075,90066.16,19.12,0.1434,334738.87,73.56,0.5517,270804.61,30.55,0.2291,304390.36,0.75,1274408.33,Defector
42,2025-01-14,NVDA,bull,-3.15,41.0,-1.2916,100405.65,41.96,-1.3217,370504.41,69.89,-2.2015,236822.22,59.59,-1.8771,292267.71,-3.15,1234264.47,Signal Follower
43,2025-01-08,NVDA,bull,-1.73,10.17,-0.176,113997.46,42.78,-0.7401,333536.3,10.0,-0.173,269173.6,33.2,-0.5744,283292.64,-1.73,1212911.69,Signal Follower
44,2025-01-03,NVDA,bull,3.19,5.0,0.1595,103217.82,17.0,0.5423,317441.13,70.64,2.2535,311904.44,15.0,0.4785,267436.61,3.19,1251603.58,Defector
45,2024-12-30,NVDA,bull,1.97,10.17,0.2004,88963.85,24.15,0.4757,289917.6,78.83,1.553,347569.52,53.95,1.0628,273549.03,1.97,1276260.17,Defector
