Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,CVX,sideways,-2.1,52.55,-1.1036,230040.51,15.0,-0.315,292518.21,50.0,-1.05,234283.73,44.67,-0.938,243157.55,-2.1,979000.0,Cooperator
2,2025-07-09,CVX,sideways,0.05,68.19,0.0341,247534.98,17.85,0.0089,262874.14,85.0,0.0425,265977.05,23.8,0.0119,223613.83,0.05,979489.5,Defector
3,2025-07-03,CVX,sideways,0.36,52.55,0.1892,258058.91,15.0,0.054,218628.34,55.0,0.198,280943.4,59.92,0.2157,242369.34,0.36,983015.66,Defector
4,2025-06-30,CVX,sideways,0.1,64.78,0.0648,278599.03,35.0,0.035,181731.34,55.0,0.055,280391.98,63.6,0.0636,259277.65,0.1,983998.68,Signal Follower
5,2025-06-25,CVX,sideways,-0.13,52.5,-0.0682,263914.62,50.0,-0.065,180150.04,55.0,-0.0715,253273.94,40.0,-0.052,302661.4,-0.13,982719.48,Cooperator
6,2025-06-20,CVX,sideways,0.69,52.5,0.3622,280743.06,50.0,0.345,183661.03,55.0,0.3795,280637.68,40.0,0.276,254958.22,0.69,989500.24,Defector
7,2025-06-16,CVX,sideways,0.21,52.55,0.1104,264776.78,50.0,0.105,160514.69,55.0,0.1155,283320.34,59.92,0.1258,291388.19,0.21,991578.19,Defector
8,2025-06-03,CVX,sideways,1.38,50.43,0.6959,239593.44,50.0,0.69,143760.83,55.0,0.759,284344.87,61.33,0.8464,332300.87,1.38,1005261.97,Tit-for-Tat
9,2025-05-29,CVX,sideways,1.03,52.5,0.5408,239308.81,70.0,0.721,167584.28,40.0,0.412,250108.34,56.0,0.5768,342998.57,1.03,1015616.17,Tit-for-Tat
10,2025-05-20,CVX,sideways,-0.74,64.78,-0.4794,222227.09,70.0,-0.518,148002.35,40.0,-0.296,286226.82,56.4,-0.4174,343543.74,-0.74,1008100.61,Defector
11,2025-05-07,CVX,sideways,-0.21,64.78,-0.136,217294.04,70.0,-0.147,131137.57,55.0,-0.1155,329059.86,67.0,-0.1407,322508.53,-0.21,1005983.6,Cooperator
12,2025-05-02,CVX,bull,0.45,59.5,0.2677,247547.86,50.0,0.225,125082.85,55.0,0.2475,345976.34,45.83,0.2062,281392.95,0.45,1010510.53,Defector
13,2025-04-29,CVX,bull,0.44,50.43,0.2219,222521.85,50.0,0.22,111187.26,55.0,0.242,347852.93,60.42,0.2658,318437.96,0.44,1014956.77,Defector
14,2025-04-24,CVX,bull,0.83,46.89,0.3892,192178.79,50.0,0.415,101931.2,55.0,0.4565,348630.61,62.0,0.5146,357259.4,0.83,1023380.91,Tit-for-Tat
15,2025-04-21,CVX,sideways,-1.68,52.55,-0.8828,204617.45,70.0,-1.176,82719.74,55.0,-0.924,358803.0,57.67,-0.9688,353859.81,-1.68,1006188.12,Cooperator
16,2025-04-15,CVX,sideways,0.16,52.55,0.0841,200704.36,50.0,0.08,79142.48,70.0,0.112,411161.38,41.17,0.0659,308991.79,0.16,1007798.02,Defector
17,2025-04-10,CVX,bear,-5.75,52.55,-3.0216,218209.82,50.0,-2.875,91757.95,55.0,-3.1625,418514.17,59.92,-3.4452,271518.05,-5.75,949849.63,Cooperator
18,2025-04-07,CVX,bear,1.02,46.89,0.4783,207387.14,15.0,0.153,76780.84,90.0,0.918,462030.5,42.5,0.4335,253801.52,1.02,959538.1,Defector
19,2025-04-02,CVX,bear,-0.56,52.5,-0.294,197826.46,20.0,-0.112,90450.93,40.0,-0.224,480561.37,58.75,-0.329,231161.24,-0.56,954164.68,Cooperator
20,2025-03-28,CVX,bear,-0.37,52.55,-0.1944,187382.13,20.0,-0.074,105437.05,55.0,-0.2035,447288.19,26.17,-0.0968,259892.63,-0.37,950634.27,Cooperator
21,2025-03-20,CVX,bear,1.01,67.12,0.6779,209962.8,50.0,0.505,105952.75,55.0,0.5555,464581.16,26.27,0.2653,219503.3,1.01,960235.68,Defector
