ticker,date,open,high,low,close
ABVE,2024-07-02,4.07,4.07,3.16,3.73
ABVE,2024-07-03,3.57,3.705,2.9,2.99
ABVE,2024-07-05,2.8,3.295,2.43,3.295
ABVE,2024-07-08,2.95,3.22,2.34,2.52
ABVE,2024-07-09,2.35,2.5673,2.18,2.33
ABVE,2024-07-10,2.2,2.89,2.1,2.42
ABVE,2024-07-11,2.49,2.6,2.23,2.2536
ABVE,2024-07-12,2.3,2.4,2.06,2.3
ABVE,2024-07-15,2.27,2.27,1.9309,2.009
ABVE,2024-07-16,1.98,1.98,1.69,1.7957
ABVE,2024-07-17,1.81,1.89,1.6,1.69
ABVE,2024-07-18,1.72,1.8099,1.63,1.72
ABVE,2024-07-19,1.67,1.7,1.55,1.6
ABVE,2024-07-22,1.62,1.8799,1.58,1.74
ABVE,2024-07-23,1.75,1.94,1.63,1.88
ABVE,2024-07-24,1.89,1.95,1.7,1.76
ABVE,2024-07-25,1.76,1.98,1.7,1.805
ABVE,2024-07-26,1.73,1.75,1.4,1.41
ABVE,2024-07-29,1.52,1.5702,1.42,1.43
ABVE,2024-07-30,1.49,1.53,1.23,1.265
ABVE,2024-07-31,1.34,1.34,1.16,1.22
ABVE,2024-08-01,1.2,1.43,1.2,1.38
ABVE,2024-08-02,1.4,2.035,1.37,1.568
ABVE,2024-08-05,1.49,1.63,1.49,1.63
ABVE,2024-08-06,1.63,1.63,1.4328,1.52
ABVE,2024-08-07,1.49,1.49,1.29,1.37
ABVE,2024-08-08,1.37,1.47,1.24,1.3
ABVE,2024-08-09,1.48,1.94,1.33,1.39
ABVE,2024-08-12,1.34,1.37,1.2,1.25
ABVE,2024-08-13,1.23,1.43,1.23,1.38
ABVE,2024-08-14,1.35,1.4199,1.1953,1.21
ABVE,2024-08-15,1.25,1.34,1.11,1.1701
ABVE,2024-08-16,1.18,1.18,1.06,1.09
ABVE,2024-08-19,1.1,1.27,1.07,1.27
ABVE,2024-08-20,1.3,1.38,1.16,1.215
ABVE,2024-08-21,1.2,1.35,1.1573,1.28
ABVE,2024-08-22,1.23,1.25,1.14,1.15
ABVE,2024-08-23,1.14,1.19,1.11,1.13
ABVE,2024-08-26,1.11,1.17,1.06,1.08
ABVE,2024-08-27,1.14,1.14,1.03,1.05
ABVE,2024-08-28,0.96,0.975,0.88,0.9008
ABVE,2024-08-29,0.880001,0.9345,0.7616,0.8
ABVE,2024-08-30,0.809,0.8496,0.712601,0.726
ABVE,2024-09-03,0.7613,0.779,0.716,0.749
ABVE,2024-09-04,0.75,0.76,0.71,0.72
ABVE,2024-09-05,0.712,0.75,0.59,0.685
ABVE,2024-09-06,0.651,0.7379,0.625,0.7
ABVE,2024-09-09,0.6483,0.6483,0.6334,0.6483
ABVE,2024-09-10,0.65,0.79,0.65,0.7266
ABVE,2024-09-11,0.72,0.74,0.6795,0.6795
ABVE,2024-09-12,0.717,0.73956,0.6,0.633
ABVE,2024-09-13,0.64,0.665,0.6194,0.634001
ABVE,2024-09-16,0.6217,0.63,0.57,0.6
ABVE,2024-09-17,0.606301,0.6234,0.575,0.6168
ABVE,2024-09-18,0.619,0.6199,0.5,0.5572
ABVE,2024-09-19,0.56,0.5822,0.54,0.58
ABVE,2024-09-20,0.58,0.58,0.55,0.55
ABVE,2024-09-23,0.5611,0.5681,0.5,0.54
ABVE,2024-09-24,0.5349,0.5796,0.5349,0.565
ABVE,2024-09-25,0.579,0.6,0.552,0.5887
ABVE,2024-09-26,0.589,0.62,0.58,0.598
ABVE,2024-09-27,0.586,0.63,0.58,0.5964
ABVE,2024-09-30,0.58,0.604,0.56,0.58
ABVE,2024-10-01,0.56,0.6,0.55,0.5794
ABVE,2024-10-02,0.55,0.5794,0.54,0.578
ABVE,2024-10-03,0.63,0.63,0.54,0.5501
ABVE,2024-10-04,0.574,0.595,0.5501,0.56575
ABVE,2024-10-07,0.577,0.58,0.54,0.54
ABVE,2024-10-08,0.58,0.593799,0.51,0.54
ABVE,2024-10-09,0.57,0.57,0.53,0.569
ABVE,2024-10-10,0.5791,0.5999,0.5316,0.56
ABVE,2024-10-11,0.58,0.58,0.52,0.559
ABVE,2024-10-14,0.526,0.559,0.516,0.525
ABVE,2024-10-15,0.54,0.59,0.5174,0.526
ABVE,2024-10-16,0.544848,0.544848,0.5101,0.52
ABVE,2024-10-17,0.549,0.55,0.4804,0.53
ABVE,2024-10-18,0.5003,0.5024,0.47,0.5024
ABVE,2024-10-21,0.49,0.5357,0.4811,0.5281
ABVE,2024-10-22,0.5,0.5297,0.5,0.51
ABVE,2024-10-23,0.5053,0.5399,0.502501,0.528
ABVE,2024-10-24,0.5152,0.55,0.5,0.5099
ABVE,2024-10-25,0.521,0.6175,0.51,0.6
ABVE,2024-10-28,0.619,0.65,0.55,0.5801
ABVE,2024-10-29,0.577,0.577,0.51,0.5639
ABVE,2024-10-30,0.5412,0.58,0.4536,0.4603
ABVE,2024-10-31,0.4673,0.4673,0.356,0.390401
ABVE,2024-11-01,0.3904,0.4072,0.367,0.381
ABVE,2024-11-04,0.381,0.395,0.38,0.382822
ABVE,2024-11-05,0.3828,0.42,0.36,0.406
ABVE,2024-11-06,0.4169,0.4667,0.3818,0.42
ABVE,2024-11-07,0.412,0.449,0.4,0.43
ABVE,2024-11-08,0.445,0.487215,0.43,0.45
ABVE,2024-11-11,0.44,0.49,0.4044,0.474
ABVE,2024-11-12,0.474,0.53,0.47,0.5199
ABVE,2024-11-13,0.52,0.5226,0.46,0.462
ABVE,2024-11-14,0.5001,0.5379,0.44,0.4599
ABVE,2024-11-15,0.4548,0.4735,0.4548,0.4735
ABVE,2024-11-18,0.489,0.55,0.4727,0.52
ABVE,2024-11-19,0.5307,0.6795,0.53,0.57
ABVE,2024-11-20,0.6373,0.67,0.525,0.668
ABVE,2024-11-21,0.688,0.6899,0.582,0.6121
ABVE,2024-11-22,0.64,0.68,0.61,0.644
ABVE,2024-11-25,0.6595,0.92,0.641,0.814
ABVE,2024-11-26,0.827,0.827,0.51,0.535
ABVE,2024-11-27,0.545,1.03,0.5101,0.6935
ABVE,2024-11-29,0.6693,0.747787,0.64,0.67
ABVE,2024-12-02,0.6512,0.7,0.6,0.6303
