ticker,date,open,high,low,close
ADGM,2024-08-02,8.66,8.9,6.56,8.17
ADGM,2024-08-05,6.15,6.7,5.1501,5.9
ADGM,2024-08-06,5.6,5.6,4.8,4.94
ADGM,2024-08-07,4.46,5.4,4.0,4.9043
ADGM,2024-08-08,4.75,6.78,4.75,5.425
ADGM,2024-08-09,5.26,6.23,4.91,5.8
ADGM,2024-08-12,5.6,5.8,5.24,5.6001
ADGM,2024-08-13,6.4,6.54,5.5,5.86
ADGM,2024-08-14,5.65,5.73,4.99,5.12
ADGM,2024-08-15,5.39,6.38,4.9,5.5
ADGM,2024-08-16,5.7,5.7,5.1,5.42
ADGM,2024-08-19,4.9,6.144,4.9,5.58
ADGM,2024-08-20,5.59,5.8,5.214,5.8
ADGM,2024-08-21,5.42,5.798,5.35,5.37
ADGM,2024-08-22,5.53,5.53,5.11,5.2
ADGM,2024-08-23,5.56,5.56,4.46,5.2
ADGM,2024-08-26,5.4,5.8,5.0,5.1
ADGM,2024-08-27,5.08,5.25,4.17,4.315
ADGM,2024-08-28,4.37,4.8899,4.34,4.34
ADGM,2024-08-29,4.33,4.74,4.16,4.69
ADGM,2024-08-30,4.5,5.05,4.32,4.71
ADGM,2024-09-03,4.63,4.63,4.545,4.55
ADGM,2024-09-04,4.59,4.59,4.59,4.59
ADGM,2024-09-05,4.55,4.6699,4.55,4.63
ADGM,2024-09-06,4.13,4.79,4.13,4.31
ADGM,2024-09-09,4.28,4.38,3.85,4.0
ADGM,2024-09-10,4.2,4.2,3.9,3.9
ADGM,2024-09-11,3.8,4.0,3.7,3.72
ADGM,2024-09-12,3.8,3.88,3.6345,3.85
ADGM,2024-09-13,3.97,4.14,3.73,4.082
ADGM,2024-09-16,4.1,4.94,3.72,4.2
ADGM,2024-09-17,4.66,4.67,4.3,4.44
ADGM,2024-09-18,4.2651,4.35,3.81,4.26
ADGM,2024-09-19,4.12,4.31,4.03,4.09
ADGM,2024-09-20,3.96,3.9763,3.78,3.85
ADGM,2024-09-23,3.81,4.03,3.49,3.52
ADGM,2024-09-24,3.5,3.7,3.26,3.4352
ADGM,2024-09-25,3.35,3.52,3.17,3.17
ADGM,2024-09-26,3.28,3.42,3.0703,3.42
ADGM,2024-09-27,3.0678,3.11,2.8,2.86
ADGM,2024-09-30,3.155,3.155,2.45,2.58
ADGM,2024-10-01,2.78,3.374,2.6603,2.8039
ADGM,2024-10-02,3.19,3.26,2.81,2.85
ADGM,2024-10-03,3.26,3.44,2.5,2.5195
ADGM,2024-10-04,2.49,2.99,2.4,2.89
ADGM,2024-10-07,2.93,3.0,2.74,2.8
ADGM,2024-10-08,2.73,2.85,2.73,2.73
ADGM,2024-10-09,2.67,2.91,2.67,2.8
ADGM,2024-10-10,2.9,2.9,2.6501,2.75
ADGM,2024-10-11,2.825,2.825,2.825,2.825
ADGM,2024-10-14,2.96,2.96,2.52,2.8
ADGM,2024-10-15,2.77,2.9266,2.642,2.75
ADGM,2024-10-16,2.59,2.9,2.585,2.875
ADGM,2024-10-17,2.9,3.0,2.7775,2.875
ADGM,2024-10-18,2.88,2.88,2.8,2.8
ADGM,2024-10-21,2.8,2.8,2.7,2.79
ADGM,2024-10-22,2.8,2.8,2.7,2.7
ADGM,2024-10-23,2.75,3.0,2.7,2.7
ADGM,2024-10-24,2.7209,2.9857,2.7,2.7
ADGM,2024-10-25,2.7,2.95,2.7,2.9
ADGM,2024-10-28,2.97,3.0,2.72,2.76
ADGM,2024-10-29,2.9,2.9,2.75,2.8
ADGM,2024-10-30,2.85,2.875,2.7,2.774
ADGM,2024-10-31,2.85,2.97,2.7,2.7
ADGM,2024-11-01,2.72,2.8871,2.65,2.715
ADGM,2024-11-04,2.72,2.75,2.71,2.71
ADGM,2024-11-05,2.97,3.34,2.805,2.92
ADGM,2024-11-06,2.7,2.85,2.66,2.66
ADGM,2024-11-07,2.7,2.7,2.65,2.7
ADGM,2024-11-08,2.51,2.7101,2.51,2.51
ADGM,2024-11-11,2.66,2.77,2.6,2.6
ADGM,2024-11-12,2.61,2.6202,2.4,2.4
ADGM,2024-11-13,2.4,2.5038,2.34,2.35
ADGM,2024-11-14,2.55,4.1999,2.55,3.71
ADGM,2024-11-15,3.7,3.76,2.66,3.0
ADGM,2024-11-18,3.05,3.3178,2.58,2.73
ADGM,2024-11-19,2.73,2.78,2.3,2.44
ADGM,2024-11-20,2.45,2.6371,1.69,2.0
ADGM,2024-11-21,1.95,2.3,1.9,2.28
ADGM,2024-11-22,2.32,2.47,2.14,2.47
ADGM,2024-11-25,2.5,2.9799,2.47,2.6
ADGM,2024-11-26,2.87,2.8724,2.52,2.585
ADGM,2024-11-27,2.65,2.75,2.44,2.55
ADGM,2024-11-29,2.4586,2.6999,2.4586,2.67
ADGM,2024-12-02,2.67,2.67,2.34,2.47
ADGM,2024-12-03,2.47,2.77,2.43,2.47
ADGM,2024-12-04,2.3,2.3,2.26,2.3
ADGM,2024-12-05,2.2,2.2799,2.07,2.25
ADGM,2024-12-06,2.15,2.37,2.15,2.3
