ticker,date,open,high,low,close
ADPT,2019-06-27,39.01,40.62,36.21,40.3
ADPT,2019-06-28,42.1,48.8246,41.25,48.3
ADPT,2019-07-01,51.0,51.0,39.58,40.1
ADPT,2019-07-02,40.0,40.4,37.95,38.89
ADPT,2019-07-03,39.55,39.55,38.6,39.16
ADPT,2019-07-05,39.3,40.6,37.75,40.51
ADPT,2019-07-08,40.15,40.345,37.4,37.51
ADPT,2019-07-09,37.5,37.82,36.5003,37.0
ADPT,2019-07-10,37.25,38.95,36.8701,37.7
ADPT,2019-07-11,37.8,38.68,37.51,37.64
ADPT,2019-07-12,37.47,39.2,36.95,39.0
ADPT,2019-07-15,39.04,39.0557,37.63,38.14
ADPT,2019-07-16,38.04,39.21,37.924,38.65
ADPT,2019-07-17,38.65,39.1281,37.82,38.09
ADPT,2019-07-18,38.01,38.8,36.89,38.01
ADPT,2019-07-19,38.0,38.82,37.195,38.53
ADPT,2019-07-22,38.69,40.97,38.1501,39.27
ADPT,2019-07-23,40.38,40.925,39.59,40.38
ADPT,2019-07-24,40.3,40.8,38.88,40.38
ADPT,2019-07-25,40.45,40.9,39.71,40.21
ADPT,2019-07-26,40.26,40.85,39.28,39.67
ADPT,2019-07-29,39.67,39.9075,37.26,37.76
ADPT,2019-07-30,37.52,38.06,36.77,36.9
ADPT,2019-07-31,37.34,39.63,37.34,38.55
ADPT,2019-08-01,38.55,39.98,38.251,38.63
ADPT,2019-08-02,38.61,38.8021,37.2,37.33
ADPT,2019-08-05,36.63,36.71,34.11,35.12
ADPT,2019-08-06,35.17,36.39,34.52,36.38
ADPT,2019-08-07,36.05,40.25,35.76,38.99
ADPT,2019-08-08,39.7,39.975,38.58,39.7
ADPT,2019-08-09,39.7,41.88,39.69,41.63
ADPT,2019-08-12,41.5,43.06,40.54,42.01
ADPT,2019-08-13,42.0,43.39,41.0,43.08
ADPT,2019-08-14,39.17,44.42,37.0,43.49
ADPT,2019-08-15,43.99,48.5,42.17,47.81
ADPT,2019-08-16,47.58,48.06,45.53,46.1
ADPT,2019-08-19,46.25,46.99,44.497,46.08
ADPT,2019-08-20,45.91,46.55,44.8,45.04
ADPT,2019-08-21,45.19,47.46,44.33,46.93
ADPT,2019-08-22,46.84,48.0,45.51,45.72
ADPT,2019-08-23,45.31,47.66,42.61,43.11
ADPT,2019-08-26,43.75,44.8999,42.51,44.19
ADPT,2019-08-27,44.5,45.26,41.88,44.49
ADPT,2019-08-28,44.27,47.78,43.1323,47.42
ADPT,2019-08-29,47.55,50.56,46.895,50.11
ADPT,2019-08-30,50.65,52.42,49.57,50.85
ADPT,2019-09-03,50.98,51.86,46.39,51.33
ADPT,2019-09-04,51.08,54.23,51.05,53.51
ADPT,2019-09-05,53.7,55.1203,43.6011,44.6
ADPT,2019-09-06,45.27,46.2178,43.53,43.83
ADPT,2019-09-09,44.02,44.79,39.0,39.48
ADPT,2019-09-10,39.95,41.42,38.21,41.27
ADPT,2019-09-11,40.87,43.5,39.74,41.76
ADPT,2019-09-12,42.1,42.64,39.0,39.76
ADPT,2019-09-13,39.84,44.01,38.75,43.2
ADPT,2019-09-16,43.1,44.7973,41.17,41.53
ADPT,2019-09-17,41.99,43.0,39.84,40.35
ADPT,2019-09-18,39.86,41.5,39.12,39.59
ADPT,2019-09-19,39.74,40.27,38.8,39.02
ADPT,2019-09-20,39.47,40.68,38.528,40.2
ADPT,2019-09-23,39.95,41.2,39.56,40.53
ADPT,2019-09-24,40.33,40.4,37.0,37.38
ADPT,2019-09-25,37.75,38.3,33.01,34.96
ADPT,2019-09-26,35.24,35.49,31.78,32.19
ADPT,2019-09-27,32.17,32.9036,30.1,30.31
ADPT,2019-09-30,30.92,31.48,29.775,30.9
ADPT,2019-10-01,31.09,32.31,29.076,30.12
ADPT,2019-10-02,29.57,30.68,28.01,29.95
ADPT,2019-10-03,29.89,31.1985,28.64,30.91
ADPT,2019-10-04,31.08,34.78,31.08,31.64
ADPT,2019-10-07,31.5196,32.82,31.05,32.8
ADPT,2019-10-08,32.38,33.49,29.29,29.6
ADPT,2019-10-09,30.07,30.69,28.72,28.9
ADPT,2019-10-10,28.99,29.96,28.1,28.7
ADPT,2019-10-11,29.03,29.12,27.39,27.54
ADPT,2019-10-14,27.35,28.25,26.63,27.13
ADPT,2019-10-15,27.45,30.475,26.665,29.89
ADPT,2019-10-16,29.78,31.235,29.16,30.13
ADPT,2019-10-17,30.28,31.15,29.32,31.02
ADPT,2019-10-18,30.99,31.29,28.51,29.27
ADPT,2019-10-21,28.39,29.405,25.7,26.38
ADPT,2019-10-22,26.82,26.85,25.0,25.51
ADPT,2019-10-23,25.65,26.59,24.11,24.56
ADPT,2019-10-24,24.72,27.25,24.05,26.0
ADPT,2019-10-25,26.1,26.4659,25.065,25.62
ADPT,2019-10-28,25.81,27.23,25.32,26.09
ADPT,2019-10-29,26.06,26.74,25.25,26.2
ADPT,2019-10-30,26.14,26.48,25.38,26.08
