ticker,date,open,high,low,close
ALM,2025-07-14,5.02,5.5,4.7,4.77
ALM,2025-07-15,5.08,5.15,4.85,4.88
ALM,2025-07-16,5.12,5.12,4.7,4.87
ALM,2025-07-17,4.75,4.77,4.5,4.54
ALM,2025-07-18,4.43,4.6,4.36,4.53
ALM,2025-07-21,4.5,4.67,4.4226,4.52
ALM,2025-07-22,4.54,4.64,4.335,4.5
ALM,2025-07-23,4.5,4.52,4.39,4.51
ALM,2025-07-24,4.41,4.52,4.22,4.44
ALM,2025-07-25,4.03,4.08,3.905,3.93
ALM,2025-07-28,3.86,3.92,3.55,3.59
ALM,2025-07-29,3.73,3.81,3.16,3.42
ALM,2025-07-30,3.41,3.8,3.3,3.5
ALM,2025-07-31,3.64,3.85,3.58,3.69
ALM,2025-08-01,3.9,3.93,3.64,3.74
ALM,2025-08-04,3.96,4.19,3.9,4.16
ALM,2025-08-05,4.26,4.425,4.1,4.15
ALM,2025-08-06,4.25,4.25,4.05,4.13
ALM,2025-08-07,4.08,4.125,3.8832,3.98
ALM,2025-08-08,3.98,4.1577,3.98,4.12
ALM,2025-08-11,4.31,4.47,4.265,4.39
ALM,2025-08-12,4.53,4.75,4.35,4.52
ALM,2025-08-13,4.69,4.73,4.51,4.73
ALM,2025-08-14,4.59,4.72,4.52,4.71
ALM,2025-08-15,4.6,4.7,4.23,4.48
ALM,2025-08-18,4.53,4.69,4.44,4.68
ALM,2025-08-19,4.42,4.52,4.0,4.06
ALM,2025-08-20,4.3,4.43,4.17,4.2
ALM,2025-08-21,4.28,4.31,4.17,4.28
ALM,2025-08-22,4.15,4.33,4.15,4.28
ALM,2025-08-25,4.08,4.29,3.97,4.29
ALM,2025-08-26,4.22,4.37,4.03,4.28
ALM,2025-08-27,4.25,4.33,4.07,4.21
ALM,2025-08-28,4.29,4.53,4.18,4.46
ALM,2025-08-29,4.45,4.56,4.21,4.45
ALM,2025-09-02,4.47,4.51,4.302,4.39
ALM,2025-09-03,4.32,4.34,3.98,4.195
ALM,2025-09-04,4.2,4.23,4.1,4.22
ALM,2025-09-05,4.19,4.33,4.1,4.14
ALM,2025-09-08,4.27,4.63,4.151,4.63
ALM,2025-09-09,4.445,4.6,4.3,4.43
ALM,2025-09-10,4.37,4.51,4.32,4.45
ALM,2025-09-11,4.46,4.61,4.46,4.52
ALM,2025-09-12,4.61,4.6777,4.45,4.46
ALM,2025-09-15,4.54,4.83,4.51,4.81
ALM,2025-09-16,4.945,5.04,4.72,4.87
ALM,2025-09-17,4.91,4.92,4.75,4.88
ALM,2025-09-18,4.93,5.08,4.76,4.96
ALM,2025-09-19,5.0,5.075,4.88,5.065
ALM,2025-09-22,5.33,5.42,5.24,5.3
ALM,2025-09-23,5.45,5.98,5.4,5.95
ALM,2025-09-24,5.9,6.02,5.56,5.6
ALM,2025-09-25,5.52,5.69,5.25,5.65
ALM,2025-09-26,5.775,6.01,5.71,5.93
ALM,2025-09-29,6.09,6.35,5.96,6.1
ALM,2025-09-30,6.225,6.225,5.96,6.03
ALM,2025-10-01,5.89,6.12,5.825,6.0
