ticker,date,open,high,low,close
AMOD,2025-01-27,1.8,1.8,1.41,1.52
AMOD,2025-01-28,1.51,1.56,1.32,1.4
AMOD,2025-01-29,1.39,1.69,1.39,1.54
AMOD,2025-01-30,2.73,5.5399,2.7,3.14
AMOD,2025-01-31,3.1,3.11,2.6,2.88
AMOD,2025-02-03,2.7,2.88,2.45,2.61
AMOD,2025-02-04,3.19,3.2,2.12,2.32
AMOD,2025-02-05,2.35,2.5,2.03,2.37
AMOD,2025-02-06,2.22,2.55,2.21,2.4697
AMOD,2025-02-07,2.4,2.498,2.19,2.37
AMOD,2025-02-10,2.23,2.37,1.82,1.96
AMOD,2025-02-11,1.88,2.01,1.78,1.89
AMOD,2025-02-12,1.8385,1.94,1.77,1.84
AMOD,2025-02-13,3.25,6.0199,3.14,3.62
AMOD,2025-02-14,3.603,3.9899,2.57,2.65
AMOD,2025-02-18,2.51,3.282,2.51,2.75
AMOD,2025-02-19,2.67,2.81,2.421,2.58
AMOD,2025-02-20,2.56,2.7393,2.3,2.47
AMOD,2025-02-21,2.41,2.5,2.05,2.09
AMOD,2025-02-24,2.11,2.16,1.98,2.09
AMOD,2025-02-25,2.13,2.25,1.9,1.98
AMOD,2025-02-26,2.0,2.3643,1.94,2.22
AMOD,2025-02-27,1.98,1.98,1.94,1.98
AMOD,2025-02-28,1.965,2.08,1.93,2.04
AMOD,2025-03-03,2.03,2.17,1.8501,1.88
AMOD,2025-03-04,1.87,1.89,1.68,1.77
AMOD,2025-03-05,1.8,1.8533,1.7,1.72
AMOD,2025-03-06,1.74,1.7401,1.56,1.6
AMOD,2025-03-07,1.58,1.63,1.38,1.63
AMOD,2025-03-10,1.5603,1.6093,1.42,1.49
AMOD,2025-03-11,1.45,1.46,1.2501,1.35
AMOD,2025-03-12,1.4,1.79,1.3,1.65
AMOD,2025-03-13,1.68,1.68,1.54,1.61
AMOD,2025-03-14,1.54,1.72,1.54,1.66
AMOD,2025-03-17,1.76,1.76,1.48,1.53
AMOD,2025-03-18,1.5,1.6,1.4647,1.6
AMOD,2025-03-19,1.62,1.88,1.6,1.76
AMOD,2025-03-20,1.7,2.05,1.7,1.96
AMOD,2025-03-21,1.82,1.98,1.73,1.73
AMOD,2025-03-24,1.76,1.96,1.6049,1.65
AMOD,2025-03-25,1.69,1.74,1.61,1.6133
AMOD,2025-03-26,1.62,1.62,1.54,1.55
AMOD,2025-03-27,1.6,1.6,1.4,1.44
AMOD,2025-03-28,1.4,1.5,1.31,1.33
AMOD,2025-03-31,1.32,1.3722,1.2,1.33
AMOD,2025-04-01,1.26,1.3995,1.26,1.32
AMOD,2025-04-02,1.3,1.44,1.3,1.36
AMOD,2025-04-03,1.42,1.42,1.21,1.32
AMOD,2025-04-04,1.28,1.28,1.17,1.27
AMOD,2025-04-07,1.1,1.1886,1.1,1.125
AMOD,2025-04-08,1.2,1.2,1.1,1.1
AMOD,2025-04-09,1.05,1.1993,1.02,1.11
AMOD,2025-04-10,1.19,1.2797,1.09,1.22
AMOD,2025-04-11,1.1,1.1,1.1,1.1
AMOD,2025-04-14,1.26,1.3,1.14,1.26
AMOD,2025-04-15,1.2572,1.3333,1.2,1.22
AMOD,2025-04-16,1.3,1.4494,1.2229,1.37
AMOD,2025-04-17,1.35,1.3541,1.2059,1.34
AMOD,2025-04-21,1.32,1.37,1.19,1.29
AMOD,2025-04-22,1.25,1.33,1.2,1.2001
AMOD,2025-04-23,1.27,1.27,1.19,1.22
AMOD,2025-04-24,1.19,1.3,1.19,1.3
AMOD,2025-04-25,1.27,1.34,1.24,1.33
AMOD,2025-04-28,1.33,1.33,1.12,1.15
AMOD,2025-04-29,1.2,1.24,1.18,1.22
AMOD,2025-04-30,1.23,1.23,1.15,1.23
AMOD,2025-05-01,1.18,1.3416,1.18,1.27
AMOD,2025-05-02,1.25,1.36,1.25,1.28
AMOD,2025-05-05,1.3,1.62,1.295,1.49
AMOD,2025-05-06,1.48,1.53,1.42,1.53
AMOD,2025-05-07,1.5001,1.5056,1.3,1.3
AMOD,2025-05-08,1.3,1.36,1.3,1.31
AMOD,2025-05-09,1.305,1.4649,1.27,1.39
AMOD,2025-05-12,1.34,1.34,1.33,1.34
AMOD,2025-05-13,1.31,1.4,1.31,1.32
AMOD,2025-05-14,1.32,1.46,1.3,1.44
AMOD,2025-05-15,1.45,1.45,1.32,1.34
AMOD,2025-05-16,1.35,1.38,1.33,1.33
AMOD,2025-05-19,1.3009,1.35,1.275,1.275
AMOD,2025-05-20,1.25,1.3,1.2,1.2
AMOD,2025-05-21,1.22,1.26,1.162,1.2
AMOD,2025-05-22,1.21,1.26,1.19,1.23
AMOD,2025-05-23,1.191,1.2494,1.191,1.23
AMOD,2025-05-27,1.29,1.37,1.23,1.35
AMOD,2025-05-28,1.5,1.58,1.2,1.31
AMOD,2025-05-29,1.27,1.27,1.19,1.23
AMOD,2025-05-30,1.22,1.24,1.1698,1.17
AMOD,2025-06-02,1.16,1.175,1.01,1.08
AMOD,2025-06-03,1.14,1.18,1.1,1.13
AMOD,2025-06-04,1.1,1.13,1.05,1.11
AMOD,2025-06-05,1.13,1.3,1.13,1.23
AMOD,2025-06-06,1.22,1.31,1.1812,1.25
AMOD,2025-06-09,1.25,1.25,1.175,1.22
AMOD,2025-06-10,1.21,1.39,1.2,1.25
AMOD,2025-06-11,1.24,1.25,1.13,1.16
AMOD,2025-06-12,1.14,1.22,1.1001,1.15
AMOD,2025-06-13,1.21,1.2674,1.18,1.25
AMOD,2025-06-16,1.26,1.28,1.2235,1.2599
AMOD,2025-06-17,1.23,1.26,1.18,1.22
AMOD,2025-06-18,1.21,1.22,1.15,1.16
AMOD,2025-06-20,1.28,1.28,1.01,1.045
AMOD,2025-06-23,1.1,1.25,1.0504,1.24
AMOD,2025-06-24,1.23,1.2506,1.18,1.21
AMOD,2025-06-25,1.21,1.24,1.1725,1.23
AMOD,2025-06-26,1.23,1.24,1.14,1.18
AMOD,2025-06-27,1.19,1.2,1.1419,1.15
AMOD,2025-06-30,1.15,1.16,1.11,1.14
AMOD,2025-07-01,1.1,1.17,1.1,1.16
AMOD,2025-07-02,1.16,1.17,1.1208,1.15
AMOD,2025-07-03,1.17,1.19,1.1311,1.16
AMOD,2025-07-07,1.16,1.1969,1.06,1.1
AMOD,2025-07-08,1.12,1.13,1.06,1.11
AMOD,2025-07-09,1.18,1.33,1.16,1.26
AMOD,2025-07-10,1.24,1.3,1.14,1.23
AMOD,2025-07-11,1.18,1.18,1.18,1.18
AMOD,2025-07-14,1.18,1.26,1.18,1.24
AMOD,2025-07-15,1.25,1.29,1.2,1.21
AMOD,2025-07-16,1.2,1.2799,1.19,1.25
AMOD,2025-07-17,1.25,1.3,1.23,1.29
AMOD,2025-07-18,1.25,1.2899,1.21,1.23
AMOD,2025-07-21,1.25,1.26,1.19,1.21
AMOD,2025-07-22,1.22,1.26,1.122,1.16
AMOD,2025-07-23,1.98,2.6,1.61,1.85
AMOD,2025-07-24,1.56,1.59,1.36,1.4
AMOD,2025-07-25,1.4,1.44,1.3,1.39
AMOD,2025-07-28,1.37,1.39,1.25,1.3
AMOD,2025-07-29,1.23,1.255,1.2,1.21
AMOD,2025-07-30,1.22,1.24,1.14,1.18
AMOD,2025-07-31,1.2,1.2,1.14,1.155
AMOD,2025-08-01,1.21,1.21,1.07,1.08
AMOD,2025-08-04,1.07,1.145,1.07,1.115
AMOD,2025-08-05,1.1,1.15,1.07,1.14
AMOD,2025-08-06,1.16,1.16,1.1,1.11
AMOD,2025-08-07,1.14,1.14,1.05,1.08
AMOD,2025-08-08,1.09,1.09,1.04,1.05
AMOD,2025-08-11,1.08,1.08,1.05,1.055
AMOD,2025-08-12,1.06,1.13,1.04,1.09
AMOD,2025-08-13,1.1,1.18,1.06,1.16
AMOD,2025-08-14,1.16,1.16,1.11,1.14
AMOD,2025-08-15,1.11,1.12,1.09,1.1
AMOD,2025-08-18,1.09,1.18,1.08,1.15
AMOD,2025-08-19,1.17,1.17,1.1,1.11
AMOD,2025-08-20,1.13,1.13,1.05,1.08
AMOD,2025-08-21,1.06,1.13,1.0509,1.13
AMOD,2025-08-22,1.15,1.15,1.09,1.13
AMOD,2025-08-25,1.15,1.18,1.12,1.145
AMOD,2025-08-26,1.14,1.14,1.07,1.07
AMOD,2025-08-27,1.09,1.1173,1.08,1.09
AMOD,2025-08-28,1.1,1.1,1.07,1.09
AMOD,2025-08-29,1.06,1.08,1.02,1.06
AMOD,2025-09-02,1.03,1.064,1.025,1.03
AMOD,2025-09-03,1.04,1.06,1.0,1.025
AMOD,2025-09-04,1.02,1.05,0.95,0.9773
AMOD,2025-09-05,0.8939,0.92,0.8605,0.8839
AMOD,2025-09-08,0.899,1.06,0.89,1.03
AMOD,2025-09-09,0.9949,1.04,0.9603,1.0063
AMOD,2025-09-10,0.99,1.0714,0.99,1.07
AMOD,2025-09-11,1.08,1.12,1.03,1.09
AMOD,2025-09-12,1.07,1.1463,1.07,1.13
AMOD,2025-09-15,1.09,1.2,1.07,1.15
AMOD,2025-09-16,1.17,1.2,1.13,1.18
AMOD,2025-09-17,1.18,1.3865,1.16,1.305
AMOD,2025-09-18,1.28,1.38,1.2601,1.285
AMOD,2025-09-19,1.27,1.32,1.235,1.235
AMOD,2025-09-22,1.21,1.2599,1.2009,1.24
AMOD,2025-09-23,1.23,1.2401,1.17,1.2
AMOD,2025-09-24,1.21,1.24,1.15,1.17
AMOD,2025-09-25,1.15,1.1695,1.055,1.09
AMOD,2025-09-26,1.12,1.15,1.03,1.08
AMOD,2025-09-29,1.07,1.18,1.07,1.18
AMOD,2025-09-30,1.18,1.2,1.1007,1.19
AMOD,2025-10-01,1.2007,1.2007,1.145,1.17
