ticker,date,open,high,low,close
ANAB,2017-01-26,16.0,17.72,15.17,17.0
ANAB,2017-01-27,16.81,18.35,16.38,17.53
ANAB,2017-01-30,17.16,17.71,17.05,17.16
ANAB,2017-01-31,17.05,17.11,16.8,16.95
ANAB,2017-02-01,17.26,17.26,16.59,16.62
ANAB,2017-02-02,16.82,17.0,16.06,16.98
ANAB,2017-02-03,16.99,18.14,16.4895,17.53
ANAB,2017-02-06,17.89,19.5,17.56,18.84
ANAB,2017-02-07,19.33,19.5,18.18,18.54
ANAB,2017-02-08,18.48,20.0,18.3887,19.81
ANAB,2017-02-09,20.0,20.25,19.55,20.15
ANAB,2017-02-10,20.76,22.6,19.717,22.52
ANAB,2017-02-13,22.5,23.43,22.22,23.38
ANAB,2017-02-14,23.41,23.59,22.65,23.59
ANAB,2017-02-15,23.23,23.7213,22.4,23.5
ANAB,2017-02-16,24.0,24.9499,22.16,22.55
ANAB,2017-02-17,23.14,23.89,21.68,23.89
ANAB,2017-02-21,24.25,25.434,23.51,23.73
ANAB,2017-02-22,24.4,24.4,22.8901,23.15
ANAB,2017-02-23,23.42,23.94,22.4505,23.57
ANAB,2017-02-24,22.3,26.4085,22.3,24.6
ANAB,2017-02-27,24.74,24.74,23.4161,24.16
ANAB,2017-02-28,23.79,24.2999,23.6301,23.85
ANAB,2017-03-01,23.85,24.0499,22.511,23.07
ANAB,2017-03-02,23.05,23.53,21.9339,22.78
ANAB,2017-03-03,23.0,23.65,22.2501,22.7
ANAB,2017-03-06,22.83,23.5,22.83,23.0
ANAB,2017-03-07,23.1,24.22,23.1,23.8501
ANAB,2017-03-08,24.22,24.5,22.38,22.95
ANAB,2017-03-09,22.97,24.119,22.59,23.1
ANAB,2017-03-10,23.48,23.53,22.8953,23.4
ANAB,2017-03-13,23.24,26.6,23.0,25.56
ANAB,2017-03-14,25.55,27.79,24.29,26.39
ANAB,2017-03-15,26.24,26.61,25.61,25.93
ANAB,2017-03-16,26.14,26.92,25.9,26.53
ANAB,2017-03-17,26.7,27.0783,26.36,26.52
ANAB,2017-03-20,26.6,27.9477,26.6,27.39
ANAB,2017-03-21,27.35,27.8,27.02,27.52
ANAB,2017-03-22,27.54,27.9442,26.68,27.03
ANAB,2017-03-23,27.0,28.0,26.9,27.6
ANAB,2017-03-24,27.3,27.99,26.71,27.74
ANAB,2017-03-27,27.53,28.2276,27.05,27.53
ANAB,2017-03-28,27.6,28.215,27.29,27.7
ANAB,2017-03-29,27.91,28.42,27.41,27.88
ANAB,2017-03-30,28.0,29.96,28.0,28.78
ANAB,2017-03-31,29.17,29.5,27.38,27.75
ANAB,2017-04-03,27.7,28.23,27.5801,27.9
ANAB,2017-04-04,27.89,28.4,27.0,27.29
