ticker,date,open,high,low,close
ANGH,2020-08-21,9.67,9.75,9.67,9.7
ANGH,2020-08-24,9.7,9.7,9.7,9.7
ANGH,2020-08-25,9.7,9.7,9.7,9.7
ANGH,2020-08-26,9.86,9.86,9.76,9.76
ANGH,2020-08-27,9.75,9.92,9.75,9.86
ANGH,2020-08-28,9.81,9.81,9.75,9.75
ANGH,2020-08-31,9.9,9.9,9.78,9.78
ANGH,2020-09-01,9.78,9.78,9.78,9.78
ANGH,2020-09-02,9.78,9.8,9.78,9.78
ANGH,2020-09-03,9.78,9.8,9.78,9.78
ANGH,2020-09-04,9.78,9.89,9.78,9.81
ANGH,2020-09-08,9.79,9.81,9.79,9.81
ANGH,2020-09-09,9.81,9.81,9.81,9.81
ANGH,2020-09-10,9.78,9.83,9.78,9.81
ANGH,2020-09-11,9.83,9.83,9.8,9.8
ANGH,2020-09-14,9.8,9.8,9.8,9.8
ANGH,2020-09-15,9.8,9.83,9.8,9.83
ANGH,2020-09-16,9.8,9.8,9.8,9.8
ANGH,2020-09-17,9.8,9.84,9.8,9.825
ANGH,2020-09-18,9.9,9.9,9.8,9.81
ANGH,2020-09-21,9.79,9.84,9.79,9.84
ANGH,2020-09-22,9.84,9.84,9.8,9.84
ANGH,2020-09-23,9.84,9.84,9.8,9.8
ANGH,2020-09-24,9.81,9.9,9.8,9.86
ANGH,2020-09-25,9.8,9.86,9.8,9.86
ANGH,2020-09-28,9.8,9.82,9.8,9.82
ANGH,2020-09-29,9.81,9.86,9.8,9.83
ANGH,2020-09-30,9.84,9.84,9.84,9.84
ANGH,2020-10-01,9.85,11.12,9.8,9.86
ANGH,2020-10-02,9.813,9.83,9.813,9.83
ANGH,2020-10-05,9.81,9.81,9.8,9.8
ANGH,2020-10-06,9.81,9.81,9.8,9.8
ANGH,2020-10-07,9.82,9.82,9.8,9.82
ANGH,2020-10-08,9.8,9.85,9.8,9.8
ANGH,2020-10-09,9.82,9.82,9.8,9.8
ANGH,2020-10-12,9.8,9.8,9.8,9.8
ANGH,2020-10-13,9.8,9.8,9.75,9.77
ANGH,2020-10-14,9.77,9.77,9.77,9.77
ANGH,2020-10-15,9.766,9.8,9.766,9.79
ANGH,2020-10-16,9.79,9.79,9.79,9.79
ANGH,2020-10-19,9.79,9.79,9.79,9.79
ANGH,2020-10-20,9.8,9.8,9.77,9.77
ANGH,2020-10-21,9.78,9.78,9.78,9.78
ANGH,2020-10-22,9.78,9.78,9.78,9.78
ANGH,2020-10-23,9.77,9.77,9.77,9.77
ANGH,2020-10-26,9.81,9.89,9.79,9.84
ANGH,2020-10-27,9.84,9.84,9.84,9.84
ANGH,2020-10-28,9.77,9.77,9.77,9.77
ANGH,2020-10-29,9.76,9.77,9.75,9.75
ANGH,2020-10-30,9.768,9.78,9.768,9.78
ANGH,2020-11-02,9.75,9.77,9.75,9.77
ANGH,2020-11-03,9.78,9.78,9.77,9.77
ANGH,2020-11-04,9.8,9.81,9.78,9.81
ANGH,2020-11-05,9.86,9.86,9.85,9.85
ANGH,2020-11-06,9.83,9.83,9.8,9.8
ANGH,2020-11-09,9.82,9.82,9.82,9.82
ANGH,2020-11-10,9.785,9.797,9.75,9.77
ANGH,2020-11-11,9.77,9.77,9.77,9.77
ANGH,2020-11-12,9.77,9.77,9.77,9.77
ANGH,2020-11-13,9.805,9.842,9.805,9.84
ANGH,2020-11-16,9.84,9.84,9.84,9.84
ANGH,2020-11-17,9.78,9.92,9.78,9.85
ANGH,2020-11-18,9.85,9.85,9.85,9.85
ANGH,2020-11-19,9.795,9.81,9.795,9.81
ANGH,2020-11-20,9.81,9.86,9.81,9.85
ANGH,2020-11-23,9.87,9.87,9.78,9.85
ANGH,2020-11-24,9.8,9.845,9.79,9.83
ANGH,2020-11-25,9.83,9.83,9.83,9.83
ANGH,2020-11-27,9.8,9.83,9.8,9.825
ANGH,2020-11-30,9.84,9.86,9.82,9.845
ANGH,2020-12-01,9.84,9.89,9.84,9.89
ANGH,2020-12-02,9.886,9.886,9.886,9.886
ANGH,2020-12-03,9.88,9.89,9.88,9.89
ANGH,2020-12-04,9.96,9.96,9.96,9.96
ANGH,2020-12-07,9.95,9.98,9.86,9.933
ANGH,2020-12-08,9.91,9.95,9.91,9.91
ANGH,2020-12-09,9.91,9.95,9.9,9.92
ANGH,2020-12-10,9.94,10.0,9.94,10.0
ANGH,2020-12-11,9.96,10.0,9.94,9.95
ANGH,2020-12-14,9.95,9.95,9.88,9.9
ANGH,2020-12-15,9.89,9.95,9.89,9.95
ANGH,2020-12-16,9.91,9.935,9.9,9.93
ANGH,2020-12-17,9.95,9.98,9.95,9.98
ANGH,2020-12-18,9.95,9.95,9.93,9.95
ANGH,2020-12-21,9.93,9.95,9.925,9.95
ANGH,2020-12-22,10.0,10.31,9.99,10.05
ANGH,2020-12-23,10.134,10.134,10.06,10.126
ANGH,2020-12-24,10.15,10.15,10.01,10.01
ANGH,2020-12-28,10.02,10.17,10.0,10.05
ANGH,2020-12-29,10.05,10.12,10.05,10.05
ANGH,2020-12-30,10.061,10.125,10.061,10.105
ANGH,2020-12-31,10.09,10.17,10.09,10.09
ANGH,2021-01-04,10.095,10.14,10.095,10.12
ANGH,2021-01-05,10.13,10.13,10.06,10.06
ANGH,2021-01-06,10.14,10.14,10.039,10.039
ANGH,2021-01-07,10.1,10.14,10.1,10.14
ANGH,2021-01-08,10.1,10.14,10.09,10.14
ANGH,2021-01-11,10.1,10.15,10.07,10.1
ANGH,2021-01-12,10.18,10.335,10.09,10.18
ANGH,2021-01-13,10.2,10.33,10.16,10.2
ANGH,2021-01-14,10.21,10.32,10.15,10.15
ANGH,2021-01-15,10.25,10.33,10.178,10.25
ANGH,2021-01-19,10.25,10.51,10.164,10.41
ANGH,2021-01-20,10.318,10.39,10.22,10.23
ANGH,2021-01-21,10.3,10.33,10.216,10.25
ANGH,2021-01-22,10.254,10.254,10.205,10.24
ANGH,2021-01-25,10.4,10.4,10.1,10.1
ANGH,2021-01-26,10.11,10.15,10.05,10.08
ANGH,2021-01-27,10.04,10.09,9.97,9.97
ANGH,2021-01-28,10.07,10.1,10.02,10.03
ANGH,2021-01-29,10.0,10.13,9.99,10.02
ANGH,2021-02-01,10.1,10.11,10.08,10.08
ANGH,2021-02-02,10.19,10.19,10.12,10.13
ANGH,2021-02-03,10.17,10.281,10.17,10.28
ANGH,2021-02-04,10.32,10.35,10.29,10.31
ANGH,2021-02-05,10.37,10.37,10.3,10.3
ANGH,2021-02-08,10.26,10.34,10.17,10.22
ANGH,2021-02-09,10.23,10.34,10.2,10.24
ANGH,2021-02-10,10.209,10.28,10.2,10.25
ANGH,2021-02-11,10.23,10.27,10.18,10.2
ANGH,2021-02-12,10.25,10.3,10.24,10.25
ANGH,2021-02-16,10.25,10.305,10.19,10.23
ANGH,2021-02-17,10.23,10.34,10.2,10.25
ANGH,2021-02-18,10.34,10.85,10.261,10.4
ANGH,2021-02-19,10.48,10.48,10.27,10.27
ANGH,2021-02-22,10.34,10.53,10.34,10.43
ANGH,2021-02-23,10.37,10.39,10.25,10.25
ANGH,2021-02-24,10.2,10.39,10.2,10.32
ANGH,2021-02-25,10.36,10.38,10.1,10.2
ANGH,2021-02-26,10.2,10.25,10.15,10.15
ANGH,2021-03-01,10.6,10.6,10.12,10.2
ANGH,2021-03-02,10.32,10.4,10.1,10.15
ANGH,2021-03-03,10.02,10.05,9.86,9.97
ANGH,2021-03-04,9.99,10.03,9.9,10.02
ANGH,2021-03-05,10.05,10.055,9.95,10.03
ANGH,2021-03-08,10.03,10.043,9.99,10.02
ANGH,2021-03-09,10.0,10.026,9.96,10.0
ANGH,2021-03-10,10.03,10.05,9.98,10.03
ANGH,2021-03-11,10.02,10.02,9.96,9.97
ANGH,2021-03-12,9.97,10.0,9.96,9.99
ANGH,2021-03-15,10.06,10.06,9.937,9.96
ANGH,2021-03-16,9.98,9.99,9.95,9.98
ANGH,2021-03-17,9.98,10.0,9.94,9.95
ANGH,2021-03-18,9.95,9.96,9.95,9.96
ANGH,2021-03-19,9.98,10.0,9.93,9.94
ANGH,2021-03-22,9.98,9.98,9.88,9.93
ANGH,2021-03-23,9.91,9.94,9.85,9.9
ANGH,2021-03-24,9.89,9.92,9.83,9.92
ANGH,2021-03-25,9.85,9.895,9.85,9.89
ANGH,2021-03-26,9.86,9.95,9.85,9.93
ANGH,2021-03-29,9.949,10.0,9.93,9.96
ANGH,2021-03-30,9.93,10.0,9.91,9.95
ANGH,2021-03-31,9.92,9.92,9.88,9.902
ANGH,2021-04-01,9.883,9.95,9.883,9.9
ANGH,2021-04-05,9.94,9.98,9.91,9.95
ANGH,2021-04-06,9.98,9.98,9.91,9.91
ANGH,2021-04-07,9.95,9.99,9.9,9.95
ANGH,2021-04-08,9.95,10.0,9.95,9.95
ANGH,2021-04-09,9.923,9.99,9.92,9.94
ANGH,2021-04-12,10.02,10.03,9.95,9.95
ANGH,2021-04-13,9.951,9.975,9.95,9.96
ANGH,2021-04-14,9.95,9.95,9.92,9.92
ANGH,2021-04-15,9.92,9.93,9.9,9.91
ANGH,2021-04-16,9.912,9.918,9.9,9.91
ANGH,2021-04-19,9.93,9.93,9.9,9.91
ANGH,2021-04-20,9.9,9.99,9.9,9.98
ANGH,2021-04-21,9.95,9.98,9.9,9.9
ANGH,2021-04-22,9.9,9.91,9.9,9.9
ANGH,2021-04-23,9.9,9.95,9.9,9.95
ANGH,2021-04-26,9.92,9.94,9.91,9.91
ANGH,2021-04-27,9.921,9.95,9.91,9.91
