ticker,date,open,high,low,close
AXON,2001-06-19,0.51,0.51,0.46,0.46
AXON,2001-06-20,0.46,0.46,0.45,0.45
AXON,2001-06-21,0.45,0.45,0.45,0.45
AXON,2001-06-22,0.45,0.48,0.45,0.48
AXON,2001-06-25,0.48,0.48,0.47,0.48
AXON,2001-06-26,0.47,0.52,0.47,0.52
AXON,2001-06-27,0.5,0.51,0.5,0.51
AXON,2001-06-28,0.51,0.51,0.51,0.51
AXON,2001-06-29,0.52,0.54,0.52,0.53
AXON,2001-07-02,0.53,0.54,0.53,0.53
AXON,2001-07-03,0.53,0.53,0.53,0.53
AXON,2001-07-05,0.53,0.53,0.53,0.53
AXON,2001-07-06,0.52,0.52,0.52,0.52
AXON,2001-07-09,0.52,0.52,0.5,0.5
AXON,2001-07-10,0.5,0.5,0.5,0.5
AXON,2001-07-11,0.5,0.5,0.5,0.5
AXON,2001-07-12,0.5,0.5,0.5,0.5
AXON,2001-07-13,0.5,0.5,0.5,0.5
AXON,2001-07-16,0.49,0.49,0.49,0.49
AXON,2001-07-17,0.48,0.48,0.48,0.48
AXON,2001-07-18,0.48,0.48,0.48,0.48
AXON,2001-07-19,0.47,0.47,0.47,0.47
AXON,2001-07-20,0.48,0.48,0.47,0.47
AXON,2001-07-23,0.48,0.49,0.47,0.47
AXON,2001-07-24,0.49,0.5,0.48,0.48
AXON,2001-07-25,0.47,0.47,0.47,0.47
AXON,2001-07-26,0.47,0.48,0.47,0.48
AXON,2001-07-27,0.48,0.49,0.48,0.49
AXON,2001-07-30,0.49,0.51,0.49,0.51
AXON,2001-07-31,0.5,0.52,0.5,0.52
AXON,2001-08-01,0.52,0.52,0.52,0.52
AXON,2001-08-02,0.52,0.52,0.51,0.52
AXON,2001-08-03,0.52,0.52,0.52,0.52
AXON,2001-08-06,0.51,0.52,0.5,0.52
AXON,2001-08-07,0.52,0.54,0.52,0.54
AXON,2001-08-08,0.54,0.56,0.53,0.55
AXON,2001-08-09,0.55,0.57,0.55,0.57
AXON,2001-08-10,0.57,0.59,0.57,0.59
AXON,2001-08-13,0.59,0.65,0.59,0.64
AXON,2001-08-14,0.64,0.65,0.62,0.64
AXON,2001-08-15,0.65,0.66,0.64,0.66
AXON,2001-08-16,0.66,0.68,0.65,0.67
AXON,2001-08-17,0.67,0.68,0.66,0.66
AXON,2001-08-20,0.67,0.68,0.61,0.63
AXON,2001-08-21,0.63,0.65,0.62,0.64
AXON,2001-08-22,0.65,0.65,0.61,0.64
AXON,2001-08-23,0.64,0.66,0.64,0.65
AXON,2001-08-24,0.66,0.71,0.66,0.71
AXON,2001-08-27,0.72,0.74,0.68,0.74
AXON,2001-08-28,0.74,0.75,0.7,0.71
AXON,2001-08-29,0.7,0.71,0.69,0.71
AXON,2001-08-30,0.7,0.7,0.68,0.69
AXON,2001-08-31,0.68,0.72,0.68,0.71
AXON,2001-09-04,0.71,0.77,0.71,0.76
AXON,2001-09-05,0.76,0.76,0.74,0.75
AXON,2001-09-06,0.73,0.75,0.73,0.73
AXON,2001-09-07,0.72,0.73,0.7,0.72
AXON,2001-09-10,0.7,0.73,0.7,0.73
AXON,2001-09-17,0.75,0.75,0.63,0.7
AXON,2001-09-18,0.69,0.73,0.69,0.71
AXON,2001-09-19,0.72,0.72,0.62,0.66
AXON,2001-09-20,0.64,0.64,0.59,0.59
AXON,2001-09-21,0.58,0.62,0.55,0.57
AXON,2001-09-24,0.59,0.64,0.59,0.63
AXON,2001-09-25,0.62,0.67,0.62,0.65
AXON,2001-09-26,0.66,0.69,0.66,0.69
AXON,2001-09-27,0.69,0.73,0.69,0.73
AXON,2001-09-28,0.73,0.78,0.71,0.71
AXON,2001-10-01,0.71,0.71,0.69,0.69
AXON,2001-10-02,0.69,0.72,0.69,0.72
AXON,2001-10-03,0.73,0.76,0.72,0.75
AXON,2001-10-04,0.74,0.74,0.74,0.74
AXON,2001-10-05,0.74,0.74,0.7,0.74
AXON,2001-10-08,0.74,0.74,0.73,0.73
AXON,2001-10-09,0.74,0.95,0.74,0.93
AXON,2001-10-10,0.94,0.95,0.88,0.9
AXON,2001-10-11,0.94,0.94,0.87,0.91
AXON,2001-10-12,0.91,0.91,0.83,0.85
AXON,2001-10-15,0.86,0.87,0.81,0.85
AXON,2001-10-16,0.87,0.89,0.86,0.88
AXON,2001-10-17,0.88,0.89,0.83,0.83
AXON,2001-10-18,0.84,0.9,0.84,0.87
AXON,2001-10-19,0.89,1.04,0.89,1.02
AXON,2001-10-22,1.03,1.05,0.86,0.89
AXON,2001-10-23,0.88,0.92,0.81,0.81
AXON,2001-10-24,0.82,0.87,0.8,0.85
AXON,2001-10-25,0.85,0.87,0.83,0.83
AXON,2001-10-26,0.84,0.85,0.81,0.83
AXON,2001-10-29,0.82,0.82,0.77,0.78
AXON,2001-10-30,0.77,0.8,0.75,0.79
AXON,2001-10-31,0.8,0.83,0.79,0.8
AXON,2001-11-01,0.8,0.8,0.79,0.8
AXON,2001-11-02,0.81,0.83,0.8,0.82
AXON,2001-11-05,0.81,0.82,0.81,0.82
AXON,2001-11-06,0.81,0.82,0.79,0.8
AXON,2001-11-07,0.8,0.88,0.8,0.87
AXON,2001-11-08,0.88,0.88,0.87,0.88
AXON,2001-11-09,0.88,0.94,0.87,0.93
AXON,2001-11-12,0.93,0.99,0.93,0.95
AXON,2001-11-13,0.95,0.96,0.93,0.94
AXON,2001-11-14,0.93,0.93,0.88,0.9
AXON,2001-11-15,0.91,1.12,0.9,1.11
AXON,2001-11-16,1.15,1.26,1.13,1.18
AXON,2001-11-19,1.23,1.24,1.09,1.16
AXON,2001-11-20,1.16,1.17,1.13,1.16
AXON,2001-11-21,1.18,1.22,1.12,1.16
AXON,2001-11-23,1.16,1.19,1.15,1.17
AXON,2001-11-26,1.17,1.18,1.13,1.14
AXON,2001-11-27,1.15,1.15,1.04,1.05
AXON,2001-11-28,1.02,1.02,0.98,1.0
AXON,2001-11-29,1.0,1.04,0.98,1.01
AXON,2001-11-30,0.98,1.1,0.98,1.09
AXON,2001-12-03,1.1,1.1,1.03,1.08
AXON,2001-12-04,1.09,1.12,1.08,1.09
AXON,2001-12-05,1.1,1.1,1.02,1.03
AXON,2001-12-06,1.03,1.04,0.99,1.01
AXON,2001-12-07,0.98,1.02,0.96,1.01
AXON,2001-12-10,0.99,1.01,0.98,1.0
AXON,2001-12-11,0.98,1.01,0.95,0.97
AXON,2001-12-12,0.98,0.98,0.96,0.98
AXON,2001-12-13,0.97,1.06,0.96,1.0
AXON,2001-12-14,1.02,1.06,1.01,1.03
AXON,2001-12-17,1.03,1.04,1.01,1.02
AXON,2001-12-18,1.02,1.06,1.01,1.05
AXON,2001-12-19,1.05,1.05,1.02,1.02
AXON,2001-12-20,1.02,1.02,1.01,1.01
AXON,2001-12-21,1.01,1.01,1.0,1.0
AXON,2001-12-24,1.0,1.03,1.0,1.03
AXON,2001-12-26,1.03,1.03,1.01,1.01
AXON,2001-12-27,1.02,1.03,1.01,1.03
AXON,2001-12-28,1.02,1.05,1.01,1.05
AXON,2001-12-31,1.05,1.15,1.04,1.15
AXON,2002-01-02,1.14,1.14,1.08,1.12
AXON,2002-01-03,1.13,1.14,1.11,1.12
AXON,2002-01-04,1.12,1.14,1.1,1.1
AXON,2002-01-07,1.11,1.11,1.09,1.09
AXON,2002-01-08,1.19,1.27,1.17,1.22
AXON,2002-01-09,1.46,1.52,1.4,1.48
AXON,2002-01-10,1.48,1.62,1.41,1.53
AXON,2002-01-11,1.57,1.58,1.51,1.52
AXON,2002-01-14,1.43,1.48,1.33,1.36
AXON,2002-01-15,1.38,1.47,1.38,1.41
AXON,2002-01-16,1.4,1.4,1.31,1.35
AXON,2002-01-17,1.35,1.45,1.35,1.43
AXON,2002-01-18,1.43,1.43,1.4,1.41
AXON,2002-01-22,1.42,1.47,1.41,1.41
AXON,2002-01-23,1.43,1.45,1.38,1.4
AXON,2002-01-24,1.46,1.46,1.39,1.4
AXON,2002-01-25,1.42,1.42,1.36,1.37
AXON,2002-01-28,1.37,1.38,1.33,1.33
AXON,2002-01-29,1.33,1.33,1.27,1.33
AXON,2002-01-30,1.32,1.47,1.32,1.44
AXON,2002-01-31,1.49,1.49,1.4,1.42
AXON,2002-02-01,1.38,1.48,1.38,1.47
AXON,2002-02-04,1.47,1.47,1.39,1.41
AXON,2002-02-05,1.4,1.42,1.38,1.41
AXON,2002-02-06,1.41,1.46,1.39,1.42
AXON,2002-02-07,1.44,1.46,1.39,1.41
AXON,2002-02-08,1.41,1.42,1.39,1.42
AXON,2002-02-11,1.42,1.58,1.4,1.57
AXON,2002-02-12,1.58,1.58,1.46,1.49
AXON,2002-02-13,1.49,1.54,1.48,1.53
AXON,2002-02-14,1.52,1.52,1.47,1.47
AXON,2002-02-15,1.48,1.5,1.46,1.46
AXON,2002-02-19,1.47,1.5,1.4,1.4
AXON,2002-02-20,1.4,1.44,1.38,1.4
AXON,2002-02-21,1.36,1.41,1.29,1.32
AXON,2002-02-22,1.29,1.34,1.27,1.34
AXON,2002-02-25,1.35,1.43,1.35,1.42
AXON,2002-02-26,1.43,1.45,1.4,1.41
AXON,2002-02-27,1.42,1.43,1.39,1.39
AXON,2002-02-28,1.42,1.51,1.42,1.47
AXON,2002-03-01,1.47,1.49,1.42,1.47
AXON,2002-03-04,1.5,1.5,1.47,1.48
AXON,2002-03-05,1.47,1.5,1.45,1.48
AXON,2002-03-06,1.48,1.5,1.46,1.47
AXON,2002-03-07,1.47,1.48,1.46,1.47
AXON,2002-03-08,1.47,1.67,1.33,1.37
AXON,2002-03-11,1.41,1.46,1.35,1.41
AXON,2002-03-12,1.42,1.42,1.27,1.38
AXON,2002-03-13,1.38,1.38,1.34,1.35
AXON,2002-03-14,1.36,1.36,1.35,1.35
AXON,2002-03-15,1.49,1.6,1.47,1.53
AXON,2002-03-18,1.58,1.58,1.51,1.54
AXON,2002-03-19,1.55,1.56,1.5,1.51
AXON,2002-03-20,1.5,1.52,1.46,1.5
AXON,2002-03-21,1.49,1.56,1.49,1.55
AXON,2002-03-22,1.56,1.56,1.54,1.54
AXON,2002-03-25,1.55,1.56,1.52,1.54
AXON,2002-03-26,1.53,1.65,1.53,1.58
AXON,2002-03-27,1.63,1.69,1.56,1.64
AXON,2002-03-28,1.65,1.65,1.57,1.6
AXON,2002-04-01,1.62,1.64,1.59,1.62
AXON,2002-04-02,1.63,1.64,1.59,1.6
AXON,2002-04-03,1.59,1.6,1.55,1.58
AXON,2002-04-04,1.57,1.58,1.5,1.51
AXON,2002-04-05,1.54,1.54,1.48,1.49
AXON,2002-04-08,1.48,1.55,1.48,1.55
AXON,2002-04-09,1.56,1.56,1.49,1.51
AXON,2002-04-10,1.5,1.51,1.5,1.51
AXON,2002-04-11,1.52,1.58,1.52,1.58
AXON,2002-04-12,1.56,1.66,1.55,1.59
AXON,2002-04-15,1.6,1.64,1.6,1.61
AXON,2002-04-16,1.61,1.62,1.57,1.61
AXON,2002-04-17,1.6,1.64,1.6,1.62
AXON,2002-04-18,1.62,1.68,1.6,1.6
AXON,2002-04-19,1.61,1.66,1.6,1.64
AXON,2002-04-22,1.67,1.74,1.63,1.72
AXON,2002-04-23,1.75,1.75,1.64,1.7
AXON,2002-04-24,1.73,1.75,1.69,1.69
AXON,2002-04-25,1.73,1.73,1.62,1.64
AXON,2002-04-26,1.68,1.68,1.52,1.54
AXON,2002-04-29,1.59,1.62,1.57,1.62
AXON,2002-04-30,1.64,1.65,1.56,1.61
AXON,2002-05-01,1.62,1.62,1.54,1.55
AXON,2002-05-02,1.57,1.57,1.48,1.55
AXON,2002-05-03,1.55,1.61,1.55,1.61
AXON,2002-05-06,1.61,1.61,1.55,1.59
AXON,2002-05-07,1.58,1.61,1.58,1.6
AXON,2002-05-08,1.61,1.61,1.55,1.57
AXON,2002-05-09,1.59,1.59,1.42,1.45
AXON,2002-05-10,1.41,1.43,1.23,1.3
AXON,2002-05-13,1.32,1.33,1.17,1.18
AXON,2002-05-14,1.17,1.32,1.14,1.31
AXON,2002-05-15,1.31,1.32,1.25,1.3
AXON,2002-05-16,1.29,1.29,1.21,1.22
AXON,2002-05-17,1.25,1.28,1.22,1.26
AXON,2002-05-20,1.31,1.36,1.28,1.36
AXON,2002-05-21,1.35,1.52,1.31,1.52
AXON,2002-05-22,1.57,1.58,1.48,1.54
AXON,2002-05-23,1.54,1.54,1.46,1.5
AXON,2002-05-24,1.48,1.48,1.44,1.48
AXON,2002-05-28,1.42,1.42,1.27,1.33
AXON,2002-05-29,1.31,1.44,1.29,1.4
AXON,2002-05-30,1.41,1.43,1.41,1.42
