ticker,date,open,high,low,close
BEAT,2021-11-11,5.4,5.4699,4.22,4.69
BEAT,2021-11-12,4.4,4.78,4.1,4.25
BEAT,2021-11-15,4.2,4.25,4.0601,4.11
BEAT,2021-11-16,4.06,4.19,3.95,4.1
BEAT,2021-11-17,4.1,4.18,3.97,4.18
BEAT,2021-11-18,4.15,4.4,4.0,4.18
BEAT,2021-11-19,4.15,4.4832,4.1201,4.36
BEAT,2021-11-22,4.42,4.42,3.9701,4.04
BEAT,2021-11-23,4.08,4.35,3.85,4.29
BEAT,2021-11-24,4.31,4.31,3.99,4.14
BEAT,2021-11-26,3.79,3.98,3.76,3.87
BEAT,2021-11-29,4.04,4.04,3.6006,3.71
BEAT,2021-11-30,3.5,3.6423,3.45,3.57
BEAT,2021-12-01,3.59,4.72,3.5001,4.65
BEAT,2021-12-02,4.26,4.519,4.05,4.22
BEAT,2021-12-03,4.31,4.37,4.2,4.3
BEAT,2021-12-06,4.35,4.3999,3.92,4.145
BEAT,2021-12-07,4.2,4.35,3.9649,4.17
BEAT,2021-12-08,4.12,4.18,3.96,4.08
BEAT,2021-12-09,4.05,4.14,3.7107,3.85
BEAT,2021-12-10,3.8,3.94,3.78,3.81
BEAT,2021-12-13,3.85,3.89,3.09,3.42
BEAT,2021-12-14,3.3382,3.37,3.135,3.2
BEAT,2021-12-15,3.24,3.4,3.1,3.39
BEAT,2021-12-16,3.39,3.48,3.18,3.29
BEAT,2021-12-17,3.3,3.3,2.8,2.93
BEAT,2021-12-20,2.93,3.7,2.75,3.56
BEAT,2021-12-21,3.56,4.2,3.17,3.6
BEAT,2021-12-22,3.57,3.75,3.35,3.56
BEAT,2021-12-23,3.6,3.6,3.35,3.41
BEAT,2021-12-27,3.45,3.59,3.2626,3.32
BEAT,2021-12-28,3.11,3.31,3.09,3.11
BEAT,2021-12-29,3.14,3.3,3.1101,3.12
BEAT,2021-12-30,3.09,3.3154,3.09,3.15
BEAT,2021-12-31,3.13,3.2543,3.05,3.08
BEAT,2022-01-03,3.21,3.7286,3.1001,3.67
BEAT,2022-01-04,3.7,4.19,3.37,3.64
BEAT,2022-01-05,3.64,3.64,3.27,3.35
BEAT,2022-01-06,3.24,3.35,3.11,3.21
BEAT,2022-01-07,3.19,3.54,3.07,3.49
BEAT,2022-01-10,3.49,3.49,3.2521,3.32
BEAT,2022-01-11,3.34,3.44,3.25,3.365
BEAT,2022-01-12,3.31,3.4965,3.3,3.36
BEAT,2022-01-13,3.37,3.4,3.18,3.22
BEAT,2022-01-14,3.15,3.2281,3.1,3.21
BEAT,2022-01-18,3.19,3.1935,2.9501,3.04
BEAT,2022-01-19,3.08,3.1,2.85,3.0
BEAT,2022-01-20,2.98,3.08,2.85,2.86
BEAT,2022-01-21,2.93,3.03,2.55,2.61
BEAT,2022-01-24,2.5,2.5742,2.2001,2.45
BEAT,2022-01-25,2.39,2.4999,2.3001,2.41
BEAT,2022-01-26,2.37,2.46,2.12,2.17
BEAT,2022-01-27,2.2,2.2699,2.04,2.04
BEAT,2022-01-28,2.07,2.1101,1.76,1.95
BEAT,2022-01-31,1.95,2.17,1.95,2.17
BEAT,2022-02-01,2.2,2.23,2.13,2.18
BEAT,2022-02-02,2.23,2.23,2.015,2.05
BEAT,2022-02-03,2.14,2.16,1.93,2.1
BEAT,2022-02-04,2.13,2.1999,1.99,2.07
BEAT,2022-02-07,2.01,2.06,1.95,1.95
BEAT,2022-02-08,1.94,2.04,1.885,1.98
BEAT,2022-02-09,2.02,2.07,1.9501,2.02
BEAT,2022-02-10,1.96,1.9999,1.9,1.93
BEAT,2022-02-11,1.93,1.99,1.7,1.76
BEAT,2022-02-14,1.78,1.78,1.67,1.71
BEAT,2022-02-15,1.81,1.81,1.7053,1.76
BEAT,2022-02-16,1.76,1.76,1.71,1.73
BEAT,2022-02-17,1.66,1.75,1.59,1.67
BEAT,2022-02-18,1.67,1.69,1.6,1.62
BEAT,2022-02-22,1.57,1.67,1.56,1.66
BEAT,2022-02-23,1.69,1.73,1.6,1.63
BEAT,2022-02-24,1.52,1.69,1.5079,1.65
BEAT,2022-02-25,1.65,1.79,1.65,1.79
BEAT,2022-02-28,1.74,1.84,1.7034,1.75
BEAT,2022-03-01,1.85,1.85,1.73,1.78
BEAT,2022-03-02,1.8,1.86,1.61,1.81
BEAT,2022-03-03,1.85,1.85,1.67,1.68
BEAT,2022-03-04,1.75,1.76,1.63,1.66
BEAT,2022-03-07,1.6,1.65,1.6,1.61
BEAT,2022-03-08,1.56,1.6,1.44,1.59
BEAT,2022-03-09,1.59,1.715,1.55,1.67
BEAT,2022-03-10,1.7101,1.78,1.7,1.71
BEAT,2022-03-11,1.7885,1.7885,1.71,1.74
BEAT,2022-03-14,1.72,1.74,1.68,1.7
BEAT,2022-03-15,1.7,1.72,1.67,1.67
BEAT,2022-03-16,1.68,1.73,1.66,1.69
BEAT,2022-03-17,1.71,1.78,1.7,1.78
BEAT,2022-03-18,1.75,1.94,1.75,1.9
BEAT,2022-03-21,1.9,1.96,1.82,1.93
BEAT,2022-03-22,1.95,2.0,1.91,1.91
