ticker,date,open,high,low,close
BKNG,1999-03-31,451.5,517.5,438.0,497.25
BKNG,1999-04-01,550.5,552.0,475.5,483.0
BKNG,1999-04-05,501.0,504.0,435.0,450.75
BKNG,1999-04-06,452.25,484.12,420.0,474.0
BKNG,1999-04-07,480.75,487.5,442.5,447.0
BKNG,1999-04-08,447.0,450.75,423.75,435.0
BKNG,1999-04-09,432.0,456.0,406.5,444.0
BKNG,1999-04-12,420.75,475.5,414.0,459.38
BKNG,1999-04-13,472.5,515.25,463.5,489.0
BKNG,1999-04-14,554.25,595.5,510.0,558.75
BKNG,1999-04-15,564.0,564.0,459.0,479.25
BKNG,1999-04-16,486.0,510.0,438.0,488.25
BKNG,1999-04-19,490.5,492.0,348.0,359.25
BKNG,1999-04-20,359.25,414.0,348.0,405.75
BKNG,1999-04-21,429.0,456.0,405.75,447.0
BKNG,1999-04-22,486.38,490.5,441.0,458.25
BKNG,1999-04-23,516.38,574.5,492.0,528.0
BKNG,1999-04-26,626.62,728.62,604.5,724.5
BKNG,1999-04-27,738.75,840.0,720.75,778.12
BKNG,1999-04-28,749.62,806.62,696.0,726.0
BKNG,1999-04-29,690.38,833.25,690.0,826.88
BKNG,1999-04-30,909.0,990.0,810.0,974.25
BKNG,1999-05-03,914.62,953.25,833.25,835.5
BKNG,1999-05-04,855.75,900.0,783.75,804.0
BKNG,1999-05-05,847.12,912.0,720.75,907.12
BKNG,1999-05-06,888.0,912.0,827.25,836.62
BKNG,1999-05-07,865.5,865.88,777.75,783.94
BKNG,1999-05-10,768.0,791.25,726.0,768.0
BKNG,1999-05-11,807.0,808.5,738.0,738.0
BKNG,1999-05-12,736.5,774.0,732.0,756.0
BKNG,1999-05-13,779.25,792.0,726.0,729.0
BKNG,1999-05-14,720.0,807.0,714.0,796.88
BKNG,1999-05-17,789.0,793.88,744.0,790.5
BKNG,1999-05-18,787.5,838.5,766.12,816.75
BKNG,1999-05-19,820.5,865.5,808.5,855.0
BKNG,1999-05-20,869.62,870.0,786.75,806.25
BKNG,1999-05-21,871.88,874.5,822.0,833.62
BKNG,1999-05-24,829.5,833.25,726.75,752.06
BKNG,1999-05-25,726.0,776.25,618.0,624.0
BKNG,1999-05-26,651.0,690.0,582.0,682.69
BKNG,1999-05-27,676.5,702.0,654.38,664.88
BKNG,1999-05-28,642.0,673.5,636.0,672.19
BKNG,1999-06-01,657.75,663.0,585.0,596.62
BKNG,1999-06-02,577.5,634.12,534.75,557.44
BKNG,1999-06-03,560.25,575.25,504.0,504.75
BKNG,1999-06-04,507.0,553.5,500.25,541.88
BKNG,1999-06-07,555.0,657.0,549.75,609.0
BKNG,1999-06-08,629.25,666.0,609.75,625.5
BKNG,1999-06-09,639.75,653.25,617.25,630.0
BKNG,1999-06-10,604.12,624.75,600.0,613.5
BKNG,1999-06-11,624.0,637.5,570.0,574.12
BKNG,1999-06-14,564.0,564.0,459.0,461.25
BKNG,1999-06-15,456.75,505.88,448.5,470.62
BKNG,1999-06-16,510.0,540.0,502.5,531.0
BKNG,1999-06-17,525.0,570.0,502.12,533.62
BKNG,1999-06-18,548.25,571.12,546.0,564.0
BKNG,1999-06-21,574.5,655.5,571.5,637.88
BKNG,1999-06-22,654.38,716.62,634.5,652.5
BKNG,1999-06-23,624.0,683.62,624.0,665.25
BKNG,1999-06-24,649.5,657.0,612.0,612.0
BKNG,1999-06-25,632.62,644.25,573.0,574.5
BKNG,1999-06-28,594.0,633.75,552.0,633.0
BKNG,1999-06-29,618.75,666.0,614.62,645.0
BKNG,1999-06-30,637.5,714.0,625.5,693.38
BKNG,1999-07-01,701.25,710.25,643.5,645.0
BKNG,1999-07-02,654.0,681.0,654.0,669.0
