ticker,date,open,high,low,close
BLBD,2014-03-20,9.6,9.62,9.6,9.62
BLBD,2014-03-21,9.5,9.5,9.5,9.5
BLBD,2014-03-24,9.5,9.5,9.5,9.5
BLBD,2014-03-25,9.5,9.5,9.5,9.5
BLBD,2014-03-26,9.5,9.5,9.5,9.5
BLBD,2014-03-27,9.56,9.56,9.56,9.56
BLBD,2014-03-28,9.56,9.56,9.56,9.56
BLBD,2014-03-31,9.56,9.56,9.56,9.56
BLBD,2014-04-01,9.56,9.56,9.56,9.56
BLBD,2014-04-02,9.56,9.56,9.56,9.56
BLBD,2014-04-03,9.56,9.56,9.56,9.56
BLBD,2014-04-04,9.7,9.7,9.51,9.68
BLBD,2014-04-07,9.74,9.74,9.66,9.68
BLBD,2014-04-08,9.68,9.68,9.68,9.68
BLBD,2014-04-09,9.75,9.75,9.55,9.59
BLBD,2014-04-10,9.7,9.9,9.66,9.66
BLBD,2014-04-11,9.66,9.66,9.66,9.66
BLBD,2014-04-14,9.7,9.7,9.7,9.7
BLBD,2014-04-15,9.7,9.7,9.7,9.7
BLBD,2014-04-16,9.7,9.7,9.7,9.7
BLBD,2014-04-17,9.7,9.7,9.7,9.7
BLBD,2014-04-21,9.7,9.7,9.7,9.7
BLBD,2014-04-22,9.55,9.55,9.55,9.55
BLBD,2014-04-23,9.65,9.65,9.55,9.55
BLBD,2014-04-24,9.55,9.55,9.55,9.55
BLBD,2014-04-25,9.65,9.65,9.65,9.65
BLBD,2014-04-28,9.65,9.65,9.65,9.65
BLBD,2014-04-29,9.65,9.65,9.5,9.55
BLBD,2014-04-30,9.55,9.55,9.55,9.55
BLBD,2014-05-01,9.55,9.55,9.55,9.55
BLBD,2014-05-02,9.55,9.55,9.55,9.55
BLBD,2014-05-05,9.55,9.55,9.55,9.55
BLBD,2014-05-06,9.55,9.55,9.55,9.55
BLBD,2014-05-07,9.6,9.67,9.6,9.67
BLBD,2014-05-08,9.59,9.64,9.59,9.63
BLBD,2014-05-09,9.6,9.66,9.56,9.66
BLBD,2014-05-12,9.59,9.69,9.59,9.69
BLBD,2014-05-13,9.62,9.69,9.59,9.591
BLBD,2014-05-14,9.69,9.69,9.59,9.63
BLBD,2014-05-15,9.62,9.69,9.58,9.62
BLBD,2014-05-16,9.58,9.62,9.57,9.6
BLBD,2014-05-19,9.64,9.65,9.56,9.56
BLBD,2014-05-20,9.56,9.56,9.56,9.56
BLBD,2014-05-21,9.65,9.65,9.61,9.65
BLBD,2014-05-22,9.65,9.65,9.65,9.65
BLBD,2014-05-23,9.74,9.74,9.69,9.71
BLBD,2014-05-27,9.69,9.72,9.68,9.68
BLBD,2014-05-28,9.69,9.73,9.69,9.72
BLBD,2014-05-29,9.71,9.71,9.7,9.7
BLBD,2014-05-30,9.7,9.7,9.7,9.7
BLBD,2014-06-02,9.65,9.68,9.55,9.68
BLBD,2014-06-03,9.68,9.68,9.68,9.68
BLBD,2014-06-04,9.68,9.68,9.68,9.68
BLBD,2014-06-05,9.68,9.68,9.68,9.68
BLBD,2014-06-06,9.7,9.79,9.67,9.67
BLBD,2014-06-09,9.67,9.67,9.67,9.67
BLBD,2014-06-10,9.67,9.71,9.67,9.7
BLBD,2014-06-11,9.7,9.7,9.7,9.7
BLBD,2014-06-12,9.71,9.72,9.71,9.72
BLBD,2014-06-13,9.7,9.74,9.7,9.73
BLBD,2014-06-16,9.69,9.73,9.69,9.72
