ticker,date,open,high,low,close
BLNE,2025-01-27,1.05,1.05,0.78,0.95
BLNE,2025-01-28,0.85,0.89,0.78,0.83
BLNE,2025-01-29,0.79,0.82,0.626,0.7441
BLNE,2025-01-30,0.8051,0.812,0.75,0.7538
BLNE,2025-01-31,0.74,0.7899,0.6802,0.701
BLNE,2025-02-03,0.68,0.708,0.6601,0.6737
BLNE,2025-02-04,0.704,0.704,0.58,0.69
BLNE,2025-02-05,0.6936,0.76,0.6697,0.715
BLNE,2025-02-06,0.701,0.799999,0.6964,0.7361
BLNE,2025-02-07,0.7302,0.7766,0.72,0.721
BLNE,2025-02-10,0.72,0.735,0.64,0.6726
BLNE,2025-02-11,0.65,0.72,0.65,0.72
BLNE,2025-02-12,0.693,0.739999,0.641,0.702
BLNE,2025-02-13,0.7,0.7,0.65,0.689
BLNE,2025-02-14,0.6313,0.678,0.62,0.646
BLNE,2025-02-18,0.677,0.686,0.62,0.6584
BLNE,2025-02-19,0.7216,0.7847,0.5652,0.7299
BLNE,2025-02-20,0.641,0.748,0.6162,0.7196
BLNE,2025-02-21,0.697,0.71,0.67,0.688
BLNE,2025-02-24,0.74,0.84,0.706058,0.8199
BLNE,2025-02-25,0.7437,0.7437,0.7084,0.7437
BLNE,2025-02-26,0.77,0.77,0.7305,0.77
BLNE,2025-02-27,0.8,0.8299,0.733,0.8
BLNE,2025-02-28,0.788,0.7919,0.7305,0.748
BLNE,2025-03-03,0.75,0.7672,0.685,0.7237
BLNE,2025-03-04,0.705,0.729,0.6501,0.701
BLNE,2025-03-05,0.725,0.7849,0.7233,0.74
BLNE,2025-03-06,0.71,0.784799,0.7,0.7846
BLNE,2025-03-07,0.748,0.794712,0.7373,0.75
BLNE,2025-03-10,0.71,0.7474,0.65,0.671
BLNE,2025-03-11,0.67,0.67,0.6301,0.6611
BLNE,2025-03-12,6.1,6.6321,5.51,6.105
BLNE,2025-03-13,5.9,5.9,5.24,5.26
BLNE,2025-03-14,5.16,5.16,3.72,3.72
BLNE,2025-03-17,4.0608,4.1592,3.01,3.0101
BLNE,2025-03-18,3.15,3.45,2.76,2.9
BLNE,2025-03-19,2.88,3.0999,2.4155,2.43
BLNE,2025-03-20,2.76,2.76,2.1,2.4
BLNE,2025-03-21,2.47,2.47,1.93,1.97
BLNE,2025-03-24,1.99,1.99,1.62,1.67
BLNE,2025-03-25,1.67,2.1788,1.5,1.88
BLNE,2025-03-26,2.97,3.15,1.55,2.08
BLNE,2025-03-27,2.08,2.23,1.85,1.98
BLNE,2025-03-28,2.2,2.2,1.675,1.68
BLNE,2025-03-31,1.68,1.97,1.63,1.83
BLNE,2025-04-01,1.88,1.88,1.62,1.63
BLNE,2025-04-02,1.54,1.9,1.43,1.85
BLNE,2025-04-03,1.73,2.015,1.73,1.88
BLNE,2025-04-04,1.83,1.83,1.668,1.7
BLNE,2025-04-07,1.64,1.64,1.5541,1.64
BLNE,2025-04-08,1.7,1.7,1.4517,1.46
BLNE,2025-04-09,1.455,1.5,1.315,1.39
BLNE,2025-04-10,1.415,1.47,1.34,1.43
BLNE,2025-04-11,1.4,1.4,1.39,1.4
BLNE,2025-04-14,1.46,1.475,1.336,1.47
BLNE,2025-04-15,1.41,1.4688,1.36,1.41
BLNE,2025-04-16,1.4,1.42,0.89,1.195
BLNE,2025-04-17,1.11,1.18,1.11,1.15
BLNE,2025-04-21,1.25,1.28,1.12,1.17
BLNE,2025-04-22,1.2,1.42,1.2,1.37
BLNE,2025-04-23,1.34,1.34,1.29,1.34
BLNE,2025-04-24,1.35,1.5199,1.29,1.46
BLNE,2025-04-25,1.43,1.4936,1.43,1.43
BLNE,2025-04-28,1.46,1.53,1.41,1.53
BLNE,2025-04-29,1.54,1.575,1.41,1.51
BLNE,2025-04-30,1.43,1.5,1.42,1.46
BLNE,2025-05-01,1.46,1.5,1.37,1.37
BLNE,2025-05-02,1.39,1.395,1.31,1.35
BLNE,2025-05-05,1.4,1.64,1.3849,1.46
BLNE,2025-05-06,1.34,1.34,1.33,1.34
BLNE,2025-05-07,1.35,1.59,1.33,1.44
BLNE,2025-05-08,1.41,1.61,1.36,1.49
BLNE,2025-05-09,1.5199,1.5199,1.34,1.4
BLNE,2025-05-12,1.44,1.44,1.36,1.36
BLNE,2025-05-13,1.3,1.3,1.26,1.3
BLNE,2025-05-14,1.27,1.31,1.21,1.26
BLNE,2025-05-15,1.22,1.295,1.14,1.27
BLNE,2025-05-16,1.29,1.3,1.14,1.25
BLNE,2025-05-19,1.24,1.28,1.14,1.21
