ticker,date,open,high,low,close
BRZE,2021-11-17,87.2,94.88,85.76,93.39
BRZE,2021-11-18,95.84,96.65,80.35,84.5
BRZE,2021-11-19,85.0,95.38,85.0,94.16
BRZE,2021-11-22,94.17,98.7799,81.315,85.01
BRZE,2021-11-23,85.0,85.3,75.14,76.13
BRZE,2021-11-24,74.8,78.75,72.0,74.05
BRZE,2021-11-26,72.08,76.37,71.01,73.51
BRZE,2021-11-29,74.96,76.45,73.05,76.01
BRZE,2021-11-30,76.83,78.1499,71.5,76.2
BRZE,2021-12-01,76.21,78.98,66.01,67.2
BRZE,2021-12-02,70.55,70.6,66.2,66.99
BRZE,2021-12-03,66.3,66.3,55.73,58.19
BRZE,2021-12-06,60.61,62.65,56.0081,59.73
BRZE,2021-12-07,60.86,67.88,60.8,66.65
BRZE,2021-12-08,67.0,71.59,66.7,69.99
BRZE,2021-12-09,69.89,70.93,65.88,66.95
BRZE,2021-12-10,66.54,68.94,63.0301,68.78
BRZE,2021-12-13,68.83,73.2154,65.22,65.23
BRZE,2021-12-14,65.33,66.625,62.7,63.23
BRZE,2021-12-15,63.68,65.0,59.54,63.41
BRZE,2021-12-16,64.0,66.39,60.86,60.97
BRZE,2021-12-17,60.56,63.35,58.49,62.22
BRZE,2021-12-20,58.0,66.49,57.45,64.41
BRZE,2021-12-21,74.67,77.0,68.0,75.95
BRZE,2021-12-22,75.95,81.96,73.54,75.32
BRZE,2021-12-23,75.0,78.16,73.13,77.21
BRZE,2021-12-27,78.19,81.53,74.71,76.15
BRZE,2021-12-28,77.4,77.79,70.3523,72.72
BRZE,2021-12-29,73.0,77.8,70.2,77.71
BRZE,2021-12-30,76.73,80.725,76.73,79.0
BRZE,2021-12-31,79.0,82.29,76.4,77.16
BRZE,2022-01-03,78.27,79.25,69.0,72.82
BRZE,2022-01-04,72.33,72.5,64.0,64.9
BRZE,2022-01-05,61.01,63.455,59.12,59.95
BRZE,2022-01-06,58.91,64.43,57.055,62.03
BRZE,2022-01-07,60.37,66.12,60.37,64.01
BRZE,2022-01-10,61.02,66.24,58.91,66.0
BRZE,2022-01-11,65.23,69.0,63.54,67.92
BRZE,2022-01-12,68.77,69.93,63.77,64.23
BRZE,2022-01-13,63.85,64.5995,59.11,60.69
BRZE,2022-01-14,59.75,63.5,59.75,62.61
BRZE,2022-01-18,59.4,62.89,58.0,60.26
BRZE,2022-01-19,59.74,61.0,56.92,56.98
BRZE,2022-01-20,57.83,59.43,54.92,55.29
BRZE,2022-01-21,55.45,56.95,46.2555,53.02
BRZE,2022-01-24,50.46,52.7,45.89,51.7
BRZE,2022-01-25,50.23,52.21,49.17,50.42
BRZE,2022-01-26,51.33,55.1314,50.73,50.91
BRZE,2022-01-27,51.36,53.48,46.695,48.53
BRZE,2022-01-28,48.85,50.39,45.06,48.99
BRZE,2022-01-31,48.62,52.59,48.62,50.02
BRZE,2022-02-01,50.5,55.15,50.17,54.0
BRZE,2022-02-02,54.45,56.53,52.878,55.87
BRZE,2022-02-03,54.0,56.9,52.0,52.65
BRZE,2022-02-04,52.3,56.72,52.13,56.16
BRZE,2022-02-07,56.33,64.4,56.01,62.62
BRZE,2022-02-08,61.94,62.3,58.04,61.17
BRZE,2022-02-09,62.0,64.92,60.295,63.66
BRZE,2022-02-10,62.6,67.48,61.88,64.55
BRZE,2022-02-11,64.12,65.42,60.55,63.14
BRZE,2022-02-14,61.75,65.76,61.0,63.23
BRZE,2022-02-15,63.47,63.87,60.65,62.91
BRZE,2022-02-16,61.75,63.89,59.65,61.87
BRZE,2022-02-17,59.45,59.845,50.67,51.54
BRZE,2022-02-18,50.12,51.53,41.85,43.68
BRZE,2022-02-22,43.65,44.98,40.88,41.66
BRZE,2022-02-23,42.03,42.51,38.89,40.02
BRZE,2022-02-24,37.17,43.1842,37.03,43.01
BRZE,2022-02-25,42.83,44.21,40.14,43.9
BRZE,2022-02-28,43.82,44.06,41.11,42.19
BRZE,2022-03-01,42.22,44.74,41.3,42.09
BRZE,2022-03-02,42.5,42.94,39.16,41.97
BRZE,2022-03-03,42.02,42.02,38.39,39.2
BRZE,2022-03-04,38.76,39.35,37.01,37.47
BRZE,2022-03-07,37.81,41.52,36.21,36.8
BRZE,2022-03-08,36.58,38.47,34.36,37.91
BRZE,2022-03-09,38.62,40.83,38.19,38.99
BRZE,2022-03-10,38.43,38.95,36.89,37.25
BRZE,2022-03-11,37.48,38.2212,33.51,35.03
BRZE,2022-03-14,34.51,35.36,30.87,32.18
BRZE,2022-03-15,32.05,34.1099,30.76,32.73
BRZE,2022-03-16,33.32,36.88,33.32,36.54
BRZE,2022-03-17,36.43,39.0,36.01,38.62
BRZE,2022-03-18,38.27,40.3,37.28,38.26
BRZE,2022-03-21,38.68,39.87,36.58,39.4
BRZE,2022-03-22,39.23,43.97,37.8539,43.22
BRZE,2022-03-23,42.94,46.11,42.37,42.99
BRZE,2022-03-24,42.78,43.425,40.45,42.4
BRZE,2022-03-25,42.23,43.01,39.46,39.62
BRZE,2022-03-28,39.81,42.69,38.4105,41.99
BRZE,2022-03-29,42.34,47.25,41.55,47.0
BRZE,2022-03-30,47.925,47.925,43.13,43.58
BRZE,2022-03-31,44.5,46.94,40.95,41.47
BRZE,2022-04-01,41.92,43.38,40.41,40.48
BRZE,2022-04-04,40.12,42.32,38.15,40.45
BRZE,2022-04-05,40.0,40.56,37.44,37.91
BRZE,2022-04-06,37.12,38.38,36.02,38.12
BRZE,2022-04-07,37.48,39.13,37.0,37.99
BRZE,2022-04-08,37.14,39.2,36.165,36.55
BRZE,2022-04-11,36.56,38.56,34.479,38.08
BRZE,2022-04-12,38.6,40.11,37.0,39.1
BRZE,2022-04-13,38.65,43.74,37.785,43.52
BRZE,2022-04-14,43.02,44.53,42.57,44.0
BRZE,2022-04-18,43.8,44.6,41.68,43.83
BRZE,2022-04-19,43.89,47.49,43.11,46.99
BRZE,2022-04-20,45.46,46.83,44.39,45.32
BRZE,2022-04-21,45.94,46.98,42.41,42.77
BRZE,2022-04-22,42.48,43.48,40.53,41.84
BRZE,2022-04-25,41.55,44.48,41.01,44.16
BRZE,2022-04-26,43.54,43.54,40.67,41.99
BRZE,2022-04-27,41.99,43.11,40.45,40.87
BRZE,2022-04-28,41.12,42.71,39.23,42.31
BRZE,2022-04-29,41.92,43.58,40.1,40.19
BRZE,2022-05-02,39.95,41.365,39.06,40.82
BRZE,2022-05-03,41.31,41.79,38.0,38.38
BRZE,2022-05-04,38.55,39.89,36.62,39.78
BRZE,2022-05-05,39.04,39.27,35.57,37.31
BRZE,2022-05-06,37.05,38.02,33.72,35.98
BRZE,2022-05-09,34.54,35.29,32.17,32.92
BRZE,2022-05-10,34.0,34.185,30.8118,32.15
BRZE,2022-05-11,30.37,31.35,27.48,28.61
BRZE,2022-05-12,27.59,30.31,27.09,29.51
BRZE,2022-05-13,31.07,35.2,29.86,34.91
BRZE,2022-05-16,34.45,35.915,32.34,32.73
BRZE,2022-05-17,33.49,34.7382,30.46,31.74
BRZE,2022-05-18,31.0,31.7446,29.21,30.38
BRZE,2022-05-19,30.4,33.11,29.72,32.08
BRZE,2022-05-20,32.65,34.375,31.21,32.3
BRZE,2022-05-23,32.47,33.51,30.92,32.63
BRZE,2022-05-24,31.77,31.935,29.01,29.62
BRZE,2022-05-25,29.34,33.11,29.34,32.77
BRZE,2022-05-26,32.39,34.41,31.9,32.24
BRZE,2022-05-27,32.71,35.06,32.41,34.99
BRZE,2022-05-31,35.44,35.45,32.43,33.44
