ticker,date,open,high,low,close
CALC,2020-09-25,266.0,290.36,217.7,231.0
CALC,2020-09-28,221.9,235.9,221.9,224.84
CALC,2020-09-29,223.02,242.2,196.7,200.2
CALC,2020-09-30,215.32,215.32,175.0,177.94
CALC,2020-10-01,184.94,189.14,175.0,188.72
CALC,2020-10-02,183.4,196.0,178.92,182.7
CALC,2020-10-05,189.28,189.28,178.5,184.1
CALC,2020-10-06,186.62,186.76,182.14,186.2
CALC,2020-10-07,188.58,207.749,186.9,200.06
CALC,2020-10-08,200.34,207.9,192.5,202.72
CALC,2020-10-09,201.6,207.06,197.4,203.0
CALC,2020-10-12,203.98,206.92,201.6,203.7
CALC,2020-10-13,203.0,222.863,202.16,216.58
CALC,2020-10-14,219.38,226.38,217.0,226.38
CALC,2020-10-15,220.5,224.0,211.82,221.34
CALC,2020-10-16,221.34,221.48,210.28,215.32
CALC,2020-10-19,214.2,224.7,210.0,222.6
CALC,2020-10-20,228.2,235.2,221.9,228.34
CALC,2020-10-21,233.38,233.38,213.437,220.5
CALC,2020-10-22,219.24,219.38,198.8,203.14
CALC,2020-10-23,204.82,214.06,198.8,206.5
CALC,2020-10-26,204.4,232.96,201.46,209.3
CALC,2020-10-27,210.14,217.42,207.06,214.48
CALC,2020-10-28,217.0,220.36,197.12,203.0
CALC,2020-10-29,203.421,216.02,191.94,197.26
CALC,2020-10-30,196.0,199.29,178.088,184.24
CALC,2020-11-02,181.86,209.86,178.304,205.8
CALC,2020-11-03,203.56,210.0,195.86,209.58
CALC,2020-11-04,210.56,230.02,202.3,228.2
CALC,2020-11-05,231.7,280.0,222.18,269.64
CALC,2020-11-06,264.6,289.52,259.0,277.06
CALC,2020-11-09,283.5,289.1,265.65,270.2
CALC,2020-11-10,273.42,290.22,256.2,284.2
CALC,2020-11-11,283.78,423.5,283.78,384.44
CALC,2020-11-12,390.74,397.137,337.12,344.54
CALC,2020-11-13,344.4,371.28,310.1,360.22
CALC,2020-11-16,356.3,391.86,350.141,378.14
CALC,2020-11-17,378.0,399.42,367.08,388.5
CALC,2020-11-18,390.32,399.837,379.12,382.76
CALC,2020-11-19,381.92,385.28,367.36,374.64
CALC,2020-11-20,376.18,392.0,376.18,386.54
CALC,2020-11-23,388.447,530.319,387.204,475.02
CALC,2020-11-24,477.68,486.632,333.27,347.76
CALC,2020-11-25,362.32,388.5,352.66,355.18
CALC,2020-11-27,363.02,363.02,322.28,329.0
CALC,2020-11-30,337.4,370.16,337.4,362.46
CALC,2020-12-01,360.78,365.68,338.24,347.2
CALC,2020-12-02,341.88,361.62,301.42,339.22
CALC,2020-12-03,335.72,364.0,333.9,362.32
CALC,2020-12-04,364.84,364.84,348.74,355.6
CALC,2020-12-07,357.0,358.82,319.34,328.16
CALC,2020-12-08,323.12,345.66,322.91,331.24
CALC,2020-12-09,333.2,337.777,289.52,293.86
CALC,2020-12-10,293.86,310.8,260.54,268.52
CALC,2020-12-11,269.5,272.86,253.4,260.54
CALC,2020-12-14,261.94,331.282,261.94,319.34
CALC,2020-12-15,323.96,370.58,320.04,362.32
CALC,2020-12-16,361.2,367.36,338.17,341.6
CALC,2020-12-17,341.6,365.12,333.06,354.34
CALC,2020-12-18,359.52,374.36,341.32,357.14
CALC,2020-12-21,344.82,355.53,320.6,354.06
CALC,2020-12-22,363.16,490.0,362.362,464.24
CALC,2020-12-23,467.32,468.09,383.04,384.72
CALC,2020-12-24,398.44,398.44,387.481,394.52
CALC,2020-12-28,399.28,399.28,354.2,361.2
CALC,2020-12-29,361.34,384.79,350.0,378.98
CALC,2020-12-30,391.44,397.6,379.82,391.58
CALC,2020-12-31,387.11,419.65,385.724,406.28
