ticker,date,open,high,low,close
CARG,2017-10-12,29.0,30.19,27.1,27.58
CARG,2017-10-13,26.42,28.88,25.85,28.53
CARG,2017-10-16,28.25,35.0,27.26,31.85
CARG,2017-10-17,32.27,32.3,27.96,28.28
CARG,2017-10-18,28.18,28.749,27.3,28.14
CARG,2017-10-19,27.44,28.99,27.13,28.23
CARG,2017-10-20,27.85,30.16,27.85,29.19
CARG,2017-10-23,29.17,29.6,28.0,28.92
CARG,2017-10-24,28.9,30.52,28.08,29.09
CARG,2017-10-25,28.89,29.55,27.9801,29.01
CARG,2017-10-26,28.04,30.8,28.0,30.03
CARG,2017-10-27,29.73,31.28,29.73,30.96
CARG,2017-10-30,31.23,32.37,30.6597,31.74
CARG,2017-10-31,32.14,33.05,31.95,32.6
CARG,2017-11-01,32.93,33.23,31.61,31.72
CARG,2017-11-02,31.66,32.34,31.08,31.79
CARG,2017-11-03,31.93,31.9522,31.1,31.44
CARG,2017-11-06,30.1,31.01,29.85,30.42
CARG,2017-11-07,30.47,30.76,29.4,29.76
CARG,2017-11-08,29.25,29.8,28.11,28.49
CARG,2017-11-09,28.65,29.0545,28.0,28.35
CARG,2017-11-10,28.44,30.0,28.35,28.93
CARG,2017-11-13,29.0,29.89,28.6,29.55
CARG,2017-11-14,29.6,29.93,29.41,29.82
CARG,2017-11-15,33.85,35.423,30.9,31.03
CARG,2017-11-16,31.15,31.6999,30.791,31.3
CARG,2017-11-17,31.43,31.7133,30.8,30.82
CARG,2017-11-20,30.76,31.02,28.0,28.99
CARG,2017-11-21,28.91,29.5537,28.52,28.64
CARG,2017-11-22,28.76,28.86,28.1,28.6
CARG,2017-11-24,28.63,29.39,28.0023,28.66
CARG,2017-11-27,28.72,29.68,28.72,29.16
CARG,2017-11-28,29.51,29.98,29.235,29.97
CARG,2017-11-29,29.85,29.93,29.1,29.3
CARG,2017-11-30,29.3,29.6,28.84,29.48
CARG,2017-12-01,29.34,29.485,28.9416,29.32
CARG,2017-12-04,29.53,29.53,28.8434,29.29
CARG,2017-12-05,29.41,30.79,29.15,30.56
CARG,2017-12-06,30.49,30.5,29.61,30.3
CARG,2017-12-07,30.45,30.98,30.14,30.82
CARG,2017-12-08,30.9,31.22,29.373,30.33
CARG,2017-12-11,30.4,31.01,29.8052,30.56
CARG,2017-12-12,30.58,30.89,29.65,29.8
CARG,2017-12-13,29.72,29.75,29.14,29.46
CARG,2017-12-14,29.65,30.59,29.26,30.1
CARG,2017-12-15,30.08,30.76,29.88,30.64
CARG,2017-12-18,30.62,31.15,30.26,31.11
CARG,2017-12-19,31.21,31.6,30.051,31.04
CARG,2017-12-20,31.13,31.43,29.79,30.08
CARG,2017-12-21,30.11,30.145,29.11,29.91
CARG,2017-12-22,29.83,30.565,29.19,29.94
CARG,2017-12-26,29.92,29.94,29.34,29.81
CARG,2017-12-27,29.69,30.0,29.53,29.8
CARG,2017-12-28,29.78,29.965,29.25,29.77
CARG,2017-12-29,29.69,30.455,29.3,29.96
CARG,2018-01-02,30.05,30.61,29.4,30.13
CARG,2018-01-03,29.86,30.65,29.7047,29.85
CARG,2018-01-04,30.02,30.35,29.45,30.07
CARG,2018-01-05,30.13,30.32,29.245,30.0
CARG,2018-01-08,30.0,30.49,29.54,30.35
CARG,2018-01-09,30.36,31.44,30.1,30.48
CARG,2018-01-10,30.31,30.6301,30.03,30.29
CARG,2018-01-11,30.28,31.01,30.1,30.72
CARG,2018-01-12,30.72,30.8,30.08,30.63
CARG,2018-01-16,31.53,33.29,30.9,32.34
CARG,2018-01-17,33.01,34.66,32.21,34.41
CARG,2018-01-18,34.12,34.18,32.276,33.85
CARG,2018-01-19,33.82,36.8099,33.5,36.02
CARG,2018-01-22,36.05,36.4,30.76,31.62
CARG,2018-01-23,31.95,32.56,31.8,32.34
CARG,2018-01-24,32.39,33.18,32.23,33.08
CARG,2018-01-25,33.15,34.04,32.8,34.01
CARG,2018-01-26,33.92,34.225,33.58,33.99
CARG,2018-01-29,33.71,34.4606,33.25,34.01
CARG,2018-01-30,33.77,33.93,32.6,33.67
CARG,2018-01-31,33.67,34.01,33.12,33.5
CARG,2018-02-01,33.23,33.62,32.39,32.94
CARG,2018-02-02,32.67,32.856,30.71,31.04
CARG,2018-02-05,30.69,31.7444,30.031,30.34
CARG,2018-02-06,30.0,30.28,29.65,29.83
CARG,2018-02-07,29.87,30.855,29.87,30.6
CARG,2018-02-08,30.12,30.98,29.7,30.07
CARG,2018-02-09,30.35,30.35,28.52,29.4
CARG,2018-02-12,29.99,30.45,29.29,30.09
CARG,2018-02-13,30.22,31.3281,30.22,30.75
CARG,2018-02-14,30.53,31.77,30.1,31.23
CARG,2018-02-15,31.54,32.06,30.81,31.7
CARG,2018-02-16,31.47,32.49,31.19,32.44
CARG,2018-02-20,32.22,33.2499,32.01,32.83
CARG,2018-02-21,33.01,33.62,32.74,32.75
CARG,2018-02-22,32.8,32.8,31.45,31.92
CARG,2018-02-23,32.08,32.89,31.395,31.9
CARG,2018-02-26,32.12,34.26,30.001,33.82
CARG,2018-02-27,33.97,34.8,32.31,32.73
CARG,2018-02-28,32.85,32.97,32.06,32.28
CARG,2018-03-01,32.4,33.69,32.1,32.32
CARG,2018-03-02,33.31,36.43,32.2621,35.95
CARG,2018-03-05,35.51,36.21,34.5,35.72
CARG,2018-03-06,35.88,36.41,35.23,36.06
CARG,2018-03-07,35.77,36.41,35.15,35.52
CARG,2018-03-08,35.71,37.58,35.25,36.45
CARG,2018-03-09,36.99,38.22,36.97,37.81
CARG,2018-03-12,37.8,38.82,37.2,38.53
CARG,2018-03-13,38.85,38.85,35.12,35.18
CARG,2018-03-14,34.85,36.74,34.45,36.57
CARG,2018-03-15,36.63,37.73,35.66,36.1
CARG,2018-03-16,36.05,36.05,34.705,35.5
CARG,2018-03-19,35.34,35.43,34.095,34.56
CARG,2018-03-20,34.56,34.94,34.07,34.75
CARG,2018-03-21,34.66,35.7655,34.66,35.56
CARG,2018-03-22,35.87,36.2,35.1,35.55
CARG,2018-03-23,35.85,35.96,33.39,34.0
CARG,2018-03-26,34.6,36.37,34.01,34.62
CARG,2018-03-27,34.87,35.49,33.4,33.72
CARG,2018-03-28,33.77,34.8188,32.87,33.65
CARG,2018-03-29,33.75,39.94,33.625,38.47
CARG,2018-04-02,38.7,40.6,35.5943,37.63
CARG,2018-04-03,37.82,39.7,36.56,36.57
CARG,2018-04-04,36.06,38.0,36.0,36.91
CARG,2018-04-05,37.33,38.33,36.82,38.03
CARG,2018-04-06,37.88,38.5,37.07,38.0
CARG,2018-04-09,38.48,39.2,37.59,37.9
CARG,2018-04-10,38.19,38.99,37.25,38.06
CARG,2018-04-11,34.0,37.8,33.88,34.0
CARG,2018-04-12,33.9,34.67,33.3,33.75
CARG,2018-04-13,33.75,33.9,32.28,32.31
CARG,2018-04-16,32.36,33.22,31.5,32.54
CARG,2018-04-17,32.66,32.97,31.78,32.48
CARG,2018-04-18,32.36,33.13,31.84,32.88
CARG,2018-04-19,32.56,32.98,32.23,32.84
CARG,2018-04-20,33.06,33.26,32.45,32.97
CARG,2018-04-23,32.97,33.65,32.37,32.97
CARG,2018-04-24,33.22,33.24,31.95,32.46
CARG,2018-04-25,32.21,32.21,31.29,31.81
CARG,2018-04-26,32.0,32.0,31.21,31.28
CARG,2018-04-27,31.43,31.67,30.01,30.52
CARG,2018-04-30,30.5,31.69,30.01,30.92
CARG,2018-05-01,32.41,32.771,31.11,31.84
CARG,2018-05-02,32.36,32.91,31.37,31.83
CARG,2018-05-03,31.95,32.09,31.51,31.96
CARG,2018-05-04,33.0,33.22,29.185,32.14
CARG,2018-05-07,32.3,33.22,31.85,32.81
CARG,2018-05-08,31.0,32.755,30.53,32.62
CARG,2018-05-09,32.73,33.5,31.75,32.96
CARG,2018-05-10,33.0,33.56,32.2,33.33
CARG,2018-05-11,33.48,33.48,32.21,32.7
CARG,2018-05-14,32.52,33.04,31.9,31.99
CARG,2018-05-15,31.92,32.06,31.33,31.97
CARG,2018-05-16,32.13,32.73,31.3,32.17
CARG,2018-05-17,32.01,32.77,31.56,32.19
CARG,2018-05-18,32.3,33.09,31.77,31.89
CARG,2018-05-21,32.07,32.32,31.65,31.87
CARG,2018-05-22,31.91,31.92,30.31,31.08
CARG,2018-05-23,30.95,32.49,30.65,31.88
CARG,2018-05-24,32.04,32.373,31.0,31.29
CARG,2018-05-25,31.34,31.77,30.79,31.66
CARG,2018-05-29,31.33,32.14,31.05,32.13
CARG,2018-05-30,31.89,33.7,31.295,33.45
CARG,2018-05-31,33.12,33.65,31.6,33.16
CARG,2018-06-01,33.16,34.63,32.39,33.54
CARG,2018-06-04,33.47,34.2,32.86,33.67
CARG,2018-06-05,33.75,34.08,32.64,33.39
CARG,2018-06-06,33.34,33.63,32.74,33.41
CARG,2018-06-07,33.48,34.71,32.91,34.27
CARG,2018-06-08,34.29,35.04,33.02,34.95
CARG,2018-06-11,35.1,35.1,34.3049,34.54
CARG,2018-06-12,34.61,36.0,34.5336,35.58
CARG,2018-06-13,35.59,36.275,35.25,35.79
CARG,2018-06-14,35.75,36.42,34.68,35.34
CARG,2018-06-15,35.31,35.92,34.46,34.75
CARG,2018-06-18,34.71,36.46,34.7,35.75
CARG,2018-06-19,35.75,35.98,34.89,35.79
CARG,2018-06-20,35.94,36.43,35.05,35.74
CARG,2018-06-21,35.92,36.19,34.99,35.01
CARG,2018-06-22,35.13,35.33,33.935,34.61
CARG,2018-06-25,34.29,35.3589,34.07,34.93
CARG,2018-06-26,34.94,35.12,34.545,34.86
CARG,2018-06-27,34.86,35.07,33.835,33.87
CARG,2018-06-28,33.88,34.51,33.38,34.35
CARG,2018-06-29,34.4,34.995,33.95,34.74
