ticker,date,open,high,low,close
CCSI,2021-09-30,34.81,37.5,34.81,35.63
CCSI,2021-10-01,37.06,47.01,37.0,45.0
CCSI,2021-10-04,49.84,52.0,49.75,50.905
CCSI,2021-10-05,54.99,55.29,49.76,55.0
CCSI,2021-10-06,55.3,61.95,53.7,60.0
CCSI,2021-10-07,60.9,60.9,55.79,56.04
CCSI,2021-10-08,52.0,68.89,52.0,64.88
CCSI,2021-10-11,63.55,66.0,59.6,60.92
CCSI,2021-10-12,61.99,66.0,59.12,63.61
CCSI,2021-10-13,61.56,66.5599,61.08,66.09
CCSI,2021-10-14,66.52,66.86,60.5,65.25
CCSI,2021-10-15,65.34,65.78,63.0,63.67
CCSI,2021-10-18,62.47,64.0,61.43,61.73
CCSI,2021-10-19,62.39,63.41,60.06,60.93
CCSI,2021-10-20,62.26,63.91,58.9,59.89
CCSI,2021-10-21,59.86,64.22,59.06,63.48
CCSI,2021-10-22,63.27,65.99,63.27,65.4
CCSI,2021-10-25,65.1,65.18,62.75,62.99
CCSI,2021-10-26,62.66,65.705,62.66,64.9
CCSI,2021-10-27,65.0,65.85,63.13,64.29
CCSI,2021-10-28,64.46,65.4,63.1,64.0
CCSI,2021-10-29,63.85,64.95,62.97,63.33
CCSI,2021-11-01,63.39,64.6,61.59,62.01
CCSI,2021-11-02,61.66,64.0,61.1,62.31
CCSI,2021-11-03,61.78,64.265,61.78,63.74
CCSI,2021-11-04,63.7,65.5,63.69,64.26
CCSI,2021-11-05,65.38,65.8,63.4,65.0
CCSI,2021-11-08,65.0,65.65,64.41,64.67
CCSI,2021-11-09,64.68,69.31,64.02,64.99
CCSI,2021-11-10,64.28,65.54,63.7301,64.36
CCSI,2021-11-11,64.0,64.8,61.865,62.97
CCSI,2021-11-12,63.56,63.56,61.4395,61.93
CCSI,2021-11-15,61.78,66.29,61.78,65.17
CCSI,2021-11-16,64.68,66.0252,62.45,65.0
CCSI,2021-11-17,65.0,65.24,62.71,62.75
CCSI,2021-11-18,62.75,63.33,61.78,63.1
