ticker,date,open,high,low,close
CDTG,2024-04-18,3.5,3.9,2.76,3.3
CDTG,2024-04-19,3.24,4.6,3.215,3.75
CDTG,2024-04-22,3.94,4.44,3.7501,4.04
CDTG,2024-04-23,3.96,4.1,2.8,3.76
CDTG,2024-04-24,4.3,4.43,3.8,4.07
CDTG,2024-04-25,3.95,4.18,3.68,4.1
CDTG,2024-04-26,3.92,4.3,3.36,3.86
CDTG,2024-04-29,3.7,3.99,3.33,3.74
CDTG,2024-04-30,3.7669,3.7669,3.2,3.44
CDTG,2024-05-01,3.49,3.5999,3.2,3.41
CDTG,2024-05-02,3.47,3.47,3.26,3.32
CDTG,2024-05-03,3.25,3.65,3.2301,3.39
CDTG,2024-05-06,3.72,3.72,3.16,3.29
CDTG,2024-05-07,3.21,3.47,3.12,3.25
CDTG,2024-05-08,3.3103,3.37,3.1,3.28
CDTG,2024-05-09,3.35,3.51,3.25,3.38
CDTG,2024-05-10,3.34,3.3899,3.14,3.25
CDTG,2024-05-13,3.14,3.7719,3.14,3.6
CDTG,2024-05-14,3.52,3.8519,3.4,3.69
CDTG,2024-05-15,3.74,3.77,3.6,3.65
CDTG,2024-05-16,3.6999,3.6999,3.464,3.59
CDTG,2024-05-17,3.7711,3.95,3.48,3.75
CDTG,2024-05-20,3.7,3.86,3.4,3.525
CDTG,2024-05-21,3.4,3.52,3.13,3.4
CDTG,2024-05-22,3.28,3.84,3.28,3.84
CDTG,2024-05-23,3.89,4.0,3.77,3.91
CDTG,2024-05-24,3.99,4.0913,3.915,4.06
CDTG,2024-05-28,3.9159,4.06,3.88,4.04
CDTG,2024-05-29,4.1,4.1,3.81,4.0
CDTG,2024-05-30,3.9572,3.99,3.9572,3.99
CDTG,2024-05-31,3.98,4.0,3.74,3.97
CDTG,2024-06-03,4.07,4.07,3.41,3.8
CDTG,2024-06-04,3.79,3.9462,3.65,3.9415
CDTG,2024-06-05,3.95,3.96,3.46,3.96
CDTG,2024-06-06,3.91,3.96,3.81,3.96
CDTG,2024-06-07,3.8613,4.09,3.72,4.08
CDTG,2024-06-10,4.12,4.12,3.93,3.95
CDTG,2024-06-11,4.06,4.07,3.91,4.02
CDTG,2024-06-12,4.0199,4.0199,3.76,4.0
CDTG,2024-06-13,3.9451,3.9936,3.88,3.97
CDTG,2024-06-14,3.925,4.0,3.85,4.0
CDTG,2024-06-17,3.87,4.0,3.87,4.0
CDTG,2024-06-18,4.03,4.05,3.5201,3.62
CDTG,2024-06-20,3.96,3.96,3.63,3.75
CDTG,2024-06-21,3.67,3.89,3.62,3.6499
CDTG,2024-06-24,3.6601,3.85,3.51,3.7
CDTG,2024-06-25,3.69,3.78,3.5332,3.73
CDTG,2024-06-26,3.5931,3.81,3.35,3.76
CDTG,2024-06-27,3.85,3.9,3.46,3.9
CDTG,2024-06-28,3.9,3.9,3.51,3.52
CDTG,2024-07-01,3.94,3.94,3.58,3.86
CDTG,2024-07-02,3.75,3.88,3.5,3.73
CDTG,2024-07-03,3.461,3.71,3.4402,3.71
CDTG,2024-07-05,3.83,3.88,3.4536,3.88
CDTG,2024-07-08,3.68,3.88,3.29,3.88
CDTG,2024-07-09,3.75,3.75,3.3901,3.6
CDTG,2024-07-10,3.3621,3.57,3.3621,3.57
CDTG,2024-07-11,3.43,3.59,3.39,3.59
CDTG,2024-07-12,3.69,3.75,3.4,3.55
CDTG,2024-07-15,3.45,3.61,3.32,3.4
CDTG,2024-07-16,3.28,3.4199,3.2,3.36
CDTG,2024-07-17,3.2376,3.2376,3.07,3.23
CDTG,2024-07-18,3.25,3.2874,3.06,3.26
CDTG,2024-07-19,3.14,3.25,2.8,2.8
CDTG,2024-07-22,3.055,3.2,2.9501,3.15
CDTG,2024-07-23,3.145,3.21,2.5,2.93
CDTG,2024-07-24,2.9163,3.0,2.86,3.0
CDTG,2024-07-25,3.0,3.0,2.89,3.0
CDTG,2024-07-26,2.9499,3.0,2.86,3.0
CDTG,2024-07-29,2.9876,3.1922,2.9876,3.18
CDTG,2024-07-30,2.9945,3.28,2.8001,3.28
CDTG,2024-07-31,3.36,3.4,2.97,3.34
CDTG,2024-08-01,3.37,3.46,3.27,3.4288
CDTG,2024-08-02,3.3,3.8,3.29,3.8
CDTG,2024-08-05,3.39,3.77,3.3358,3.77
CDTG,2024-08-06,3.49,3.69,3.36,3.67
CDTG,2024-08-07,3.56,3.78,3.45,3.69
CDTG,2024-08-08,3.63,3.6495,3.39,3.5999
CDTG,2024-08-09,3.55,3.5812,3.48,3.54
CDTG,2024-08-12,3.53,3.59,3.3456,3.5
CDTG,2024-08-13,3.6,3.6,3.6,3.6
CDTG,2024-08-14,3.4,3.61,3.19,3.43
CDTG,2024-08-15,3.38,3.6,3.19,3.6
CDTG,2024-08-16,3.595,3.69,3.2,3.5
CDTG,2024-08-19,3.39,3.55,3.36,3.5
CDTG,2024-08-20,3.38,3.5,3.09,3.48
CDTG,2024-08-21,3.5,3.59,3.35,3.59
CDTG,2024-08-22,3.41,3.54,3.2,3.49
CDTG,2024-08-23,3.39,3.49,3.2,3.45
CDTG,2024-08-26,3.2901,3.42,3.26,3.3
CDTG,2024-08-27,3.24,3.4715,3.2,3.43
CDTG,2024-08-28,3.39,3.44,3.19,3.38
CDTG,2024-08-29,3.27,3.3729,3.22,3.35
CDTG,2024-08-30,3.42,3.42,3.31,3.4
CDTG,2024-09-03,3.33,3.48,3.33,3.42
CDTG,2024-09-04,3.31,3.45,3.31,3.45
CDTG,2024-09-05,3.35,3.4,3.19,3.39
CDTG,2024-09-06,3.42,3.42,3.42,3.42
CDTG,2024-09-09,3.3,3.4399,3.09,3.4399
CDTG,2024-09-10,3.335,3.71,3.335,3.71
CDTG,2024-09-11,3.6,3.68,3.53,3.64
CDTG,2024-09-12,3.54,3.66,3.53,3.5753
CDTG,2024-09-13,3.69,3.7,3.58,3.7
CDTG,2024-09-16,3.59,3.77,3.59,3.66
CDTG,2024-09-17,3.77,3.78,3.5616,3.63
CDTG,2024-09-18,3.49,3.63,3.49,3.63
CDTG,2024-09-19,3.64,3.64,3.5001,3.62
CDTG,2024-09-20,3.6,3.62,3.6,3.62
CDTG,2024-09-23,3.525,3.78,3.502,3.77
CDTG,2024-09-24,3.635,3.77,3.5,3.64
CDTG,2024-09-25,3.68,3.74,3.5432,3.74
CDTG,2024-09-26,3.63,3.75,3.6,3.73
CDTG,2024-09-27,3.62,3.74,3.62,3.7
CDTG,2024-09-30,3.5456,3.72,3.5,3.65
CDTG,2024-10-01,3.59,3.65,3.32,3.59
CDTG,2024-10-02,3.55,3.58,3.3,3.44
CDTG,2024-10-03,3.32,3.63,3.18,3.58
CDTG,2024-10-04,3.64,3.64,3.63,3.63
