ticker,date,open,high,low,close
CLLS,2015-03-24,41.5,41.5,41.5,41.5
CLLS,2015-03-25,41.5,42.04,38.15,39.3
CLLS,2015-03-26,38.01,38.29,34.86,37.35
CLLS,2015-03-27,36.5,37.25,34.86,35.0
CLLS,2015-03-30,36.15,36.15,34.81,35.2
CLLS,2015-03-31,34.24,35.41,34.09,34.58
CLLS,2015-04-01,34.49,34.55,33.13,33.47
CLLS,2015-04-02,32.53,32.75,30.86,32.25
CLLS,2015-04-06,32.34,33.22,32.06,32.86
CLLS,2015-04-07,32.45,32.75,31.77,31.89
CLLS,2015-04-08,30.51,31.7,30.4,31.52
CLLS,2015-04-09,31.63,32.23,31.5,32.21
CLLS,2015-04-10,32.38,35.2,32.11,34.87
CLLS,2015-04-13,34.85,34.88,33.65,34.2
CLLS,2015-04-14,33.63,34.03,33.15,33.67
CLLS,2015-04-15,34.02,34.18,32.2,32.4
CLLS,2015-04-16,32.41,32.41,31.7,31.95
CLLS,2015-04-17,31.3,32.81,31.13,32.59
CLLS,2015-04-20,34.15,34.15,32.28,32.49
CLLS,2015-04-21,32.16,32.46,31.32,32.21
CLLS,2015-04-22,31.74,31.84,31.21,31.3
CLLS,2015-04-23,32.0,32.71,31.58,32.68
CLLS,2015-04-24,31.98,32.82,31.9,32.61
CLLS,2015-04-27,32.42,33.34,32.42,33.05
CLLS,2015-04-28,32.9,33.22,32.44,32.51
CLLS,2015-04-29,32.71,32.91,31.74,32.23
CLLS,2015-04-30,32.58,33.5,32.23,32.9
CLLS,2015-05-01,33.08,33.26,32.82,32.91
CLLS,2015-05-04,32.94,33.02,32.61,32.63
CLLS,2015-05-05,32.8,32.8,31.32,31.45
CLLS,2015-05-06,32.11,32.11,30.92,31.1
CLLS,2015-05-07,31.36,31.798,31.203,31.55
CLLS,2015-05-08,32.07,32.25,31.29,31.65
CLLS,2015-05-11,31.61,32.0,31.52,31.67
CLLS,2015-05-12,31.58,32.0,31.377,31.73
CLLS,2015-05-13,32.7,33.38,32.32,32.47
CLLS,2015-05-14,32.6,32.6,31.06,31.39
CLLS,2015-05-15,31.68,32.58,31.59,32.25
CLLS,2015-05-18,32.3,32.46,31.21,31.7
CLLS,2015-05-19,31.26,31.41,30.81,31.22
CLLS,2015-05-20,30.9,31.09,30.43,30.65
CLLS,2015-05-21,30.88,30.97,30.51,30.8
CLLS,2015-05-22,32.38,37.47,31.76,34.0
CLLS,2015-05-26,35.49,36.84,34.71,36.45
CLLS,2015-05-27,39.4,43.55,38.24,40.99
CLLS,2015-05-28,40.21,50.0,38.99,47.66
CLLS,2015-05-29,44.55,46.7,42.55,42.9
CLLS,2015-06-01,43.66,43.79,40.66,41.4
CLLS,2015-06-02,41.16,43.79,39.42,42.42
CLLS,2015-06-03,42.89,43.45,40.38,41.19
CLLS,2015-06-04,41.48,42.79,41.27,42.09
CLLS,2015-06-05,41.24,44.68,41.21,43.49
CLLS,2015-06-08,42.28,43.48,40.88,41.4
CLLS,2015-06-09,41.48,41.87,40.71,41.65
CLLS,2015-06-10,41.16,41.99,40.09,40.72
CLLS,2015-06-11,41.36,41.56,40.12,40.68
CLLS,2015-06-12,40.4,40.95,39.84,40.86
CLLS,2015-06-15,38.3,39.39,38.26,38.5
CLLS,2015-06-16,38.4,38.75,36.76,37.02
CLLS,2015-06-17,36.6,36.6,35.9,36.14
CLLS,2015-06-18,35.36,37.2,35.09,36.61
CLLS,2015-06-19,36.02,36.65,35.88,36.25
CLLS,2015-06-22,36.83,36.86,36.05,36.4
CLLS,2015-06-23,36.62,36.64,36.02,36.54
CLLS,2015-06-24,36.09,36.39,35.5,35.68
CLLS,2015-06-25,35.38,35.69,34.47,34.64
CLLS,2015-06-26,36.21,36.21,34.71,35.29
CLLS,2015-06-29,33.85,34.46,33.26,33.26
CLLS,2015-06-30,35.96,36.58,34.46,36.08
CLLS,2015-07-01,36.59,36.75,34.33,34.99
CLLS,2015-07-02,34.83,35.31,34.36,34.93
CLLS,2015-07-06,33.88,34.93,33.74,34.28
CLLS,2015-07-07,34.1,34.42,33.01,33.92
CLLS,2015-07-08,33.21,33.89,33.04,33.45
CLLS,2015-07-09,35.05,35.11,34.02,34.45
CLLS,2015-07-10,35.91,35.91,35.06,35.72
CLLS,2015-07-13,35.68,36.39,35.5,36.02
CLLS,2015-07-14,35.61,36.23,35.39,35.52
CLLS,2015-07-15,37.05,37.195,35.95,36.27
CLLS,2015-07-16,37.22,37.94,36.78,37.53
CLLS,2015-07-17,38.9,40.31,38.54,39.78
CLLS,2015-07-20,41.13,41.13,38.25,38.53
CLLS,2015-07-21,38.26,38.37,36.71,37.25
CLLS,2015-07-22,36.9,37.67,36.59,37.09
CLLS,2015-07-23,37.06,37.06,36.26,36.48
CLLS,2015-07-24,36.84,36.85,35.5,35.57
CLLS,2015-07-27,35.61,35.63,34.76,34.87
CLLS,2015-07-28,36.5,36.5,35.6,36.38
CLLS,2015-07-29,36.49,36.6,35.27,35.29
CLLS,2015-07-30,34.92,34.92,34.05,34.47
CLLS,2015-07-31,35.1,36.33,35.1,35.74
CLLS,2015-08-03,36.11,36.11,34.67,35.12
CLLS,2015-08-04,34.95,35.45,34.46,34.78
CLLS,2015-08-05,35.1,35.34,34.77,35.0
CLLS,2015-08-06,35.9,36.018,34.82,35.32
CLLS,2015-08-07,34.69,34.97,33.92,34.5
CLLS,2015-08-10,34.67,34.9,34.39,34.75
CLLS,2015-08-11,34.77,34.91,33.91,33.94
CLLS,2015-08-12,34.16,34.3,32.81,33.18
CLLS,2015-08-13,33.94,34.39,33.29,33.73
CLLS,2015-08-14,33.65,33.65,32.21,32.55
CLLS,2015-08-17,32.32,33.88,32.32,33.56
CLLS,2015-08-18,33.07,33.35,32.75,32.77
CLLS,2015-08-19,32.46,32.53,32.0,32.0
CLLS,2015-08-20,32.31,32.6,30.14,30.69
CLLS,2015-08-21,30.54,30.78,29.69,29.75
CLLS,2015-08-24,27.62,29.25,27.21,27.98
CLLS,2015-08-25,29.74,30.0,28.49,28.69
CLLS,2015-08-26,30.55,30.75,29.12,30.54
CLLS,2015-08-27,32.32,32.98,32.16,32.72
CLLS,2015-08-28,32.81,33.3,32.35,33.23
CLLS,2015-08-31,32.86,34.24,32.86,34.22
CLLS,2015-09-01,33.19,33.43,32.47,32.71
CLLS,2015-09-02,32.38,32.77,31.38,32.66
CLLS,2015-09-03,31.87,33.11,31.67,32.92
CLLS,2015-09-04,31.63,32.34,31.51,31.87
CLLS,2015-09-08,31.56,32.72,31.56,32.65
