ticker,date,open,high,low,close
COCO,2021-10-21,15.37,16.52,13.52,13.52
COCO,2021-10-22,13.99,14.65,13.79,13.95
COCO,2021-10-25,13.76,13.9,13.25,13.63
COCO,2021-10-26,13.5,14.09,13.4308,13.77
COCO,2021-10-27,13.5502,14.15,13.5,13.57
COCO,2021-10-28,13.58,13.73,13.0,13.25
COCO,2021-10-29,13.15,13.53,13.0201,13.5
COCO,2021-11-01,13.59,13.71,13.01,13.31
COCO,2021-11-02,13.22,13.72,13.08,13.7
COCO,2021-11-03,13.79,14.18,13.54,14.05
COCO,2021-11-04,14.05,14.1924,13.62,13.87
COCO,2021-11-05,13.79,14.07,13.55,13.63
COCO,2021-11-08,13.59,14.04,13.52,13.97
COCO,2021-11-09,13.84,13.9798,13.7001,13.8
COCO,2021-11-10,13.69,13.97,13.5821,13.83
COCO,2021-11-11,13.76,14.01,13.55,13.66
COCO,2021-11-12,13.77,14.8599,13.77,14.5
COCO,2021-11-15,15.23,18.61,15.215,17.57
COCO,2021-11-16,17.31,17.49,15.03,15.2
COCO,2021-11-17,15.31,17.25,15.3,16.7
COCO,2021-11-18,16.5,16.79,14.59,15.11
COCO,2021-11-19,15.08,16.06,15.059,15.75
COCO,2021-11-22,15.75,15.9608,14.1185,14.67
COCO,2021-11-23,14.59,14.59,13.23,13.86
COCO,2021-11-24,13.74,15.3,13.7,15.17
COCO,2021-11-26,14.43,15.47,14.1401,15.22
COCO,2021-11-29,14.88,14.99,13.63,13.83
COCO,2021-11-30,13.79,14.11,13.14,13.5
COCO,2021-12-01,13.56,14.17,13.15,13.22
COCO,2021-12-02,13.22,13.47,10.56,11.07
COCO,2021-12-03,11.31,11.33,10.61,11.07
COCO,2021-12-06,11.0,11.2,10.02,10.68
COCO,2021-12-07,11.21,11.74,10.86,11.43
COCO,2021-12-08,11.45,11.7864,10.89,11.05
COCO,2021-12-09,11.0,11.1699,10.24,10.36
COCO,2021-12-10,10.36,10.59,10.02,10.37
COCO,2021-12-13,10.58,10.6194,9.37,9.5
COCO,2021-12-14,9.51,9.74,9.26,9.34
COCO,2021-12-15,9.89,10.15,9.34,9.88
COCO,2021-12-16,10.0,10.1,9.04,9.26
COCO,2021-12-17,9.2,9.7,8.45,9.14
COCO,2021-12-20,9.18,10.06,9.01,9.97
COCO,2021-12-21,9.97,10.955,9.97,10.9
COCO,2021-12-22,10.84,10.85,10.39,10.53
COCO,2021-12-23,10.5,11.4,10.3859,11.33
COCO,2021-12-27,11.39,11.68,10.84,11.23
COCO,2021-12-28,11.16,11.49,10.93,11.42
COCO,2021-12-29,11.44,11.92,11.0,11.65
COCO,2021-12-30,11.64,11.9998,11.41,11.45
COCO,2021-12-31,11.43,11.5,10.95,11.17
COCO,2022-01-03,11.24,11.745,10.64,11.63
COCO,2022-01-04,11.65,12.17,11.51,12.0
COCO,2022-01-05,11.9,12.17,11.35,11.49
COCO,2022-01-06,11.31,11.63,10.71,10.96
COCO,2022-01-07,10.96,11.33,10.86,10.91
COCO,2022-01-10,10.75,10.75,9.9001,10.48
COCO,2022-01-11,10.32,11.03,10.305,10.88
COCO,2022-01-12,10.89,10.9717,10.38,10.49
COCO,2022-01-13,10.49,10.8,10.16,10.24
COCO,2022-01-14,10.06,10.36,9.86,10.33
COCO,2022-01-18,10.16,10.24,9.84,9.96
COCO,2022-01-19,10.0,10.14,9.41,9.71
COCO,2022-01-20,9.8,10.17,9.76,9.82
COCO,2022-01-21,9.63,9.86,9.27,9.6
COCO,2022-01-24,9.42,10.61,9.362,10.56
COCO,2022-01-25,10.4,10.69,9.89,10.27
COCO,2022-01-26,10.32,11.04,9.87,10.09
COCO,2022-01-27,10.09,10.26,9.18,9.66
COCO,2022-01-28,9.54,10.17,9.54,10.17
COCO,2022-01-31,10.12,11.05,10.12,10.91
COCO,2022-02-01,10.97,11.53,10.7201,11.5
COCO,2022-02-02,11.37,11.63,11.1,11.32
COCO,2022-02-03,11.19,11.62,11.19,11.35
COCO,2022-02-04,11.29,11.82,11.18,11.72
COCO,2022-02-07,11.7,12.43,11.57,12.4
COCO,2022-02-08,12.34,12.7947,12.26,12.68
COCO,2022-02-09,12.73,13.04,12.48,12.73
COCO,2022-02-10,12.54,12.94,11.95,11.99
COCO,2022-02-11,11.99,12.31,11.87,12.07
COCO,2022-02-14,11.97,12.31,11.821,12.06
COCO,2022-02-15,12.06,12.5,11.93,12.32
COCO,2022-02-16,12.32,12.44,12.01,12.07
COCO,2022-02-17,12.01,12.24,11.47,11.53
COCO,2022-02-18,11.665,11.665,10.93,10.97
COCO,2022-02-22,10.94,11.1,10.7,10.91
COCO,2022-02-23,11.0,11.02,10.42,10.59
COCO,2022-02-24,9.75,10.91,9.75,10.89
COCO,2022-02-25,10.89,11.47,10.67,11.43
COCO,2022-02-28,11.33,11.72,11.06,11.59
COCO,2022-03-01,11.58,11.74,11.35,11.5
COCO,2022-03-02,11.54,11.6554,11.405,11.59
COCO,2022-03-03,11.63,11.97,11.17,11.31
COCO,2022-03-04,11.25,11.27,10.7002,10.89
COCO,2022-03-07,10.86,10.895,10.24,10.36
COCO,2022-03-08,10.37,10.6342,10.06,10.11
COCO,2022-03-09,10.38,10.72,10.28,10.49
COCO,2022-03-10,10.28,10.4693,8.65,8.655
COCO,2022-03-11,8.8,8.835,8.01,8.55
COCO,2022-03-14,8.34,8.39,7.51,7.56
COCO,2022-03-15,7.54,8.25,7.54,8.19
COCO,2022-03-16,8.3,8.83,8.28,8.77
COCO,2022-03-17,8.8,9.25,8.65,8.91
COCO,2022-03-18,8.82,9.2,8.76,8.8
COCO,2022-03-21,9.69,9.78,8.92,9.18
COCO,2022-03-22,9.45,9.63,9.1,9.44
COCO,2022-03-23,9.36,9.43,8.92,8.93
COCO,2022-03-24,8.99,9.0201,8.62,8.75
COCO,2022-03-25,8.72,8.94,8.55,8.77
COCO,2022-03-28,8.82,8.88,8.45,8.67
COCO,2022-03-29,8.74,9.15,8.74,8.99
COCO,2022-03-30,8.9,9.02,8.63,8.7
COCO,2022-03-31,8.72,9.12,8.64,8.96
COCO,2022-04-01,8.91,9.11,8.8604,9.11
COCO,2022-04-04,9.11,9.3,8.9,9.01
COCO,2022-04-05,9.04,9.0899,8.675,8.9
COCO,2022-04-06,8.75,8.89,8.51,8.74
COCO,2022-04-07,8.7,8.97,8.61,8.88
COCO,2022-04-08,8.88,9.37,8.83,9.21
COCO,2022-04-11,9.17,9.34,8.87,8.95
COCO,2022-04-12,9.07,9.215,8.92,9.01
COCO,2022-04-13,9.09,9.35,9.0111,9.28
COCO,2022-04-14,9.26,9.67,9.19,9.67
COCO,2022-04-18,9.57,9.78,9.43,9.71
COCO,2022-04-19,9.65,10.22,9.645,10.05
COCO,2022-04-20,10.07,10.59,10.07,10.33
COCO,2022-04-21,10.43,10.54,10.22,10.34
COCO,2022-04-22,10.29,10.53,10.23,10.41
COCO,2022-04-25,10.33,11.1,10.27,10.99
COCO,2022-04-26,10.61,10.99,10.61,10.9
COCO,2022-04-27,10.99,11.57,10.69,11.2
COCO,2022-04-28,11.26,11.505,11.03,11.29
COCO,2022-04-29,11.23,11.58,10.75,10.86
COCO,2022-05-02,10.75,11.055,10.615,10.76
COCO,2022-05-03,10.75,10.75,9.7201,10.31
