ticker,date,open,high,low,close
CODX,2017-07-12,6.0,6.24,5.52,5.81
CODX,2017-07-13,6.05,6.05,5.31,5.6
CODX,2017-07-14,5.49,5.75,5.42,5.605
CODX,2017-07-17,5.6,5.75,5.35,5.47
CODX,2017-07-18,5.46,5.46,4.83,4.94
CODX,2017-07-19,5.0,5.2164,4.85,4.94
CODX,2017-07-20,4.94,4.94,4.7,4.87
CODX,2017-07-21,4.84,4.8798,4.551,4.58
CODX,2017-07-24,4.51,4.55,4.1,4.49
CODX,2017-07-25,4.81,4.81,4.4,4.7
CODX,2017-07-26,4.75,4.75,4.51,4.6
CODX,2017-07-27,4.79,4.79,4.05,4.4
CODX,2017-07-28,4.35,4.42,4.2,4.42
CODX,2017-07-31,4.32,4.32,4.2,4.23
CODX,2017-08-01,4.21,4.3,3.59,3.98
CODX,2017-08-02,4.02,4.104,3.7,3.85
CODX,2017-08-03,3.8,4.36,3.73,4.36
CODX,2017-08-04,3.7501,4.49,3.7501,4.29
CODX,2017-08-07,4.24,4.24,3.8,3.97
CODX,2017-08-08,3.8,3.99,3.77,3.85
CODX,2017-08-09,3.85,3.95,3.78,3.93
CODX,2017-08-10,3.741,3.95,3.73,3.91
CODX,2017-08-11,3.77,3.9,3.5,3.85
CODX,2017-08-14,3.9083,4.23,3.601,4.2
CODX,2017-08-15,4.04,5.12,3.98,4.9
CODX,2017-08-16,4.95,5.2,4.4001,5.0
CODX,2017-08-17,4.8999,5.12,4.8255,4.86
CODX,2017-08-18,4.88,4.9,4.86,4.9
CODX,2017-08-21,4.89,4.9,4.64,4.81
CODX,2017-08-22,4.74,4.98,4.74,4.98
CODX,2017-08-23,4.98,4.98,4.64,4.7
CODX,2017-08-24,4.97,4.97,4.6,4.66
CODX,2017-08-25,4.7,4.7,4.51,4.51
CODX,2017-08-28,4.55,4.85,4.55,4.81
CODX,2017-08-29,4.8053,5.1,4.8,5.07
CODX,2017-08-30,5.18,5.18,4.85,5.1
CODX,2017-08-31,5.1,5.67,5.1,5.58
CODX,2017-09-01,5.72,5.72,5.51,5.68
CODX,2017-09-05,5.73,6.0,5.675,5.96
CODX,2017-09-06,6.0,6.0,5.82,5.94
CODX,2017-09-07,5.96,5.96,5.6,5.66
CODX,2017-09-08,5.66,5.9,5.6,5.75
CODX,2017-09-11,5.93,6.49,5.55,5.98
CODX,2017-09-12,6.0,6.01,5.76,5.84
CODX,2017-09-13,5.88,5.88,5.65,5.67
CODX,2017-09-14,5.71,5.7342,5.5,5.61
CODX,2017-09-15,5.65,5.65,5.22,5.25
CODX,2017-09-18,5.4,5.64,5.26,5.45
CODX,2017-09-19,5.48,6.239,5.45,6.12
CODX,2017-09-20,6.24,6.24,5.8,6.09
CODX,2017-09-21,6.15,6.749,5.973,6.3
CODX,2017-09-22,6.46,6.46,5.92,6.01
CODX,2017-09-25,6.14,6.339,5.88,6.02
CODX,2017-09-26,6.07,6.3067,5.7,5.8552
CODX,2017-09-27,5.85,6.09,5.77,6.02
CODX,2017-09-28,6.02,6.2,5.8601,6.12
CODX,2017-09-29,6.17,6.3999,6.01,6.22
CODX,2017-10-02,6.27,6.27,6.0,6.07
CODX,2017-10-03,6.04,6.06,5.62,5.62
CODX,2017-10-04,5.73,5.979,5.68,5.69
CODX,2017-10-05,5.74,5.85,5.53,5.69
CODX,2017-10-06,5.65,5.765,5.551,5.68
CODX,2017-10-09,5.64,5.6799,5.55,5.55
CODX,2017-10-10,5.53,5.65,5.53,5.6
CODX,2017-10-11,5.65,5.88,5.53,5.55
CODX,2017-10-12,5.64,5.85,5.5577,5.75
CODX,2017-10-13,5.89,5.89,5.68,5.7201
CODX,2017-10-16,5.9,6.249,5.72,5.8792
CODX,2017-10-17,5.88,6.25,5.88,5.96
CODX,2017-10-18,5.93,6.05,5.8001,5.94
CODX,2017-10-19,5.97,6.15,5.85,6.01
CODX,2017-10-20,6.09,6.17,5.9808,6.14
CODX,2017-10-23,6.3,6.84,6.18,6.35
CODX,2017-10-24,6.39,6.85,6.39,6.72
CODX,2017-10-25,6.84,6.84,6.25,6.35
CODX,2017-10-26,6.33,6.5,5.8,5.86
CODX,2017-10-27,6.0398,6.0398,5.86,6.0
CODX,2017-10-30,5.9,5.9634,5.58,5.7
CODX,2017-10-31,5.6939,5.87,5.6,5.82
CODX,2017-11-01,5.85,5.85,5.53,5.61
CODX,2017-11-02,5.56,5.7822,5.551,5.66
CODX,2017-11-03,5.65,5.7,5.56,5.59
CODX,2017-11-06,5.58,5.699,5.56,5.66
CODX,2017-11-07,5.65,5.65,5.4,5.46
CODX,2017-11-08,5.42,5.662,5.4,5.53
CODX,2017-11-09,5.52,5.6,5.05,5.15
CODX,2017-11-10,5.1,5.54,5.1,5.26
CODX,2017-11-13,5.24,5.7,5.1872,5.65
CODX,2017-11-14,5.59,5.6,5.51,5.52
CODX,2017-11-15,5.43,5.62,5.16,5.17
CODX,2017-11-16,5.27,5.39,5.2238,5.37
CODX,2017-11-17,5.3,5.3599,5.15,5.32
CODX,2017-11-20,5.3,5.3,5.15,5.17
CODX,2017-11-21,5.23,5.29,5.05,5.06
CODX,2017-11-22,5.06,5.22,4.88,5.22
CODX,2017-11-24,5.22,5.22,5.02,5.1
CODX,2017-11-27,5.09,5.64,5.09,5.29
CODX,2017-11-28,5.33,5.53,5.04,5.19
CODX,2017-11-29,5.3,5.335,5.03,5.1801
CODX,2017-11-30,5.24,5.24,5.02,5.07
CODX,2017-12-01,5.05,5.24,5.0001,5.14
CODX,2017-12-04,5.19,5.2202,4.91,4.95
CODX,2017-12-05,4.91,4.919,4.6,4.65
CODX,2017-12-06,4.59,5.29,4.59,5.29
CODX,2017-12-07,4.73,5.0647,4.7,4.72
CODX,2017-12-08,4.7816,4.7816,4.315,4.4
CODX,2017-12-11,4.32,4.32,3.75,3.8
CODX,2017-12-12,3.77,4.1572,3.77,4.035
CODX,2017-12-13,3.96,3.96,3.61,3.64
CODX,2017-12-14,3.77,3.77,3.1164,3.4
CODX,2017-12-15,3.35,3.35,3.1395,3.14
CODX,2017-12-18,3.15,3.15,2.94,2.96
CODX,2017-12-19,2.92,3.0,2.6954,2.7408
CODX,2017-12-20,2.69,2.72,2.3501,2.38
CODX,2017-12-21,2.37,2.83,2.368,2.8
CODX,2017-12-22,2.75,3.09,2.71,3.07
CODX,2017-12-26,3.0,3.3631,3.0,3.16
CODX,2017-12-27,3.17,3.328,3.0339,3.11
CODX,2017-12-28,3.16,3.16,2.8,2.88
CODX,2017-12-29,2.86,2.8894,2.63,2.64
CODX,2018-01-02,2.76,2.828,2.76,2.76
CODX,2018-01-03,2.78,2.929,2.7,2.78
CODX,2018-01-04,2.78,2.8652,2.56,2.56
CODX,2018-01-05,2.54,2.8699,2.52,2.78
CODX,2018-01-08,2.81,2.82,2.65,2.79
CODX,2018-01-09,2.92,3.26,2.8,3.06
CODX,2018-01-10,3.07,3.27,3.041,3.08
CODX,2018-01-11,3.14,3.27,3.1103,3.16
CODX,2018-01-12,3.1601,3.26,3.16,3.2
CODX,2018-01-16,3.25,3.25,2.86,2.99
CODX,2018-01-17,3.02,3.05,2.91,2.93
CODX,2018-01-18,2.9,3.13,2.72,3.03
CODX,2018-01-19,3.06,3.25,2.83,2.94
CODX,2018-01-22,2.86,2.97,2.8,2.97
CODX,2018-01-23,2.87,3.0,2.78,2.8
CODX,2018-01-24,2.82,2.82,2.653,2.82
CODX,2018-01-25,2.82,2.9928,2.66,2.91
CODX,2018-01-26,2.73,2.9005,2.73,2.84
CODX,2018-01-29,2.82,2.9634,2.661,2.89
CODX,2018-01-30,2.8178,3.24,2.7145,2.93
CODX,2018-01-31,2.935,2.99,2.79,2.9
CODX,2018-02-01,2.87,3.0831,2.7,2.71
CODX,2018-02-02,2.7001,2.78,2.57,2.57
CODX,2018-02-05,2.7236,2.86,2.521,2.78
CODX,2018-02-06,2.65,2.89,2.6,2.6
CODX,2018-02-07,2.6,2.69,2.6,2.68
CODX,2018-02-08,2.68,2.68,2.53,2.58
CODX,2018-02-09,2.59,2.69,2.36,2.53
CODX,2018-02-12,2.57,2.86,2.53,2.54
CODX,2018-02-13,2.4345,2.7268,2.4345,2.59
CODX,2018-02-14,2.5975,2.5975,2.409,2.46
