ticker,date,open,high,low,close
COO,1983-01-21,0.0,32.25,31.5,31.5
COO,1983-01-24,0.0,33.75,33.56,33.56
COO,1983-01-25,0.0,35.62,35.44,35.44
COO,1983-01-26,0.0,35.62,35.44,35.44
COO,1983-01-27,0.0,37.5,37.31,37.31
COO,1983-01-28,0.0,36.94,36.75,36.75
COO,1983-01-31,0.0,36.56,36.19,36.19
COO,1983-02-01,0.0,35.25,35.06,35.06
COO,1983-02-02,0.0,35.06,34.88,34.88
COO,1983-02-03,0.0,35.44,35.25,35.25
COO,1983-02-04,0.0,35.62,35.44,35.44
COO,1983-02-07,0.0,36.0,35.62,35.62
COO,1983-02-08,0.0,35.81,35.62,35.62
COO,1983-02-09,0.0,35.62,35.44,35.44
COO,1983-02-10,0.0,35.81,35.62,35.62
COO,1983-02-11,0.0,35.81,35.62,35.62
COO,1983-02-14,0.0,35.81,35.62,35.62
COO,1983-02-15,0.0,35.06,34.88,34.88
COO,1983-02-16,0.0,35.25,35.06,35.06
COO,1983-02-17,0.0,34.69,34.31,34.31
COO,1983-02-18,0.0,34.88,34.69,34.69
COO,1983-02-22,0.0,35.06,34.69,34.69
COO,1983-02-23,0.0,34.88,34.5,34.5
COO,1983-02-24,0.0,34.88,34.69,34.69
COO,1983-02-25,0.0,35.06,34.88,34.88
COO,1983-02-28,0.0,34.69,34.5,34.5
COO,1983-03-01,0.0,33.19,33.0,33.0
COO,1983-03-02,0.0,33.0,32.62,32.62
COO,1983-03-03,0.0,32.44,32.25,32.25
COO,1983-03-04,0.0,32.44,32.06,32.06
COO,1983-03-07,0.0,33.0,32.62,32.62
COO,1983-03-08,0.0,34.69,34.12,34.12
COO,1983-03-09,0.0,35.25,35.06,35.06
COO,1983-03-10,0.0,35.25,34.5,34.5
COO,1983-03-11,0.0,34.88,34.5,34.5
COO,1983-03-14,0.0,34.12,33.94,33.94
COO,1983-03-15,0.0,33.75,33.56,33.56
COO,1983-03-16,0.0,33.75,33.38,33.38
COO,1983-03-17,0.0,32.44,32.25,32.25
COO,1983-03-18,0.0,32.44,31.88,31.88
COO,1983-03-21,0.0,32.25,31.88,31.88
COO,1983-03-22,0.0,31.88,31.5,31.5
COO,1983-03-23,0.0,32.25,31.88,31.88
