ticker,date,open,high,low,close
CRMT,1987-03-13,0.0,1.83,1.5,1.5
CRMT,1987-03-16,0.0,2.17,1.83,1.83
CRMT,1987-03-17,0.0,2.33,2.0,2.0
CRMT,1987-03-18,0.0,2.33,2.0,2.0
CRMT,1987-03-19,0.0,2.33,2.0,2.0
CRMT,1987-03-20,0.0,2.33,2.0,2.0
CRMT,1987-03-23,0.0,2.33,2.08,2.08
CRMT,1987-03-24,0.0,2.33,2.08,2.08
CRMT,1987-03-25,0.0,2.33,2.08,2.08
CRMT,1987-03-26,0.0,2.33,2.08,2.08
CRMT,1987-03-27,0.0,2.33,2.08,2.08
CRMT,1987-03-30,0.0,2.33,2.0,2.0
CRMT,1987-03-31,0.0,2.33,2.0,2.0
CRMT,1987-04-01,0.0,2.0,1.67,1.67
CRMT,1987-04-02,0.0,2.0,1.67,1.67
CRMT,1987-04-03,0.0,2.0,1.67,1.67
CRMT,1987-04-06,0.0,1.83,1.67,1.67
CRMT,1987-04-07,0.0,2.0,1.67,1.67
CRMT,1987-04-08,0.0,2.0,1.83,1.83
CRMT,1987-04-09,0.0,2.17,1.83,1.83
CRMT,1987-04-10,0.0,2.17,1.83,1.83
CRMT,1987-04-13,0.0,2.17,1.83,1.83
CRMT,1987-04-14,0.0,2.0,1.67,1.67
CRMT,1987-04-15,0.0,1.83,1.5,1.5
CRMT,1987-04-16,0.0,1.67,1.33,1.33
CRMT,1987-04-20,0.0,1.67,1.33,1.33
CRMT,1987-04-21,0.0,1.67,1.33,1.33
CRMT,1987-04-22,0.0,1.67,1.33,1.33
CRMT,1987-04-23,0.0,1.67,1.33,1.33
CRMT,1987-04-24,0.0,1.67,1.33,1.33
CRMT,1987-04-27,0.0,1.67,1.33,1.33
CRMT,1987-04-28,0.0,1.67,1.33,1.33
CRMT,1987-04-29,0.0,1.67,1.33,1.33
CRMT,1987-04-30,0.0,1.67,1.33,1.33
CRMT,1987-05-01,0.0,1.67,1.33,1.33
CRMT,1987-05-04,1.33,1.33,1.33,1.33
CRMT,1987-05-05,0.0,1.75,1.5,1.5
CRMT,1987-05-06,0.0,2.0,1.67,1.67
CRMT,1987-05-07,0.0,2.0,1.67,1.67
CRMT,1987-05-08,1.67,1.67,1.67,1.67
CRMT,1987-05-11,0.0,2.0,1.67,1.67
CRMT,1987-05-12,0.0,2.0,1.67,1.67
CRMT,1987-05-13,0.0,2.0,1.67,1.67
CRMT,1987-05-14,0.0,2.0,1.67,1.67
CRMT,1987-05-15,0.0,2.0,1.67,1.67
CRMT,1987-05-18,0.0,1.92,1.67,1.67
CRMT,1987-05-19,0.0,1.92,1.67,1.67
CRMT,1987-05-20,1.67,1.67,1.67,1.67
CRMT,1987-05-21,0.0,1.92,1.67,1.67
CRMT,1987-05-22,0.0,1.92,1.67,1.67
CRMT,1987-05-26,0.0,1.92,1.67,1.67
CRMT,1987-05-27,0.0,1.83,1.5,1.5
CRMT,1987-05-28,0.0,1.83,1.5,1.5
CRMT,1987-05-29,0.0,1.83,1.5,1.5
CRMT,1987-06-01,0.0,1.83,1.5,1.5
CRMT,1987-06-02,0.0,1.83,1.5,1.5
CRMT,1987-06-03,1.5,1.5,1.5,1.5
CRMT,1987-06-04,0.0,1.67,1.33,1.33
CRMT,1987-06-05,0.0,1.83,1.5,1.5
CRMT,1987-06-08,0.0,1.83,1.5,1.5
CRMT,1987-06-09,0.0,1.83,1.5,1.5
CRMT,1987-06-10,1.5,1.5,1.5,1.5
CRMT,1987-06-11,0.0,1.75,1.5,1.5
CRMT,1987-06-12,0.0,1.75,1.5,1.5
CRMT,1987-06-15,0.0,1.75,1.5,1.5
CRMT,1987-06-16,0.0,1.75,1.33,1.33
CRMT,1987-06-17,1.33,1.33,1.33,1.33
CRMT,1987-06-18,0.0,1.75,1.33,1.33
CRMT,1987-06-19,0.0,1.75,1.5,1.5
CRMT,1987-06-22,0.0,1.75,1.33,1.33
CRMT,1987-06-23,1.33,1.33,1.33,1.33
CRMT,1987-06-24,0.0,1.75,1.33,1.33
CRMT,1987-06-25,1.33,1.33,1.33,1.33
CRMT,1987-06-26,0.0,1.75,1.33,1.33
CRMT,1987-06-29,1.33,1.33,1.33,1.33
CRMT,1987-06-30,0.0,1.75,1.33,1.33
CRMT,1987-07-01,0.0,1.75,1.33,1.33
CRMT,1987-07-02,1.33,1.33,1.33,1.33
CRMT,1987-07-06,0.0,1.75,1.33,1.33
CRMT,1987-07-07,1.33,1.33,1.33,1.33
CRMT,1987-07-08,1.33,1.33,1.33,1.33
CRMT,1987-07-09,0.0,1.75,1.33,1.33
CRMT,1987-07-10,0.0,1.67,1.33,1.33
CRMT,1987-07-13,0.0,1.75,1.33,1.33
CRMT,1987-07-14,0.0,1.75,1.33,1.33
CRMT,1987-07-15,0.0,1.75,1.33,1.33
CRMT,1987-07-16,1.33,1.33,1.33,1.33
CRMT,1987-07-17,1.33,1.33,1.33,1.33
CRMT,1987-07-20,0.0,1.75,1.33,1.33
CRMT,1987-07-21,0.0,1.75,1.33,1.33
CRMT,1987-07-22,1.33,1.33,1.33,1.33
CRMT,1987-07-23,0.0,1.67,1.33,1.33
CRMT,1987-07-24,0.0,1.67,1.33,1.33
CRMT,1987-07-27,0.0,1.67,1.33,1.33
CRMT,1987-07-28,0.0,1.67,1.33,1.33
CRMT,1987-07-29,1.33,1.33,1.33,1.33
CRMT,1987-07-30,0.0,1.67,1.33,1.33
CRMT,1987-07-31,0.0,1.67,1.33,1.33
CRMT,1987-08-03,1.33,1.33,1.33,1.33
CRMT,1987-08-04,0.0,1.67,1.33,1.33
CRMT,1987-08-05,0.0,1.67,1.33,1.33
CRMT,1987-08-06,0.0,1.67,1.33,1.33
CRMT,1987-08-07,0.0,1.67,1.33,1.33
CRMT,1987-08-10,1.33,1.33,1.33,1.33
CRMT,1987-08-11,0.0,1.67,1.33,1.33
CRMT,1987-08-12,0.0,1.67,1.33,1.33
CRMT,1987-08-13,1.33,1.33,1.33,1.33
CRMT,1987-08-14,0.0,1.67,1.33,1.33
CRMT,1987-08-17,0.0,1.67,1.33,1.33
CRMT,1987-08-18,0.0,1.67,1.33,1.33
CRMT,1987-08-19,0.0,1.67,1.42,1.42
CRMT,1987-08-20,0.0,1.67,1.42,1.42
CRMT,1987-08-21,0.0,1.67,1.42,1.42
CRMT,1987-08-24,0.0,1.67,1.42,1.42
CRMT,1987-08-25,0.0,1.67,1.42,1.42
CRMT,1987-08-26,0.0,1.67,1.42,1.42
CRMT,1987-08-27,0.0,1.67,1.42,1.42
CRMT,1987-08-28,0.0,1.67,1.42,1.42
CRMT,1987-08-31,0.0,1.67,1.42,1.42
CRMT,1987-09-01,0.0,1.75,1.42,1.42
CRMT,1987-09-02,0.0,1.75,1.42,1.42
CRMT,1987-09-03,0.0,1.75,1.5,1.5
CRMT,1987-09-04,0.0,1.67,1.5,1.5
CRMT,1987-09-08,0.0,1.67,1.42,1.42
CRMT,1987-09-09,0.0,1.67,1.33,1.33
CRMT,1987-09-10,0.0,1.67,1.33,1.33
CRMT,1987-09-11,0.0,1.67,1.33,1.33
CRMT,1987-09-14,1.33,1.33,1.33,1.33
CRMT,1987-09-15,0.0,1.67,1.33,1.33
CRMT,1987-09-16,0.0,1.67,1.33,1.33
CRMT,1987-09-17,0.0,1.67,1.33,1.33
CRMT,1987-09-18,0.0,1.67,1.33,1.33
CRMT,1987-09-21,0.0,1.67,1.33,1.33
CRMT,1987-09-22,1.33,1.33,1.33,1.33
CRMT,1987-09-23,0.0,1.5,1.17,1.17
CRMT,1987-09-24,0.0,1.5,1.17,1.17
CRMT,1987-09-25,0.0,1.5,1.17,1.17
CRMT,1987-09-28,0.0,1.5,1.17,1.17
CRMT,1987-09-29,0.0,1.42,1.08,1.08
CRMT,1987-09-30,0.0,1.33,1.08,1.08
CRMT,1987-10-01,0.0,1.33,1.08,1.08
CRMT,1987-10-02,0.0,1.33,1.08,1.08
CRMT,1987-10-05,1.08,1.08,1.08,1.08
CRMT,1987-10-06,0.0,1.33,1.08,1.08
CRMT,1987-10-07,0.0,1.33,1.08,1.08
CRMT,1987-10-08,0.0,1.33,1.08,1.08
CRMT,1987-10-09,0.0,1.33,1.08,1.08
CRMT,1987-10-12,0.0,1.25,1.0,1.0
CRMT,1987-10-13,0.0,1.25,0.92,0.92
CRMT,1987-10-14,0.0,1.17,0.92,0.92
CRMT,1987-10-15,0.0,1.17,0.92,0.92
CRMT,1987-10-16,0.0,1.17,0.92,0.92
CRMT,1987-10-19,0.0,1.17,0.92,0.92
