ticker,date,open,high,low,close
CRWS,2003-10-07,0.66,0.66,0.66,0.66
CRWS,2003-10-08,0.66,0.66,0.66,0.66
CRWS,2003-10-09,0.72,0.72,0.72,0.72
CRWS,2003-10-10,0.66,0.66,0.66,0.66
CRWS,2003-10-13,0.66,0.66,0.66,0.66
CRWS,2003-10-14,0.64,0.64,0.64,0.64
CRWS,2003-10-15,0.64,0.64,0.64,0.64
CRWS,2003-10-16,0.72,0.72,0.66,0.66
CRWS,2003-10-17,0.66,0.66,0.66,0.66
CRWS,2003-10-20,0.66,0.66,0.66,0.66
CRWS,2003-10-21,0.66,0.66,0.66,0.66
CRWS,2003-10-22,0.66,0.66,0.66,0.66
CRWS,2003-10-23,0.68,0.68,0.68,0.68
CRWS,2003-10-24,0.65,0.67,0.64,0.65
CRWS,2003-10-27,0.63,0.67,0.63,0.65
CRWS,2003-10-28,0.64,0.64,0.63,0.63
CRWS,2003-10-29,0.61,0.61,0.61,0.61
CRWS,2003-10-30,0.61,0.61,0.61,0.61
CRWS,2003-10-31,0.61,0.62,0.61,0.62
CRWS,2003-11-03,0.64,0.65,0.61,0.65
CRWS,2003-11-04,0.65,0.65,0.65,0.65
CRWS,2003-11-05,0.61,0.62,0.61,0.62
CRWS,2003-11-06,0.61,0.65,0.61,0.65
CRWS,2003-11-07,0.65,0.65,0.65,0.65
CRWS,2003-11-10,0.65,0.66,0.64,0.66
CRWS,2003-11-11,0.68,0.88,0.65,0.8
CRWS,2003-11-12,0.67,0.67,0.62,0.64
CRWS,2003-11-13,0.64,0.64,0.64,0.64
CRWS,2003-11-14,0.61,0.63,0.61,0.63
CRWS,2003-11-17,0.61,0.62,0.6,0.6
CRWS,2003-11-18,0.6,0.6,0.6,0.6
CRWS,2003-11-19,0.62,0.62,0.61,0.61
CRWS,2003-11-20,0.6,0.6,0.58,0.6
CRWS,2003-11-21,0.58,0.6,0.58,0.58
CRWS,2003-11-24,0.57,0.57,0.55,0.55
CRWS,2003-11-25,0.55,0.55,0.55,0.55
CRWS,2003-11-26,0.55,0.55,0.52,0.52
CRWS,2003-11-28,0.52,0.52,0.52,0.52
CRWS,2003-12-01,0.52,0.53,0.5,0.5
CRWS,2003-12-02,0.48,0.49,0.48,0.48
CRWS,2003-12-03,0.47,0.5,0.47,0.5
CRWS,2003-12-04,0.47,0.47,0.47,0.47
CRWS,2003-12-05,0.5,0.56,0.5,0.56
CRWS,2003-12-08,0.57,0.57,0.57,0.57
CRWS,2003-12-09,0.53,0.53,0.53,0.53
CRWS,2003-12-10,0.53,0.53,0.53,0.53
CRWS,2003-12-11,0.53,0.53,0.53,0.53
CRWS,2003-12-12,0.53,0.6,0.5,0.6
CRWS,2003-12-15,0.55,0.56,0.55,0.56
CRWS,2003-12-16,0.56,0.56,0.56,0.56
CRWS,2003-12-17,0.55,0.55,0.55,0.55
CRWS,2003-12-18,0.55,0.55,0.55,0.55
CRWS,2003-12-19,0.55,0.55,0.55,0.55
CRWS,2003-12-22,0.55,0.55,0.55,0.55
CRWS,2003-12-23,0.6,0.6,0.53,0.53
CRWS,2003-12-24,0.53,0.53,0.53,0.53
CRWS,2003-12-26,0.53,0.53,0.5,0.5
CRWS,2003-12-29,0.5,0.6,0.5,0.6
CRWS,2003-12-30,0.5,0.5,0.5,0.5
CRWS,2003-12-31,0.5,0.52,0.5,0.5
CRWS,2004-01-02,0.5,0.5,0.5,0.5
CRWS,2004-01-05,0.55,0.55,0.54,0.54
CRWS,2004-01-06,0.55,0.55,0.55,0.55
CRWS,2004-01-07,0.55,0.55,0.51,0.53
