ticker,date,open,high,low,close
DBX,2018-03-23,29.0,31.6,27.84,28.48
DBX,2018-03-26,30.45,30.66,27.75,30.45
DBX,2018-03-27,30.41,30.68,29.0,29.9
DBX,2018-03-28,29.26,31.19,28.61,30.98
DBX,2018-03-29,31.98,34.3667,30.79,31.25
DBX,2018-04-02,31.19,31.3878,29.31,30.01
DBX,2018-04-03,30.51,31.6,29.45,31.59
DBX,2018-04-04,30.32,31.4646,30.2,30.85
DBX,2018-04-05,31.2,31.76,30.3,30.535
DBX,2018-04-06,30.37,31.0,30.0,30.24
DBX,2018-04-09,30.64,31.0,30.13,30.14
DBX,2018-04-10,30.44,31.74,30.25,31.23
DBX,2018-04-11,32.32,32.49,30.87,32.32
DBX,2018-04-12,33.11,34.829,32.92,33.27
DBX,2018-04-13,31.27,32.24,29.73,30.0
DBX,2018-04-16,30.2,30.4,28.0,29.02
DBX,2018-04-17,29.9,30.0,28.61,29.83
DBX,2018-04-18,30.01,31.17,29.61,30.56
DBX,2018-04-19,30.65,30.88,29.4008,29.9
DBX,2018-04-20,29.7,29.9,28.67,28.92
DBX,2018-04-23,29.18,29.65,28.93,29.11
DBX,2018-04-24,29.23,29.8,28.29,28.94
DBX,2018-04-25,28.94,29.04,28.19,28.64
DBX,2018-04-26,28.87,29.5036,28.53,29.33
DBX,2018-04-27,29.59,30.15,29.25,29.61
DBX,2018-04-30,30.11,30.3299,29.62,30.11
DBX,2018-05-01,30.3,31.34,29.8,30.9
DBX,2018-05-02,30.97,31.5,30.5,31.01
DBX,2018-05-03,30.75,31.01,29.74,30.19
DBX,2018-05-04,30.13,30.4,29.05,29.13
DBX,2018-05-07,29.49,29.8786,29.33,29.41
DBX,2018-05-08,29.57,30.3,29.5,30.23
DBX,2018-05-09,30.6,31.5,30.14,31.4
DBX,2018-05-10,32.3,32.3004,31.41,32.0
DBX,2018-05-11,31.95,32.38,30.59,31.28
DBX,2018-05-14,31.62,31.75,29.7,29.96
DBX,2018-05-15,29.94,30.11,29.5,29.55
DBX,2018-05-16,29.78,30.95,29.62,30.74
DBX,2018-05-17,30.95,31.32,30.35,30.55
DBX,2018-05-18,30.6,30.75,30.16,30.2
DBX,2018-05-21,30.45,30.6,29.95,30.09
DBX,2018-05-22,30.05,30.46,30.01,30.09
DBX,2018-05-23,30.0,30.13,29.55,29.74
DBX,2018-05-24,29.8,30.4999,29.57,30.2
DBX,2018-05-25,30.1,30.3829,29.8,29.97
DBX,2018-05-29,29.94,30.1,29.41,29.78
DBX,2018-05-30,29.9,30.57,29.78,30.47
