ticker,date,open,high,low,close
DDI,2021-08-31,18.0,18.4999,17.51,17.75
DDI,2021-09-01,17.75,18.45,17.55,17.87
DDI,2021-09-02,17.99,18.0,16.65,16.75
DDI,2021-09-03,16.65,16.65,16.05,16.15
DDI,2021-09-07,16.62,16.62,16.03,16.1
DDI,2021-09-08,16.1,16.32,15.4,15.5
DDI,2021-09-09,15.5,15.8499,15.43,15.5
DDI,2021-09-10,15.7,16.21,15.51,16.1
DDI,2021-09-13,17.25,17.9,16.4001,17.62
DDI,2021-09-14,17.25,17.8751,17.02,17.02
DDI,2021-09-15,17.07,17.57,17.03,17.15
DDI,2021-09-16,17.56,17.7,17.2,17.3
DDI,2021-09-17,17.4,17.72,17.2601,17.62
DDI,2021-09-20,17.62,17.62,17.1,17.16
DDI,2021-09-21,17.2,17.39,17.08,17.15
DDI,2021-09-22,17.15,17.3045,17.15,17.16
DDI,2021-09-23,17.21,17.52,17.17,17.47
DDI,2021-09-24,17.36,17.78,17.36,17.53
DDI,2021-09-27,17.8,17.8,17.32,17.5
DDI,2021-09-28,17.49,17.758,17.32,17.62
DDI,2021-09-29,17.5,17.75,17.5,17.62
DDI,2021-09-30,17.7,17.78,17.5,17.61
DDI,2021-10-01,17.61,17.65,17.41,17.57
DDI,2021-10-04,17.76,17.76,17.031,17.52
DDI,2021-10-05,17.85,17.85,17.4859,17.59
DDI,2021-10-06,17.67,17.8399,17.32,17.46
DDI,2021-10-07,17.59,17.88,17.335,17.62
DDI,2021-10-08,17.72,17.72,17.43,17.62
DDI,2021-10-11,17.62,17.82,17.45,17.45
DDI,2021-10-12,17.523,17.63,17.5,17.5
DDI,2021-10-13,17.6,17.72,17.43,17.53
DDI,2021-10-14,17.62,17.62,17.4676,17.6
DDI,2021-10-15,17.6,17.6,17.48,17.54
DDI,2021-10-18,17.55,17.55,17.47,17.5
DDI,2021-10-19,17.478,17.84,17.46,17.52
DDI,2021-10-20,17.61,17.61,17.12,17.35
DDI,2021-10-21,17.36,17.55,15.99,16.28
DDI,2021-10-22,16.5,17.4,16.5,17.39
DDI,2021-10-25,17.38,17.65,17.0,17.1
DDI,2021-10-26,17.1,17.5,17.1,17.32
DDI,2021-10-27,17.14,17.15,16.6501,16.9
DDI,2021-10-28,16.27,16.86,16.17,16.35
DDI,2021-10-29,16.7361,16.7361,16.1853,16.25
DDI,2021-11-01,16.37,16.79,16.37,16.79
DDI,2021-11-02,16.72,16.72,16.0,16.13
DDI,2021-11-03,16.14,16.46,16.0,16.45
DDI,2021-11-04,16.12,16.4,16.12,16.37
DDI,2021-11-05,16.51,16.51,16.11,16.23
DDI,2021-11-08,16.39,16.6098,16.31,16.47
DDI,2021-11-09,16.47,16.47,16.0,16.02
DDI,2021-11-10,16.33,16.33,16.0,16.0
DDI,2021-11-11,16.0,16.43,16.0,16.25
DDI,2021-11-12,16.23,16.9,16.23,16.64
DDI,2021-11-15,16.9369,17.2994,16.65,17.06
DDI,2021-11-16,16.96,16.96,16.73,16.74
DDI,2021-11-17,16.3324,17.06,16.3324,16.97
DDI,2021-11-18,16.69,17.1734,16.43,16.44
DDI,2021-11-19,16.48,16.48,15.1339,16.18
DDI,2021-11-22,15.79,16.26,15.6146,15.94
DDI,2021-11-23,15.92,16.56,15.75,15.75
DDI,2021-11-24,16.1,16.515,15.71,15.99
DDI,2021-11-26,15.7,15.98,15.6,15.61
DDI,2021-11-29,16.32,16.32,15.6,16.0
DDI,2021-11-30,15.64,15.8622,15.51,15.73
DDI,2021-12-01,15.73,16.15,15.61,15.68
DDI,2021-12-02,15.9909,15.9909,15.51,15.77
DDI,2021-12-03,15.89,15.89,15.5,15.5
DDI,2021-12-06,15.745,15.99,15.5,15.99
DDI,2021-12-07,15.94,16.0,15.45,15.47
DDI,2021-12-08,15.5,15.5,15.35,15.45
DDI,2021-12-09,15.45,15.4617,15.25,15.34
DDI,2021-12-10,15.32,15.32,15.15,15.2
DDI,2021-12-13,15.29,15.29,15.02,15.02
