ticker,date,open,high,low,close
DH,2021-09-15,37.25,44.24,37.0,43.29
DH,2021-09-16,40.66,48.43,40.6,47.22
DH,2021-09-17,48.07,50.3,45.42,48.99
DH,2021-09-20,46.72,46.8,42.15,44.96
DH,2021-09-21,45.21,45.97,42.5,43.5
DH,2021-09-22,43.5,45.77,42.06,44.3
DH,2021-09-23,45.0,45.69,42.2628,42.95
DH,2021-09-24,42.44,44.84,40.85,44.25
DH,2021-09-27,43.88,46.69,43.14,46.14
DH,2021-09-28,44.85,45.195,41.98,42.02
DH,2021-09-29,41.89,42.95,41.285,42.25
DH,2021-09-30,42.66,44.81,41.51,42.83
DH,2021-10-01,42.5,42.79,39.16,40.54
DH,2021-10-04,39.85,41.49,39.12,40.21
DH,2021-10-05,40.0,41.99,39.1,40.95
DH,2021-10-06,40.56,42.48,39.57,41.34
DH,2021-10-07,40.9,44.75,40.435,43.31
DH,2021-10-08,43.08,45.69,42.35,45.31
DH,2021-10-11,44.18,44.18,40.6,41.14
DH,2021-10-12,41.1,42.0,37.55,39.1
DH,2021-10-13,39.01,40.49,38.435,39.33
DH,2021-10-14,39.61,40.91,39.0706,40.5
DH,2021-10-15,40.5,42.5,40.39,42.3
DH,2021-10-18,41.52,42.5,40.65,40.78
DH,2021-10-19,40.73,40.73,38.9,39.04
DH,2021-10-20,39.04,39.52,37.64,38.44
DH,2021-10-21,38.56,40.28,38.56,39.93
DH,2021-10-22,39.98,40.2,38.41,39.075
DH,2021-10-25,39.29,39.98,38.55,39.43
DH,2021-10-26,39.37,39.495,37.78,38.0
DH,2021-10-27,38.06,38.16,35.04,36.05
DH,2021-10-28,35.97,37.16,35.85,37.15
DH,2021-10-29,36.83,40.43,36.51,40.14
DH,2021-11-01,40.23,40.63,39.62,39.86
DH,2021-11-02,39.9,40.53,39.18,39.35
DH,2021-11-03,39.67,41.17,39.04,40.62
DH,2021-11-04,40.45,42.01,40.095,40.43
DH,2021-11-05,40.57,42.5,40.24,41.83
DH,2021-11-08,41.75,42.2799,40.13,40.51
DH,2021-11-09,40.61,41.355,37.9104,39.42
DH,2021-11-10,38.53,39.895,38.53,39.4
DH,2021-11-11,39.7,43.62,39.255,42.59
DH,2021-11-12,42.75,43.36,41.53,41.9
DH,2021-11-15,42.04,44.09,41.4901,43.92
DH,2021-11-16,41.35,41.79,37.5,39.58
DH,2021-11-17,39.76,39.76,33.7101,37.64
DH,2021-11-18,35.98,36.0,32.87,32.93
DH,2021-11-19,33.16,35.06,32.6,34.76
DH,2021-11-22,34.74,35.38,30.0,30.62
DH,2021-11-23,30.15,31.82,28.73,29.29
DH,2021-11-24,29.21,30.99,27.86,30.1
DH,2021-11-26,29.91,30.56,29.14,29.91
DH,2021-11-29,30.01,30.96,29.07,30.15
DH,2021-11-30,29.9,30.45,28.135,29.31
DH,2021-12-01,29.68,30.56,28.18,28.65
DH,2021-12-02,28.87,29.8182,27.66,28.63
DH,2021-12-03,28.89,29.34,27.135,28.78
DH,2021-12-06,28.53,29.28,26.69,29.11
DH,2021-12-07,29.61,30.87,29.61,30.3
DH,2021-12-08,30.3,32.67,29.9,32.08
DH,2021-12-09,31.77,33.195,31.38,32.03
DH,2021-12-10,31.91,33.39,29.75,30.09
DH,2021-12-13,30.07,31.06,27.17,27.26
DH,2021-12-14,27.16,27.6,25.25,25.53
DH,2021-12-15,25.65,26.9,25.3875,26.7
DH,2021-12-16,28.02,28.71,26.28,26.7
DH,2021-12-17,26.37,28.07,24.66,27.42
DH,2021-12-20,27.06,27.79,26.14,27.18
DH,2021-12-21,27.61,28.28,27.37,28.01
DH,2021-12-22,28.01,28.57,27.385,27.78
DH,2021-12-23,28.0,28.83,27.44,28.35
DH,2021-12-27,28.66,29.16,28.065,28.33
DH,2021-12-28,28.17,28.7205,27.0702,27.27
DH,2021-12-29,27.06,27.81,26.43,27.32
DH,2021-12-30,27.37,28.54,27.255,27.84
DH,2021-12-31,27.84,28.55,27.33,27.33
DH,2022-01-03,27.5,28.98,27.38,28.15
DH,2022-01-04,27.955,28.685,26.05,27.09
DH,2022-01-05,26.91,27.55,24.53,25.07
DH,2022-01-06,25.05,25.97,24.29,25.48
DH,2022-01-07,25.36,25.84,24.055,24.52
DH,2022-01-10,24.32,24.58,23.29,24.26
DH,2022-01-11,24.61,25.0,23.63,24.6
DH,2022-01-12,24.81,24.81,23.35,23.42
DH,2022-01-13,23.42,23.88,22.74,22.99
DH,2022-01-14,22.55,23.21,21.46,21.57
DH,2022-01-18,21.53,22.05,20.17,20.24
DH,2022-01-19,20.68,21.21,19.17,19.26
DH,2022-01-20,19.31,20.47,19.31,19.58
DH,2022-01-21,19.19,19.61,18.2,18.83
DH,2022-01-24,18.32,19.67,18.145,19.56
DH,2022-01-25,18.65,20.37,18.59,19.84
DH,2022-01-26,20.61,20.61,19.51,19.95
DH,2022-01-27,19.92,20.44,19.145,20.37
DH,2022-01-28,20.33,21.35,19.84,21.34
DH,2022-01-31,21.32,22.63,20.45,21.88
DH,2022-02-01,22.03,23.47,21.01,23.09
DH,2022-02-02,23.05,23.17,21.53,21.97
DH,2022-02-03,21.33,22.25,20.58,22.01
DH,2022-02-04,21.93,22.945,21.37,22.76
DH,2022-02-07,22.47,23.91,22.34,23.58
DH,2022-02-08,23.58,24.56,23.09,24.2
DH,2022-02-09,24.43,25.98,24.43,25.35
DH,2022-02-10,24.76,26.4873,24.62,24.7
DH,2022-02-11,24.72,25.66,23.29,23.58
DH,2022-02-14,23.83,25.36,23.43,23.54
DH,2022-02-15,23.82,24.92,23.31,24.92
DH,2022-02-16,24.8,25.32,23.56,24.31
DH,2022-02-17,23.98,24.78,22.91,23.11
DH,2022-02-18,23.03,23.74,21.18,21.98
DH,2022-02-22,21.42,22.05,19.7,20.35
DH,2022-02-23,20.62,20.677,19.185,19.65
DH,2022-02-24,20.24,21.95,18.2701,21.89
DH,2022-02-25,21.925,22.88,20.7513,22.87
DH,2022-02-28,22.6,23.43,22.36,23.12
DH,2022-03-01,23.01,23.87,21.96,23.14
DH,2022-03-02,23.02,23.355,21.45,21.5
DH,2022-03-03,21.57,21.76,20.56,20.97
DH,2022-03-04,20.57,21.05,19.56,20.34
DH,2022-03-07,20.12,21.07,19.63,19.67
DH,2022-03-08,19.69,22.05,19.405,21.57
DH,2022-03-09,22.0,23.79,21.97,22.05
DH,2022-03-10,21.3,22.13,20.61,21.5
DH,2022-03-11,21.5,22.47,19.66,19.85
DH,2022-03-14,19.57,20.0001,18.31,18.52
DH,2022-03-15,18.54,20.025,18.31,19.88
DH,2022-03-16,20.49,21.74,19.995,21.67
DH,2022-03-17,21.63,23.44,21.57,23.36
DH,2022-03-18,23.3,25.035,23.2,24.85
DH,2022-03-21,24.59,25.265,23.44,23.93
DH,2022-03-22,23.92,25.325,23.5,24.35
DH,2022-03-23,24.1,24.78,23.37,24.1
DH,2022-03-24,24.0,24.41,23.34,23.83
DH,2022-03-25,24.02,25.22,22.63,23.2
DH,2022-03-28,23.38,23.91,22.675,23.8
DH,2022-03-29,24.12,24.57,23.69,24.13
DH,2022-03-30,24.03,24.72,23.4311,23.9
DH,2022-03-31,24.16,25.0947,23.44,24.65
DH,2022-04-01,24.58,26.055,24.51,25.12
DH,2022-04-04,25.59,25.71,24.76,25.54
DH,2022-04-05,25.63,25.97,25.21,25.87
DH,2022-04-06,25.44,25.44,24.5,25.17
DH,2022-04-07,25.15,26.34,24.64,25.91
DH,2022-04-08,25.46,26.6,25.005,25.98
DH,2022-04-11,25.76,26.56,24.805,24.9
DH,2022-04-12,25.31,26.92,25.25,26.15
DH,2022-04-13,26.05,26.225,24.85,25.75
DH,2022-04-14,25.87,26.97,24.93,25.0
DH,2022-04-18,24.88,26.12,23.02,24.04
DH,2022-04-19,24.08,25.88,22.89,25.88
DH,2022-04-20,26.13,26.45,25.68,25.84
DH,2022-04-21,25.73,26.39,24.32,24.56
DH,2022-04-22,24.32,24.87,23.08,23.96
DH,2022-04-25,23.68,25.01,23.02,24.32
DH,2022-04-26,24.07,24.26,22.96,23.21
DH,2022-04-27,23.15,23.71,22.6,23.05
DH,2022-04-28,23.18,24.45,22.44,24.35
DH,2022-04-29,24.18,25.23,23.62,23.65
DH,2022-05-02,23.73,25.53,23.28,25.17
DH,2022-05-03,25.0,25.84,22.99,23.26
DH,2022-05-04,23.34,24.44,22.55,24.12
DH,2022-05-05,23.84,24.12,22.3,22.48
DH,2022-05-06,22.01,22.08,19.68,19.905
DH,2022-05-09,19.23,19.8,17.93,18.44
DH,2022-05-10,18.94,18.94,15.75,16.56
DH,2022-05-11,16.48,17.17,15.21,15.42
DH,2022-05-12,15.12,16.63,14.76,15.93
DH,2022-05-13,16.29,17.34,15.78,16.98
DH,2022-05-16,16.87,17.13,16.01,16.65
DH,2022-05-17,17.1,17.43,16.41,16.69
DH,2022-05-18,16.4,16.6,15.49,15.71
DH,2022-05-19,15.7,16.78,15.7,16.45
DH,2022-05-20,16.81,16.98,15.83,16.47
DH,2022-05-23,16.63,17.76,16.29,17.38
DH,2022-05-24,17.15,17.82,16.4,17.11
DH,2022-05-25,16.94,18.3,16.51,18.05
DH,2022-05-26,18.08,19.015,18.01,18.1
DH,2022-05-27,18.31,19.62,18.31,19.48
DH,2022-05-31,19.44,19.635,18.54,19.55
DH,2022-06-01,19.67,19.775,18.53,19.13
DH,2022-06-02,19.0,20.73,18.9,20.16
DH,2022-06-03,19.9,19.97,19.255,19.44
DH,2022-06-06,19.93,20.145,19.05,19.08
DH,2022-06-07,18.77,20.015,18.1142,19.88
DH,2022-06-08,19.52,20.27,19.48,19.64
DH,2022-06-09,19.49,19.88,19.35,19.48
DH,2022-06-10,18.88,19.3742,18.65,18.78
DH,2022-06-13,17.96,18.57,17.35,18.17
DH,2022-06-14,18.32,18.93,17.85,18.61
DH,2022-06-15,18.83,19.74,18.42,19.2
DH,2022-06-16,18.52,19.55,17.92,18.5
DH,2022-06-17,18.5,19.84,18.5,19.55
DH,2022-06-21,19.67,21.26,19.65,21.19
DH,2022-06-22,20.72,22.325,20.71,22.0
DH,2022-06-23,22.08,24.69,22.08,23.83
DH,2022-06-24,23.94,24.24,23.39,24.13
DH,2022-06-27,24.17,24.9,23.36,24.86
DH,2022-06-28,24.8,25.41,23.7901,24.66
DH,2022-06-29,24.52,24.85,24.06,24.82
DH,2022-06-30,24.36,24.6,22.65,22.93
DH,2022-07-01,22.63,24.065,22.63,23.49
DH,2022-07-05,23.48,24.69,22.73,24.66
DH,2022-07-06,25.27,25.27,24.07,24.41
DH,2022-07-07,24.42,25.1,23.21,24.98
DH,2022-07-08,25.15,25.5,24.5,25.38
DH,2022-07-11,25.2,26.06,24.5401,25.84
DH,2022-07-12,25.9,26.49,24.2,24.55
DH,2022-07-13,23.85,24.9967,23.49,24.69
DH,2022-07-14,24.42,24.83,23.84,24.5
DH,2022-07-15,25.09,25.09,24.215,24.63
DH,2022-07-18,25.06,25.4,24.14,24.15
DH,2022-07-19,24.55,24.83,23.38,24.11
DH,2022-07-20,24.42,25.68,24.41,25.65
DH,2022-07-21,25.7,25.78,25.15,25.65
DH,2022-07-22,25.72,25.7399,22.94,23.21
DH,2022-07-25,23.18,24.18,22.64,23.81
DH,2022-07-26,23.72,24.12,23.175,23.83
DH,2022-07-27,24.17,24.885,23.84,24.71
DH,2022-07-28,24.71,25.76,23.82,25.58
DH,2022-07-29,25.34,26.0,24.97,25.98
DH,2022-08-01,25.84,27.0,25.36,26.96
DH,2022-08-02,26.82,28.76,26.74,28.53
DH,2022-08-03,28.0,29.52,28.0,29.29
DH,2022-08-04,29.4,30.11,28.07,29.33
DH,2022-08-05,22.97,25.22,21.7,24.505
DH,2022-08-08,23.96,26.93,23.78,25.33
DH,2022-08-09,24.58,24.6,22.76,23.85
DH,2022-08-10,23.9,24.03,23.17,23.56
DH,2022-08-11,23.54,24.29,22.54,23.2
DH,2022-08-12,23.19,23.635,22.59,22.91
DH,2022-08-15,22.86,22.86,21.6,22.08
DH,2022-08-16,22.02,22.44,21.75,22.39
DH,2022-08-17,22.11,22.62,21.88,22.12
DH,2022-08-18,21.94,22.56,21.08,21.71
DH,2022-08-19,21.7,21.73,20.69,20.85
DH,2022-08-22,20.68,21.03,20.201,20.39
DH,2022-08-23,20.46,20.85,20.24,20.43
DH,2022-08-24,20.47,21.79,20.46,21.48
DH,2022-08-25,21.65,22.15,20.9,21.49
DH,2022-08-26,21.32,21.46,20.21,20.21
DH,2022-08-29,19.95,20.555,19.61,19.69
DH,2022-08-30,19.86,20.39,19.64,19.97
DH,2022-08-31,20.33,20.94,19.82,20.08
DH,2022-09-01,19.75,19.75,18.51,19.28
DH,2022-09-02,19.52,19.85,18.82,18.84
DH,2022-09-06,19.37,19.77,18.74,19.4
DH,2022-09-07,19.4,20.52,19.21,20.43
DH,2022-09-08,20.19,21.26,20.06,21.09
DH,2022-09-09,21.28,21.8577,20.44,20.45
DH,2022-09-12,20.37,20.845,20.275,20.59
DH,2022-09-13,19.76,20.47,19.39,19.76
DH,2022-09-14,19.77,20.1,19.37,19.45
DH,2022-09-15,19.33,20.14,19.27,19.38
DH,2022-09-16,19.25,19.27,18.19,18.27
DH,2022-09-19,18.11,18.49,17.33,17.55
DH,2022-09-20,17.34,17.34,16.73,16.78
DH,2022-09-21,16.9,17.53,16.58,16.92
DH,2022-09-22,16.63,16.95,16.11,16.72
DH,2022-09-23,16.52,16.9875,16.21,16.77
DH,2022-09-26,16.74,17.36,16.2,16.24
DH,2022-09-27,16.44,17.11,16.44,16.6
DH,2022-09-28,16.6,17.17,16.43,16.81
DH,2022-09-29,16.51,16.7,15.9,16.58
DH,2022-09-30,16.59,17.01,15.54,15.54
DH,2022-10-03,15.63,16.35,15.53,16.28
DH,2022-10-04,16.68,17.385,16.62,17.01
DH,2022-10-05,16.59,16.705,15.82,16.45
DH,2022-10-06,16.46,16.7,15.72,16.09
DH,2022-10-07,15.92,15.92,14.77,14.82
DH,2022-10-10,14.75,15.04,13.57,14.24
DH,2022-10-11,14.07,14.565,13.81,14.3
DH,2022-10-12,14.22,14.5,13.53,13.88
DH,2022-10-13,13.43,14.96,13.0,14.44
DH,2022-10-14,14.66,14.93,14.35,14.75
DH,2022-10-17,15.12,15.92,14.68,14.88
DH,2022-10-18,15.3,15.98,15.185,15.5
DH,2022-10-19,15.34,15.34,14.34,14.43
DH,2022-10-20,14.44,15.02,14.2,14.5
DH,2022-10-21,14.49,14.63,13.91,14.28
DH,2022-10-24,14.43,15.19,14.125,15.05
DH,2022-10-25,15.08,16.22,15.08,16.0
DH,2022-10-26,15.88,16.41,15.49,15.69
DH,2022-10-27,15.86,15.92,15.3,15.52
DH,2022-10-28,15.3,16.1,15.22,15.74
DH,2022-10-31,15.62,15.92,15.35,15.78
DH,2022-11-01,16.02,16.135,15.42,15.66
DH,2022-11-02,15.67,15.67,14.42,14.56
DH,2022-11-03,14.42,14.42,13.46,13.83
DH,2022-11-04,12.0,12.29,10.0946,10.92
DH,2022-11-07,11.3,11.86,10.89,11.5
DH,2022-11-08,11.37,11.43,10.15,10.23
DH,2022-11-09,10.05,10.26,9.53,10.14
DH,2022-11-10,11.16,11.83,11.04,11.49
DH,2022-11-11,11.44,12.19,11.35,11.92
DH,2022-11-14,12.02,12.07,10.79,11.34
DH,2022-11-15,11.76,11.98,11.39,11.64
DH,2022-11-16,11.64,11.64,10.78,11.02
DH,2022-11-17,10.78,10.95,10.5055,10.87
DH,2022-11-18,11.24,11.67,10.725,10.8
