ticker,date,open,high,low,close
DTSS,2018-03-05,18.45,18.6,18.45,18.48
DTSS,2018-03-06,18.48,18.75,18.45,18.6
DTSS,2018-03-07,18.42,18.63,18.42,18.57
DTSS,2018-03-08,18.54,18.57,18.45,18.57
DTSS,2018-03-09,18.42,18.54,17.37,18.0
DTSS,2018-03-12,18.15,18.15,17.94,18.0
DTSS,2018-03-13,17.7,18.0,17.34,17.7
DTSS,2018-03-14,17.46,17.7,17.4,17.49
DTSS,2018-03-15,17.49,17.52,17.4,17.52
DTSS,2018-03-16,17.52,17.55,17.49,17.49
DTSS,2018-03-19,17.46,17.55,17.46,17.55
DTSS,2018-03-20,17.52,17.52,17.49,17.52
DTSS,2018-03-21,17.49,17.55,17.49,17.55
DTSS,2018-03-22,17.55,17.55,17.49,17.55
DTSS,2018-03-23,17.55,17.58,17.49,17.49
DTSS,2018-03-26,17.52,17.55,17.46,17.55
DTSS,2018-03-27,17.52,17.52,17.46,17.46
DTSS,2018-03-28,17.46,17.52,17.46,17.52
DTSS,2018-03-29,17.52,17.58,17.52,17.58
DTSS,2018-04-02,17.64,17.67,17.64,17.64
DTSS,2018-04-03,17.67,17.7,17.64,17.67
DTSS,2018-04-04,17.7,17.7,17.61,17.67
DTSS,2018-04-05,17.67,17.67,17.64,17.64
DTSS,2018-04-06,17.64,17.7,17.64,17.7
DTSS,2018-04-09,17.73,17.73,17.67,17.7
DTSS,2018-04-10,17.7,17.7,17.64,17.67
DTSS,2018-04-11,17.64,17.7,17.64,17.64
DTSS,2018-04-12,17.64,17.67,17.64,17.67
DTSS,2018-04-13,17.67,17.7,17.64,17.67
DTSS,2018-04-16,17.7,18.0,17.7,17.73
DTSS,2018-04-17,17.76,17.76,17.73,17.76
DTSS,2018-04-18,17.76,17.79,17.73,17.76
DTSS,2018-04-19,17.7,17.7,17.7,17.7
DTSS,2018-04-20,17.7,17.76,17.4,17.76
DTSS,2018-04-23,17.4,17.4,17.34,17.34
DTSS,2018-04-24,16.35,17.1,16.35,17.1
DTSS,2018-04-25,17.1,17.25,16.8,16.8
DTSS,2018-04-26,16.5,16.5,16.5,16.5
DTSS,2018-04-27,16.5,16.8,16.5,16.8
DTSS,2018-04-30,16.5,16.65,16.5,16.5
DTSS,2018-05-01,16.5,16.5,16.5,16.5
DTSS,2018-05-02,17.34,17.34,17.34,17.34
DTSS,2018-05-03,16.55,16.6,16.55,16.6
DTSS,2018-05-04,16.0,17.0,16.0,17.0
DTSS,2018-05-07,17.5,17.5,17.4,17.5
DTSS,2018-05-08,17.5,17.6,17.5,17.6
DTSS,2018-05-09,17.99,17.99,17.99,17.99
DTSS,2018-05-10,17.95,18.0,17.95,18.0
DTSS,2018-05-11,17.9,18.0,17.9,18.0
DTSS,2018-05-14,18.0,18.0,17.8,17.8
DTSS,2018-05-15,17.0,17.0,11.0,14.75
DTSS,2018-05-16,14.5,15.55,14.5,15.55
DTSS,2018-05-17,17.0,17.0,17.0,17.0
DTSS,2018-05-18,17.0,17.0,16.99,16.99
DTSS,2018-05-21,17.1,17.1,17.1,17.1
DTSS,2018-05-22,17.19,17.2,17.19,17.2
DTSS,2018-05-23,17.5,17.5,17.5,17.5
DTSS,2018-05-24,17.55,17.89,17.55,17.8
DTSS,2018-05-25,17.8,17.8,17.8,17.8
DTSS,2018-05-29,17.7,17.7,17.7,17.7
DTSS,2018-05-30,17.74,17.74,17.74,17.74
DTSS,2018-05-31,17.8,17.8,17.5,17.75
DTSS,2018-06-01,17.7,17.7,17.7,17.7
DTSS,2018-06-04,17.75,17.75,17.75,17.75
DTSS,2018-06-05,17.75,17.78,17.75,17.78
DTSS,2018-06-06,17.78,17.78,17.78,17.78
DTSS,2018-06-07,17.78,17.78,17.78,17.78
DTSS,2018-06-08,17.8,17.8,17.8,17.8
DTSS,2018-06-11,17.8,17.8,17.8,17.8
DTSS,2018-06-12,17.8,17.85,17.8,17.85
DTSS,2018-06-13,17.85,17.9,17.85,17.9
DTSS,2018-06-14,17.9,17.9,17.9,17.9
DTSS,2018-06-15,17.9,17.94,17.9,17.94
DTSS,2018-06-18,17.91,17.91,17.91,17.91
DTSS,2018-06-19,17.91,17.91,17.91,17.91
DTSS,2018-06-20,17.9,17.93,17.9,17.93
DTSS,2018-06-21,17.95,17.95,17.95,17.95
DTSS,2018-06-22,17.95,17.95,17.95,17.95
DTSS,2018-06-25,17.95,17.95,17.95,17.95
DTSS,2018-06-26,17.95,17.95,17.95,17.95
DTSS,2018-06-27,17.95,17.95,17.95,17.95
DTSS,2018-06-28,17.9,17.95,17.9,17.95
DTSS,2018-06-29,17.95,17.96,17.95,17.96
DTSS,2018-07-02,17.95,17.96,17.95,17.96
DTSS,2018-07-03,17.97,17.97,17.97,17.97
DTSS,2018-07-05,17.95,17.95,17.9,17.95
DTSS,2018-07-06,17.95,17.95,15.0,15.01
DTSS,2018-07-09,16.5,16.5,16.5,16.5
DTSS,2018-07-10,17.0,17.0,17.0,17.0
DTSS,2018-07-11,16.98,16.98,16.98,16.98
DTSS,2018-07-12,16.98,16.98,16.0,16.0
DTSS,2018-07-13,16.49,16.49,16.49,16.49
DTSS,2018-07-16,16.5,16.5,16.5,16.5
DTSS,2018-07-17,16.6,16.6,16.6,16.6
DTSS,2018-07-18,16.6,16.6,16.6,16.6
DTSS,2018-07-19,16.65,17.0,16.65,17.0
DTSS,2018-07-20,17.0,17.0,17.0,17.0
DTSS,2018-07-23,16.99,16.99,16.99,16.99
DTSS,2018-07-24,16.99,16.99,16.99,16.99
DTSS,2018-07-25,17.5,17.5,17.5,17.5
DTSS,2018-07-26,17.49,17.49,17.49,17.49
DTSS,2018-07-27,17.49,17.49,17.49,17.49
DTSS,2018-07-30,17.5,17.5,17.5,17.5
DTSS,2018-07-31,17.5,17.5,17.5,17.5
DTSS,2018-08-01,17.5,17.5,17.49,17.49
DTSS,2018-08-02,17.49,17.49,17.49,17.49
DTSS,2018-08-03,17.49,17.49,17.49,17.49
DTSS,2018-08-06,17.49,17.49,17.49,17.49
DTSS,2018-08-07,17.46,17.46,17.46,17.46
DTSS,2018-08-08,17.46,17.46,17.46,17.46
DTSS,2018-08-09,17.5,17.5,17.5,17.5
DTSS,2018-08-10,17.5,17.5,17.5,17.5
DTSS,2018-08-13,17.49,17.49,17.46,17.46
DTSS,2018-08-14,17.46,17.5,17.46,17.46
DTSS,2018-08-15,17.49,17.49,17.49,17.49
DTSS,2018-08-16,17.49,17.49,17.49,17.49
DTSS,2018-08-17,17.49,17.49,17.49,17.49
DTSS,2018-08-20,17.5,17.5,17.5,17.5
DTSS,2018-08-21,17.5,17.5,17.5,17.5
DTSS,2018-08-22,17.5,17.5,17.5,17.5
DTSS,2018-08-23,17.5,17.5,17.5,17.5
DTSS,2018-08-24,17.49,17.49,17.49,17.49
DTSS,2018-08-27,17.49,17.49,17.49,17.49
DTSS,2018-08-28,17.49,17.49,17.49,17.49
DTSS,2018-08-29,17.5,17.5,17.5,17.5
DTSS,2018-08-30,17.5,17.5,17.5,17.5
DTSS,2018-08-31,17.54,17.55,17.54,17.55
DTSS,2018-09-04,17.55,17.59,17.55,17.59
DTSS,2018-09-05,17.6,17.6,17.6,17.6
DTSS,2018-09-06,17.5,17.5,17.5,17.5
DTSS,2018-09-07,17.5,17.5,17.5,17.5
DTSS,2018-09-10,17.5,17.5,17.5,17.5
DTSS,2018-09-11,17.49,17.49,17.49,17.49
DTSS,2018-09-12,17.49,17.49,17.49,17.49
DTSS,2018-09-13,17.49,17.49,17.49,17.49
DTSS,2018-09-14,17.49,17.49,17.49,17.49
DTSS,2018-09-17,17.49,17.49,17.49,17.49
DTSS,2018-09-18,17.49,17.49,17.49,17.49
DTSS,2018-09-19,17.49,17.49,17.49,17.49
DTSS,2018-09-20,17.5,17.5,17.5,17.5
DTSS,2018-09-21,17.5,17.7,17.5,17.7
DTSS,2018-09-24,17.7,17.7,17.65,17.65
DTSS,2018-09-25,17.0,17.7,17.0,17.7
DTSS,2018-09-26,17.7,17.7,17.7,17.7
DTSS,2018-09-27,17.7,17.7,17.67,17.67
DTSS,2018-09-28,17.7,17.7,17.7,17.7
