ticker,date,open,high,low,close
DVAX,2004-02-19,83.0,99.8,80.5,94.0
DVAX,2004-02-20,95.4,95.7,85.4,90.0
DVAX,2004-02-23,92.5,92.5,80.4,86.0
DVAX,2004-02-24,83.9,90.0,82.2,85.5
DVAX,2004-02-25,85.0,87.5,85.0,86.0
DVAX,2004-02-26,87.4,90.0,85.0,88.0
DVAX,2004-02-27,90.0,91.5,82.4,84.0
DVAX,2004-03-01,85.1,85.1,81.5,82.1
DVAX,2004-03-02,83.0,84.0,79.1,82.0
DVAX,2004-03-03,82.0,82.0,80.0,81.5
DVAX,2004-03-04,81.1,90.0,79.1,88.5
DVAX,2004-03-05,83.0,92.0,78.8,82.4
DVAX,2004-03-08,82.4,83.0,79.0,82.0
DVAX,2004-03-09,82.8,82.8,77.3,80.0
DVAX,2004-03-10,81.1,84.2,80.0,81.5
DVAX,2004-03-11,81.9,82.7,78.8,80.0
DVAX,2004-03-12,78.0,82.0,78.0,80.5
DVAX,2004-03-15,81.5,81.5,78.0,80.5
DVAX,2004-03-16,79.5,79.5,77.6,77.6
DVAX,2004-03-17,80.5,80.5,77.5,79.9
DVAX,2004-03-18,78.0,80.0,75.2,78.4
DVAX,2004-03-19,77.9,80.0,75.1,75.5
DVAX,2004-03-22,75.5,77.3,73.6,73.8
DVAX,2004-03-23,75.0,75.3,73.7,74.1
DVAX,2004-03-24,74.0,74.0,71.2,72.0
DVAX,2004-03-25,71.0,74.0,71.0,72.0
DVAX,2004-03-26,71.5,75.7,71.5,73.9
DVAX,2004-03-29,71.7,76.9,71.7,76.3
DVAX,2004-03-30,77.2,77.3,75.5,77.0
DVAX,2004-03-31,84.0,84.0,74.8,75.8
DVAX,2004-04-01,75.0,75.8,74.6,74.8
DVAX,2004-04-02,78.8,78.8,73.6,74.7
DVAX,2004-04-05,78.8,78.8,76.0,77.4
DVAX,2004-04-06,74.0,77.0,73.0,76.0
DVAX,2004-04-07,73.2,75.0,69.1,69.6
DVAX,2004-04-08,74.8,75.0,65.0,66.9
DVAX,2004-04-12,72.0,72.0,66.0,72.0
DVAX,2004-04-13,71.5,71.5,66.5,68.8
DVAX,2004-04-14,66.3,71.9,66.3,71.3
DVAX,2004-04-15,62.1,71.8,62.1,71.5
DVAX,2004-04-16,71.5,72.9,71.5,71.5
DVAX,2004-04-19,67.5,72.5,67.5,70.0
DVAX,2004-04-20,69.5,71.0,67.0,67.5
DVAX,2004-04-21,67.6,69.2,60.1,63.3
DVAX,2004-04-22,66.8,71.5,61.5,66.7
DVAX,2004-04-23,68.0,71.5,64.5,64.5
DVAX,2004-04-26,70.0,70.0,65.0,65.6
DVAX,2004-04-27,69.9,69.9,65.0,67.2
DVAX,2004-04-28,65.1,67.1,65.0,65.0
DVAX,2004-04-29,65.2,68.8,65.0,65.0
DVAX,2004-04-30,65.1,70.0,65.1,69.8
DVAX,2004-05-03,66.1,70.0,65.0,65.0
DVAX,2004-05-04,67.5,67.5,64.0,65.0
DVAX,2004-05-05,62.6,65.0,62.6,64.7
DVAX,2004-05-06,65.5,67.5,63.0,66.4
DVAX,2004-05-07,67.5,67.5,62.8,63.1
DVAX,2004-05-10,66.9,66.9,62.0,62.5
DVAX,2004-05-11,65.0,65.0,62.0,65.0
DVAX,2004-05-12,64.0,75.5,61.6,75.5
DVAX,2004-05-13,73.0,77.0,66.0,69.8
DVAX,2004-05-14,67.2,79.9,67.2,79.5
DVAX,2004-05-17,78.0,80.5,75.9,80.0
DVAX,2004-05-18,80.0,82.5,79.5,81.1
DVAX,2004-05-19,80.0,80.0,75.0,75.0
DVAX,2004-05-20,80.0,80.0,79.9,80.0
DVAX,2004-05-21,77.1,87.5,75.9,87.5
DVAX,2004-05-24,83.0,89.2,83.0,86.9
DVAX,2004-05-25,88.9,89.2,76.0,87.5
DVAX,2004-05-26,89.0,90.0,87.5,90.0
DVAX,2004-05-27,89.7,91.1,86.5,90.5
DVAX,2004-05-28,89.0,93.0,88.7,93.0
DVAX,2004-06-01,93.0,93.5,92.0,92.2
DVAX,2004-06-02,92.3,93.4,88.7,92.7
DVAX,2004-06-03,92.5,92.6,90.0,90.0
DVAX,2004-06-04,91.5,92.5,90.2,90.2
DVAX,2004-06-07,90.4,91.5,85.3,90.0
DVAX,2004-06-08,89.9,90.0,87.9,87.9
DVAX,2004-06-09,90.0,91.4,89.3,89.3
DVAX,2004-06-10,82.3,89.9,82.3,89.0
DVAX,2004-06-14,90.0,90.0,87.5,89.6
DVAX,2004-06-15,89.3,90.4,86.8,90.4
DVAX,2004-06-16,89.3,90.7,85.5,87.6
DVAX,2004-06-17,90.3,90.4,86.0,88.5
DVAX,2004-06-18,90.1,90.1,84.5,87.4
DVAX,2004-06-21,84.4,90.1,84.4,88.9
DVAX,2004-06-22,88.9,90.0,86.6,87.0
DVAX,2004-06-23,87.7,89.6,85.6,89.6
DVAX,2004-06-24,89.4,89.7,86.9,88.2
DVAX,2004-06-25,87.6,89.2,51.4,81.4
DVAX,2004-06-28,81.5,82.9,74.7,75.8
DVAX,2004-06-29,77.3,80.0,70.3,70.3
DVAX,2004-06-30,70.8,71.6,65.9,66.6
DVAX,2004-07-01,67.8,68.7,65.1,65.1
DVAX,2004-07-02,65.0,66.2,63.8,65.8
DVAX,2004-07-06,66.9,66.9,63.4,64.3
DVAX,2004-07-07,63.7,65.5,62.9,63.0
DVAX,2004-07-08,62.5,62.5,55.4,55.6
DVAX,2004-07-09,55.5,57.7,55.0,55.1
DVAX,2004-07-12,55.3,65.1,52.9,62.3
DVAX,2004-07-13,57.4,59.3,55.1,59.3
DVAX,2004-07-14,56.9,64.6,55.0,55.1
DVAX,2004-07-15,57.3,59.7,57.2,57.3
DVAX,2004-07-16,57.2,59.7,55.0,55.0
DVAX,2004-07-19,55.1,58.5,54.7,58.5
DVAX,2004-07-20,60.0,60.0,53.0,55.0
DVAX,2004-07-21,56.8,59.6,52.2,52.2
DVAX,2004-07-22,52.8,52.8,49.0,49.0
DVAX,2004-07-23,52.0,52.4,45.3,45.9
DVAX,2004-07-26,49.3,49.3,40.2,41.8
DVAX,2004-07-27,40.2,46.5,40.2,46.5
DVAX,2004-07-28,50.0,52.2,49.9,50.0
DVAX,2004-07-29,49.9,51.9,49.9,51.8
DVAX,2004-07-30,51.8,52.9,50.2,50.2
DVAX,2004-08-02,49.6,53.0,49.6,50.0
DVAX,2004-08-03,50.0,50.0,43.5,45.0
DVAX,2004-08-04,41.8,49.2,41.8,45.2
DVAX,2004-08-05,44.4,49.4,44.1,45.0
DVAX,2004-08-06,42.6,45.5,42.6,45.1
DVAX,2004-08-09,44.0,51.0,44.0,48.8
DVAX,2004-08-10,48.9,60.0,47.9,60.0
DVAX,2004-08-11,61.2,67.1,59.1,63.0
DVAX,2004-08-12,67.2,67.2,61.0,64.4
DVAX,2004-08-13,66.7,66.7,63.4,64.9
DVAX,2004-08-16,67.2,68.3,61.7,62.5
DVAX,2004-08-17,61.2,62.4,57.8,60.0
DVAX,2004-08-18,52.4,58.0,51.6,54.3
DVAX,2004-08-19,51.6,54.3,51.6,52.1
DVAX,2004-08-20,51.1,54.7,51.1,53.5
DVAX,2004-08-23,52.2,55.1,51.0,51.0
DVAX,2004-08-24,52.0,52.0,48.1,51.2
DVAX,2004-08-25,51.8,51.8,47.9,50.8
DVAX,2004-08-26,47.8,49.0,45.0,45.8
DVAX,2004-08-27,47.1,47.5,42.1,42.5
