ticker,date,open,high,low,close
DXCM,2005-04-13,3.0,3.0,3.0,3.0
DXCM,2005-04-14,3.02,3.05,2.7025,2.935
DXCM,2005-04-15,2.9125,2.925,2.5575,2.5625
DXCM,2005-04-18,2.625,2.705,2.6,2.625
DXCM,2005-04-19,2.75,2.75,2.64,2.645
DXCM,2005-04-20,2.6375,2.675,2.625,2.65
DXCM,2005-04-21,2.65,2.6575,2.625,2.625
DXCM,2005-04-22,2.69,2.7425,2.625,2.63
DXCM,2005-04-25,2.665,2.6875,2.6275,2.6375
DXCM,2005-04-26,2.6275,2.6625,2.625,2.625
DXCM,2005-04-27,2.625,2.635,2.4025,2.4475
DXCM,2005-04-28,2.4175,2.54,2.4175,2.475
DXCM,2005-04-29,2.5,2.575,2.5,2.5
DXCM,2005-05-02,2.47,2.525,2.4675,2.4775
DXCM,2005-05-03,2.495,2.525,2.475,2.5
DXCM,2005-05-04,2.5,2.525,2.475,2.525
DXCM,2005-05-05,2.5025,2.5225,2.475,2.475
DXCM,2005-05-06,2.475,2.5,2.475,2.5
DXCM,2005-05-09,2.5225,2.525,2.475,2.475
DXCM,2005-05-10,2.6175,2.9375,2.525,2.8475
DXCM,2005-05-11,2.8525,2.9375,2.825,2.8675
DXCM,2005-05-12,2.875,2.925,2.7375,2.8275
DXCM,2005-05-13,2.8975,2.915,2.84,2.9075
DXCM,2005-05-16,2.9,3.225,2.8775,3.1425
DXCM,2005-05-17,3.185,3.685,3.1075,3.4875
DXCM,2005-05-18,3.5575,3.575,3.4125,3.4975
DXCM,2005-05-19,3.5,3.5075,3.4825,3.4975
DXCM,2005-05-20,3.5,3.51,3.4475,3.47
DXCM,2005-05-23,3.5,3.505,3.3425,3.5
DXCM,2005-05-24,3.5075,3.55,3.475,3.5
DXCM,2005-05-25,3.4625,3.5375,3.375,3.5125
DXCM,2005-05-26,3.4875,3.65,3.4875,3.5025
DXCM,2005-05-27,3.555,3.5625,3.5,3.55
DXCM,2005-05-31,3.58,3.58,3.4225,3.5
DXCM,2005-06-01,3.5625,3.565,3.395,3.4775
DXCM,2005-06-02,3.46,3.46,3.375,3.39
DXCM,2005-06-03,3.385,3.4525,3.375,3.435
DXCM,2005-06-06,3.46,3.5,3.4375,3.5
DXCM,2005-06-07,3.5125,3.6475,3.505,3.6475
DXCM,2005-06-08,3.645,3.77,3.645,3.725
DXCM,2005-06-09,3.725,3.8225,3.615,3.7225
DXCM,2005-06-10,3.74,3.895,3.6625,3.77
DXCM,2005-06-13,3.8975,3.9975,3.8,3.85
DXCM,2005-06-14,3.975,3.975,3.7375,3.77
DXCM,2005-06-15,3.73,3.875,3.73,3.8475
DXCM,2005-06-16,3.8475,3.875,3.7675,3.8125
DXCM,2005-06-17,3.875,3.875,3.75,3.8
DXCM,2005-06-20,3.825,3.825,3.725,3.7525
DXCM,2005-06-21,3.7375,3.75,3.5025,3.61
DXCM,2005-06-22,3.5625,3.565,3.3075,3.3825
DXCM,2005-06-23,3.32,3.3625,3.125,3.1825
DXCM,2005-06-24,3.12,3.245,3.0,3.0
DXCM,2005-06-27,3.04,3.05,2.8775,2.9875
DXCM,2005-06-28,3.0625,3.13,2.9875,3.125
DXCM,2005-06-29,3.1625,3.1625,3.0625,3.0925
DXCM,2005-06-30,3.0825,3.125,3.06,3.1
DXCM,2005-07-01,3.1,3.125,3.1,3.11
DXCM,2005-07-05,3.125,3.1325,3.075,3.13
