ticker,date,open,high,low,close
EBON,2020-06-26,138.0,156.9,114.3,150.0
EBON,2020-06-29,128.4,135.0,121.5,135.0
EBON,2020-06-30,126.3,144.0,126.0,141.9
EBON,2020-07-01,143.1,143.1,114.0,119.1
EBON,2020-07-02,133.5,156.0,124.5,131.1
EBON,2020-07-06,132.0,133.5,121.8,127.2
EBON,2020-07-07,122.4,127.5,120.6,123.3
EBON,2020-07-08,123.3,129.0,120.3,126.3
EBON,2020-07-09,123.0,125.4,120.3,124.5
EBON,2020-07-10,124.5,127.2,121.5,126.0
EBON,2020-07-13,126.0,137.7,125.7,137.7
EBON,2020-07-14,180.0,240.0,136.5,142.5
EBON,2020-07-15,142.5,175.8,138.0,165.0
EBON,2020-07-16,186.6,219.0,144.9,151.8
EBON,2020-07-17,151.8,156.0,138.0,145.8
EBON,2020-07-20,146.4,146.4,130.8,133.2
EBON,2020-07-21,135.0,145.8,134.7,135.0
EBON,2020-07-22,133.5,135.0,129.0,132.3
EBON,2020-07-23,130.2,138.627,129.6,131.7
EBON,2020-07-24,132.0,132.9,124.5,126.0
EBON,2020-07-27,129.6,146.4,129.6,143.7
EBON,2020-07-28,140.1,150.0,138.003,139.8
EBON,2020-07-29,139.5,149.4,138.3,144.0
EBON,2020-07-30,140.4,142.5,132.6,137.1
EBON,2020-07-31,135.6,141.9,135.0,137.1
EBON,2020-08-03,141.9,160.365,141.9,146.4
EBON,2020-08-04,145.5,148.5,136.2,137.1
EBON,2020-08-05,144.0,149.4,139.803,140.1
EBON,2020-08-06,138.9,149.4,138.0,144.9
EBON,2020-08-07,145.2,146.7,138.6,144.6
EBON,2020-08-10,141.3,146.7,141.0,143.4
EBON,2020-08-11,138.9,146.7,135.9,141.3
EBON,2020-08-12,144.9,144.9,135.6,138.6
EBON,2020-08-13,138.0,144.0,137.1,142.2
EBON,2020-08-14,174.3,209.4,157.5,201.6
EBON,2020-08-17,210.0,222.0,187.5,189.6
EBON,2020-08-18,192.6,203.1,181.8,181.8
EBON,2020-08-19,180.3,181.797,166.8,173.1
EBON,2020-08-20,171.9,187.5,150.9,174.9
EBON,2020-08-21,173.7,181.839,172.65,174.3
EBON,2020-08-24,174.6,183.0,172.5,174.9
EBON,2020-08-25,173.4,187.2,173.4,179.4
EBON,2020-08-26,177.0,190.5,176.403,186.9
EBON,2020-08-27,187.2,194.7,180.6,184.5
EBON,2020-08-28,180.0,196.5,180.0,188.4
EBON,2020-08-31,189.0,195.0,180.6,183.0
EBON,2020-09-01,182.1,187.8,169.2,180.0
EBON,2020-09-02,179.7,188.697,166.8,181.5
EBON,2020-09-03,180.3,228.0,177.6,209.1
EBON,2020-09-04,218.1,258.0,216.708,223.2
EBON,2020-09-08,216.0,218.37,192.9,212.1
EBON,2020-09-09,201.3,229.5,201.3,222.0
EBON,2020-09-10,224.1,244.5,218.214,234.6
EBON,2020-09-11,236.4,244.17,228.3,231.3
EBON,2020-09-14,225.0,243.0,222.0,237.3
EBON,2020-09-15,234.9,246.582,222.819,235.8
EBON,2020-09-16,235.5,240.6,228.3,239.7
EBON,2020-09-17,241.5,448.5,234.3,317.7
EBON,2020-09-18,317.7,328.8,291.0,295.5
EBON,2020-09-21,277.5,306.3,275.4,296.1
EBON,2020-09-22,298.5,309.6,286.2,288.9
EBON,2020-09-23,291.0,306.0,288.0,298.8
EBON,2020-09-24,294.0,299.4,255.6,288.3
EBON,2020-09-25,299.1,303.3,282.3,295.5
EBON,2020-09-28,312.9,338.925,291.0,294.0
EBON,2020-09-29,293.115,318.0,289.2,311.4
EBON,2020-09-30,306.3,324.0,301.53,312.9
EBON,2020-10-01,315.9,328.2,303.0,316.8
EBON,2020-10-02,310.8,314.7,280.5,281.4
EBON,2020-10-05,282.6,291.417,264.0,276.0
EBON,2020-10-06,299.4,303.6,279.3,282.6
EBON,2020-10-07,282.0,291.6,271.8,288.6
EBON,2020-10-08,291.0,298.05,279.3,291.9
EBON,2020-10-09,291.0,301.5,285.3,292.8
EBON,2020-10-12,292.5,305.1,274.5,276.0
