ticker,date,open,high,low,close
EFSC,2003-07-15,13.4,13.45,13.4,13.4
EFSC,2003-07-16,13.25,13.4,13.25,13.4
EFSC,2003-07-17,13.45,13.45,13.45,13.45
EFSC,2003-07-18,13.3,13.35,13.3,13.3
EFSC,2003-07-21,13.35,13.35,13.3,13.3
EFSC,2003-07-22,13.35,13.35,13.15,13.35
EFSC,2003-07-23,13.35,13.35,13.05,13.05
EFSC,2003-07-24,13.35,13.35,13.35,13.35
EFSC,2003-07-25,13.05,13.05,13.05,13.05
EFSC,2003-07-28,13.05,13.05,13.05,13.05
EFSC,2003-07-29,13.3,13.3,13.15,13.15
EFSC,2003-07-30,13.15,13.15,13.15,13.15
EFSC,2003-07-31,13.05,13.2,12.95,13.2
EFSC,2003-08-01,13.1,13.1,13.1,13.1
EFSC,2003-08-04,13.1,13.1,13.1,13.1
EFSC,2003-08-05,13.1,13.1,13.1,13.1
EFSC,2003-08-06,13.2,13.2,13.15,13.15
EFSC,2003-08-07,13.05,13.15,12.95,13.15
EFSC,2003-08-08,13.15,13.15,13.15,13.15
EFSC,2003-08-11,13.0,13.0,12.85,12.9
EFSC,2003-08-12,12.85,12.85,12.85,12.85
EFSC,2003-08-13,13.0,13.0,12.95,12.95
EFSC,2003-08-14,12.85,12.85,12.85,12.85
EFSC,2003-08-15,13.0,13.2,13.0,13.15
EFSC,2003-08-18,13.15,13.15,13.15,13.15
EFSC,2003-08-19,13.15,13.15,13.12,13.15
EFSC,2003-08-20,13.15,13.15,13.12,13.12
EFSC,2003-08-21,13.15,13.15,13.12,13.12
EFSC,2003-08-22,13.1,13.1,13.05,13.05
EFSC,2003-08-25,13.0,13.05,13.0,13.05
EFSC,2003-08-26,13.05,13.06,13.05,13.06
EFSC,2003-08-27,13.06,13.06,13.06,13.06
EFSC,2003-08-28,13.1,13.1,13.1,13.1
EFSC,2003-08-29,13.1,13.1,13.1,13.1
EFSC,2003-09-02,13.06,13.1,13.06,13.1
EFSC,2003-09-03,13.1,13.1,13.1,13.1
EFSC,2003-09-04,13.1,13.15,13.1,13.15
EFSC,2003-09-05,13.14,13.2,13.1,13.2
EFSC,2003-09-08,13.2,13.2,13.2,13.2
EFSC,2003-09-09,13.2,13.2,13.2,13.2
EFSC,2003-09-10,13.15,13.15,13.15,13.15
EFSC,2003-09-11,13.1,13.1,13.1,13.1
EFSC,2003-09-12,13.01,13.1,12.75,12.95
EFSC,2003-09-15,13.05,13.05,13.0,13.0
EFSC,2003-09-16,13.0,13.0,13.0,13.0
EFSC,2003-09-17,12.95,13.0,12.9,12.95
EFSC,2003-09-18,12.95,12.95,12.95,12.95
EFSC,2003-09-19,12.75,12.95,12.75,12.75
EFSC,2003-09-22,13.0,13.0,12.75,12.75
EFSC,2003-09-23,13.0,13.0,12.9,13.0
EFSC,2003-09-24,13.0,13.0,12.9,13.0
EFSC,2003-09-25,13.0,13.45,13.0,13.41
EFSC,2003-09-26,13.45,13.5,13.4,13.5
EFSC,2003-09-29,13.15,13.25,13.15,13.15
EFSC,2003-09-30,13.15,13.15,13.15,13.15
EFSC,2003-10-01,12.8,12.8,12.75,12.75
EFSC,2003-10-02,12.9,12.9,12.9,12.9
EFSC,2003-10-03,13.0,13.0,13.0,13.0
EFSC,2003-10-06,13.2,13.2,13.2,13.2
EFSC,2003-10-07,13.2,13.2,13.2,13.2
