ticker,date,open,high,low,close
ENTA,2013-03-21,14.51,17.85,14.31,17.18
ENTA,2013-03-22,17.57,17.57,16.71,16.81
ENTA,2013-03-25,17.4,17.4,16.8,16.83
ENTA,2013-03-26,16.91,17.314,16.9,17.09
ENTA,2013-03-27,16.95,17.23,16.58,17.09
ENTA,2013-03-28,16.98,18.5,16.92,18.2
ENTA,2013-04-01,18.26,21.809,18.26,19.93
ENTA,2013-04-02,20.13,21.38,19.54,20.16
ENTA,2013-04-03,20.21,20.59,19.5,19.93
ENTA,2013-04-04,19.98,20.408,19.58,19.84
ENTA,2013-04-05,19.85,20.43,19.71,20.34
ENTA,2013-04-08,21.19,21.19,20.19,20.8
ENTA,2013-04-09,20.99,21.0,20.5,20.65
ENTA,2013-04-10,20.494,22.17,20.494,21.69
ENTA,2013-04-11,21.5,21.72,21.03,21.12
ENTA,2013-04-12,20.66,20.93,19.05,19.68
ENTA,2013-04-15,20.27,21.0,19.78,20.35
ENTA,2013-04-16,21.57,21.8,19.88,20.0
ENTA,2013-04-17,20.5,20.5,19.5,19.9
ENTA,2013-04-18,20.36,20.64,20.0,20.64
ENTA,2013-04-19,20.8,20.82,20.03,20.13
ENTA,2013-04-22,20.234,20.82,20.234,20.43
ENTA,2013-04-23,21.21,22.4,20.35,20.99
ENTA,2013-04-24,21.2,21.32,20.73,21.01
ENTA,2013-04-25,21.0,21.5,18.0,18.52
ENTA,2013-04-26,18.75,20.95,18.75,20.62
ENTA,2013-04-29,21.29,21.29,20.05,20.43
ENTA,2013-04-30,20.5,20.5,19.7,19.96
ENTA,2013-05-01,20.11,20.49,19.5,19.73
ENTA,2013-05-02,19.91,20.16,18.79,19.57
ENTA,2013-05-03,19.64,20.38,18.77,19.37
ENTA,2013-05-06,19.34,20.32,19.32,19.9
ENTA,2013-05-07,19.78,20.04,19.7,19.92
ENTA,2013-05-08,19.97,20.4,19.7,20.07
ENTA,2013-05-09,20.1,20.1,19.9,20.05
ENTA,2013-05-10,20.08,20.1,19.45,19.9
ENTA,2013-05-13,19.95,19.95,19.426,19.79
ENTA,2013-05-14,19.67,19.9,19.5,19.76
ENTA,2013-05-15,19.87,20.62,19.508,20.4
ENTA,2013-05-16,20.42,21.48,20.05,20.85
ENTA,2013-05-17,20.46,21.86,20.32,20.88
ENTA,2013-05-20,20.89,21.5,20.65,20.7
ENTA,2013-05-21,20.86,21.23,20.15,20.4
ENTA,2013-05-22,20.57,20.57,20.05,20.06
ENTA,2013-05-23,20.04,20.19,19.7,19.86
ENTA,2013-05-24,19.94,20.0,19.75,20.0
ENTA,2013-05-28,20.0,20.19,19.82,19.95
ENTA,2013-05-29,19.93,19.952,19.65,19.78
ENTA,2013-05-30,19.69,19.69,19.15,19.5
ENTA,2013-05-31,19.43,19.65,19.3,19.48
ENTA,2013-06-03,19.85,19.95,18.77,18.97
ENTA,2013-06-04,18.86,18.93,17.0,18.57
ENTA,2013-06-05,18.67,19.0,18.57,18.89
ENTA,2013-06-06,18.99,18.99,18.386,18.75
ENTA,2013-06-07,18.76,19.0,18.76,18.8
ENTA,2013-06-10,18.83,18.95,18.23,18.82
ENTA,2013-06-11,18.65,19.0,18.3,18.76
ENTA,2013-06-12,18.86,18.95,18.0,18.16
ENTA,2013-06-13,18.085,18.085,17.01,17.45
ENTA,2013-06-14,17.45,17.512,16.61,16.87
ENTA,2013-06-17,16.88,17.05,16.18,16.49
ENTA,2013-06-18,16.53,18.39,16.48,17.72
ENTA,2013-06-19,18.08,18.4,17.52,17.74
ENTA,2013-06-20,17.7,17.7,17.3,17.47
ENTA,2013-06-21,17.3,18.019,17.05,17.6
ENTA,2013-06-24,17.64,18.01,17.16,17.89
ENTA,2013-06-25,17.99,18.28,17.3,18.0
ENTA,2013-06-26,18.05,18.35,17.8,18.2
ENTA,2013-06-27,18.16,18.615,17.89,17.99
ENTA,2013-06-28,18.0,18.5,17.53,17.71
ENTA,2013-07-01,17.67,18.24,17.09,17.29
ENTA,2013-07-02,17.1,17.81,17.05,17.52
ENTA,2013-07-03,17.36,17.66,17.05,17.24
ENTA,2013-07-05,17.16,17.458,17.12,17.38
ENTA,2013-07-08,17.48,17.86,17.46,17.7
ENTA,2013-07-09,17.83,18.249,17.698,18.1
ENTA,2013-07-10,18.04,19.08,18.04,19.0
ENTA,2013-07-11,19.1,19.23,18.15,18.29
ENTA,2013-07-12,18.748,18.748,17.5,17.8
ENTA,2013-07-15,17.76,17.98,17.34,17.96
ENTA,2013-07-16,18.1,18.33,17.52,17.69
ENTA,2013-07-17,17.82,19.02,17.66,18.7
ENTA,2013-07-18,18.74,18.86,18.01,18.19
ENTA,2013-07-19,18.11,18.49,17.35,17.65
ENTA,2013-07-22,17.51,17.98,17.21,17.44
ENTA,2013-07-23,17.34,17.495,17.09,17.2
ENTA,2013-07-24,17.2,18.09,17.01,17.19
ENTA,2013-07-25,17.4,17.6,17.15,17.44
ENTA,2013-07-26,17.49,17.68,17.11,17.37
ENTA,2013-07-29,17.37,17.77,16.85,16.98
ENTA,2013-07-30,17.0,17.57,16.85,17.01
ENTA,2013-07-31,17.2,18.34,17.0,18.34
ENTA,2013-08-01,18.36,19.47,18.058,19.18
ENTA,2013-08-02,19.22,19.256,18.662,18.93
ENTA,2013-08-05,18.77,19.2,18.61,19.1
ENTA,2013-08-06,19.01,19.22,18.76,18.92
ENTA,2013-08-07,18.69,19.0,17.88,18.09
ENTA,2013-08-08,18.1,18.26,17.52,17.69
ENTA,2013-08-09,17.65,17.89,17.59,17.67
ENTA,2013-08-12,18.0,18.97,18.0,18.87
ENTA,2013-08-13,19.0,19.25,18.8,18.98
ENTA,2013-08-14,19.13,19.13,18.46,18.71
ENTA,2013-08-15,18.68,19.7,18.54,19.02
ENTA,2013-08-16,19.0,19.02,18.52,18.58
ENTA,2013-08-19,18.51,18.94,18.51,18.72
ENTA,2013-08-20,18.92,19.44,18.68,18.8
ENTA,2013-08-21,18.84,19.2,18.7,19.05
ENTA,2013-08-22,19.0,19.28,18.91,18.98
ENTA,2013-08-23,18.7,18.94,18.211,18.5
ENTA,2013-08-26,18.37,19.19,18.37,18.67
ENTA,2013-08-27,18.63,18.89,18.25,18.44
ENTA,2013-08-28,18.4,18.89,18.4,18.67
ENTA,2013-08-29,18.79,19.09,18.51,18.6
ENTA,2013-08-30,18.61,18.703,18.53,18.58
ENTA,2013-09-03,19.0,19.23,18.61,18.74
ENTA,2013-09-04,18.93,18.99,18.65,18.87
ENTA,2013-09-05,18.75,19.18,18.65,18.98
ENTA,2013-09-06,19.0,19.2,18.51,18.61
ENTA,2013-09-09,18.7,18.8,18.55,18.77
ENTA,2013-09-10,18.93,19.3,18.6,19.29
ENTA,2013-09-11,19.21,19.67,19.16,19.62
ENTA,2013-09-12,19.68,19.78,19.35,19.61
ENTA,2013-09-13,19.71,19.71,19.01,19.09
ENTA,2013-09-16,18.75,19.34,18.25,19.13
ENTA,2013-09-17,19.03,21.87,18.88,21.39
ENTA,2013-09-18,21.39,23.13,21.38,22.42
ENTA,2013-09-19,22.8,25.02,22.33,24.75
ENTA,2013-09-20,24.86,26.39,24.43,25.0
ENTA,2013-09-23,25.0,25.25,23.251,23.59
ENTA,2013-09-24,24.0,24.0,22.85,22.95
ENTA,2013-09-25,22.93,23.14,22.61,22.75
ENTA,2013-09-26,23.0,23.62,23.0,23.29
ENTA,2013-09-27,23.3,23.44,22.91,23.01
ENTA,2013-09-30,23.0,23.46,22.63,22.92
ENTA,2013-10-01,22.99,24.202,22.83,23.71
ENTA,2013-10-02,23.8,24.29,23.19,23.27
ENTA,2013-10-03,23.48,23.48,22.7,22.74
ENTA,2013-10-04,22.75,22.75,21.46,21.84
ENTA,2013-10-07,21.95,22.0,21.61,21.66
ENTA,2013-10-08,21.79,22.7,20.79,20.9
ENTA,2013-10-09,20.9,21.31,19.9,20.56
ENTA,2013-10-10,20.75,21.42,20.75,20.92
