ticker,date,open,high,low,close
ERAS,2021-07-16,15.9,18.62,14.51,17.43
ERAS,2021-07-19,16.5,18.32,15.6696,17.93
ERAS,2021-07-20,18.5,19.8,17.8301,19.23
ERAS,2021-07-21,19.55,20.19,18.56,19.92
ERAS,2021-07-22,19.89,20.27,18.7025,20.0
ERAS,2021-07-23,19.8,20.24,18.85,19.12
ERAS,2021-07-26,19.2,19.31,18.02,18.85
ERAS,2021-07-27,19.0,19.305,18.2,18.96
ERAS,2021-07-28,18.9,20.25,18.5,20.0
ERAS,2021-07-29,20.15,21.31,19.48,20.99
ERAS,2021-07-30,20.63,21.23,18.4525,21.0
ERAS,2021-08-02,21.21,21.24,19.02,19.28
ERAS,2021-08-03,19.71,20.8,19.71,20.09
ERAS,2021-08-04,20.43,20.7,19.64,20.57
ERAS,2021-08-05,20.78,21.65,20.14,20.64
ERAS,2021-08-06,20.57,21.2205,20.0135,20.99
ERAS,2021-08-09,21.02,21.25,20.52,21.15
ERAS,2021-08-10,21.48,22.91,20.0,20.25
ERAS,2021-08-11,20.7,21.34,20.33,21.02
ERAS,2021-08-12,21.07,21.35,19.3,19.32
ERAS,2021-08-13,19.38,20.23,19.0001,20.08
ERAS,2021-08-16,19.77,20.58,19.01,19.52
ERAS,2021-08-17,19.5,20.4365,19.39,19.65
ERAS,2021-08-18,19.77,20.545,19.24,19.27
ERAS,2021-08-19,19.0,20.325,18.81,20.09
ERAS,2021-08-20,20.26,21.07,20.17,20.97
ERAS,2021-08-23,21.2,21.5,20.615,20.86
ERAS,2021-08-24,20.82,21.55,20.5589,20.89
ERAS,2021-08-25,20.9,22.34,20.6,21.95
ERAS,2021-08-26,22.05,23.0957,21.9501,22.4
ERAS,2021-08-27,22.32,23.75,22.07,23.01
ERAS,2021-08-30,23.18,23.75,23.18,23.52
ERAS,2021-08-31,23.79,23.98,23.36,23.91
ERAS,2021-09-01,24.0,24.3,22.86,22.86
ERAS,2021-09-02,22.96,24.34,22.87,24.34
ERAS,2021-09-03,24.33,24.46,23.62,23.85
ERAS,2021-09-07,23.96,24.47,22.59,22.74
ERAS,2021-09-08,22.96,23.5046,20.0,20.28
ERAS,2021-09-09,20.36,21.86,20.28,20.95
ERAS,2021-09-10,21.01,21.3,20.7,21.02
ERAS,2021-09-13,21.21,21.69,20.1,20.44
ERAS,2021-09-14,20.61,21.925,20.44,20.83
ERAS,2021-09-15,21.0,21.77,20.91,21.04
ERAS,2021-09-16,21.14,21.94,19.86,20.61
ERAS,2021-09-17,21.0,22.57,19.3,19.42
ERAS,2021-09-20,19.15,19.77,18.4605,19.71
