ticker,date,open,high,low,close
EXLS,2006-10-19,2.7,2.7,2.7,2.7
EXLS,2006-10-20,3.19,3.768,3.09,3.768
EXLS,2006-10-23,3.79,3.85,3.56,3.658
EXLS,2006-10-24,3.602,3.646,3.5,3.538
EXLS,2006-10-25,3.476,4.05,3.476,3.9
EXLS,2006-10-26,3.806,4.054,3.8,4.02
EXLS,2006-10-27,4.05,4.14,3.95,4.12
EXLS,2006-10-30,4.12,4.29,4.042,4.138
EXLS,2006-10-31,4.15,4.2,3.85,4.16
EXLS,2006-11-01,4.11,4.3,4.0,4.03
EXLS,2006-11-02,4.0,4.23,3.912,4.134
EXLS,2006-11-03,4.088,4.1,3.956,4.06
EXLS,2006-11-06,4.1,4.1,3.9,3.9
EXLS,2006-11-07,3.9,3.9,3.786,3.802
EXLS,2006-11-08,3.784,3.888,3.65,3.824
EXLS,2006-11-09,3.758,4.0,3.758,4.0
EXLS,2006-11-10,3.912,4.0,3.888,3.962
EXLS,2006-11-13,3.938,4.026,3.834,3.924
EXLS,2006-11-14,3.862,4.094,3.862,4.038
EXLS,2006-11-15,4.108,4.324,4.034,4.268
EXLS,2006-11-16,4.406,5.472,4.39,5.16
EXLS,2006-11-17,5.182,5.848,5.056,5.096
EXLS,2006-11-20,5.094,5.378,4.914,5.064
EXLS,2006-11-21,5.064,5.254,4.922,5.072
EXLS,2006-11-22,5.162,5.162,4.942,4.962
EXLS,2006-11-24,4.92,4.968,4.898,4.898
EXLS,2006-11-27,4.894,5.052,4.84,4.894
EXLS,2006-11-28,4.846,4.996,4.83,4.9
EXLS,2006-11-29,4.546,4.648,4.344,4.494
EXLS,2006-11-30,4.406,4.602,4.382,4.518
EXLS,2006-12-01,4.502,4.598,4.478,4.486
EXLS,2006-12-04,4.474,4.474,4.396,4.41
EXLS,2006-12-05,4.38,4.38,4.14,4.198
EXLS,2006-12-06,4.23,4.3,4.1,4.2
EXLS,2006-12-07,4.202,4.202,4.12,4.16
EXLS,2006-12-08,4.106,4.18,4.106,4.156
EXLS,2006-12-11,4.158,4.356,4.14,4.166
EXLS,2006-12-12,4.3,4.312,4.184,4.268
EXLS,2006-12-13,4.276,4.362,4.254,4.27
EXLS,2006-12-14,4.274,4.41,4.274,4.384
EXLS,2006-12-15,4.412,4.578,4.32,4.41
EXLS,2006-12-18,4.434,4.578,4.316,4.4
EXLS,2006-12-19,4.374,4.426,4.22,4.274
EXLS,2006-12-20,4.33,4.398,4.3,4.364
EXLS,2006-12-21,4.386,4.39,4.3,4.328
EXLS,2006-12-22,4.306,4.324,4.2,4.22
EXLS,2006-12-26,4.24,4.26,4.162,4.192
EXLS,2006-12-27,4.202,4.21,4.138,4.184
EXLS,2006-12-28,4.162,4.234,4.14,4.17
EXLS,2006-12-29,4.192,4.436,4.062,4.208
EXLS,2007-01-03,4.192,4.43,4.006,4.116
EXLS,2007-01-04,4.12,4.28,4.12,4.2
EXLS,2007-01-05,4.204,4.28,4.142,4.22
EXLS,2007-01-08,4.202,4.256,4.182,4.218
EXLS,2007-01-09,4.202,4.248,4.2,4.21
EXLS,2007-01-10,4.2,4.38,4.2,4.314
EXLS,2007-01-11,4.336,4.584,4.316,4.478
EXLS,2007-01-12,4.498,4.6,4.444,4.542
EXLS,2007-01-16,4.564,4.632,4.498,4.604
EXLS,2007-01-17,4.604,4.64,4.562,4.598
EXLS,2007-01-18,4.584,4.62,4.518,4.602
EXLS,2007-01-19,4.58,4.756,4.58,4.712
EXLS,2007-01-22,4.728,4.728,4.504,4.68
EXLS,2007-01-23,4.668,4.688,4.592,4.668
EXLS,2007-01-24,4.63,4.694,4.63,4.672
EXLS,2007-01-25,4.698,4.752,4.64,4.742
EXLS,2007-01-26,4.764,4.764,4.648,4.746
EXLS,2007-01-29,4.724,4.882,4.724,4.88
EXLS,2007-01-30,4.858,4.948,4.854,4.948
EXLS,2007-01-31,4.922,4.972,4.92,4.944
EXLS,2007-02-01,4.958,4.998,4.922,4.984
EXLS,2007-02-02,4.974,5.058,4.96,5.038
EXLS,2007-02-05,5.056,5.266,5.028,5.238
EXLS,2007-02-06,5.266,5.318,5.188,5.316
EXLS,2007-02-07,5.324,5.344,5.298,5.334
EXLS,2007-02-08,5.306,5.386,5.3,5.362
EXLS,2007-02-09,5.388,5.4,5.318,5.39
EXLS,2007-02-12,5.38,5.38,5.258,5.358
EXLS,2007-02-13,5.362,5.392,5.31,5.368
EXLS,2007-02-14,5.33,5.368,5.036,5.082
EXLS,2007-02-15,5.056,5.056,4.778,4.896
EXLS,2007-02-16,4.888,4.9,4.79,4.8
EXLS,2007-02-20,4.816,4.816,4.74,4.772
EXLS,2007-02-21,4.78,4.818,4.696,4.78
EXLS,2007-02-22,4.77,5.02,4.66,4.932
EXLS,2007-02-23,4.908,4.984,4.77,4.934
EXLS,2007-02-26,5.0,5.0,4.836,4.878
EXLS,2007-02-27,4.8,4.978,4.662,4.696
EXLS,2007-02-28,4.67,4.68,4.268,4.532
EXLS,2007-03-01,4.474,4.876,4.416,4.686
EXLS,2007-03-02,4.666,4.7,4.524,4.576
EXLS,2007-03-05,4.298,4.784,4.262,4.712
EXLS,2007-03-06,4.964,5.084,4.516,4.572
EXLS,2007-03-07,4.604,4.714,4.524,4.538
EXLS,2007-03-08,4.566,4.588,4.504,4.582
EXLS,2007-03-09,4.608,4.73,4.488,4.704
EXLS,2007-03-12,4.678,4.756,4.428,4.74
EXLS,2007-03-13,4.712,4.738,4.61,4.63
EXLS,2007-03-14,4.61,4.614,4.486,4.54
EXLS,2007-03-15,4.578,4.588,4.498,4.532
