ticker,date,open,high,low,close
FATE,2013-10-01,6.56,7.24,6.31,6.62
FATE,2013-10-02,6.65,7.15,6.65,6.95
FATE,2013-10-03,6.9,6.97,6.85,6.9
FATE,2013-10-04,6.95,7.2,6.8,7.15
FATE,2013-10-07,7.93,9.0,7.37,8.5
FATE,2013-10-08,8.49,9.19,7.83,7.94
FATE,2013-10-09,7.53,7.6,6.06,6.7
FATE,2013-10-10,7.4,7.4,6.5,6.96
FATE,2013-10-11,7.1,7.25,6.8101,7.05
FATE,2013-10-14,7.1,7.2,6.64,7.01
FATE,2013-10-15,6.99,7.19,6.83,7.19
FATE,2013-10-16,7.15,7.15,6.59,7.0
FATE,2013-10-17,6.92,7.03,6.76,7.03
FATE,2013-10-18,7.01,7.1,6.87,7.0
FATE,2013-10-21,7.0,7.05,6.87,7.0
FATE,2013-10-22,7.1,7.1,6.6,6.72
FATE,2013-10-23,6.8,7.11,6.75,6.85
FATE,2013-10-24,6.61,6.93,6.61,6.93
FATE,2013-10-25,6.85,6.95,6.75,6.87
FATE,2013-10-28,7.1,7.12,6.25,6.45
FATE,2013-10-29,6.25,6.51,6.05,6.3
FATE,2013-10-30,6.4,6.64,6.25,6.25
FATE,2013-10-31,6.27,6.35,6.0,6.0
FATE,2013-11-01,6.01,6.15,6.0,6.01
FATE,2013-11-04,6.1,6.31,6.0,6.29
FATE,2013-11-05,6.25,6.43,6.02,6.11
FATE,2013-11-06,6.1,6.18,5.94,5.95
FATE,2013-11-07,6.0,6.23,4.69,5.0
FATE,2013-11-08,4.95,5.02,4.5,4.61
FATE,2013-11-11,4.32,4.71,4.3,4.65
FATE,2013-11-12,4.51,5.1498,4.51,4.77
FATE,2013-11-13,4.83,5.509,4.83,5.16
FATE,2013-11-14,4.97,5.05,4.5,4.86
FATE,2013-11-15,4.93,5.42,4.9,5.1
FATE,2013-11-18,5.14,5.15,4.9,4.95
FATE,2013-11-19,5.12,5.12,4.95,5.0
FATE,2013-11-20,5.16,5.2,4.95,4.96
FATE,2013-11-21,5.02,5.04,4.95,5.0
FATE,2013-11-22,5.12,5.31,4.95,5.06
FATE,2013-11-25,5.1,5.39,5.05,5.05
FATE,2013-11-26,5.16,5.33,5.05,5.25
