ticker,date,open,high,low,close
FLEX,1994-03-18,1.91,1.91,1.78,1.81
FLEX,1994-03-21,1.78,1.84,1.78,1.78
FLEX,1994-03-22,1.75,1.81,1.75,1.75
FLEX,1994-03-23,1.75,1.81,1.75,1.75
FLEX,1994-03-24,1.75,1.78,1.72,1.72
FLEX,1994-03-25,1.72,1.78,1.72,1.73
FLEX,1994-03-28,1.72,1.75,1.72,1.72
FLEX,1994-03-29,1.72,1.72,1.69,1.69
FLEX,1994-03-30,1.69,1.69,1.59,1.59
FLEX,1994-03-31,1.59,1.59,1.56,1.56
FLEX,1994-04-04,1.53,1.53,1.5,1.5
FLEX,1994-04-05,1.55,1.55,1.5,1.5
FLEX,1994-04-06,1.53,1.53,1.5,1.5
FLEX,1994-04-07,1.5,1.53,1.5,1.53
FLEX,1994-04-08,1.53,1.55,1.5,1.5
FLEX,1994-04-11,1.5,1.53,1.5,1.53
FLEX,1994-04-12,1.59,1.66,1.59,1.59
FLEX,1994-04-13,1.62,1.66,1.56,1.62
FLEX,1994-04-14,1.59,1.62,1.56,1.56
FLEX,1994-04-15,1.62,1.62,1.56,1.59
FLEX,1994-04-18,1.56,1.61,1.53,1.53
FLEX,1994-04-19,1.5,1.5,1.34,1.38
FLEX,1994-04-20,1.38,1.38,1.09,1.2
FLEX,1994-04-21,1.19,1.25,1.16,1.19
FLEX,1994-04-22,1.22,1.22,1.16,1.22
FLEX,1994-04-25,1.22,1.25,1.22,1.25
FLEX,1994-04-26,1.34,1.38,1.33,1.38
FLEX,1994-04-28,1.31,1.38,1.31,1.38
FLEX,1994-04-29,1.41,1.41,1.34,1.38
FLEX,1994-05-02,1.41,1.66,1.38,1.5
FLEX,1994-05-03,1.59,1.62,1.56,1.62
FLEX,1994-05-04,1.59,1.75,1.59,1.72
FLEX,1994-05-05,1.75,1.75,1.69,1.75
FLEX,1994-05-06,1.66,1.66,1.53,1.59
FLEX,1994-05-09,1.59,1.62,1.5,1.5
FLEX,1994-05-10,1.5,1.56,1.5,1.56
FLEX,1994-05-11,1.56,1.56,1.53,1.53
FLEX,1994-05-12,1.5,1.5,1.5,1.5
FLEX,1994-05-13,1.56,1.59,1.5,1.56
FLEX,1994-05-16,1.52,1.56,1.47,1.5
FLEX,1994-05-17,1.56,1.59,1.53,1.55
FLEX,1994-05-18,1.53,1.56,1.5,1.5
FLEX,1994-05-19,1.56,1.56,1.5,1.5
FLEX,1994-05-20,1.5,1.5,1.5,1.5
FLEX,1994-05-23,1.56,1.56,1.5,1.53
FLEX,1994-05-24,1.5,1.56,1.5,1.56
FLEX,1994-05-25,1.56,1.56,1.44,1.5
FLEX,1994-05-26,1.47,1.53,1.47,1.5
FLEX,1994-05-27,1.53,1.53,1.45,1.48
FLEX,1994-05-31,1.44,1.5,1.44,1.5
FLEX,1994-06-01,1.44,1.44,1.33,1.34
FLEX,1994-06-02,1.34,1.38,1.34,1.34
FLEX,1994-06-03,1.41,1.41,1.32,1.34
FLEX,1994-06-06,1.41,1.41,1.31,1.31
FLEX,1994-06-07,1.38,1.38,1.31,1.31
FLEX,1994-06-08,1.41,1.41,1.31,1.31
FLEX,1994-06-09,1.33,1.44,1.31,1.44
FLEX,1994-06-10,1.44,1.5,1.44,1.47
FLEX,1994-06-13,1.44,1.45,1.44,1.44
FLEX,1994-06-14,1.47,1.53,1.47,1.47
FLEX,1994-06-15,1.53,1.53,1.48,1.5
FLEX,1994-06-16,1.48,1.53,1.48,1.53
FLEX,1994-06-17,1.48,1.53,1.47,1.53
FLEX,1994-06-20,1.47,1.53,1.47,1.53
FLEX,1994-06-21,1.47,1.47,1.38,1.38
FLEX,1994-06-22,1.39,1.44,1.38,1.44
FLEX,1994-06-23,1.38,1.38,1.31,1.31
FLEX,1994-06-24,1.28,1.28,1.22,1.28
FLEX,1994-06-27,1.22,1.26,1.09,1.09
FLEX,1994-06-28,1.16,1.17,1.12,1.16
FLEX,1994-06-29,1.16,1.27,1.12,1.22
FLEX,1994-06-30,1.25,1.25,1.17,1.17
FLEX,1994-07-01,1.22,1.22,1.16,1.19
FLEX,1994-07-05,1.19,1.22,1.19,1.22
FLEX,1994-07-06,1.23,1.25,1.19,1.25
FLEX,1994-07-07,1.25,1.31,1.22,1.3
FLEX,1994-07-08,1.31,1.31,1.25,1.25
FLEX,1994-07-11,1.25,1.25,1.25,1.25
FLEX,1994-07-12,1.31,1.31,1.25,1.28
FLEX,1994-07-13,1.28,1.31,1.28,1.3
FLEX,1994-07-14,1.31,1.31,1.24,1.28
FLEX,1994-07-15,1.28,1.38,1.28,1.36
FLEX,1994-07-18,1.41,1.47,1.34,1.41
FLEX,1994-07-19,1.38,1.38,1.28,1.34
FLEX,1994-07-20,1.28,1.38,1.28,1.38
FLEX,1994-07-21,1.38,1.38,1.31,1.38
FLEX,1994-07-22,1.38,1.41,1.38,1.38
FLEX,1994-07-25,1.41,1.41,1.34,1.41
FLEX,1994-07-26,1.41,1.44,1.38,1.39
FLEX,1994-07-27,1.44,1.44,1.38,1.39
FLEX,1994-07-28,1.38,1.41,1.34,1.41
FLEX,1994-07-29,1.34,1.41,1.34,1.34
FLEX,1994-08-01,1.38,1.38,1.3,1.31
FLEX,1994-08-02,1.28,1.31,1.28,1.28
FLEX,1994-08-03,1.34,1.34,1.28,1.28
FLEX,1994-08-04,1.28,1.28,1.28,1.28
FLEX,1994-08-05,1.28,1.28,1.28,1.28
FLEX,1994-08-08,1.28,1.28,1.16,1.16
FLEX,1994-08-09,1.16,1.16,1.12,1.12
FLEX,1994-08-10,1.22,1.41,1.22,1.38
FLEX,1994-08-11,1.41,1.44,1.34,1.39
FLEX,1994-08-12,1.44,1.44,1.39,1.42
FLEX,1994-08-15,1.34,1.42,1.34,1.36
FLEX,1994-08-16,1.44,1.44,1.44,1.44
FLEX,1994-08-17,1.44,1.47,1.38,1.47
FLEX,1994-08-18,1.47,1.47,1.47,1.47
FLEX,1994-08-19,1.44,1.47,1.38,1.39
FLEX,1994-08-22,1.47,1.5,1.47,1.5
FLEX,1994-08-23,1.5,1.62,1.47,1.53
