ticker,date,open,high,low,close
FOSL,1993-04-08,1.6543,1.6543,1.5062,1.6296
FOSL,1993-04-12,1.6296,1.6296,1.5309,1.5802
FOSL,1993-04-13,1.6296,1.6296,1.5309,1.6049
FOSL,1993-04-14,1.5556,1.6049,1.5309,1.5556
FOSL,1993-04-15,1.6049,1.6296,1.5309,1.5802
FOSL,1993-04-16,1.6296,1.6296,1.5309,1.5309
FOSL,1993-04-19,1.6049,1.6049,1.4815,1.5309
FOSL,1993-04-20,1.5802,1.5802,1.5062,1.5062
FOSL,1993-04-21,1.5556,1.5802,1.5309,1.5802
FOSL,1993-04-22,1.6296,1.6296,1.5556,1.6296
FOSL,1993-04-23,1.6296,1.6296,1.5802,1.6296
FOSL,1993-04-26,1.5802,1.6296,1.4815,1.5309
FOSL,1993-04-27,1.6049,1.6049,1.5062,1.5802
FOSL,1993-04-28,1.5309,1.6296,1.5309,1.6296
FOSL,1993-04-29,1.5802,1.6296,1.4815,1.5556
FOSL,1993-04-30,1.5062,1.7284,1.4815,1.6543
FOSL,1993-05-03,1.7284,1.7284,1.6296,1.6543
FOSL,1993-05-04,1.679,1.8519,1.679,1.8025
FOSL,1993-05-05,1.8025,1.8519,1.7531,1.7531
FOSL,1993-05-06,1.8272,1.8272,1.7284,1.7531
FOSL,1993-05-07,1.7531,1.9506,1.7531,1.8765
FOSL,1993-05-10,1.9753,1.9753,1.7778,1.8765
FOSL,1993-05-11,1.7531,1.8519,1.7531,1.8519
FOSL,1993-05-12,1.8765,1.8765,1.8025,1.8025
FOSL,1993-05-13,1.8519,1.8519,1.7037,1.8025
FOSL,1993-05-14,1.8025,1.8025,1.7037,1.7284
FOSL,1993-05-17,1.7778,1.7778,1.7037,1.7284
FOSL,1993-05-18,1.7037,1.7778,1.7037,1.7037
FOSL,1993-05-19,1.7531,1.8025,1.7037,1.8025
FOSL,1993-05-20,1.8025,1.8025,1.7284,1.7778
FOSL,1993-05-21,1.8025,1.8519,1.7778,1.8519
FOSL,1993-05-24,1.8765,1.9506,1.8272,1.9506
FOSL,1993-05-25,1.9506,2.0494,1.8519,1.9506
FOSL,1993-05-26,1.8765,1.9753,1.8765,1.9259
FOSL,1993-05-27,1.9753,2.0247,1.9259,1.9753
FOSL,1993-05-28,1.9753,2.0247,1.9259,2.0
FOSL,1993-06-01,2.0494,2.1728,1.9753,2.1728
FOSL,1993-06-02,2.1728,2.2716,2.0741,2.1728
FOSL,1993-06-03,2.1728,2.1975,2.0988,2.1728
FOSL,1993-06-04,2.1481,2.2222,2.1235,2.1975
FOSL,1993-06-07,2.1235,2.1975,2.1235,2.1975
FOSL,1993-06-08,2.1975,2.1975,2.0988,2.0988
