ticker,date,open,high,low,close
FRHC,2018-02-07,7.51,8.03,7.51,8.0
FRHC,2018-02-08,7.85,8.01,5.56,7.8
FRHC,2018-02-09,7.8,7.8,7.7,7.8
FRHC,2018-02-12,7.75,7.8,7.75,7.8
FRHC,2018-02-13,7.5,7.9,7.5,7.9
FRHC,2018-02-14,7.9,7.9,7.65,7.65
FRHC,2018-02-15,7.65,7.75,7.5,7.75
FRHC,2018-02-16,7.9,8.0,7.5,7.5
FRHC,2018-02-20,7.78,7.8,7.5,7.79
FRHC,2018-02-21,7.79,7.8,7.79,7.79
FRHC,2018-02-22,7.79,7.79,7.79,7.79
FRHC,2018-02-23,7.7,7.8,7.7,7.75
FRHC,2018-02-26,7.8,7.8,7.8,7.8
FRHC,2018-02-27,7.8,7.8,7.75,7.76
FRHC,2018-02-28,7.5,7.77,6.9,7.77
FRHC,2018-03-01,7.06,7.77,7.06,7.3
FRHC,2018-03-02,7.66,7.66,7.66,7.66
FRHC,2018-03-05,7.05,7.7,7.05,7.55
FRHC,2018-03-06,7.6,7.64,7.55,7.55
FRHC,2018-03-07,7.55,7.55,7.5,7.5
FRHC,2018-03-08,7.6,7.8,7.5,7.8
FRHC,2018-03-09,7.65,7.76,7.65,7.75
FRHC,2018-03-12,7.7,7.7,7.7,7.7
FRHC,2018-03-13,7.05,7.6,7.0,7.0
FRHC,2018-03-14,7.2,7.2,6.8,7.0
FRHC,2018-03-15,7.0,7.3,6.71,7.3
FRHC,2018-03-16,6.7,7.5,6.7,7.5
FRHC,2018-03-19,7.0,7.0,7.0,7.0
FRHC,2018-03-20,7.0,7.0,7.0,7.0
FRHC,2018-03-21,7.01,7.01,7.0,7.0
FRHC,2018-03-22,6.65,7.07,6.61,7.07
FRHC,2018-03-23,7.0,7.8,6.7,7.49
FRHC,2018-03-26,7.49,7.49,7.49,7.49
FRHC,2018-03-27,6.56,7.2,6.56,7.2
FRHC,2018-03-28,7.4,7.4,6.45,6.45
FRHC,2018-03-29,6.5,6.85,6.3,6.85
FRHC,2018-04-02,6.8,6.85,6.8,6.85
FRHC,2018-04-03,6.6,6.9,6.6,6.9
FRHC,2018-04-04,6.95,7.25,6.95,7.25
FRHC,2018-04-05,6.27,7.2,6.27,7.2
FRHC,2018-04-06,6.5,7.05,6.5,7.05
FRHC,2018-04-09,6.55,7.05,6.15,7.05
FRHC,2018-04-10,7.06,7.06,7.06,7.06
FRHC,2018-04-11,6.44,7.03,6.15,7.03
FRHC,2018-04-12,7.0,7.15,6.9,7.13
FRHC,2018-04-13,7.15,7.15,6.8,7.1
FRHC,2018-04-16,7.0,7.29,6.95,7.0
FRHC,2018-04-17,7.0,7.0,6.7,6.9
FRHC,2018-04-18,6.85,6.85,6.8,6.8
FRHC,2018-04-19,6.4,6.65,6.2,6.2
FRHC,2018-04-20,6.4,6.4,6.06,6.35
FRHC,2018-04-23,6.35,6.35,6.35,6.35
FRHC,2018-04-24,6.35,6.4,6.05,6.39
FRHC,2018-04-25,6.18,6.18,6.0,6.0
FRHC,2018-04-26,5.87,6.0,5.7,6.0
FRHC,2018-04-27,5.55,5.98,5.55,5.98
FRHC,2018-04-30,5.4,6.2,5.4,6.2
FRHC,2018-05-01,6.15,6.25,6.15,6.25
FRHC,2018-05-02,6.25,6.27,6.2,6.25
FRHC,2018-05-03,6.25,6.27,6.15,6.27
FRHC,2018-05-04,6.25,6.25,6.1,6.15
FRHC,2018-05-07,6.15,6.5,5.95,6.5
FRHC,2018-05-08,6.4,6.5,6.25,6.5
FRHC,2018-05-09,6.25,6.45,6.25,6.3
FRHC,2018-05-10,6.2,6.6,6.2,6.6
FRHC,2018-05-11,5.9,6.65,5.9,6.65
FRHC,2018-05-14,6.65,6.75,6.6,6.6
FRHC,2018-05-15,6.75,6.75,6.75,6.75
FRHC,2018-05-16,6.5,6.8,6.5,6.8
FRHC,2018-05-17,6.8,6.9,6.8,6.9
FRHC,2018-05-18,6.92,7.0,6.92,7.0
FRHC,2018-05-21,7.0,7.0,7.0,7.0
FRHC,2018-05-22,6.85,6.95,6.85,6.95
FRHC,2018-05-23,6.95,7.0,6.95,7.0
FRHC,2018-05-24,7.05,7.15,7.05,7.15
FRHC,2018-05-25,7.15,7.3,7.15,7.25
FRHC,2018-05-29,7.2,7.2,7.2,7.2
FRHC,2018-05-30,7.24,7.3,7.2,7.3
FRHC,2018-05-31,7.3,7.3,7.25,7.25
FRHC,2018-06-01,7.35,7.4,7.35,7.4
FRHC,2018-06-04,7.4,7.45,7.3,7.4
FRHC,2018-06-05,7.45,7.45,7.4,7.4
FRHC,2018-06-06,7.45,7.47,7.44,7.46
FRHC,2018-06-07,7.46,7.49,7.44,7.47
FRHC,2018-06-08,7.47,7.47,7.46,7.46
FRHC,2018-06-11,7.5,7.5,7.5,7.5
FRHC,2018-06-12,7.5,7.6,7.5,7.6
FRHC,2018-06-13,7.6,7.6,7.55,7.58
FRHC,2018-06-14,7.58,7.6,7.55,7.6
FRHC,2018-06-15,7.6,7.64,7.6,7.64
FRHC,2018-06-18,7.65,7.65,7.65,7.65
FRHC,2018-06-19,7.65,7.65,7.55,7.6
FRHC,2018-06-20,7.6,7.6,7.6,7.6
FRHC,2018-06-21,7.6,7.6,7.6,7.6
FRHC,2018-06-22,7.6,7.6,7.6,7.6
FRHC,2018-06-25,7.6,7.65,7.6,7.65
FRHC,2018-06-26,7.65,7.65,7.65,7.65
FRHC,2018-06-27,7.66,7.85,7.66,7.85
FRHC,2018-06-28,7.45,7.45,7.45,7.45
FRHC,2018-06-29,7.4,7.4,7.2,7.2
FRHC,2018-07-02,7.0,7.2,6.8,7.1
FRHC,2018-07-03,6.8,6.8,6.8,6.8
FRHC,2018-07-05,6.8,6.95,6.7,6.7
FRHC,2018-07-06,6.7,6.7,6.7,6.7
FRHC,2018-07-09,6.6,6.7,6.5,6.5
FRHC,2018-07-10,6.5,6.5,6.4,6.4
FRHC,2018-07-11,6.35,6.35,6.3,6.3
FRHC,2018-07-12,6.3,6.35,6.3,6.35
FRHC,2018-07-13,6.3,6.3,6.3,6.3
FRHC,2018-07-16,6.3,6.4,6.3,6.4
FRHC,2018-07-17,6.4,6.45,6.4,6.4
FRHC,2018-07-18,6.5,6.5,6.4,6.5
FRHC,2018-07-19,6.5,6.7,6.5,6.65
FRHC,2018-07-20,6.7,6.7,6.7,6.7
FRHC,2018-07-23,6.7,6.7,6.7,6.7
FRHC,2018-07-24,6.65,6.75,6.65,6.75
FRHC,2018-07-25,6.75,6.75,6.75,6.75
FRHC,2018-07-26,6.75,6.8,6.75,6.8
FRHC,2018-07-27,6.8,6.8,6.8,6.8
FRHC,2018-07-30,6.8,6.8,6.8,6.8
FRHC,2018-07-31,6.8,6.8,6.8,6.8
FRHC,2018-08-01,6.8,6.8,6.7,6.7
FRHC,2018-08-02,6.65,6.65,6.65,6.65
FRHC,2018-08-03,6.6,6.6,6.6,6.6
FRHC,2018-08-06,6.6,6.6,6.6,6.6
FRHC,2018-08-07,6.6,6.65,6.6,6.65
FRHC,2018-08-08,6.65,6.73,6.65,6.7
FRHC,2018-08-09,6.72,6.8,6.72,6.8
FRHC,2018-08-10,6.8,6.85,6.75,6.85
FRHC,2018-08-13,6.8,6.9,6.8,6.9
FRHC,2018-08-14,6.93,6.93,6.91,6.91
FRHC,2018-08-15,6.91,6.92,6.91,6.92
FRHC,2018-08-16,6.91,6.92,6.91,6.92
FRHC,2018-08-17,6.92,6.92,6.92,6.92
FRHC,2018-08-20,6.92,6.92,6.91,6.92
FRHC,2018-08-21,6.92,6.93,6.92,6.93
FRHC,2018-08-22,6.93,6.97,6.92,6.97
FRHC,2018-08-23,7.02,7.03,6.97,7.02
FRHC,2018-08-24,7.04,7.05,7.04,7.05
FRHC,2018-08-27,7.18,7.18,7.09,7.18
FRHC,2018-08-28,7.19,7.3,7.18,7.22
FRHC,2018-08-29,7.3,7.3,7.17,7.27
FRHC,2018-08-30,7.27,7.29,7.17,7.17
FRHC,2018-08-31,7.25,7.25,7.2,7.23
FRHC,2018-09-04,7.25,7.25,7.2,7.22
FRHC,2018-09-05,7.25,7.32,7.22,7.25
FRHC,2018-09-06,7.32,7.38,7.32,7.34
FRHC,2018-09-07,7.39,7.39,7.32,7.32
FRHC,2018-09-10,7.36,7.36,7.33,7.33
FRHC,2018-09-11,7.49,7.49,7.3,7.32
FRHC,2018-09-12,7.31,7.32,7.24,7.25
FRHC,2018-09-13,7.25,7.25,7.2,7.25
FRHC,2018-09-14,7.2,7.24,7.13,7.14
FRHC,2018-09-17,7.1,7.26,7.1,7.26
FRHC,2018-09-18,7.15,7.25,7.14,7.25
FRHC,2018-09-19,7.14,7.28,7.14,7.26
FRHC,2018-09-20,7.26,7.3,7.26,7.3
FRHC,2018-09-21,7.3,7.3,7.28,7.28
FRHC,2018-09-24,7.28,7.45,7.28,7.45
FRHC,2018-09-25,7.45,7.55,7.35,7.55
FRHC,2018-09-26,7.54,7.95,7.5,7.9
FRHC,2018-09-27,7.9,8.15,7.9,8.15
FRHC,2018-09-28,7.8,8.45,7.8,8.45
FRHC,2018-10-01,8.4,8.5,8.15,8.5
FRHC,2018-10-02,8.5,8.55,8.44,8.52
FRHC,2018-10-03,8.5,8.68,8.5,8.68
FRHC,2018-10-04,8.6,8.68,8.55,8.68
FRHC,2018-10-05,8.65,8.72,7.3,8.69
FRHC,2018-10-08,8.68,8.72,8.6,8.68
FRHC,2018-10-09,8.66,8.8,8.66,8.66
FRHC,2018-10-10,8.68,8.68,8.39,8.4
FRHC,2018-10-11,8.68,8.68,8.21,8.23
FRHC,2018-10-12,8.25,8.49,8.25,8.45
FRHC,2018-10-15,8.41,8.49,8.41,8.45
FRHC,2018-10-16,8.58,8.78,8.58,8.78
FRHC,2018-10-17,8.78,8.8,8.73,8.8
FRHC,2018-10-18,8.8,8.8,8.55,8.55
FRHC,2018-10-19,8.58,8.62,8.58,8.59
FRHC,2018-10-22,8.55,8.59,8.48,8.53
FRHC,2018-10-23,8.48,8.53,8.35,8.42
FRHC,2018-10-24,8.6,8.6,8.2,8.26
FRHC,2018-10-25,8.2,8.27,8.1,8.27
FRHC,2018-10-26,8.0,8.08,7.95,8.08
FRHC,2018-10-29,8.26,8.31,7.93,8.03
FRHC,2018-10-30,8.03,8.27,8.03,8.27
FRHC,2018-10-31,8.46,8.62,8.4,8.53
FRHC,2018-11-01,8.53,8.71,8.53,8.7
FRHC,2018-11-02,8.7,8.77,8.48,8.59
FRHC,2018-11-05,8.59,8.7,8.57,8.69
FRHC,2018-11-06,8.7,8.81,8.69,8.81
FRHC,2018-11-07,8.78,9.2,8.75,9.2
FRHC,2018-11-08,9.07,9.21,9.0,9.15
FRHC,2018-11-09,9.04,9.04,8.88,8.88
FRHC,2018-11-12,8.8,8.89,8.6,8.6
FRHC,2018-11-13,8.68,8.76,8.59,8.59
FRHC,2018-11-14,8.77,8.77,8.38,8.58
FRHC,2018-11-15,8.51,8.77,8.49,8.77
FRHC,2018-11-16,8.74,8.82,8.7,8.8
FRHC,2018-11-19,8.73,8.77,8.49,8.5
FRHC,2018-11-20,8.3,8.35,8.06,8.19
FRHC,2018-11-21,8.29,8.38,8.28,8.32
FRHC,2018-11-23,8.22,8.29,8.18,8.28
FRHC,2018-11-26,8.51,8.59,8.45,8.59
FRHC,2018-11-27,8.56,8.68,8.48,8.68
FRHC,2018-11-28,8.75,9.06,8.67,9.06
FRHC,2018-11-29,9.03,9.03,8.89,9.01
FRHC,2018-11-30,9.02,9.27,8.93,9.26
FRHC,2018-12-03,9.35,9.5,9.35,9.42
FRHC,2018-12-04,9.42,9.42,9.09,9.09
FRHC,2018-12-06,8.85,9.09,8.75,9.09
FRHC,2018-12-07,9.05,9.14,8.73,8.73
FRHC,2018-12-10,8.73,8.78,8.46,8.75
FRHC,2018-12-11,8.95,9.0,8.72,8.82
FRHC,2018-12-12,9.03,9.15,9.03,9.08
FRHC,2018-12-13,9.19,9.19,9.09,9.09
FRHC,2018-12-14,8.88,8.97,8.41,8.68
FRHC,2018-12-17,8.6,8.72,8.22,8.22
FRHC,2018-12-18,8.74,8.85,8.4,8.4
FRHC,2018-12-19,8.49,8.51,8.35,8.35
FRHC,2018-12-20,8.37,8.37,7.7,7.9
FRHC,2018-12-21,7.99,8.25,7.58,7.58
FRHC,2018-12-24,7.53,7.61,7.3,7.3
FRHC,2018-12-26,7.35,8.0,7.34,8.0
FRHC,2018-12-27,7.72,8.15,7.64,8.15
FRHC,2018-12-28,8.21,8.53,8.0,8.15
FRHC,2018-12-31,8.26,8.26,7.76,8.26
FRHC,2019-01-02,8.05,8.3,7.8,8.28
FRHC,2019-01-03,7.99,7.99,7.99,7.99
FRHC,2019-01-04,8.14,8.58,8.14,8.53
FRHC,2019-01-07,8.47,8.71,8.47,8.64
FRHC,2019-01-08,8.73,8.82,8.65,8.82
FRHC,2019-01-09,8.83,8.9,8.79,8.9
FRHC,2019-01-10,8.7,8.99,8.7,8.99
FRHC,2019-01-11,8.7,9.0,8.7,9.0
FRHC,2019-01-14,8.7,9.02,8.7,8.95
FRHC,2019-01-15,8.95,9.15,8.95,9.12
FRHC,2019-01-16,9.13,9.21,9.12,9.18
FRHC,2019-01-17,9.05,9.35,9.05,9.3
FRHC,2019-01-18,9.18,9.5,9.1,9.46
FRHC,2019-01-22,9.27,9.27,9.06,9.18
FRHC,2019-01-23,9.22,9.24,8.85,8.85
FRHC,2019-01-24,9.09,9.15,7.5,8.54
FRHC,2019-01-25,8.57,8.76,8.0,8.0
FRHC,2019-01-28,8.0,8.3,7.8,8.1
FRHC,2019-01-29,8.65,8.95,8.0,8.08
FRHC,2019-01-30,8.12,8.58,8.12,8.43
FRHC,2019-01-31,8.44,8.57,8.4,8.57
FRHC,2019-02-01,8.63,8.65,8.54,8.57
FRHC,2019-02-04,8.41,8.66,8.25,8.66
FRHC,2019-02-05,8.5,8.79,8.5,8.69
FRHC,2019-02-06,8.5,8.68,8.26,8.57
FRHC,2019-02-07,8.43,8.5,8.27,8.5
FRHC,2019-02-08,8.4,8.56,8.37,8.56
FRHC,2019-02-11,8.49,8.6,8.47,8.48
FRHC,2019-02-12,8.5,8.72,8.49,8.65
FRHC,2019-02-13,8.61,9.25,8.6,9.25
FRHC,2019-02-14,9.25,9.25,9.05,9.2
FRHC,2019-02-15,8.98,9.39,8.98,9.39
FRHC,2019-02-19,9.3,9.48,9.0,9.45
FRHC,2019-02-20,9.24,9.3,8.51,9.0
FRHC,2019-02-21,8.72,9.15,8.35,8.72
FRHC,2019-02-22,8.7,8.89,8.65,8.85
FRHC,2019-02-25,8.9,9.0,8.67,8.9
FRHC,2019-02-26,8.81,8.89,8.75,8.75
FRHC,2019-02-27,8.65,8.77,8.65,8.77
FRHC,2019-02-28,8.65,8.8,8.65,8.8
FRHC,2019-03-01,8.8,8.9,8.78,8.9
FRHC,2019-03-04,9.06,9.06,8.8,8.8
FRHC,2019-03-05,8.9,8.9,8.65,8.75
FRHC,2019-03-06,8.7,8.84,8.65,8.67
FRHC,2019-03-07,8.69,8.74,8.57,8.6
FRHC,2019-03-08,8.55,8.55,8.45,8.45
FRHC,2019-03-11,8.6,8.82,8.48,8.82
FRHC,2019-03-12,8.77,8.91,8.77,8.9
FRHC,2019-03-13,8.85,9.0,8.85,8.95
FRHC,2019-03-14,8.86,9.0,8.8,8.8
FRHC,2019-03-15,8.75,8.91,8.56,8.83
FRHC,2019-03-18,8.73,9.0,8.73,8.85
FRHC,2019-03-19,8.84,8.84,8.6,8.6
FRHC,2019-03-20,8.55,8.67,8.5,8.65
FRHC,2019-03-21,8.35,9.2,8.35,8.78
FRHC,2019-03-22,8.77,8.77,8.5,8.5
FRHC,2019-03-25,8.69,8.87,8.47,8.67
FRHC,2019-03-26,8.81,8.98,8.5,8.74
FRHC,2019-03-27,8.64,8.64,8.4,8.64
FRHC,2019-03-28,8.58,8.69,8.58,8.64
FRHC,2019-03-29,8.58,8.67,8.1,8.67
FRHC,2019-04-01,8.65,8.8,8.65,8.8
FRHC,2019-04-02,8.35,9.1,8.35,8.4
FRHC,2019-04-03,8.35,8.38,8.05,8.09
FRHC,2019-04-04,8.1,8.1,7.8,7.9
FRHC,2019-04-05,7.9,8.2,7.9,8.1
FRHC,2019-04-08,8.0,8.15,7.2,8.1
FRHC,2019-04-09,7.94,8.13,7.8,8.13
FRHC,2019-04-10,8.0,8.4,7.91,8.0
FRHC,2019-04-11,7.8,8.2,7.8,8.2
FRHC,2019-04-12,8.2,8.2,7.36,8.19
FRHC,2019-04-15,8.11,8.3,7.8,8.2
FRHC,2019-04-16,8.2,8.5,8.2,8.44
FRHC,2019-04-17,8.42,8.7,8.41,8.63
FRHC,2019-04-18,8.54,9.0,8.54,8.84
FRHC,2019-04-22,8.85,8.85,8.75,8.8
FRHC,2019-04-23,8.8,8.9,8.77,8.9
FRHC,2019-04-24,8.9,9.0,8.88,9.0
FRHC,2019-04-25,8.75,9.0,8.6,8.9
FRHC,2019-04-26,8.7,9.1,8.51,9.1
FRHC,2019-04-29,8.95,9.2,8.95,8.99
FRHC,2019-04-30,8.71,9.14,8.6,8.86
FRHC,2019-05-01,9.0,9.14,8.87,9.14
FRHC,2019-05-02,9.14,9.19,9.13,9.19
FRHC,2019-05-03,9.18,9.39,9.17,9.39
FRHC,2019-05-06,9.0,9.51,9.0,9.39
FRHC,2019-05-07,9.3,9.35,9.26,9.26
FRHC,2019-05-08,9.19,9.55,9.19,9.23
FRHC,2019-05-09,9.21,9.5,9.21,9.5
FRHC,2019-05-10,9.44,9.55,9.43,9.55
FRHC,2019-05-13,8.75,9.4,8.75,9.27
FRHC,2019-05-14,9.3,9.53,9.27,9.53
FRHC,2019-05-15,9.5,9.55,9.4,9.55
FRHC,2019-05-16,9.55,9.6,9.53,9.58
FRHC,2019-05-17,9.55,9.61,9.5,9.6
FRHC,2019-05-20,9.54,9.65,9.51,9.51
FRHC,2019-05-21,9.64,9.64,9.56,9.6
FRHC,2019-05-22,9.56,9.59,9.56,9.58
FRHC,2019-05-23,9.5,9.5,9.45,9.45
FRHC,2019-05-24,9.65,9.65,9.48,9.48
FRHC,2019-05-28,9.49,9.49,9.48,9.48
FRHC,2019-05-29,9.4,9.42,9.32,9.37
FRHC,2019-05-30,9.39,9.64,9.37,9.37
FRHC,2019-05-31,9.49,9.49,9.26,9.27
FRHC,2019-06-03,9.3,9.48,9.1,9.28
FRHC,2019-06-04,9.36,9.57,9.34,9.47
FRHC,2019-06-05,9.45,9.55,9.35,9.35
FRHC,2019-06-06,9.4,9.42,9.34,9.39
FRHC,2019-06-07,9.5,9.8,9.37,9.8
FRHC,2019-06-10,9.8,9.8,9.72,9.72
FRHC,2019-06-11,9.75,9.8,9.73,9.73
FRHC,2019-06-12,9.73,9.73,9.72,9.72
FRHC,2019-06-13,9.78,9.85,9.74,9.85
FRHC,2019-06-14,9.84,9.9,9.76,9.76
FRHC,2019-06-17,9.78,11.01,9.78,10.02
FRHC,2019-06-18,10.04,10.8,10.0,10.7
FRHC,2019-06-19,10.64,10.73,10.6,10.6
FRHC,2019-06-20,10.31,10.75,10.31,10.75
FRHC,2019-06-21,10.74,10.74,10.67,10.74
FRHC,2019-06-24,10.73,10.8,10.6,10.69
FRHC,2019-06-25,10.7,10.8,9.96,10.64
FRHC,2019-06-26,10.71,10.79,10.6,10.79
FRHC,2019-06-27,10.81,10.88,10.79,10.79
FRHC,2019-06-28,10.89,10.91,10.81,10.91
FRHC,2019-07-01,10.88,11.0,10.83,10.95
FRHC,2019-07-02,10.95,10.99,10.89,10.92
FRHC,2019-07-03,10.99,11.02,10.94,10.96
FRHC,2019-07-05,11.0,11.05,10.84,11.05
FRHC,2019-07-08,11.0,11.07,10.96,10.96
FRHC,2019-07-09,11.02,11.2,10.97,11.15
FRHC,2019-07-10,11.1,11.26,11.0,11.08
FRHC,2019-07-11,11.1,11.1,10.97,10.97
FRHC,2019-07-12,11.05,11.09,10.97,10.98
FRHC,2019-07-15,10.98,10.98,10.92,10.92
FRHC,2019-07-16,10.96,11.46,10.89,11.06
FRHC,2019-07-17,11.03,11.05,10.97,10.97
FRHC,2019-07-18,10.91,10.91,10.9,10.9
FRHC,2019-07-19,10.93,10.98,10.9,10.91
FRHC,2019-07-22,10.92,10.98,10.9,10.9
FRHC,2019-07-23,10.92,10.97,10.9,10.9
FRHC,2019-07-24,10.82,10.88,10.73,10.73
FRHC,2019-07-25,10.78,10.87,10.6,10.87
FRHC,2019-07-26,11.0,11.84,10.88,10.88
FRHC,2019-07-29,10.9,11.0,10.9,10.9
FRHC,2019-07-30,10.89,10.91,10.78,10.78
FRHC,2019-07-31,10.77,10.89,10.76,10.88
FRHC,2019-08-01,10.9,10.94,10.84,10.84
FRHC,2019-08-02,10.8,10.86,10.75,10.81
FRHC,2019-08-05,10.85,10.85,10.5,10.53
FRHC,2019-08-06,10.7,10.78,10.63,10.78
FRHC,2019-08-07,10.58,10.6,10.52,10.6
FRHC,2019-08-08,10.89,11.18,10.89,11.0
FRHC,2019-08-09,10.94,11.02,10.88,10.95
FRHC,2019-08-12,11.16,11.55,11.16,11.41
FRHC,2019-08-13,11.3,11.8,11.15,11.79
FRHC,2019-08-14,11.8,12.12,11.8,12.0
FRHC,2019-08-15,12.0,12.15,12.0,12.09
FRHC,2019-08-16,12.14,12.14,12.07,12.1
FRHC,2019-08-19,12.1,12.2,12.1,12.16
FRHC,2019-08-20,12.2,12.2,12.05,12.05
FRHC,2019-08-21,12.05,12.13,12.02,12.13
FRHC,2019-08-22,12.17,12.26,12.14,12.26
FRHC,2019-08-23,12.2,12.29,12.1,12.29
FRHC,2019-08-26,12.29,12.3,12.25,12.25
FRHC,2019-08-27,12.3,12.4,12.3,12.31
FRHC,2019-08-28,12.26,12.5,12.21,12.28
FRHC,2019-08-29,12.49,12.49,12.36,12.36
FRHC,2019-08-30,12.31,12.46,12.31,12.39
FRHC,2019-09-03,12.39,12.39,12.25,12.25
FRHC,2019-09-04,12.35,12.5,12.35,12.43
FRHC,2019-09-05,12.48,12.48,12.42,12.42
FRHC,2019-09-06,12.48,12.5,12.45,12.5
FRHC,2019-09-09,12.5,12.6,12.35,12.35
FRHC,2019-09-10,12.3,12.3,11.8,12.22
FRHC,2019-09-11,12.26,12.26,12.11,12.15
FRHC,2019-09-12,12.15,12.15,12.15,12.15
FRHC,2019-09-13,12.2,12.2,12.15,12.17
FRHC,2019-09-16,12.11,12.13,12.04,12.04
FRHC,2019-09-17,11.95,11.95,11.85,11.85
FRHC,2019-09-18,11.87,12.0,11.65,11.69
FRHC,2019-09-19,11.86,12.9,11.86,12.5
FRHC,2019-09-20,12.4,12.7,12.4,12.42
FRHC,2019-09-23,12.41,12.41,12.26,12.26
FRHC,2019-09-24,12.27,12.27,12.0,12.07
FRHC,2019-09-25,12.06,12.06,12.0,12.0
FRHC,2019-09-26,12.18,12.5,11.9,11.95
FRHC,2019-09-27,11.98,12.09,11.89,11.89
FRHC,2019-09-30,12.0,12.49,11.84,11.84
FRHC,2019-10-01,12.0,12.1,11.84,11.98
FRHC,2019-10-02,12.33,12.52,12.33,12.4
FRHC,2019-10-03,12.5,12.6,12.3,12.45
FRHC,2019-10-04,12.54,12.65,12.48,12.65
FRHC,2019-10-07,12.72,13.0,12.7,13.0
FRHC,2019-10-08,12.9,13.0,12.85,12.99
FRHC,2019-10-09,12.98,13.49,12.98,13.45
FRHC,2019-10-10,13.5,13.9,13.42,13.89
FRHC,2019-10-11,13.93,14.0,13.86,13.92
FRHC,2019-10-14,13.95,14.15,13.9,14.15
FRHC,2019-10-15,14.4,14.44,13.16,13.59
FRHC,2019-10-16,13.59,13.91,13.58,13.8
FRHC,2019-10-17,13.86,13.88,13.5,13.5
FRHC,2019-10-18,13.45,13.45,12.67,12.95
FRHC,2019-10-21,12.85,12.85,12.03,12.63
FRHC,2019-10-22,12.63,13.0,12.5,12.85
