ticker,date,open,high,low,close
GGAL,2000-07-25,17.48,17.75,16.75,17.5
GGAL,2000-07-26,17.25,17.56,17.19,17.5
GGAL,2000-07-27,17.5,17.62,17.38,17.5
GGAL,2000-07-28,17.56,17.56,17.12,17.38
GGAL,2000-07-31,17.5,17.69,16.88,17.69
GGAL,2000-08-01,17.56,18.44,17.25,17.5
GGAL,2000-08-02,17.75,18.0,17.69,17.69
GGAL,2000-08-03,17.62,17.67,17.25,17.38
GGAL,2000-08-04,17.38,17.5,17.25,17.25
GGAL,2000-08-07,17.25,17.44,17.06,17.25
GGAL,2000-08-08,17.12,17.56,17.12,17.25
GGAL,2000-08-09,17.31,17.44,16.75,16.94
GGAL,2000-08-10,16.81,17.12,16.38,16.38
GGAL,2000-08-11,16.56,16.56,15.75,16.0
GGAL,2000-08-14,15.94,16.0,15.56,15.56
GGAL,2000-08-15,15.56,15.56,15.19,15.38
GGAL,2000-08-16,15.25,15.25,13.62,14.38
GGAL,2000-08-17,14.5,15.88,14.5,15.5
GGAL,2000-08-18,15.44,15.44,15.06,15.25
GGAL,2000-08-21,15.25,15.25,15.0,15.0
GGAL,2000-08-22,15.0,15.81,14.94,15.69
GGAL,2000-08-23,15.56,16.25,15.25,16.0
GGAL,2000-08-24,15.94,16.38,15.81,16.38
GGAL,2000-08-25,16.38,16.56,16.25,16.5
GGAL,2000-08-28,16.38,16.5,16.31,16.5
GGAL,2000-08-29,16.38,16.62,16.25,16.5
GGAL,2000-08-30,16.5,16.75,16.38,16.75
GGAL,2000-08-31,16.75,18.0,16.56,17.62
GGAL,2000-09-01,17.75,18.12,17.69,17.69
GGAL,2000-09-05,17.88,17.88,17.44,17.44
GGAL,2000-09-06,17.5,17.62,17.14,17.31
GGAL,2000-09-07,17.5,17.75,16.69,16.75
GGAL,2000-09-08,16.69,16.81,16.69,16.81
GGAL,2000-09-11,16.75,16.81,16.62,16.62
GGAL,2000-09-12,16.5,16.75,16.5,16.62
GGAL,2000-09-13,16.56,16.62,16.12,16.5
GGAL,2000-09-14,16.62,16.62,16.31,16.31
GGAL,2000-09-15,16.5,16.56,16.5,16.5
GGAL,2000-09-18,16.38,16.5,16.25,16.25
GGAL,2000-09-19,16.25,16.25,15.5,15.94
GGAL,2000-09-20,15.81,15.81,15.12,15.25
GGAL,2000-09-21,15.25,15.44,15.25,15.38
GGAL,2000-09-22,15.19,15.5,14.88,15.06
GGAL,2000-09-25,15.31,15.38,15.12,15.38
GGAL,2000-09-26,15.06,15.62,15.06,15.31
GGAL,2000-09-27,15.25,15.27,15.0,15.0
GGAL,2000-09-28,15.0,15.25,14.88,15.19
GGAL,2000-09-29,15.31,15.31,15.0,15.0
GGAL,2000-10-02,15.38,15.38,14.81,14.88
GGAL,2000-10-03,15.25,15.25,14.62,14.69
GGAL,2000-10-04,14.81,14.88,14.62,14.75
GGAL,2000-10-05,14.69,14.75,14.5,14.69
GGAL,2000-10-06,14.69,14.69,14.0,14.12
GGAL,2000-10-09,14.0,14.0,13.69,13.88
GGAL,2000-10-10,13.94,14.0,13.56,14.0
GGAL,2000-10-11,14.0,14.31,13.62,14.25
GGAL,2000-10-12,14.25,14.31,13.5,13.5
GGAL,2000-10-13,13.62,13.81,13.38,13.62
GGAL,2000-10-16,13.62,13.62,13.19,13.25
GGAL,2000-10-17,13.31,13.31,12.62,12.62
GGAL,2000-10-18,12.48,13.0,12.0,12.81
