ticker,date,open,high,low,close
GLPG,2009-05-27,10.15,10.15,10.15,10.15
GLPG,2009-05-28,10.2,10.2,10.2,10.2
GLPG,2009-06-03,10.9,10.9,10.9,10.9
GLPG,2009-06-04,10.9,10.9,10.9,10.9
GLPG,2009-09-10,11.85,11.85,11.85,11.85
GLPG,2009-10-02,11.22,11.22,11.22,11.22
GLPG,2009-10-07,11.8,11.8,11.8,11.8
GLPG,2009-10-08,12.0,12.0,12.0,12.0
GLPG,2009-10-16,12.8,12.8,12.8,12.8
GLPG,2009-10-30,12.03,12.03,12.03,12.03
GLPG,2009-12-22,12.03,12.03,12.03,12.03
GLPG,2010-02-01,14.71,14.71,14.71,14.71
GLPG,2010-02-05,14.5,14.5,14.5,14.5
GLPG,2010-03-02,15.55,15.55,15.55,15.55
GLPG,2010-03-05,16.45,16.45,16.45,16.45
GLPG,2010-03-16,16.3,16.3,16.3,16.3
GLPG,2010-03-23,15.6,15.6,15.6,15.6
GLPG,2010-04-27,14.8,14.8,14.8,14.8
GLPG,2010-04-28,14.5,14.5,14.41,14.41
GLPG,2010-05-05,13.75,13.75,13.75,13.75
GLPG,2010-06-25,12.75,12.75,12.75,12.75
GLPG,2010-10-20,16.7,16.7,16.7,16.7
GLPG,2010-10-26,16.49,16.49,16.49,16.49
GLPG,2010-10-27,16.6,16.6,16.6,16.6
GLPG,2010-11-04,16.66,16.66,16.66,16.66
GLPG,2010-11-18,16.15,16.33,16.15,16.33
GLPG,2010-11-26,14.82,15.3,14.82,15.3
GLPG,2010-12-09,15.6,15.6,15.6,15.6
GLPG,2010-12-31,16.14,16.14,16.14,16.14
GLPG,2011-01-05,16.1,16.1,16.1,16.1
GLPG,2011-02-02,16.22,16.22,16.22,16.22
GLPG,2011-02-03,15.75,15.92,15.75,15.92
GLPG,2011-02-07,16.1,16.27,16.1,16.27
GLPG,2011-02-10,16.15,16.15,16.15,16.15
GLPG,2011-03-07,16.59,16.59,16.59,16.59
GLPG,2011-03-09,16.43,16.43,16.43,16.43
GLPG,2011-03-10,16.2,16.2,16.2,16.2
GLPG,2011-03-11,15.98,15.98,15.98,15.98
GLPG,2011-03-14,16.3,16.49,16.3,16.49
GLPG,2011-03-15,15.75,15.75,15.75,15.75
GLPG,2011-03-16,16.03,16.03,16.03,16.03
GLPG,2011-03-17,16.0,16.0,16.0,16.0
GLPG,2011-03-18,16.3,16.3,16.3,16.3
GLPG,2011-03-21,16.61,16.61,16.61,16.61
GLPG,2011-03-22,16.6,16.6,16.6,16.6
GLPG,2011-03-23,16.65,16.65,16.65,16.65
GLPG,2011-03-24,16.62,16.62,16.62,16.62
GLPG,2011-03-25,16.7,16.7,16.7,16.7
GLPG,2011-03-29,16.65,16.68,16.65,16.68
GLPG,2011-03-30,16.8,16.8,16.8,16.8
GLPG,2011-04-01,17.0,17.1,17.0,17.1
GLPG,2011-04-04,17.09,17.09,17.09,17.09
GLPG,2011-04-14,17.75,17.8,17.75,17.8
GLPG,2011-04-18,13.56,13.56,13.56,13.56
