ticker,date,open,high,low,close
GNTA,2021-12-15,10.05,11.25,10.0,11.0
GNTA,2021-12-16,11.45,11.45,10.9994,11.25
GNTA,2021-12-17,11.3,11.45,11.0,11.02
GNTA,2021-12-20,11.0,11.3,10.5,11.04
GNTA,2021-12-21,11.37,11.45,11.2,11.23
GNTA,2021-12-22,13.13,13.13,11.15,11.67
GNTA,2021-12-23,12.35,12.35,11.71,11.85
GNTA,2021-12-27,12.14,12.25,11.7,11.87
GNTA,2021-12-28,12.0,12.0,11.5613,11.7
GNTA,2021-12-29,11.6,11.6,11.15,11.3
GNTA,2021-12-30,11.65,11.65,10.5713,11.1218
GNTA,2021-12-31,10.65,11.1809,10.6149,10.9616
GNTA,2022-01-03,11.04,11.8,11.04,11.2
GNTA,2022-01-04,11.49,11.49,10.82,10.88
GNTA,2022-01-05,10.99,11.456,10.91,11.3959
GNTA,2022-01-06,11.12,11.5975,10.9,10.91
GNTA,2022-01-07,10.95,11.1,9.1,10.2355
GNTA,2022-01-10,10.24,10.24,9.24,9.8368
GNTA,2022-01-11,9.38,10.1889,9.38,9.65
GNTA,2022-01-12,10.02,10.28,9.89,9.936
GNTA,2022-01-13,10.15,10.5369,9.94,10.0
GNTA,2022-01-14,10.9,10.9,9.9,10.21
GNTA,2022-01-18,10.88,10.88,10.1,10.8
GNTA,2022-01-19,10.9387,10.9387,10.11,10.4468
GNTA,2022-01-20,10.12,10.7028,9.5,10.1455
GNTA,2022-01-21,9.9999,10.0,9.45,9.8618
GNTA,2022-01-24,9.85,9.85,8.28,9.3163
GNTA,2022-01-25,9.4,9.4,8.9,9.1999
GNTA,2022-01-26,9.25,9.311,8.9,8.9
GNTA,2022-01-27,9.5,9.5,8.15,8.15
GNTA,2022-01-28,8.25,8.62,8.05,8.2168
GNTA,2022-01-31,8.24,8.4013,7.15,8.4013
GNTA,2022-02-01,8.45,8.9,8.43,8.8
GNTA,2022-02-02,8.9,8.9,8.725,8.8
GNTA,2022-02-03,8.02,8.79,7.99,8.7021
GNTA,2022-02-04,8.84,8.89,8.4001,8.88
GNTA,2022-02-07,8.9,8.9,8.7,8.8661
GNTA,2022-02-08,8.44,8.8473,8.44,8.8473
GNTA,2022-02-09,8.99,9.2,8.5,8.8484
GNTA,2022-02-10,8.8499,8.8499,8.32,8.59
GNTA,2022-02-11,8.5,8.8,8.2,8.7126
GNTA,2022-02-14,8.59,8.6214,8.04,8.06
GNTA,2022-02-15,8.6,8.6,8.06,8.5
GNTA,2022-02-16,8.15,8.565,8.15,8.565
GNTA,2022-02-17,8.4547,8.4547,8.06,8.3811
GNTA,2022-02-18,8.255,8.42,7.65,8.3215
GNTA,2022-02-22,7.61,8.16,7.24,7.41
GNTA,2022-02-23,7.34,7.34,6.75,6.77
GNTA,2022-02-24,5.48,6.2,5.4,6.0
GNTA,2022-02-25,6.47,6.65,5.11,6.39
GNTA,2022-02-28,6.45,6.8346,6.45,6.56
GNTA,2022-03-01,6.4,6.4,5.36,6.2
GNTA,2022-03-02,6.203,6.5,6.2,6.2501
GNTA,2022-03-03,6.87,7.55,6.87,6.9
GNTA,2022-03-04,7.42,7.5,6.5223,6.7553
GNTA,2022-03-07,6.5,6.5,5.74,6.0
GNTA,2022-03-08,6.34,6.4,5.8,6.24
GNTA,2022-03-09,6.35,7.7128,6.0,6.36
GNTA,2022-03-10,6.0,6.0,5.6,5.61
GNTA,2022-03-11,5.5,5.8548,5.5,5.64
GNTA,2022-03-14,6.0799,6.0799,5.25,5.43
GNTA,2022-03-15,5.92,5.9237,5.725,5.75
GNTA,2022-03-16,7.14,7.14,5.5,6.04
GNTA,2022-03-17,6.1,6.71,5.915,6.27
GNTA,2022-03-18,6.89,6.89,6.15,6.46
GNTA,2022-03-21,6.97,6.97,6.58,6.58
GNTA,2022-03-22,6.99,7.0,6.46,6.75
GNTA,2022-03-23,6.6,6.95,6.6,6.95
GNTA,2022-03-24,6.9,6.9999,6.9,6.9999
GNTA,2022-03-25,7.1,7.14,6.8,7.0
GNTA,2022-03-28,6.7,6.8,5.74,6.2
GNTA,2022-03-29,6.62,7.3,6.62,7.3
GNTA,2022-03-30,7.7,7.86,6.8,7.04
GNTA,2022-03-31,7.0,7.3899,6.55,7.0
GNTA,2022-04-01,6.597,7.1531,6.597,7.0
