ticker,date,open,high,low,close
GOOD,2003-08-14,15.15,15.15,14.65,14.9
GOOD,2003-08-15,15.0,15.25,14.95,15.25
GOOD,2003-08-18,15.28,15.28,15.2,15.25
GOOD,2003-08-19,15.25,15.25,15.1,15.15
GOOD,2003-08-20,15.2,15.34,15.1,15.21
GOOD,2003-08-21,15.25,15.25,15.13,15.2
GOOD,2003-08-22,15.2,15.2,15.1,15.1
GOOD,2003-08-25,15.2,15.2,15.1,15.2
GOOD,2003-08-26,15.16,15.38,15.16,15.25
GOOD,2003-08-27,15.31,15.31,15.1,15.15
GOOD,2003-08-28,15.15,15.2,15.1,15.2
GOOD,2003-08-29,15.2,15.2,15.01,15.05
GOOD,2003-09-02,15.2,15.3,15.05,15.25
GOOD,2003-09-03,15.25,15.25,15.11,15.25
GOOD,2003-09-04,15.27,15.27,15.14,15.2
GOOD,2003-09-05,15.13,15.15,15.0,15.02
GOOD,2003-09-08,15.15,15.15,14.8,14.98
GOOD,2003-09-09,15.0,15.0,14.85,14.86
GOOD,2003-09-10,14.86,15.0,14.86,15.0
GOOD,2003-09-11,15.0,15.0,14.93,15.0
GOOD,2003-09-12,15.0,15.0,14.9,14.98
GOOD,2003-09-15,14.99,15.0,14.93,14.99
GOOD,2003-09-16,15.0,15.0,14.9,14.9
GOOD,2003-09-17,14.9,15.0,14.9,14.95
GOOD,2003-09-18,14.95,15.0,14.93,14.95
GOOD,2003-09-19,14.97,14.97,14.93,14.95
GOOD,2003-09-22,14.95,14.97,14.94,14.95
GOOD,2003-09-23,15.07,15.25,14.85,14.94
GOOD,2003-09-24,14.95,15.0,14.83,14.84
GOOD,2003-09-25,14.85,14.95,14.75,14.76
GOOD,2003-09-26,14.93,14.94,14.8,14.85
GOOD,2003-09-29,14.89,14.9,14.77,14.8
GOOD,2003-09-30,14.8,14.8,14.46,14.75
GOOD,2003-10-01,14.75,15.02,14.71,14.9
GOOD,2003-10-02,14.89,14.95,14.81,14.86
GOOD,2003-10-03,14.95,14.95,14.83,14.85
GOOD,2003-10-06,14.89,14.9,14.8,14.87
GOOD,2003-10-07,14.9,14.99,14.8,14.85
GOOD,2003-10-08,14.9,15.0,14.85,14.93
GOOD,2003-10-09,15.04,15.04,14.85,14.9
GOOD,2003-10-10,14.94,15.0,14.9,15.0
GOOD,2003-10-13,15.0,15.05,14.91,14.93
GOOD,2003-10-14,15.02,15.05,14.9,15.05
GOOD,2003-10-15,14.98,15.08,14.98,15.0
GOOD,2003-10-16,15.09,15.1,15.0,15.1
GOOD,2003-10-17,15.1,15.68,15.0,15.68
GOOD,2003-10-20,15.68,15.68,15.06,15.4
GOOD,2003-10-21,15.3,15.4,15.08,15.14
GOOD,2003-10-22,15.15,15.34,15.15,15.2
GOOD,2003-10-23,15.37,15.41,15.23,15.35
GOOD,2003-10-24,15.3,15.3,15.2,15.3
GOOD,2003-10-27,15.25,15.29,15.12,15.14
GOOD,2003-10-28,15.19,15.35,15.19,15.3
GOOD,2003-10-29,15.2,15.29,15.11,15.24
GOOD,2003-10-30,15.13,15.4,15.1,15.23
GOOD,2003-10-31,15.36,15.36,15.03,15.03
GOOD,2003-11-03,15.29,15.36,15.16,15.34
GOOD,2003-11-04,15.36,15.36,15.2,15.35
GOOD,2003-11-05,15.28,15.4,15.28,15.35
GOOD,2003-11-06,15.4,15.4,15.25,15.35
GOOD,2003-11-07,15.35,16.06,15.0,15.94
GOOD,2003-11-10,15.9,15.9,15.64,15.72
GOOD,2003-11-11,15.61,15.8,15.55,15.69
GOOD,2003-11-12,15.69,15.93,15.69,15.75
GOOD,2003-11-13,15.73,15.9,15.7,15.7
GOOD,2003-11-14,15.75,15.9,15.66,15.9
GOOD,2003-11-17,15.85,15.9,15.79,15.81
GOOD,2003-11-18,15.85,15.95,15.76,15.9
GOOD,2003-11-19,15.95,16.08,15.8,15.95
GOOD,2003-11-20,15.95,16.0,15.75,15.81
GOOD,2003-11-21,15.95,16.04,15.81,15.94
GOOD,2003-11-24,16.27,16.68,16.16,16.5
GOOD,2003-11-25,16.21,16.5,16.1,16.45
GOOD,2003-11-26,16.12,16.45,16.12,16.3
GOOD,2003-11-28,16.45,16.45,16.21,16.21
