ticker,date,open,high,low,close
GOSS,2019-02-08,19.0,19.0,16.0,17.94
GOSS,2019-02-11,18.72,19.75,17.9,18.36
GOSS,2019-02-12,18.43,18.65,17.5,18.5
GOSS,2019-02-13,18.5,18.5499,17.58,17.58
GOSS,2019-02-14,17.54,19.7,16.56,18.75
GOSS,2019-02-15,18.81,19.77,18.7501,19.3
GOSS,2019-02-19,19.5,20.0,19.08,19.64
GOSS,2019-02-20,19.77,20.23,19.51,20.12
GOSS,2019-02-21,20.38,21.21,20.0,20.8
GOSS,2019-02-22,21.21,22.68,19.5,22.5
GOSS,2019-02-25,22.6,24.0,22.27,23.17
GOSS,2019-02-26,23.43,24.44,23.0,23.97
GOSS,2019-02-27,24.62,25.0611,20.58,20.95
GOSS,2019-02-28,20.9,22.1395,20.04,21.83
GOSS,2019-03-01,21.91,23.4,21.5,23.0
GOSS,2019-03-04,23.71,23.71,22.15,22.83
GOSS,2019-03-05,22.98,23.1,20.31,20.51
GOSS,2019-03-06,20.59,21.29,19.63,20.84
GOSS,2019-03-07,20.81,22.12,18.3,19.25
GOSS,2019-03-08,19.13,20.0805,18.78,19.73
GOSS,2019-03-11,19.75,20.74,19.02,19.86
GOSS,2019-03-12,19.63,20.44,19.43,19.46
GOSS,2019-03-13,19.47,20.2,19.15,19.55
GOSS,2019-03-14,19.49,20.03,19.43,20.0
GOSS,2019-03-15,20.5,21.01,20.1,20.48
GOSS,2019-03-18,20.5,22.15,20.4,22.09
GOSS,2019-03-19,22.07,23.96,22.07,23.58
GOSS,2019-03-20,23.48,23.5,22.4031,23.26
GOSS,2019-03-21,23.15,23.49,22.0038,23.24
GOSS,2019-03-22,21.8601,23.04,21.39,21.6
GOSS,2019-03-25,21.47,22.5,20.49,22.1
GOSS,2019-03-26,22.21,22.85,21.0601,21.38
GOSS,2019-03-27,21.39,21.92,20.18,20.73
GOSS,2019-03-28,20.84,21.51,20.82,21.32
GOSS,2019-03-29,21.49,22.18,21.06,21.67
GOSS,2019-04-01,21.9,21.9,20.3,20.68
GOSS,2019-04-02,20.59,20.95,20.24,20.66
GOSS,2019-04-03,20.93,21.34,19.9,20.58
GOSS,2019-04-04,20.62,20.65,19.1363,19.86
GOSS,2019-04-05,19.97,20.09,19.34,19.74
GOSS,2019-04-08,19.51,19.73,18.51,18.59
GOSS,2019-04-09,18.59,18.65,17.2,17.31
GOSS,2019-04-10,17.37,17.55,17.0,17.23
GOSS,2019-04-11,17.26,17.78,16.65,17.44
GOSS,2019-04-12,17.58,17.7899,16.87,17.22
GOSS,2019-04-15,17.32,17.65,16.8,17.11
GOSS,2019-04-16,17.18,17.56,17.04,17.39
GOSS,2019-04-17,17.4,17.4,16.28,16.37
GOSS,2019-04-18,16.24,16.96,15.85,16.24
GOSS,2019-04-22,16.12,16.97,16.05,16.54
GOSS,2019-04-23,16.56,17.34,16.45,17.11
GOSS,2019-04-24,17.28,17.38,16.505,16.63
GOSS,2019-04-25,16.63,16.8865,16.0,16.21
GOSS,2019-04-26,16.25,16.32,15.5881,16.12
GOSS,2019-04-29,16.19,17.44,16.12,17.25
GOSS,2019-04-30,17.23,18.0,16.64,16.96
GOSS,2019-05-01,17.09,17.24,16.36,16.67
GOSS,2019-05-02,16.74,16.8,16.0,16.47
GOSS,2019-05-03,16.71,17.59,16.585,17.49
GOSS,2019-05-06,17.03,18.55,17.03,18.03
GOSS,2019-05-07,17.84,18.35,17.52,18.17
GOSS,2019-05-08,18.17,18.55,16.9972,18.17
GOSS,2019-05-09,17.82,18.9307,17.52,18.74
GOSS,2019-05-10,18.75,19.88,18.31,19.42
GOSS,2019-05-13,18.87,20.77,18.87,20.23
GOSS,2019-05-14,20.24,20.29,18.6,19.29
GOSS,2019-05-15,19.2,20.58,19.2,20.49
GOSS,2019-05-16,20.59,21.6,20.18,21.14
GOSS,2019-05-17,21.19,21.7,20.5523,20.98
GOSS,2019-05-20,20.8,20.97,19.99,20.64
GOSS,2019-05-21,20.82,21.395,20.63,20.75
GOSS,2019-05-22,20.85,20.91,20.255,20.39
GOSS,2019-05-23,20.32,20.32,19.28,19.87
GOSS,2019-05-24,20.0,21.2,19.85,20.57
GOSS,2019-05-28,20.75,21.2051,20.04,20.27
GOSS,2019-05-29,20.01,20.405,19.65,20.13
GOSS,2019-05-30,20.15,20.23,18.31,18.69
GOSS,2019-05-31,18.32,18.81,18.1,18.31
GOSS,2019-06-03,18.3,19.42,18.09,18.96
GOSS,2019-06-04,19.48,19.52,18.56,19.32
GOSS,2019-06-05,19.45,19.45,17.78,17.9
GOSS,2019-06-06,17.91,18.4,16.99,17.69
GOSS,2019-06-07,17.85,18.71,17.5,18.47
GOSS,2019-06-10,18.96,19.99,18.594,19.54
GOSS,2019-06-11,19.6,19.99,18.48,18.69
GOSS,2019-06-12,18.4719,19.335,18.4719,18.99
GOSS,2019-06-13,19.07,19.67,18.915,19.44
GOSS,2019-06-14,19.39,20.9697,19.39,20.26
GOSS,2019-06-17,20.32,21.42,20.28,21.09
GOSS,2019-06-18,21.07,21.75,20.975,21.31
GOSS,2019-06-19,21.15,22.5771,21.15,22.32
GOSS,2019-06-20,22.23,23.17,21.56,21.85
GOSS,2019-06-21,21.73,23.01,21.23,22.89
GOSS,2019-06-24,22.92,23.16,21.9,22.16
GOSS,2019-06-25,22.09,22.9,21.73,22.12
GOSS,2019-06-26,22.22,22.72,20.79,20.98
GOSS,2019-06-27,21.03,21.37,20.78,21.01
GOSS,2019-06-28,21.01,22.41,21.01,22.18
GOSS,2019-07-01,22.32,22.89,21.63,22.47
GOSS,2019-07-02,22.48,22.925,21.8883,22.17
GOSS,2019-07-03,22.45,22.45,21.68,22.01
GOSS,2019-07-05,22.06,22.11,20.82,20.92
GOSS,2019-07-08,21.07,21.07,19.96,20.23
GOSS,2019-07-09,20.15,20.905,20.13,20.51
GOSS,2019-07-10,20.68,21.3151,20.59,20.96
GOSS,2019-07-11,21.09,21.15,20.61,21.05
GOSS,2019-07-12,21.09,21.75,20.46,20.65
GOSS,2019-07-15,20.49,20.815,20.42,20.7
GOSS,2019-07-16,20.73,20.85,20.43,20.63
GOSS,2019-07-17,20.64,20.71,19.96,20.06
GOSS,2019-07-18,20.06,20.14,19.03,19.74
GOSS,2019-07-19,19.74,19.9951,18.95,19.0
GOSS,2019-07-22,19.01,19.05,17.29,17.4
GOSS,2019-07-23,17.42,17.98,17.06,17.82
GOSS,2019-07-24,18.0,18.63,17.57,18.56
GOSS,2019-07-25,20.04,21.0,18.8,19.24
GOSS,2019-07-26,19.65,21.26,19.51,21.15
GOSS,2019-07-29,21.51,21.79,19.78,20.01
GOSS,2019-07-30,20.1,20.3023,19.6031,19.82
GOSS,2019-07-31,20.0,20.355,19.66,19.85
GOSS,2019-08-01,20.08,21.13,20.07,20.41
GOSS,2019-08-02,20.3,20.37,18.33,18.57
GOSS,2019-08-05,18.3,19.54,17.77,19.26
GOSS,2019-08-06,19.16,19.47,17.75,18.73
GOSS,2019-08-07,18.73,20.0,18.33,19.87
GOSS,2019-08-08,19.95,20.55,19.1465,19.51
GOSS,2019-08-09,19.13,20.4033,18.555,19.38
GOSS,2019-08-12,19.29,19.89,19.13,19.43
GOSS,2019-08-13,19.31,20.52,18.91,20.51
GOSS,2019-08-14,20.31,20.31,18.17,18.23
GOSS,2019-08-15,18.36,18.48,17.9,18.0
GOSS,2019-08-16,18.5,18.59,17.53,17.78
GOSS,2019-08-19,18.0,18.79,17.57,18.61
GOSS,2019-08-20,18.43,19.0125,18.31,18.45
GOSS,2019-08-21,18.58,19.0,18.31,18.88
GOSS,2019-08-22,18.91,18.91,17.46,17.46
GOSS,2019-08-23,17.44,17.8505,16.85,17.43
GOSS,2019-08-26,17.7,20.15,17.52,20.1
