ticker,date,open,high,low,close
GSHD,2018-04-27,11.518,16.834,10.346,15.117
GSHD,2018-04-30,14.636,14.876,13.437,14.204
GSHD,2018-05-01,14.118,15.125,13.926,14.406
GSHD,2018-05-02,14.415,14.876,13.773,14.348
GSHD,2018-05-03,14.444,15.26,14.185,14.761
GSHD,2018-05-04,14.531,14.919,14.396,14.732
GSHD,2018-05-07,14.895,15.289,14.732,15.193
GSHD,2018-05-08,15.365,16.987,14.773,15.98
GSHD,2018-05-09,15.893,16.383,15.8,16.152
GSHD,2018-05-10,16.593,16.593,16.171,16.248
GSHD,2018-05-11,16.297,16.315,15.72,16.152
GSHD,2018-05-14,16.076,16.11,12.688,15.903
GSHD,2018-05-15,15.74,15.836,15.346,15.807
GSHD,2018-05-16,15.74,15.893,15.385,15.595
GSHD,2018-05-17,15.567,15.682,14.301,14.972
GSHD,2018-05-18,15.087,15.653,14.684,15.548
GSHD,2018-05-21,15.74,16.796,14.789,15.548
GSHD,2018-05-22,15.644,15.903,14.829,15.442
GSHD,2018-05-23,15.432,16.292,15.432,15.787
GSHD,2018-05-24,15.95,16.133,15.519,15.817
GSHD,2018-05-25,16.171,16.171,15.693,15.75
GSHD,2018-05-29,16.305,16.305,15.499,15.768
GSHD,2018-05-30,15.893,16.076,15.673,15.874
GSHD,2018-05-31,15.797,15.883,15.355,15.499
GSHD,2018-06-01,15.807,15.858,15.462,15.577
GSHD,2018-06-04,15.74,15.817,15.367,15.548
GSHD,2018-06-05,15.711,16.987,15.427,16.699
GSHD,2018-06-06,16.844,17.217,16.056,16.421
GSHD,2018-06-07,16.556,18.225,16.287,17.985
GSHD,2018-06-08,18.033,19.051,17.554,18.715
GSHD,2018-06-11,18.715,21.008,18.436,20.289
GSHD,2018-06-12,20.596,22.439,20.596,21.92
GSHD,2018-06-13,22.075,22.075,21.038,21.373
GSHD,2018-06-14,21.728,23.993,21.114,23.11
GSHD,2018-06-15,23.149,23.504,22.314,22.813
GSHD,2018-06-18,22.822,24.473,22.311,24.407
GSHD,2018-06-19,24.387,26.191,23.754,26.047
GSHD,2018-06-20,25.146,25.994,23.744,25.528
GSHD,2018-06-21,25.414,26.719,24.522,25.03
GSHD,2018-06-22,25.02,25.856,24.454,25.164
GSHD,2018-06-25,24.828,26.805,24.732,25.836
GSHD,2018-06-26,25.913,27.554,25.25,27.064
GSHD,2018-06-27,27.103,27.179,25.328,25.433
GSHD,2018-06-28,25.414,26.019,24.791,25.001
GSHD,2018-06-29,25.116,25.116,23.734,23.955
GSHD,2018-07-02,24.119,24.66,22.736,22.804
GSHD,2018-07-03,22.881,23.556,22.393,22.976
GSHD,2018-07-05,23.034,23.975,22.966,23.667
GSHD,2018-07-06,23.677,24.502,23.581,23.965
GSHD,2018-07-09,24.003,25.587,24.003,25.538
GSHD,2018-07-10,25.491,26.144,23.754,23.946
GSHD,2018-07-11,23.859,24.502,23.63,23.984
GSHD,2018-07-12,24.022,25.856,23.955,25.625
GSHD,2018-07-13,25.644,25.694,24.732,25.011
GSHD,2018-07-16,25.28,25.404,23.993,24.799
GSHD,2018-07-17,24.752,27.17,24.752,27.103
GSHD,2018-07-18,27.113,27.113,26.086,26.595
GSHD,2018-07-19,26.517,28.532,26.038,27.909
GSHD,2018-07-20,27.852,28.388,25.606,25.836
GSHD,2018-07-23,25.903,26.45,25.126,25.501
GSHD,2018-07-24,25.654,26.158,25.015,25.346
GSHD,2018-07-25,25.26,26.873,25.229,26.748
GSHD,2018-07-26,26.709,27.564,25.922,26.508
GSHD,2018-07-27,26.595,27.276,25.533,25.779
GSHD,2018-07-30,25.952,28.006,25.289,25.644
GSHD,2018-07-31,25.711,26.815,25.692,26.076
GSHD,2018-08-01,26.038,27.333,25.453,26.038
GSHD,2018-08-02,25.989,28.091,25.913,26.652
GSHD,2018-08-03,26.652,27.361,25.962,26.565
GSHD,2018-08-06,26.499,27.62,26.201,26.258
GSHD,2018-08-07,26.403,26.882,26.086,26.211
GSHD,2018-08-08,26.268,26.632,25.28,25.414
GSHD,2018-08-09,25.433,25.433,23.036,24.963
GSHD,2018-08-10,24.761,26.632,24.642,26.152
GSHD,2018-08-13,26.038,26.733,24.953,25.366
GSHD,2018-08-14,25.433,25.911,24.618,25.183
GSHD,2018-08-15,25.126,26.182,24.637,26.076
GSHD,2018-08-16,26.249,27.825,25.443,25.769
GSHD,2018-08-17,25.615,26.642,25.356,25.538
GSHD,2018-08-20,25.654,26.638,25.338,26.009
GSHD,2018-08-21,26.066,26.777,25.252,26.009
GSHD,2018-08-22,25.893,26.374,25.366,25.606
GSHD,2018-08-23,25.558,25.903,25.146,25.625
GSHD,2018-08-24,25.683,25.683,24.953,25.395
GSHD,2018-08-27,25.443,26.334,25.011,25.519
GSHD,2018-08-28,25.913,26.619,25.481,26.201
GSHD,2018-08-29,26.201,28.772,25.856,28.715
GSHD,2018-08-30,28.562,30.727,27.353,27.66
GSHD,2018-08-31,27.545,30.194,27.545,29.771
GSHD,2018-09-04,29.829,32.612,29.618,32.391
GSHD,2018-09-05,32.746,32.746,30.544,30.847
GSHD,2018-09-06,30.847,31.031,28.917,29.09
GSHD,2018-09-07,28.917,31.325,28.843,30.299
GSHD,2018-09-10,30.509,32.679,29.934,32.248
GSHD,2018-09-11,32.208,34.243,31.654,33.936
GSHD,2018-09-12,33.975,36.643,33.399,34.013
GSHD,2018-09-13,34.128,35.309,33.84,34.378
GSHD,2018-09-14,34.618,36.086,34.56,34.964
GSHD,2018-09-17,35.338,35.684,33.83,34.243
GSHD,2018-09-18,33.918,35.357,33.6,34.167
GSHD,2018-09-19,34.253,34.943,33.332,33.83
GSHD,2018-09-20,34.118,34.887,32.842,33.6
GSHD,2018-09-21,33.572,34.637,33.572,34.071
GSHD,2018-09-24,34.108,34.493,32.218,32.478
GSHD,2018-09-25,32.516,33.159,29.502,30.837
GSHD,2018-09-26,30.827,31.488,29.406,29.531
GSHD,2018-09-27,29.531,31.921,29.531,31.749
GSHD,2018-09-28,31.777,32.612,31.365,32.506
GSHD,2018-10-01,32.631,32.631,30.304,30.635
GSHD,2018-10-02,30.519,31.777,28.792,29.675
GSHD,2018-10-03,29.713,29.713,27.17,27.458
GSHD,2018-10-04,27.611,28.351,26.873,27.776
GSHD,2018-10-05,28.321,28.792,27.828,28.351
GSHD,2018-10-08,28.351,28.524,27.256,27.919
GSHD,2018-10-09,27.89,28.629,27.545,27.813
GSHD,2018-10-10,27.736,28.619,26.807,27.381
GSHD,2018-10-11,27.42,28.279,26.911,27.17
GSHD,2018-10-12,27.506,28.21,26.249,26.431
GSHD,2018-10-15,26.393,27.256,24.953,25.289
GSHD,2018-10-16,25.011,27.199,23.849,25.346
GSHD,2018-10-17,25.164,27.199,24.757,27.16
GSHD,2018-10-18,26.978,27.321,26.595,27.026
GSHD,2018-10-19,26.988,27.679,26.777,27.488
GSHD,2018-10-22,27.545,28.782,27.046,27.525
GSHD,2018-10-23,27.247,28.537,26.172,28.197
GSHD,2018-10-24,28.254,32.32,27.983,29.348
GSHD,2018-10-25,29.541,32.286,28.927,31.893
GSHD,2018-10-26,31.518,32.127,28.294,29.839
GSHD,2018-10-29,30.001,32.141,29.425,30.596
GSHD,2018-10-30,30.509,34.416,29.978,33.83
GSHD,2018-10-31,34.042,34.186,32.396,32.9
GSHD,2018-11-01,33.255,34.032,32.151,33.985
GSHD,2018-11-02,34.167,35.011,32.631,34.714
GSHD,2018-11-05,34.339,36.25,34.127,34.551
GSHD,2018-11-06,33.83,34.618,28.883,30.668
GSHD,2018-11-07,30.299,30.956,29.476,30.433
GSHD,2018-11-08,30.308,30.559,27.909,27.976
GSHD,2018-11-09,27.823,28.197,25.597,27.18
GSHD,2018-11-12,26.911,26.911,25.692,25.913
