ticker,date,open,high,low,close
HIFS,1988-12-14,0.0,5.83,5.67,5.75
HIFS,1988-12-15,0.0,5.83,5.67,5.83
HIFS,1988-12-16,0.0,5.67,5.67,5.67
HIFS,1988-12-19,0.0,5.75,5.67,5.67
HIFS,1988-12-20,0.0,5.75,5.67,5.75
HIFS,1988-12-21,0.0,5.75,5.75,5.75
HIFS,1988-12-22,0.0,5.67,5.67,5.67
HIFS,1988-12-23,5.67,5.67,5.67,5.67
HIFS,1988-12-27,5.67,5.67,5.67,5.67
HIFS,1988-12-28,0.0,5.75,5.67,5.67
HIFS,1988-12-29,0.0,5.75,5.67,5.67
HIFS,1988-12-30,5.67,5.67,5.67,5.67
HIFS,1989-01-03,0.0,5.67,5.67,5.67
HIFS,1989-01-04,0.0,5.67,5.58,5.67
HIFS,1989-01-05,0.0,5.67,5.58,5.67
HIFS,1989-01-06,0.0,5.67,5.58,5.58
HIFS,1989-01-09,0.0,5.67,5.58,5.58
HIFS,1989-01-10,0.0,5.67,5.58,5.67
HIFS,1989-01-11,0.0,5.83,5.58,5.83
HIFS,1989-01-12,0.0,5.83,5.67,5.75
HIFS,1989-01-13,0.0,5.75,5.75,5.75
HIFS,1989-01-16,0.0,5.92,5.92,5.92
HIFS,1989-01-17,0.0,5.92,5.83,5.83
HIFS,1989-01-18,0.0,5.92,5.75,5.83
HIFS,1989-01-19,0.0,5.92,5.83,5.83
HIFS,1989-01-20,0.0,5.92,5.92,5.92
HIFS,1989-01-23,0.0,5.92,5.92,5.92
HIFS,1989-01-24,0.0,5.83,5.75,5.75
HIFS,1989-01-25,5.75,5.75,5.75,5.75
HIFS,1989-01-26,0.0,5.75,5.75,5.75
HIFS,1989-01-27,0.0,5.92,5.75,5.83
HIFS,1989-01-30,0.0,5.67,5.17,5.25
HIFS,1989-01-31,0.0,5.67,5.0,5.58
HIFS,1989-02-01,0.0,5.58,5.58,5.58
HIFS,1989-02-02,0.0,5.58,5.58,5.58
HIFS,1989-02-03,0.0,5.58,5.5,5.58
HIFS,1989-02-06,0.0,5.67,5.67,5.67
HIFS,1989-02-07,0.0,5.67,5.5,5.67
HIFS,1989-02-08,0.0,5.67,5.5,5.5
HIFS,1989-02-09,0.0,5.67,5.5,5.5
HIFS,1989-02-10,0.0,5.75,5.58,5.67
HIFS,1989-02-13,5.67,5.67,5.67,5.67
HIFS,1989-02-14,0.0,5.67,5.58,5.67
HIFS,1989-02-15,0.0,5.75,5.58,5.58
HIFS,1989-02-16,0.0,5.75,5.67,5.67
HIFS,1989-02-17,5.67,5.67,5.67,5.67
HIFS,1989-02-21,0.0,5.67,5.58,5.58
HIFS,1989-02-22,0.0,5.67,5.67,5.67
HIFS,1989-02-23,0.0,5.67,5.58,5.67
HIFS,1989-02-24,0.0,5.58,5.58,5.58
HIFS,1989-02-27,0.0,5.58,5.58,5.58
HIFS,1989-02-28,0.0,5.67,5.58,5.67
HIFS,1989-03-01,0.0,5.67,5.58,5.67
HIFS,1989-03-02,0.0,5.67,5.5,5.67
HIFS,1989-03-03,0.0,5.67,5.58,5.67
HIFS,1989-03-06,5.67,5.67,5.67,5.67
HIFS,1989-03-07,0.0,5.58,5.58,5.58
HIFS,1989-03-08,0.0,5.67,5.67,5.67
HIFS,1989-03-09,5.67,5.67,5.67,5.67
HIFS,1989-03-10,0.0,5.75,5.67,5.67
HIFS,1989-03-13,0.0,5.67,5.58,5.58
HIFS,1989-03-14,0.0,5.67,5.67,5.67
HIFS,1989-03-15,0.0,5.67,5.67,5.67
HIFS,1989-03-16,0.0,5.67,5.5,5.5
HIFS,1989-03-17,0.0,5.58,5.5,5.5
HIFS,1989-03-20,0.0,5.17,5.17,5.17
HIFS,1989-03-21,0.0,5.33,5.33,5.33
HIFS,1989-03-22,5.33,5.33,5.33,5.33
HIFS,1989-03-23,0.0,5.5,5.17,5.17
HIFS,1989-03-27,5.17,5.17,5.17,5.17
HIFS,1989-03-28,5.17,5.17,5.17,5.17
HIFS,1989-03-29,0.0,5.5,5.5,5.5
HIFS,1989-03-30,5.5,5.5,5.5,5.5
HIFS,1989-03-31,0.0,5.33,5.33,5.33
HIFS,1989-04-03,0.0,5.42,5.42,5.42
HIFS,1989-04-04,0.0,5.42,5.25,5.25
HIFS,1989-04-05,0.0,5.42,5.25,5.33
HIFS,1989-04-06,0.0,5.25,5.25,5.25
HIFS,1989-04-07,5.25,5.25,5.25,5.25
HIFS,1989-04-10,0.0,5.33,5.25,5.25
HIFS,1989-04-11,0.0,5.33,5.33,5.33
HIFS,1989-04-12,0.0,5.33,5.25,5.33
HIFS,1989-04-13,0.0,5.33,5.25,5.25
HIFS,1989-04-14,0.0,5.33,5.33,5.33
HIFS,1989-04-17,5.33,5.33,5.33,5.33
HIFS,1989-04-18,5.33,5.33,5.33,5.33
HIFS,1989-04-19,5.33,5.33,5.33,5.33
HIFS,1989-04-20,0.0,5.5,5.25,5.5
HIFS,1989-04-21,0.0,5.42,5.25,5.42
HIFS,1989-04-24,0.0,5.42,5.33,5.42
HIFS,1989-04-25,5.42,5.42,5.42,5.42
HIFS,1989-04-26,0.0,5.42,5.25,5.25
HIFS,1989-04-27,0.0,5.42,5.33,5.42
HIFS,1989-04-28,5.42,5.42,5.42,5.42
HIFS,1989-05-01,0.0,5.42,5.17,5.17
HIFS,1989-05-02,0.0,5.25,5.08,5.08
HIFS,1989-05-03,0.0,5.33,5.33,5.33
HIFS,1989-05-04,0.0,5.25,5.25,5.25
HIFS,1989-05-05,5.25,5.25,5.25,5.25
HIFS,1989-05-08,0.0,5.33,5.17,5.25
HIFS,1989-05-09,0.0,5.25,5.17,5.25
HIFS,1989-05-10,0.0,5.08,5.08,5.08
HIFS,1989-05-11,0.0,5.08,5.08,5.08
HIFS,1989-05-12,0.0,5.25,5.25,5.25
HIFS,1989-05-15,0.0,5.17,5.17,5.17
HIFS,1989-05-16,0.0,5.25,5.25,5.25
HIFS,1989-05-17,0.0,5.25,5.08,5.08
HIFS,1989-05-18,0.0,5.33,5.17,5.33
HIFS,1989-05-19,0.0,5.33,5.17,5.25
HIFS,1989-05-22,5.25,5.25,5.25,5.25
HIFS,1989-05-23,0.0,5.25,5.08,5.17
HIFS,1989-05-24,5.17,5.17,5.17,5.17
HIFS,1989-05-25,0.0,5.0,5.0,5.0
HIFS,1989-05-26,5.0,5.0,5.0,5.0
HIFS,1989-05-30,5.0,5.0,5.0,5.0
HIFS,1989-05-31,0.0,5.0,5.0,5.0
HIFS,1989-06-01,5.0,5.0,5.0,5.0
HIFS,1989-06-02,0.0,5.08,5.0,5.0
HIFS,1989-06-05,0.0,5.0,5.0,5.0
HIFS,1989-06-06,0.0,5.17,4.75,5.17
HIFS,1989-06-07,0.0,5.17,4.67,4.67
HIFS,1989-06-08,4.67,4.67,4.67,4.67
HIFS,1989-06-09,0.0,4.92,4.83,4.83
HIFS,1989-06-12,0.0,4.67,4.58,4.58
HIFS,1989-06-13,0.0,4.67,4.5,4.67
HIFS,1989-06-14,0.0,4.83,4.5,4.58
HIFS,1989-06-15,0.0,4.58,4.5,4.5
HIFS,1989-06-16,0.0,4.83,4.67,4.67
HIFS,1989-06-19,0.0,4.67,4.67,4.67
HIFS,1989-06-20,4.67,4.67,4.67,4.67
HIFS,1989-06-21,0.0,5.17,4.75,4.83
HIFS,1989-06-22,4.83,4.83,4.83,4.83
HIFS,1989-06-23,0.0,4.75,4.75,4.75
HIFS,1989-06-26,4.75,4.75,4.75,4.75
HIFS,1989-06-27,4.75,4.75,4.75,4.75
HIFS,1989-06-28,4.75,4.75,4.75,4.75
HIFS,1989-06-29,0.0,4.67,4.42,4.67
HIFS,1989-06-30,0.0,4.67,4.42,4.67
HIFS,1989-07-03,4.67,4.67,4.67,4.67
HIFS,1989-07-05,0.0,5.17,4.67,5.17
HIFS,1989-07-06,5.17,5.17,5.17,5.17
HIFS,1989-07-07,0.0,5.33,4.92,5.33
HIFS,1989-07-10,5.33,5.33,5.33,5.33
HIFS,1989-07-11,5.33,5.33,5.33,5.33
HIFS,1989-07-12,5.33,5.33,5.33,5.33
HIFS,1989-07-13,5.33,5.33,5.33,5.33
HIFS,1989-07-14,5.33,5.33,5.33,5.33
