ticker,date,open,high,low,close
HLIT,1995-05-23,7.38,7.38,7.0,7.22
HLIT,1995-05-24,7.0,7.38,7.0,7.12
HLIT,1995-05-25,7.38,7.38,6.88,6.88
HLIT,1995-05-26,6.88,7.12,6.75,6.75
HLIT,1995-05-30,6.75,7.0,6.75,6.75
HLIT,1995-05-31,6.75,7.0,6.5,6.5
HLIT,1995-06-01,6.5,6.88,6.5,6.88
HLIT,1995-06-02,7.0,7.0,6.75,6.94
HLIT,1995-06-05,7.12,7.12,6.88,6.88
HLIT,1995-06-06,7.25,7.25,6.88,7.25
HLIT,1995-06-07,7.25,7.5,7.0,7.5
HLIT,1995-06-08,7.25,8.0,7.25,8.0
HLIT,1995-06-09,7.88,8.0,7.38,8.0
HLIT,1995-06-12,8.0,8.0,7.75,8.0
HLIT,1995-06-13,8.0,8.38,7.75,8.12
HLIT,1995-06-14,8.38,9.0,8.38,8.88
HLIT,1995-06-15,8.88,9.75,8.62,9.56
HLIT,1995-06-16,9.75,9.75,9.25,9.38
HLIT,1995-06-19,9.62,9.62,9.0,9.22
HLIT,1995-06-20,9.0,9.31,8.88,8.88
HLIT,1995-06-21,9.0,9.0,8.62,8.88
HLIT,1995-06-22,8.62,8.88,8.38,8.44
HLIT,1995-06-23,8.38,8.69,8.12,8.25
HLIT,1995-06-26,8.25,8.38,8.19,8.19
HLIT,1995-06-27,8.25,8.38,8.19,8.19
HLIT,1995-06-28,8.19,8.5,8.19,8.44
HLIT,1995-06-29,8.38,8.38,8.19,8.38
HLIT,1995-06-30,8.25,8.38,8.12,8.38
HLIT,1995-07-03,8.38,8.38,8.12,8.19
HLIT,1995-07-05,8.38,8.38,8.12,8.38
HLIT,1995-07-06,8.12,8.38,8.12,8.12
HLIT,1995-07-07,8.38,8.38,8.12,8.38
HLIT,1995-07-10,8.62,9.12,8.5,9.12
HLIT,1995-07-11,9.12,9.38,8.88,9.25
HLIT,1995-07-12,9.25,9.38,9.0,9.19
HLIT,1995-07-13,9.0,9.38,8.88,9.12
HLIT,1995-07-14,9.12,9.12,8.88,8.88
HLIT,1995-07-17,9.0,9.62,9.0,9.62
HLIT,1995-07-18,9.62,9.88,9.38,9.62
HLIT,1995-07-19,9.38,9.38,8.5,8.75
HLIT,1995-07-20,8.75,8.88,8.69,8.88
HLIT,1995-07-21,8.62,9.12,8.62,8.88
HLIT,1995-07-24,9.12,9.75,8.75,9.75
HLIT,1995-07-25,10.12,10.25,8.75,9.0
HLIT,1995-07-26,9.25,9.5,9.12,9.12
HLIT,1995-07-27,9.38,9.38,8.88,8.88
HLIT,1995-07-28,8.88,9.38,8.88,9.19
HLIT,1995-07-31,9.38,9.38,8.88,8.88
HLIT,1995-08-01,8.75,9.0,8.62,9.0
HLIT,1995-08-02,9.12,9.12,8.75,8.75
HLIT,1995-08-03,8.75,8.88,8.62,8.62
HLIT,1995-08-04,8.88,8.88,8.38,8.62
HLIT,1995-08-07,8.5,8.62,8.12,8.25
HLIT,1995-08-08,8.38,8.38,8.12,8.31
HLIT,1995-08-09,8.31,8.62,8.25,8.62
HLIT,1995-08-10,8.5,8.62,8.5,8.62
HLIT,1995-08-11,8.75,8.88,8.62,8.88
HLIT,1995-08-14,8.75,9.0,8.75,9.0
HLIT,1995-08-15,9.0,9.0,8.88,9.0
HLIT,1995-08-16,8.75,9.0,8.75,8.81
HLIT,1995-08-17,9.0,9.0,8.75,8.81
HLIT,1995-08-18,8.75,8.88,8.62,8.88
HLIT,1995-08-21,8.88,8.88,8.62,8.62
HLIT,1995-08-22,8.5,8.75,8.38,8.38
HLIT,1995-08-23,8.5,8.5,8.25,8.38
HLIT,1995-08-24,8.12,8.19,7.88,7.88
HLIT,1995-08-25,8.12,8.12,7.88,8.12
HLIT,1995-08-28,7.88,8.12,7.75,7.75
HLIT,1995-08-29,7.75,8.0,7.5,7.75
HLIT,1995-08-30,7.75,7.75,7.12,7.5
HLIT,1995-08-31,7.5,7.56,7.25,7.56
HLIT,1995-09-01,7.62,7.88,7.5,7.62
HLIT,1995-09-05,7.62,8.75,7.62,8.75
HLIT,1995-09-06,8.75,8.88,8.5,8.88
HLIT,1995-09-07,8.62,8.88,8.5,8.88
HLIT,1995-09-08,8.62,8.62,8.25,8.5
HLIT,1995-09-11,8.25,8.62,8.25,8.62
HLIT,1995-09-12,8.62,8.62,8.25,8.62
HLIT,1995-09-13,8.5,8.5,8.25,8.25
HLIT,1995-09-14,8.25,8.38,8.0,8.25
HLIT,1995-09-15,7.88,8.0,7.88,7.88
HLIT,1995-09-18,7.88,8.12,7.88,7.88
HLIT,1995-09-19,8.12,8.12,7.88,7.88
HLIT,1995-09-20,8.0,8.5,7.62,8.5
HLIT,1995-09-21,8.5,8.88,8.12,8.81
HLIT,1995-09-22,8.5,8.88,8.5,8.81
HLIT,1995-09-25,8.75,8.88,8.5,8.5
HLIT,1995-09-26,8.5,8.5,8.12,8.12
HLIT,1995-09-27,8.0,8.0,7.88,8.0
HLIT,1995-09-28,8.0,8.56,8.0,8.5
HLIT,1995-09-29,8.5,9.0,8.44,9.0
HLIT,1995-10-02,8.88,8.88,8.5,8.5
HLIT,1995-10-03,8.5,8.75,8.38,8.75
HLIT,1995-10-04,8.62,8.75,8.5,8.75
HLIT,1995-10-05,8.38,8.5,7.75,8.0
HLIT,1995-10-06,8.12,8.12,7.62,7.88
HLIT,1995-10-09,8.0,8.0,7.5,7.62
HLIT,1995-10-10,7.5,7.62,6.88,7.06
HLIT,1995-10-11,7.25,7.25,6.75,7.0
HLIT,1995-10-12,6.88,7.12,6.88,6.94
HLIT,1995-10-13,7.0,7.12,6.75,6.88
HLIT,1995-10-16,7.12,7.38,7.0,7.31
HLIT,1995-10-17,7.62,7.62,7.25,7.25
HLIT,1995-10-18,7.25,7.5,7.25,7.25
HLIT,1995-10-19,7.38,7.38,6.25,6.62
HLIT,1995-10-20,6.75,6.75,5.75,6.12
HLIT,1995-10-23,6.12,6.12,5.88,5.88
HLIT,1995-10-24,6.0,6.38,6.0,6.38
HLIT,1995-10-25,6.12,6.75,6.12,6.38
HLIT,1995-10-26,6.44,6.62,6.25,6.38
