ticker,date,open,high,low,close
HON,1962-01-02,0.0,8.33,8.27,8.31
HON,1962-01-03,0.0,8.4,8.33,8.4
HON,1962-01-04,0.0,8.53,8.42,8.46
HON,1962-01-05,0.0,8.53,8.42,8.44
HON,1962-01-08,0.0,8.53,8.35,8.48
HON,1962-01-09,0.0,8.52,8.42,8.46
HON,1962-01-10,0.0,8.46,8.27,8.29
HON,1962-01-11,0.0,8.31,8.2,8.29
HON,1962-01-12,0.0,8.35,8.2,8.22
HON,1962-01-15,0.0,8.22,8.01,8.07
HON,1962-01-16,0.0,8.07,7.95,7.95
HON,1962-01-17,0.0,7.97,7.95,7.97
HON,1962-01-18,0.0,7.97,7.95,7.97
HON,1962-01-19,0.0,8.01,7.97,7.97
HON,1962-01-22,0.0,7.97,7.88,7.88
HON,1962-01-23,0.0,7.9,7.86,7.88
HON,1962-01-24,0.0,7.82,7.73,7.8
HON,1962-01-25,0.0,7.82,7.79,7.79
HON,1962-01-26,0.0,7.79,7.71,7.71
HON,1962-01-29,0.0,7.77,7.67,7.73
HON,1962-01-30,0.0,7.84,7.75,7.84
HON,1962-01-31,0.0,7.97,7.8,7.95
HON,1962-02-01,0.0,8.03,7.88,7.95
HON,1962-02-02,0.0,8.01,7.92,7.97
HON,1962-02-05,0.0,8.05,7.95,8.05
HON,1962-02-06,0.0,8.03,7.99,8.03
HON,1962-02-07,0.0,8.12,7.99,8.12
HON,1962-02-08,0.0,8.16,8.09,8.12
HON,1962-02-09,0.0,8.14,8.1,8.1
HON,1962-02-12,0.0,8.12,8.09,8.1
HON,1962-02-13,0.0,8.1,8.05,8.05
HON,1962-02-14,0.0,8.05,7.88,7.88
HON,1962-02-15,0.0,7.95,7.8,7.9
HON,1962-02-16,0.0,7.94,7.82,7.84
HON,1962-02-19,0.0,8.01,7.86,7.88
HON,1962-02-20,0.0,7.86,7.8,7.84
HON,1962-02-21,0.0,7.79,7.67,7.69
HON,1962-02-23,0.0,7.71,7.52,7.56
