ticker,date,open,high,low,close
HROW,2007-09-28,119.6,120.0,119.6,120.0
HROW,2007-10-01,140.0,140.0,120.0,120.0
HROW,2007-10-02,120.0,120.0,120.0,120.0
HROW,2007-10-03,120.0,120.0,120.0,120.0
HROW,2007-10-04,138.0,138.0,138.0,138.0
HROW,2007-10-05,138.0,138.0,138.0,138.0
HROW,2007-10-08,138.0,138.0,138.0,138.0
HROW,2007-10-09,138.0,138.0,138.0,138.0
HROW,2007-10-10,138.0,138.0,138.0,138.0
HROW,2007-10-11,120.4,120.4,120.4,120.4
HROW,2007-10-12,120.4,120.4,120.4,120.4
HROW,2007-10-15,120.0,120.0,120.0,120.0
HROW,2007-10-16,120.0,120.0,120.0,120.0
HROW,2007-10-17,134.0,134.0,134.0,134.0
HROW,2007-10-18,120.0,120.0,114.0,116.0
HROW,2007-10-19,116.0,116.0,116.0,116.0
HROW,2007-10-22,110.4,110.4,110.4,110.4
HROW,2007-10-23,110.0,110.0,110.0,110.0
HROW,2007-10-24,110.0,110.0,110.0,110.0
HROW,2007-10-25,110.0,110.0,110.0,110.0
HROW,2007-10-26,110.0,110.0,110.0,110.0
HROW,2007-10-29,110.0,110.0,110.0,110.0
HROW,2007-10-30,110.0,110.0,110.0,110.0
HROW,2007-10-31,110.0,110.0,110.0,110.0
HROW,2007-11-01,110.0,110.0,110.0,110.0
HROW,2007-11-02,120.0,120.0,120.0,120.0
HROW,2007-11-05,104.0,110.0,100.0,110.0
HROW,2007-11-06,110.0,110.0,110.0,110.0
HROW,2007-11-07,110.0,110.0,110.0,110.0
HROW,2007-11-08,110.0,110.0,102.0,102.0
HROW,2007-11-09,100.4,100.4,100.4,100.4
HROW,2007-11-12,102.0,110.4,100.0,110.4
HROW,2007-11-13,110.4,110.4,110.4,110.4
HROW,2007-11-14,136.0,136.0,131.6,131.6
HROW,2007-11-15,136.0,136.0,110.4,110.4
HROW,2007-11-16,131.6,131.6,120.0,120.0
HROW,2007-11-19,114.0,116.0,114.0,116.0
HROW,2007-11-20,116.0,116.0,116.0,116.0
HROW,2007-11-21,116.0,116.0,112.0,114.0
HROW,2007-11-23,108.0,110.0,98.0,98.0
HROW,2007-11-26,94.0,94.0,90.0,90.0
HROW,2007-11-27,88.4,88.4,88.4,88.4
HROW,2007-11-28,88.4,88.4,88.4,88.4
HROW,2007-11-29,88.4,88.4,88.4,88.4
HROW,2007-11-30,90.0,90.0,90.0,90.0
HROW,2007-12-03,90.0,106.0,90.0,104.0
HROW,2007-12-04,104.0,106.0,102.0,103.2
HROW,2007-12-05,104.4,104.4,100.0,104.4
HROW,2007-12-06,106.0,106.0,104.4,104.8
HROW,2007-12-07,108.0,108.0,108.0,108.0
HROW,2007-12-10,111.2,111.2,104.0,108.4
HROW,2007-12-11,111.2,111.2,110.0,110.0
HROW,2007-12-12,110.0,110.0,110.0,110.0
HROW,2007-12-13,112.0,112.0,110.0,110.0
HROW,2007-12-14,110.0,110.0,110.0,110.0
HROW,2007-12-17,104.0,110.0,104.0,104.0
HROW,2007-12-18,106.0,110.0,105.2,108.0
HROW,2007-12-19,108.0,110.0,105.6,108.0
HROW,2007-12-20,108.0,112.0,108.0,110.0
HROW,2007-12-21,110.0,110.0,107.6,110.0
HROW,2007-12-24,110.0,114.0,110.0,114.0
HROW,2007-12-26,110.0,110.0,108.4,108.8
HROW,2007-12-27,108.8,108.8,106.0,106.8
