ticker,date,open,high,low,close
HSCS,2022-06-16,318.0,321.0,231.0,242.0
HSCS,2022-06-17,220.0,220.0,201.0,207.77
HSCS,2022-06-21,199.0,225.0,197.0,198.0
HSCS,2022-06-22,191.0,196.0,170.0,178.0
HSCS,2022-06-23,183.0,185.08,171.01,181.0
HSCS,2022-06-24,181.0,208.27,172.01,202.0
HSCS,2022-06-27,202.0,209.39,190.0,198.0
HSCS,2022-06-28,194.0,207.89,180.47,183.0
HSCS,2022-06-29,175.0,184.49,175.0,180.0
HSCS,2022-06-30,180.0,207.99,172.0,187.4
HSCS,2022-07-01,178.2,182.0,172.01,181.99
HSCS,2022-07-05,174.07,184.0,173.0,175.0
HSCS,2022-07-06,173.0,182.0,172.0,173.0
HSCS,2022-07-07,177.0,179.0,171.0,173.0
HSCS,2022-07-08,177.5,183.99,172.62,175.0
HSCS,2022-07-11,181.0,181.0,157.5,161.0
HSCS,2022-07-12,161.0,170.0,142.0,144.0
HSCS,2022-07-13,143.88,146.0,128.0,139.0
HSCS,2022-07-14,137.0,137.0,128.0,131.0
HSCS,2022-07-15,130.0,138.99,126.0,130.0
HSCS,2022-07-18,134.0,135.99,126.0,129.0
HSCS,2022-07-19,125.0,133.45,123.0,125.0
HSCS,2022-07-20,125.41,151.86,122.0,137.0
HSCS,2022-07-21,135.0,135.0,115.0,122.0
HSCS,2022-07-22,125.0,132.0,117.0,121.0
HSCS,2022-07-25,125.0,145.0,121.0,138.0
HSCS,2022-07-26,138.0,138.0,130.0,132.61
HSCS,2022-07-27,137.0,141.99,133.0,140.0
HSCS,2022-07-28,136.0,148.0,121.09,148.0
HSCS,2022-07-29,137.0,171.0,137.0,150.0
HSCS,2022-08-01,148.0,171.0,141.0,157.56
HSCS,2022-08-02,167.0,179.0,151.84,173.0
HSCS,2022-08-03,179.0,600.0,166.07,328.0
HSCS,2022-08-04,260.0,349.0,233.0,271.0
HSCS,2022-08-05,256.0,275.0,204.0,212.0
HSCS,2022-08-08,223.0,425.0,209.0,330.0
HSCS,2022-08-09,296.0,327.0,241.0,280.0
HSCS,2022-08-10,279.0,375.99,259.0,314.0
HSCS,2022-08-11,327.0,410.0,300.5,316.0
HSCS,2022-08-12,313.0,336.99,282.0,298.0
HSCS,2022-08-15,291.0,327.0,241.0,264.0
HSCS,2022-08-16,262.0,289.95,245.0,255.0
HSCS,2022-08-17,244.0,258.67,228.0,233.0
HSCS,2022-08-18,232.0,240.0,220.0,224.0
HSCS,2022-08-19,225.0,287.0,199.0,200.0
HSCS,2022-08-22,185.0,197.0,175.0,185.0
HSCS,2022-08-23,181.0,192.99,181.0,189.0
HSCS,2022-08-24,190.0,220.0,186.0,195.0
HSCS,2022-08-25,200.0,218.0,160.0,176.0
HSCS,2022-08-26,190.0,190.0,150.0,153.0
HSCS,2022-08-29,153.0,154.1,140.01,150.0
HSCS,2022-08-30,161.0,161.0,142.0,146.0
HSCS,2022-08-31,144.0,158.0,143.0,146.0
HSCS,2022-09-01,151.0,151.0,140.0,149.0
HSCS,2022-09-02,145.0,152.0,135.0,137.0
HSCS,2022-09-06,144.0,147.0,135.0,143.0
HSCS,2022-09-07,151.0,151.0,140.0,142.0
HSCS,2022-09-08,139.0,145.0,136.0,140.0
HSCS,2022-09-09,142.0,146.0,140.0,140.0
HSCS,2022-09-12,144.0,152.0,144.0,147.0
