ticker,date,open,high,low,close
HYFT,2025-09-04,2.02,2.0668,1.88,1.99
HYFT,2025-09-05,1.97,1.99,1.82,1.94
HYFT,2025-09-08,1.92,2.0,1.85,1.85
HYFT,2025-09-09,1.81,1.92,1.8,1.89
HYFT,2025-09-10,1.88,2.0,1.86,1.91
HYFT,2025-09-11,1.9,2.17,1.88,2.17
HYFT,2025-09-12,2.25,2.3,1.95,2.21
HYFT,2025-09-15,2.26,2.26,1.58,1.76
HYFT,2025-09-16,1.731,1.731,1.51,1.59
HYFT,2025-09-17,1.57,1.63,1.42,1.5495
HYFT,2025-09-18,1.57,1.96,1.55,1.88
HYFT,2025-09-19,1.87,1.87,1.68,1.73
HYFT,2025-09-22,2.0,2.08,1.89,2.01
HYFT,2025-09-23,2.03,2.0374,1.875,1.91
HYFT,2025-09-24,1.95,2.0399,1.8772,1.89
HYFT,2025-09-25,1.9,1.935,1.75,1.77
HYFT,2025-09-26,1.78,1.85,1.77,1.8
HYFT,2025-09-29,1.8,1.89,1.69,1.73
HYFT,2025-09-30,1.72,1.79,1.67,1.76
HYFT,2025-10-01,1.75,1.84,1.7207,1.78
