ticker,date,open,high,low,close
IMMX,2021-12-16,5.0,5.01,3.51,3.67
IMMX,2021-12-17,3.5,6.31,3.5,4.0
IMMX,2021-12-20,3.51,3.74,3.2,3.25
IMMX,2021-12-21,3.35,3.75,3.27,3.48
IMMX,2021-12-22,3.41,3.5899,3.23,3.26
IMMX,2021-12-23,3.3,3.35,2.85,2.95
IMMX,2021-12-27,3.0,3.6599,2.97,3.28
IMMX,2021-12-28,3.19,3.8823,3.13,3.61
IMMX,2021-12-29,3.53,3.7891,3.32,3.32
IMMX,2021-12-30,3.25,3.405,3.25,3.26
IMMX,2021-12-31,3.35,3.64,3.27,3.56
IMMX,2022-01-03,7.05,8.6799,5.63,5.78
IMMX,2022-01-04,7.47,7.75,5.86,6.49
IMMX,2022-01-05,6.9,7.9,6.43,6.75
IMMX,2022-01-06,6.8,6.9,5.36,5.49
IMMX,2022-01-07,5.0228,5.6774,4.84,5.34
IMMX,2022-01-10,5.2,6.32,5.19,6.02
IMMX,2022-01-11,5.88,6.07,5.21,5.43
IMMX,2022-01-12,7.07,7.5999,6.22,6.43
IMMX,2022-01-13,6.11,6.15,5.57,5.83
IMMX,2022-01-14,5.5,6.0799,5.46,5.84
IMMX,2022-01-18,5.55,5.8699,5.4,5.81
IMMX,2022-01-19,5.81,6.12,5.5399,5.66
IMMX,2022-01-20,5.52,5.85,5.35,5.42
IMMX,2022-01-21,5.3,5.3499,4.4401,4.51
IMMX,2022-01-24,3.9395,4.24,3.7101,4.23
IMMX,2022-01-25,4.04,4.2399,3.92,4.12
IMMX,2022-01-26,4.08,4.11,3.52,3.55
IMMX,2022-01-27,3.76,4.5,3.61,3.94
IMMX,2022-01-28,3.75,3.9799,3.53,3.89
IMMX,2022-01-31,3.93,4.0799,3.73,4.06
IMMX,2022-02-01,4.16,5.1,4.1,4.61
IMMX,2022-02-02,4.49,4.5399,3.87,3.99
IMMX,2022-02-03,3.7842,4.19,3.66,4.03
IMMX,2022-02-04,4.0,4.48,3.8828,4.37
IMMX,2022-02-07,4.8361,5.04,4.55,4.8
IMMX,2022-02-08,4.66,4.9,4.21,4.82
IMMX,2022-02-09,4.84,5.37,4.76,4.93
IMMX,2022-02-10,4.7401,4.95,4.345,4.37
IMMX,2022-02-11,4.31,4.5422,4.14,4.22
IMMX,2022-02-14,4.19,4.21,3.79,3.89
IMMX,2022-02-15,4.12,4.23,3.95,4.01
IMMX,2022-02-16,4.0,4.13,3.87,3.94
IMMX,2022-02-17,3.82,3.96,3.72,3.86
IMMX,2022-02-18,3.79,3.9,3.55,3.58
IMMX,2022-02-22,3.5,3.5,3.2,3.24
IMMX,2022-02-23,3.31,3.47,3.07,3.09
IMMX,2022-02-24,2.85,3.141,2.7803,3.12
IMMX,2022-02-25,3.17,3.3399,3.1042,3.2
IMMX,2022-02-28,3.12,3.15,2.88,2.98
IMMX,2022-03-01,2.95,3.04,2.7301,2.77
IMMX,2022-03-02,2.7335,2.84,2.62,2.67
IMMX,2022-03-03,2.65,2.69,2.38,2.4
IMMX,2022-03-04,2.36,2.4,2.0801,2.11
IMMX,2022-03-07,2.02,2.18,1.88,1.88
IMMX,2022-03-08,1.88,1.96,1.71,1.89
IMMX,2022-03-09,2.05,2.0896,1.945,1.9785
IMMX,2022-03-10,1.9,1.97,1.8,1.87
IMMX,2022-03-11,1.92,1.92,1.81,1.86
IMMX,2022-03-14,1.9,1.98,1.85,1.9
IMMX,2022-03-15,1.88,2.04,1.85,2.04
IMMX,2022-03-16,2.09,2.49,2.03,2.43
IMMX,2022-03-17,2.43,2.44,2.2,2.33
IMMX,2022-03-18,2.42,2.79,2.38,2.41
IMMX,2022-03-21,2.42,2.4557,2.13,2.22
IMMX,2022-03-22,2.23,2.31,2.131,2.23
IMMX,2022-03-23,2.23,2.23,2.0,2.06
IMMX,2022-03-24,2.12,2.18,2.07,2.13
IMMX,2022-03-25,2.15,2.17,2.06,2.13
IMMX,2022-03-28,2.15,2.1618,2.08,2.13
IMMX,2022-03-29,2.14,2.41,2.1,2.37
IMMX,2022-03-30,2.33,2.3999,2.212,2.35
IMMX,2022-03-31,2.3,2.489,2.27,2.41
IMMX,2022-04-01,2.49,2.53,2.33,2.48
IMMX,2022-04-04,2.61,2.69,2.45,2.59
IMMX,2022-04-05,2.65,2.65,1.98,2.02
IMMX,2022-04-06,2.05,2.0892,1.94,2.03
IMMX,2022-04-07,2.06,2.06,1.83,1.93
IMMX,2022-04-08,1.91,1.94,1.75,1.81
IMMX,2022-04-11,1.8,1.855,1.6,1.73
IMMX,2022-04-12,1.79,1.8463,1.73,1.74
IMMX,2022-04-13,1.8,1.97,1.8,1.9
IMMX,2022-04-14,1.89,1.89,1.6713,1.8
IMMX,2022-04-18,1.78,1.78,1.67,1.72
IMMX,2022-04-19,1.72,1.7307,1.62,1.7
IMMX,2022-04-20,1.65,1.6988,1.6,1.67
IMMX,2022-04-21,1.64,1.68,1.46,1.49
IMMX,2022-04-22,1.48,1.5898,1.39,1.44
IMMX,2022-04-25,1.42,1.56,1.37,1.52
IMMX,2022-04-26,1.48,1.54,1.35,1.38
IMMX,2022-04-27,1.3,1.42,1.3,1.33
IMMX,2022-04-28,1.38,1.42,1.3001,1.36
IMMX,2022-04-29,1.38,1.48,1.35,1.38
IMMX,2022-05-02,1.39,1.4,1.25,1.32
IMMX,2022-05-03,1.3192,1.48,1.28,1.42
IMMX,2022-05-04,1.47,1.55,1.34,1.53
IMMX,2022-05-05,1.61,1.61,1.35,1.39
IMMX,2022-05-06,1.35,1.56,1.3401,1.49
IMMX,2022-05-09,1.55,1.68,1.42,1.49
IMMX,2022-05-10,1.49,1.54,1.4,1.44
IMMX,2022-05-11,1.4999,1.5,1.4,1.42
IMMX,2022-05-12,1.34,1.41,1.26,1.4
IMMX,2022-05-13,1.4,1.45,1.295,1.305
IMMX,2022-05-16,1.38,1.38,1.29,1.33
IMMX,2022-05-17,1.35,1.37,1.29,1.33
IMMX,2022-05-18,1.33,1.35,1.25,1.3
IMMX,2022-05-19,1.59,1.6881,1.35,1.63
IMMX,2022-05-20,2.49,2.87,2.07,2.12
IMMX,2022-05-23,1.96,2.2,1.8901,2.15
IMMX,2022-05-24,2.03,2.42,2.03,2.35
IMMX,2022-05-25,2.345,2.6699,2.3,2.64
IMMX,2022-05-26,2.7,3.4499,2.64,2.97
IMMX,2022-05-27,2.835,2.835,2.53,2.68
IMMX,2022-05-31,2.44,2.44,2.11,2.14
IMMX,2022-06-01,2.11,2.35,1.7657,1.85
IMMX,2022-06-02,2.43,2.7599,2.22,2.39
IMMX,2022-06-03,2.27,2.51,2.27,2.48
IMMX,2022-06-06,2.41,2.56,2.37,2.54
IMMX,2022-06-07,2.49,2.52,2.18,2.45
IMMX,2022-06-08,2.35,2.4146,2.2,2.23
