ticker,date,open,high,low,close
IMRX,2021-07-30,19.5,20.0,16.06,17.59
IMRX,2021-08-02,17.65,18.48,17.0,17.0
IMRX,2021-08-03,17.0,20.35,17.0,19.17
IMRX,2021-08-04,18.91,24.0773,18.62,22.58
IMRX,2021-08-05,23.03,27.59,21.7716,26.97
IMRX,2021-08-06,27.52,33.99,26.9,28.23
IMRX,2021-08-09,28.87,31.45,28.87,29.64
IMRX,2021-08-10,29.9,31.18,28.71,30.24
IMRX,2021-08-11,30.61,30.61,28.0,29.51
IMRX,2021-08-12,29.05,30.634,27.36,28.18
IMRX,2021-08-13,27.65,29.07,27.5,28.62
IMRX,2021-08-16,28.6,30.2,28.0327,29.95
IMRX,2021-08-17,30.01,32.0,29.4,30.11
IMRX,2021-08-18,29.62,32.26,29.58,31.51
IMRX,2021-08-19,30.75,31.4,30.0928,30.52
IMRX,2021-08-20,30.17,30.835,28.1543,30.43
IMRX,2021-08-23,30.13,30.59,28.35,29.43
IMRX,2021-08-24,29.34,31.4385,28.21,28.57
IMRX,2021-08-25,29.39,29.39,27.74,28.64
IMRX,2021-08-26,28.0,28.54,27.2746,28.24
IMRX,2021-08-27,27.77,28.5,26.38,26.64
IMRX,2021-08-30,26.67,28.16,25.75,26.35
IMRX,2021-08-31,26.02,26.86,23.59,24.47
IMRX,2021-09-01,24.81,26.945,23.62,26.05
IMRX,2021-09-02,26.0,26.41,24.82,25.73
IMRX,2021-09-03,25.36,30.24,24.92,28.31
IMRX,2021-09-07,28.29,28.63,25.145,25.36
IMRX,2021-09-08,25.5,25.5,23.82,23.84
IMRX,2021-09-09,23.84,25.47,23.34,24.27
IMRX,2021-09-10,24.11,24.19,20.31,20.75
IMRX,2021-09-13,20.5,23.84,20.315,23.39
IMRX,2021-09-14,23.43,28.4768,22.47,25.87
IMRX,2021-09-15,26.07,29.79,26.01,29.29
IMRX,2021-09-16,28.35,29.6,27.21,29.19
IMRX,2021-09-17,29.15,30.42,28.3,28.48
IMRX,2021-09-20,28.12,28.2282,22.34,25.27
IMRX,2021-09-21,25.14,27.41,23.456,27.28
IMRX,2021-09-22,27.5,27.6,24.9,25.37
IMRX,2021-09-23,25.71,26.85,24.6922,26.7
IMRX,2021-09-24,26.74,27.63,25.7108,27.49
IMRX,2021-09-27,26.99,33.25,26.99,32.84
IMRX,2021-09-28,32.1,32.24,29.3,29.67
IMRX,2021-09-29,29.75,29.75,28.03,28.04
IMRX,2021-09-30,28.44,28.44,25.0,26.55
IMRX,2021-10-01,26.65,29.115,25.02,28.9
IMRX,2021-10-04,28.56,29.71,27.15,28.3
IMRX,2021-10-05,28.07,29.49,27.63,29.4
IMRX,2021-10-06,28.55,29.41,27.68,29.11
IMRX,2021-10-07,29.5,29.83,27.77,29.71
IMRX,2021-10-08,29.17,29.17,27.68,27.71
IMRX,2021-10-11,28.01,28.01,22.1301,22.6
IMRX,2021-10-12,23.4905,23.64,21.36,21.72
IMRX,2021-10-13,21.6,23.35,21.05,23.02
IMRX,2021-10-14,22.95,24.88,22.8701,24.01
IMRX,2021-10-15,24.15,25.11,23.11,24.86
IMRX,2021-10-18,24.15,24.55,23.455,23.68
IMRX,2021-10-19,23.81,25.26,23.81,24.91
IMRX,2021-10-20,25.01,26.0,24.39,25.69
IMRX,2021-10-21,25.62,26.25,25.43,26.12
IMRX,2021-10-22,25.93,26.96,25.165,25.85
IMRX,2021-10-25,26.11,27.16,24.22,24.54
IMRX,2021-10-26,24.94,26.09,24.0,25.99
IMRX,2021-10-27,25.99,27.0,25.23,26.89
IMRX,2021-10-28,26.48,28.0,26.48,27.13
IMRX,2021-10-29,27.76,27.83,26.7,27.1
IMRX,2021-11-01,27.73,28.99,26.34,26.84
IMRX,2021-11-02,26.98,29.35,26.38,28.97
IMRX,2021-11-03,28.85,29.95,28.73,29.64
IMRX,2021-11-04,29.94,31.3,28.885,30.28
IMRX,2021-11-05,30.82,30.9099,28.98,29.86
IMRX,2021-11-08,29.88,31.885,29.27,31.02
IMRX,2021-11-09,30.57,31.245,28.76,29.95
IMRX,2021-11-10,29.95,30.03,27.27,29.35
IMRX,2021-11-11,29.67,30.47,28.5,29.14
IMRX,2021-11-12,29.6,30.06,27.71,27.87
IMRX,2021-11-15,28.28,28.28,27.18,27.51
IMRX,2021-11-16,27.78,27.98,26.595,27.65
IMRX,2021-11-17,26.92,26.92,26.12,26.49
IMRX,2021-11-18,28.35,28.35,25.04,26.1
IMRX,2021-11-19,25.56,27.76,23.66,24.86
IMRX,2021-11-22,25.22,26.91,22.47,22.5
IMRX,2021-11-23,22.45,23.53,21.23,23.4
IMRX,2021-11-24,22.87,24.1513,22.66,24.03
IMRX,2021-11-26,22.95,23.55,22.025,22.54
IMRX,2021-11-29,22.85,24.6,22.85,24.5
IMRX,2021-11-30,24.56,24.75,21.68,22.63
IMRX,2021-12-01,23.2,24.08,20.0,20.11
IMRX,2021-12-02,20.01,20.59,19.5272,20.39
IMRX,2021-12-03,20.78,20.78,18.66,19.37
IMRX,2021-12-06,19.81,23.26,18.05,20.97
IMRX,2021-12-07,21.41,22.06,20.37,20.58
IMRX,2021-12-08,20.55,22.82,20.55,22.65
IMRX,2021-12-09,21.28,23.97,21.03,21.87
IMRX,2021-12-10,22.01,22.81,20.965,21.64
IMRX,2021-12-13,21.33,23.245,20.195,20.9
IMRX,2021-12-14,20.69,22.13,19.875,21.47
IMRX,2021-12-15,22.28,22.5295,20.06,21.33
IMRX,2021-12-16,21.88,22.8,20.85,21.91
IMRX,2021-12-17,21.97,22.315,20.72,21.28
IMRX,2021-12-20,20.78,21.51,19.93,20.99
IMRX,2021-12-21,21.25,22.59,20.77,22.49
IMRX,2021-12-22,21.75,23.67,21.75,23.03
