ticker,date,open,high,low,close
IMXI,2017-03-27,9.7,9.7,9.7,9.7
IMXI,2017-03-28,9.75,9.75,9.7,9.75
IMXI,2017-03-29,9.75,9.75,9.75,9.75
IMXI,2017-03-30,9.79,9.79,9.79,9.79
IMXI,2017-03-31,11.75,11.75,9.83,9.85
IMXI,2017-04-03,9.85,9.85,9.85,9.85
IMXI,2017-04-04,9.85,9.85,9.85,9.85
IMXI,2017-04-05,9.85,9.85,9.85,9.85
IMXI,2017-04-06,9.85,9.85,9.85,9.85
IMXI,2017-04-07,9.85,9.85,9.8,9.8
IMXI,2017-04-10,9.8,9.8,9.8,9.8
IMXI,2017-04-11,9.8,9.8,9.8,9.8
IMXI,2017-04-12,9.8,9.8,9.8,9.8
IMXI,2017-04-13,9.8,9.8,9.8,9.8
IMXI,2017-04-17,9.8,9.8,9.8,9.8
IMXI,2017-04-18,9.85,9.95,9.85,9.95
IMXI,2017-04-19,9.95,9.95,9.95,9.95
IMXI,2017-04-20,9.8948,9.8948,9.8948,9.8948
IMXI,2017-04-21,9.9,9.9,9.9,9.9
IMXI,2017-04-24,9.85,9.85,9.85,9.85
IMXI,2017-04-25,9.85,9.85,9.83,9.85
IMXI,2017-04-26,9.85,9.85,9.85,9.85
IMXI,2017-04-27,9.84,9.84,9.84,9.84
IMXI,2017-04-28,9.84,9.84,9.84,9.84
IMXI,2017-05-01,9.8,9.8,9.8,9.8
IMXI,2017-05-02,9.7267,9.7267,9.7267,9.7267
IMXI,2017-05-03,9.73,9.73,9.73,9.73
IMXI,2017-05-04,9.73,9.73,9.73,9.73
IMXI,2017-05-05,9.77,9.77,9.77,9.77
IMXI,2017-05-08,9.75,9.8,9.75,9.77
IMXI,2017-05-09,9.77,9.77,9.77,9.77
IMXI,2017-05-10,9.77,9.77,9.77,9.77
IMXI,2017-05-11,9.77,9.77,9.77,9.77
IMXI,2017-05-12,9.78,9.78,9.75,9.75
IMXI,2017-05-15,9.75,9.75,9.75,9.75
IMXI,2017-05-16,9.76,9.76,9.75,9.75
IMXI,2017-05-17,9.75,9.75,9.75,9.75
IMXI,2017-05-18,9.75,9.75,9.75,9.75
IMXI,2017-05-19,9.75,9.75,9.75,9.75
IMXI,2017-05-22,9.75,9.75,9.75,9.75
IMXI,2017-05-23,9.75,9.75,9.75,9.75
IMXI,2017-05-24,9.75,9.75,9.75,9.75
IMXI,2017-05-25,9.75,9.75,9.75,9.75
IMXI,2017-05-26,9.75,9.75,9.75,9.75
IMXI,2017-05-30,9.76,9.8604,9.75,9.85
IMXI,2017-05-31,9.85,9.85,9.85,9.85
IMXI,2017-06-01,9.86,9.86,9.85,9.85
IMXI,2017-06-02,9.85,9.85,9.85,9.85
IMXI,2017-06-05,9.81,9.85,9.78,9.78
IMXI,2017-06-06,9.85,9.85,9.85,9.85
IMXI,2017-06-07,9.85,9.85,9.85,9.85
IMXI,2017-06-08,9.85,9.85,9.85,9.85
IMXI,2017-06-09,9.78,9.8,9.78,9.8
IMXI,2017-06-12,9.8,9.8,9.8,9.8
IMXI,2017-06-13,9.78,9.8,9.78,9.8
IMXI,2017-06-14,9.8,9.8,9.8,9.8
IMXI,2017-06-15,9.81,9.81,9.8,9.8
IMXI,2017-06-16,9.8,9.8,9.8,9.8
IMXI,2017-06-19,9.8,9.8,9.8,9.8
IMXI,2017-06-20,9.85,9.85,9.8,9.82
