ticker,date,open,high,low,close
INDI,2019-10-04,9.77,9.8,9.77,9.8
INDI,2019-10-07,9.79,9.79,9.79,9.79
INDI,2019-10-08,9.83,9.83,9.79,9.8
INDI,2019-10-09,9.79,9.81,9.79,9.8
INDI,2019-10-10,9.8,9.9,9.8,9.89
INDI,2019-10-11,9.89,9.89,9.89,9.89
INDI,2019-10-14,9.89,9.89,9.89,9.89
INDI,2019-10-15,9.89,9.89,9.85,9.85
INDI,2019-10-16,9.85,9.85,9.85,9.85
INDI,2019-10-17,9.85,9.85,9.85,9.85
INDI,2019-10-18,9.85,9.85,9.85,9.85
INDI,2019-10-21,9.87,9.87,9.82,9.82
INDI,2019-10-22,9.8,9.88,9.8,9.85
INDI,2019-10-23,9.85,9.85,9.85,9.85
INDI,2019-10-24,9.85,9.85,9.85,9.85
INDI,2019-10-25,9.84,9.84,9.84,9.84
INDI,2019-10-28,9.84,9.84,9.84,9.84
INDI,2019-10-29,9.84,9.84,9.84,9.84
INDI,2019-10-30,9.84,9.84,9.84,9.84
INDI,2019-10-31,9.84,9.84,9.84,9.84
INDI,2019-11-01,9.84,9.84,9.84,9.84
INDI,2019-11-04,9.84,10.0,9.84,9.86
INDI,2019-11-05,9.85,10.0,9.85,10.0
INDI,2019-11-06,9.85,9.88,9.84,9.84
INDI,2019-11-07,9.84,9.9,9.84,9.9
INDI,2019-11-08,9.88,9.88,9.88,9.88
INDI,2019-11-11,9.86,9.86,9.86,9.86
INDI,2019-11-12,9.94,10.87,9.89,9.98
INDI,2019-11-13,9.87,9.9,9.85,9.85
INDI,2019-11-14,9.85,9.85,9.85,9.85
INDI,2019-11-15,9.88,9.88,9.88,9.88
INDI,2019-11-18,9.86,9.86,9.86,9.86
INDI,2019-11-19,9.85,9.87,9.85,9.87
INDI,2019-11-20,9.86,9.88,9.85,9.85
INDI,2019-11-21,9.85,9.85,9.85,9.85
INDI,2019-11-22,9.86,9.88,9.85,9.85
INDI,2019-11-25,9.85,9.85,9.85,9.85
INDI,2019-11-26,9.84,9.85,9.84,9.85
INDI,2019-11-27,9.87,9.87,9.85,9.85
INDI,2019-11-29,9.85,9.85,9.85,9.85
INDI,2019-12-02,9.85,9.85,9.85,9.85
INDI,2019-12-03,10.22,10.22,9.85,9.85
INDI,2019-12-04,9.9,9.9,9.86,9.9
INDI,2019-12-05,10.37,10.37,9.86,9.89
INDI,2019-12-06,9.91,10.25,9.87,10.25
INDI,2019-12-09,10.19,10.19,9.86,9.86
INDI,2019-12-10,9.91,9.91,9.84,9.9
INDI,2019-12-11,9.9,9.9,9.9,9.9
INDI,2019-12-12,9.85,9.89,9.85,9.88
INDI,2019-12-13,9.88,9.88,9.87,9.87
INDI,2019-12-16,9.88,9.9,9.87,9.87
INDI,2019-12-17,9.88,9.91,9.88,9.91
INDI,2019-12-18,9.88,9.88,9.88,9.88
INDI,2019-12-19,9.95,9.95,9.88,9.88
INDI,2019-12-20,9.88,9.88,9.88,9.88
INDI,2019-12-23,9.95,9.95,9.95,9.95
INDI,2019-12-24,9.88,9.95,9.88,9.95
INDI,2019-12-26,9.89,9.9,9.88,9.88
INDI,2019-12-27,9.91,9.91,9.88,9.88
INDI,2019-12-30,9.92,9.95,9.91,9.91
INDI,2019-12-31,9.88,9.95,9.88,9.95
INDI,2020-01-02,9.9,9.9,9.9,9.9
INDI,2020-01-03,9.9,9.9,9.9,9.9
INDI,2020-01-06,9.92,9.92,9.92,9.92
INDI,2020-01-07,9.95,9.95,9.93,9.93
INDI,2020-01-08,10.74,10.92,9.96,9.96
INDI,2020-01-09,10.01,10.01,10.01,10.01
INDI,2020-01-10,10.01,10.01,10.01,10.01
INDI,2020-01-13,10.01,10.01,10.01,10.01
INDI,2020-01-14,10.01,10.01,10.01,10.01
INDI,2020-01-15,10.03,10.12,10.03,10.12
INDI,2020-01-16,10.04,10.1,10.03,10.03
INDI,2020-01-17,10.03,10.03,10.03,10.03
INDI,2020-01-21,10.05,10.12,9.9,9.9
INDI,2020-01-22,10.03,10.12,9.9,9.9
INDI,2020-01-23,9.9,10.05,9.9,9.96
INDI,2020-01-24,9.96,9.96,9.95,9.95
INDI,2020-01-27,9.95,9.95,9.95,9.95
INDI,2020-01-28,9.95,9.95,9.95,9.95
INDI,2020-01-29,9.95,9.95,9.95,9.95
INDI,2020-01-30,9.95,9.95,9.95,9.95
INDI,2020-01-31,9.95,9.95,9.95,9.95
INDI,2020-02-03,9.95,9.95,9.95,9.95
INDI,2020-02-04,9.95,9.95,9.95,9.95
INDI,2020-02-05,10.02,10.06,10.02,10.06
INDI,2020-02-06,10.06,10.06,10.06,10.06
INDI,2020-02-07,10.06,10.06,10.06,10.06
INDI,2020-02-10,10.12,10.12,10.06,10.07
INDI,2020-02-11,10.1,10.11,10.07,10.1
INDI,2020-02-12,10.08,10.08,10.08,10.08
INDI,2020-02-13,10.09,10.09,10.09,10.09
INDI,2020-02-14,10.09,10.09,10.09,10.09
INDI,2020-02-18,10.09,10.09,10.09,10.09
INDI,2020-02-19,10.08,10.08,10.08,10.08
INDI,2020-02-20,10.08,10.08,10.08,10.08
INDI,2020-02-21,10.09,10.09,10.09,10.09
INDI,2020-02-24,10.09,10.09,10.09,10.09
INDI,2020-02-25,10.09,10.09,10.09,10.09
INDI,2020-02-26,10.09,10.09,10.09,10.09
INDI,2020-02-27,10.09,10.09,10.09,10.09
INDI,2020-02-28,10.09,10.09,10.09,10.09
INDI,2020-03-02,10.08,10.08,10.08,10.08
INDI,2020-03-03,10.08,10.12,10.08,10.12
INDI,2020-03-04,10.12,10.12,10.1,10.1
INDI,2020-03-05,10.1,10.1,10.1,10.1
INDI,2020-03-06,10.02,10.02,10.02,10.02
INDI,2020-03-09,10.02,10.02,10.02,10.02
INDI,2020-03-10,10.02,10.02,10.02,10.02
INDI,2020-03-11,10.0,10.0,9.85,9.99
INDI,2020-03-12,9.98,9.98,9.8,9.9
INDI,2020-03-13,9.9,9.9,9.9,9.9
INDI,2020-03-16,9.54,9.7,9.52,9.7
INDI,2020-03-17,9.7,9.7,9.7,9.7
INDI,2020-03-18,9.5,9.5,9.25,9.25
INDI,2020-03-19,9.25,9.26,9.15,9.25
INDI,2020-03-20,9.35,9.36,9.35,9.35
INDI,2020-03-23,9.4,9.4,9.4,9.4
INDI,2020-03-24,9.5,9.8,9.45,9.8
INDI,2020-03-25,9.8,9.8,9.8,9.8
INDI,2020-03-26,9.65,9.88,9.65,9.86
INDI,2020-03-27,9.81,9.81,9.81,9.81
INDI,2020-03-30,9.81,9.81,9.81,9.81
INDI,2020-03-31,9.75,9.85,9.75,9.85
INDI,2020-04-01,9.87,9.87,9.72,9.87
INDI,2020-04-02,9.64,9.8,9.64,9.77
INDI,2020-04-03,9.75,9.8,9.75,9.8
INDI,2020-04-06,9.8,9.8,9.77,9.8
INDI,2020-04-07,9.8,9.98,9.79,9.95
INDI,2020-04-08,9.94,9.94,9.94,9.94
INDI,2020-04-09,9.77,10.0,9.77,10.0
INDI,2020-04-13,9.95,9.95,9.95,9.95
INDI,2020-04-14,10.0,10.0,10.0,10.0
INDI,2020-04-15,10.0,10.0,10.0,10.0
INDI,2020-04-16,10.0,10.0,10.0,10.0
INDI,2020-04-17,9.95,9.95,9.95,9.95
INDI,2020-04-20,9.95,9.95,9.95,9.95
INDI,2020-04-21,9.95,9.95,9.95,9.95
INDI,2020-04-22,9.95,9.95,9.95,9.95
INDI,2020-04-23,9.8,9.95,9.8,9.95
INDI,2020-04-24,9.8,9.9,9.8,9.9
INDI,2020-04-27,9.9,9.9,9.9,9.9
INDI,2020-04-28,9.9,9.9,9.9,9.9
INDI,2020-04-29,9.9,9.9,9.9,9.9
INDI,2020-04-30,9.89,9.89,9.89,9.89
INDI,2020-05-01,9.9,9.94,9.87,9.94
INDI,2020-05-04,9.94,9.94,9.94,9.94
INDI,2020-05-05,9.88,9.88,9.88,9.88
INDI,2020-05-06,9.88,9.88,9.88,9.88
INDI,2020-05-07,9.88,9.88,9.88,9.88
INDI,2020-05-08,9.9,10.0,9.88,9.92
INDI,2020-05-11,9.92,9.92,9.92,9.92
INDI,2020-05-12,10.0,10.0,9.94,9.95
INDI,2020-05-13,9.95,9.95,9.95,9.95
INDI,2020-05-14,9.95,9.95,9.95,9.95
INDI,2020-05-15,9.95,9.95,9.95,9.95
INDI,2020-05-18,9.95,9.95,9.95,9.95
INDI,2020-05-19,9.9,9.9,9.9,9.9
INDI,2020-05-20,9.9,9.94,9.9,9.93
INDI,2020-05-21,9.93,9.93,9.93,9.93
INDI,2020-05-22,9.96,10.0,9.96,9.97
INDI,2020-05-26,9.97,9.97,9.97,9.97
INDI,2020-05-27,9.93,9.99,9.87,9.9
INDI,2020-05-28,9.9,9.9,9.9,9.9
INDI,2020-05-29,9.87,9.87,9.87,9.87
INDI,2020-06-01,9.87,9.87,9.87,9.87
INDI,2020-06-02,9.92,9.92,9.92,9.92
INDI,2020-06-03,9.92,9.92,9.92,9.92
INDI,2020-06-04,9.92,9.92,9.92,9.92
INDI,2020-06-05,9.94,9.94,9.94,9.94
INDI,2020-06-08,9.95,9.97,9.95,9.97
INDI,2020-06-09,9.95,9.95,9.91,9.91
INDI,2020-06-10,9.95,10.09,9.95,9.95
INDI,2020-06-11,9.97,9.97,9.95,9.95
INDI,2020-06-12,9.91,9.91,9.91,9.91
INDI,2020-06-15,9.9,9.98,9.9,9.92
INDI,2020-06-16,10.05,10.05,9.98,9.98
INDI,2020-06-17,9.99,10.0,9.93,9.99
INDI,2020-06-18,10.15,10.15,10.02,10.02
INDI,2020-06-19,10.13,10.23,10.12,10.12
INDI,2020-06-22,10.15,10.23,10.12,10.12
INDI,2020-06-23,10.12,10.19,10.08,10.15
INDI,2020-06-24,10.15,10.15,10.06,10.09
INDI,2020-06-25,10.1,10.1,10.1,10.1
INDI,2020-06-26,10.08,10.08,10.08,10.08
INDI,2020-06-29,10.1,10.2,10.09,10.12
INDI,2020-06-30,10.12,10.15,10.05,10.1
INDI,2020-07-01,10.1,10.19,10.06,10.15
INDI,2020-07-02,10.15,10.2,10.12,10.15
INDI,2020-07-06,10.1,10.33,10.1,10.33
INDI,2020-07-07,10.25,10.33,10.2,10.2
INDI,2020-07-08,10.28,10.28,10.2,10.2
INDI,2020-07-09,10.24,10.29,10.2,10.21
INDI,2020-07-10,10.28,10.45,10.28,10.37
INDI,2020-07-13,10.39,10.41,10.31,10.36
INDI,2020-07-14,10.42,10.74,10.35,10.5
INDI,2020-07-15,10.48,10.62,10.48,10.61
INDI,2020-07-16,10.55,10.74,10.5,10.7
INDI,2020-07-17,10.67,10.67,10.35,10.5
INDI,2020-07-20,10.35,10.68,10.35,10.59
INDI,2020-07-21,10.53,10.64,10.42,10.55
INDI,2020-07-22,10.5,10.63,10.41,10.45
INDI,2020-07-23,10.75,10.75,10.4,10.43
INDI,2020-07-24,10.41,10.5,10.36,10.36
INDI,2020-07-27,10.55,10.55,10.35,10.39
INDI,2020-07-28,10.4,10.4,10.38,10.4
INDI,2020-07-29,10.4,10.46,10.35,10.35
INDI,2020-07-30,10.4,10.4,10.3,10.34
INDI,2020-07-31,10.28,10.45,10.16,10.32
INDI,2020-08-03,10.49,10.49,10.15,10.24
INDI,2020-08-04,10.18,10.24,10.08,10.1
INDI,2020-08-05,10.12,10.18,10.1,10.15
INDI,2020-08-06,10.15,10.18,10.07,10.07
INDI,2020-08-07,10.09,10.11,9.98,10.09
INDI,2020-08-10,10.07,10.08,10.02,10.08
