ticker,date,open,high,low,close
INM,2014-05-05,238.425,238.425,219.45,219.45
INM,2014-05-06,213.675,213.675,212.85,212.85
INM,2014-05-07,229.35,229.35,229.35,229.35
INM,2014-05-08,214.5,217.8,214.5,217.8
INM,2014-05-09,217.8,217.8,217.8,217.8
INM,2014-05-12,224.4,224.4,220.275,220.275
INM,2014-05-13,220.275,220.275,220.275,220.275
INM,2014-05-14,220.275,220.275,220.275,220.275
INM,2014-05-15,219.45,219.45,219.45,219.45
INM,2014-05-16,228.525,228.525,228.525,228.525
INM,2014-05-19,228.525,228.525,228.525,228.525
INM,2014-05-20,228.525,228.525,228.525,228.525
INM,2014-05-21,228.525,228.525,228.525,228.525
INM,2014-05-22,228.525,228.525,228.525,228.525
INM,2014-05-23,278.025,302.775,278.025,302.775
INM,2014-05-27,279.675,336.6,250.8,256.575
INM,2014-05-28,255.75,255.75,247.5,250.8
INM,2014-05-29,279.675,279.675,278.025,278.85
INM,2014-05-30,278.85,278.85,278.85,278.85
INM,2014-06-02,278.85,278.85,278.85,278.85
INM,2014-06-03,278.85,278.85,278.85,278.85
INM,2014-06-04,342.375,351.45,334.125,351.45
INM,2014-06-05,351.45,351.45,351.45,351.45
INM,2014-06-06,82.5,833.25,82.5,503.25
INM,2014-06-09,486.75,486.75,412.5,412.5
INM,2014-06-10,420.75,420.75,420.75,420.75
INM,2014-06-11,429.825,429.825,422.4,422.4
INM,2014-06-12,422.4,422.4,422.4,422.4
INM,2014-06-13,422.4,422.4,422.4,422.4
INM,2014-06-16,422.4,422.4,422.4,422.4
INM,2014-06-17,422.4,422.4,422.4,422.4
INM,2014-06-18,450.45,450.45,443.85,443.85
INM,2014-06-19,454.575,454.575,412.5,412.5
INM,2014-06-20,510.675,526.35,500.775,526.35
INM,2014-06-23,534.6,542.85,510.675,525.525
INM,2014-06-24,519.75,519.75,442.2,444.675
INM,2014-06-25,458.7,473.55,444.675,462.0
INM,2014-06-26,466.95,499.125,458.7,490.875
INM,2014-06-27,495.0,495.0,453.75,468.6
INM,2014-06-30,466.125,499.95,458.7,467.775
INM,2014-07-01,467.775,467.775,453.75,467.775
INM,2014-07-02,468.6,468.6,420.75,435.6
INM,2014-07-03,438.075,462.0,406.725,462.0
INM,2014-07-07,476.85,492.525,453.75,453.75
INM,2014-07-08,455.4,458.7,412.5,427.35
INM,2014-07-09,443.85,453.75,438.075,453.75
INM,2014-07-10,453.75,453.75,423.225,445.5
INM,2014-07-11,435.6,435.6,408.375,410.85
INM,2014-07-14,403.425,403.425,349.8,357.225
INM,2014-07-15,375.375,375.375,325.05,359.7
INM,2014-07-16,348.15,394.35,345.675,371.25
INM,2014-07-17,387.75,395.175,321.75,321.75
INM,2014-07-18,321.75,348.975,319.275,327.525
INM,2014-07-21,328.35,346.5,284.625,310.2
INM,2014-07-22,316.8,338.25,315.975,334.125
INM,2014-07-23,329.175,330.0,289.575,303.6
INM,2014-07-24,299.475,299.475,266.475,266.475
INM,2014-07-25,268.95,298.65,264.0,285.45
INM,2014-07-28,284.625,288.75,255.75,259.875
INM,2014-07-29,249.975,251.625,213.675,243.375
INM,2014-07-30,240.075,243.375,227.7,231.825
INM,2014-07-31,226.875,260.7,224.4,246.675
INM,2014-08-01,246.675,305.25,246.675,305.25
INM,2014-08-04,305.25,313.5,297.0,297.0
INM,2014-08-05,297.0,297.0,272.25,280.5
INM,2014-08-06,274.725,285.45,256.575,258.225
INM,2014-08-07,262.35,271.425,235.125,252.45
INM,2014-08-08,255.75,266.475,239.25,266.475
INM,2014-08-11,263.175,264.825,238.425,238.425
INM,2014-08-12,231.0,252.45,230.175,248.325
INM,2014-08-13,241.725,241.725,223.575,230.175
INM,2014-08-14,227.7,245.85,227.7,241.725
INM,2014-08-15,261.525,261.525,239.25,257.4
INM,2014-08-18,255.75,264.825,249.15,249.15
INM,2014-08-19,249.15,253.275,235.125,247.5
INM,2014-08-20,255.75,264.0,228.525,239.25
INM,2014-08-21,239.25,247.5,235.125,235.125
INM,2014-08-22,239.25,239.25,214.5,226.875
INM,2014-08-25,226.875,239.25,226.875,231.0
INM,2014-08-26,239.25,251.625,232.65,251.625
INM,2014-08-27,245.025,249.15,230.175,239.25
INM,2014-08-28,231.0,249.975,231.0,235.125
INM,2014-08-29,240.075,249.975,230.175,230.175
INM,2014-09-02,240.9,242.55,227.7,242.55
INM,2014-09-03,222.75,241.725,214.5,234.3
INM,2014-09-04,216.15,232.65,216.15,222.75
INM,2014-09-05,234.3,234.3,222.75,222.75
INM,2014-09-08,219.45,224.4,219.45,224.4
INM,2014-09-09,222.75,226.875,208.725,208.725
INM,2014-09-10,214.5,214.5,198.825,202.125
INM,2014-09-11,206.25,206.25,181.5,198.0
INM,2014-09-12,212.025,214.5,199.65,199.65
INM,2014-09-15,212.025,212.025,189.75,206.25
INM,2014-09-16,189.75,197.175,189.75,190.575
INM,2014-09-17,189.75,194.7,186.45,193.05
INM,2014-09-18,192.225,195.525,180.675,194.7
INM,2014-09-19,183.975,195.525,183.975,189.75
INM,2014-09-22,193.875,193.875,145.2,181.5
INM,2014-09-23,152.625,167.475,148.5,159.225
INM,2014-09-24,151.8,155.925,136.125,155.925
INM,2014-09-25,140.25,156.75,140.25,148.5
INM,2014-09-26,140.25,156.75,140.25,156.75
INM,2014-09-29,153.45,165.825,145.2,165.0
INM,2014-09-30,169.95,179.85,164.175,165.0
INM,2014-10-01,172.425,187.275,165.0,187.275
INM,2014-10-02,181.5,181.5,180.675,181.5
INM,2014-10-03,177.375,177.375,165.0,165.0
INM,2014-10-06,176.55,181.5,165.0,173.25
INM,2014-10-07,165.825,165.825,156.75,165.0
INM,2014-10-08,148.5,156.75,140.25,156.75
INM,2014-10-09,148.5,150.15,146.85,148.5
INM,2014-10-10,156.75,156.75,141.075,141.075
INM,2014-10-13,150.15,165.0,150.15,165.0
INM,2014-10-14,173.25,173.25,165.0,165.0
INM,2014-10-15,165.0,165.0,165.0,165.0
INM,2014-10-16,165.0,165.0,165.0,165.0
INM,2014-10-17,165.0,165.0,165.0,165.0
INM,2014-10-20,146.025,146.025,146.025,146.025
INM,2014-10-21,152.625,165.0,148.5,156.75
INM,2014-10-22,153.45,153.45,151.8,151.8
INM,2014-10-23,150.975,156.75,150.975,152.625
INM,2014-10-24,156.75,156.75,142.725,142.725
INM,2014-10-27,146.85,146.85,138.6,138.6
INM,2014-10-28,140.25,140.25,132.825,140.25
INM,2014-10-29,132.0,151.8,127.05,148.5
INM,2014-10-30,148.5,148.5,136.125,140.25
INM,2014-10-31,134.475,141.9,123.75,133.65
INM,2014-11-03,123.75,146.025,123.75,132.0
