ticker,date,open,high,low,close
INNV,2021-03-04,24.0,24.535,21.15,24.2
INNV,2021-03-05,24.1,25.76,20.8575,24.08
INNV,2021-03-08,23.61,25.3175,23.15,23.15
INNV,2021-03-09,22.9,26.44,22.89,24.25
INNV,2021-03-10,24.59,26.76,23.68,24.95
INNV,2021-03-11,24.95,26.48,24.59,26.04
INNV,2021-03-12,26.3,26.82,25.92,25.98
INNV,2021-03-15,26.43,26.9499,24.32,25.01
INNV,2021-03-16,24.79,25.15,24.0,25.05
INNV,2021-03-17,24.96,26.47,23.68,25.21
INNV,2021-03-18,25.22,25.93,24.72,25.32
INNV,2021-03-19,25.49,25.84,24.185,25.78
INNV,2021-03-22,25.78,27.18,24.0,24.41
INNV,2021-03-23,24.68,25.1,23.8,24.0
INNV,2021-03-24,25.05,25.05,22.7,23.04
INNV,2021-03-25,23.24,24.7058,22.6,24.08
INNV,2021-03-26,24.09,24.54,22.83,24.35
INNV,2021-03-29,24.1,25.235,23.29,24.0
INNV,2021-03-30,24.24,24.5,23.63,24.02
INNV,2021-03-31,24.16,26.5,23.775,25.79
INNV,2021-04-01,25.79,25.965,23.82,24.37
INNV,2021-04-05,24.67,25.41,23.96,24.21
INNV,2021-04-06,24.4,24.485,23.6901,24.24
INNV,2021-04-07,24.34,24.4,23.745,24.02
INNV,2021-04-08,24.03,25.73,23.92,24.05
INNV,2021-04-09,23.85,25.0,23.85,24.59
INNV,2021-04-12,24.43,24.7933,23.56,23.76
INNV,2021-04-13,23.91,24.49,23.56,24.19
INNV,2021-04-14,24.37,25.3499,23.644,24.81
INNV,2021-04-15,24.94,25.53,24.47,24.76
INNV,2021-04-16,24.98,25.0688,24.42,24.79
INNV,2021-04-19,24.76,24.96,24.14,24.27
INNV,2021-04-20,24.34,24.56,23.82,23.99
INNV,2021-04-21,23.99,24.6387,23.92,24.16
INNV,2021-04-22,24.0,24.97,23.885,24.63
INNV,2021-04-23,24.6,25.8899,24.4,25.35
INNV,2021-04-26,25.35,26.35,25.35,25.42
INNV,2021-04-27,25.46,26.32,24.84,26.04
INNV,2021-04-28,26.0,26.15,24.96,25.5
INNV,2021-04-29,25.8,25.93,25.2976,25.49
INNV,2021-04-30,25.38,25.99,24.79,25.46
INNV,2021-05-03,25.24,26.29,25.24,25.87
INNV,2021-05-04,25.72,26.44,25.55,25.68
INNV,2021-05-05,25.83,26.169,25.5,25.61
INNV,2021-05-06,25.76,26.28,24.76,25.09
INNV,2021-05-07,25.22,26.36,25.1165,25.65
INNV,2021-05-10,25.24,25.81,25.1,25.47
INNV,2021-05-11,25.0,25.0,23.37,23.75
INNV,2021-05-12,23.61,23.8,22.76,23.0
INNV,2021-05-13,22.97,23.51,21.3,22.02
INNV,2021-05-14,21.3571,22.46,21.3571,21.89
INNV,2021-05-17,21.67,23.23,20.35,20.82
INNV,2021-05-18,20.98,21.33,20.31,20.38
INNV,2021-05-19,20.32,20.475,19.46,19.7
INNV,2021-05-20,20.09,20.5,19.76,19.8
INNV,2021-05-21,19.82,20.9,19.665,20.65
INNV,2021-05-24,20.76,20.9,20.28,20.3
INNV,2021-05-25,20.51,20.91,19.79,20.77
INNV,2021-05-26,20.87,21.715,20.71,21.31
INNV,2021-05-27,21.28,21.33,20.64,21.0
INNV,2021-05-28,22.13,22.13,21.17,21.4
INNV,2021-06-01,22.0,22.14,21.26,21.89
INNV,2021-06-02,21.72,21.81,20.72,21.02
INNV,2021-06-03,20.89,21.64,20.805,20.94
INNV,2021-06-04,20.97,21.14,20.1,20.42
INNV,2021-06-07,20.96,21.065,19.48,19.56
INNV,2021-06-08,19.8,20.18,19.5,19.78
INNV,2021-06-09,19.76,20.67,19.71,20.49
INNV,2021-06-10,20.54,21.14,20.3,20.98
INNV,2021-06-11,21.12,21.26,20.76,21.25
INNV,2021-06-14,21.61,22.55,21.19,22.26
INNV,2021-06-15,22.3,22.32,21.4,21.97
INNV,2021-06-16,22.05,22.61,21.85,22.54
INNV,2021-06-17,22.47,23.6,22.26,23.27
INNV,2021-06-18,22.98,23.46,21.456,23.09
INNV,2021-06-21,23.01,23.27,22.47,22.76
INNV,2021-06-22,22.92,23.01,22.17,22.67
INNV,2021-06-23,22.61,22.71,21.77,22.21
INNV,2021-06-24,22.22,22.265,21.43,21.73
INNV,2021-06-25,21.74,21.86,20.93,21.06
INNV,2021-06-28,21.26,21.71,20.85,21.38
INNV,2021-06-29,21.5,21.52,20.84,20.88
INNV,2021-06-30,20.84,21.34,20.2,21.31
INNV,2021-07-01,21.45,22.44,21.36,22.32
INNV,2021-07-02,22.29,22.36,21.38,21.58
INNV,2021-07-06,21.5,22.46,20.79,21.08
INNV,2021-07-07,21.54,21.54,20.47,20.9
INNV,2021-07-08,20.075,20.77,20.075,20.6
INNV,2021-07-09,20.73,21.015,20.36,20.5
INNV,2021-07-12,20.45,20.75,20.11,20.72
INNV,2021-07-13,20.84,20.84,20.22,20.27
INNV,2021-07-14,20.39,20.53,19.49,19.66
INNV,2021-07-15,19.64,19.64,17.82,18.26
INNV,2021-07-16,18.4,19.58,17.57,17.66
INNV,2021-07-19,17.43,17.55,16.76,17.28
INNV,2021-07-20,17.39,17.57,16.98,17.37
INNV,2021-07-21,17.46,17.798,17.14,17.25
INNV,2021-07-22,17.23,17.53,16.71,16.81
INNV,2021-07-23,17.0,17.39,16.795,17.14
INNV,2021-07-26,17.14,17.34,16.495,16.57
INNV,2021-07-27,16.36,16.72,15.92,16.61
INNV,2021-07-28,16.865,17.21,16.29,16.94
INNV,2021-07-29,17.0,17.216,16.71,17.03
INNV,2021-07-30,17.02,17.045,16.56,16.86
INNV,2021-08-02,16.93,16.97,16.29,16.83
INNV,2021-08-03,16.85,17.02,16.3,16.61
INNV,2021-08-04,16.52,17.05,16.29,16.71
INNV,2021-08-05,17.0,17.33,16.61,16.98
INNV,2021-08-06,17.09,17.28,16.65,17.22
INNV,2021-08-09,17.21,17.27,16.75,16.97
INNV,2021-08-10,16.96,17.06,16.03,16.16
INNV,2021-08-11,16.19,16.19,15.52,16.02
INNV,2021-08-12,16.44,16.44,15.69,15.91
INNV,2021-08-13,15.8,16.15,15.28,16.0
INNV,2021-08-16,15.95,16.2,15.68,15.95
INNV,2021-08-17,15.79,16.01,15.33,15.49
INNV,2021-08-18,15.47,15.47,14.89,14.93
INNV,2021-08-19,14.84,15.2,14.5,14.6
INNV,2021-08-20,14.46,14.995,14.29,14.88
INNV,2021-08-23,15.375,15.375,14.73,15.3
INNV,2021-08-24,15.31,15.37,14.76,14.86
INNV,2021-08-25,14.9,15.46,14.59,15.41
INNV,2021-08-26,15.41,15.46,14.62,14.68
INNV,2021-08-27,14.68,15.28,14.67,15.25
INNV,2021-08-30,15.15,15.31,15.06,15.12
INNV,2021-08-31,15.3,15.44,14.88,15.03
INNV,2021-09-01,15.495,15.495,14.67,14.83
INNV,2021-09-02,14.86,15.53,14.705,15.37
INNV,2021-09-03,15.26,15.83,14.88,15.27
INNV,2021-09-07,15.24,15.89,15.16,15.38
INNV,2021-09-08,15.27,15.4,14.8335,15.04
INNV,2021-09-09,15.04,15.425,15.0,15.23
INNV,2021-09-10,14.92,15.18,14.68,14.95
INNV,2021-09-13,14.93,15.14,14.67,14.69
INNV,2021-09-14,14.74,14.74,14.0,14.05
INNV,2021-09-15,14.01,14.66,13.81,13.97
INNV,2021-09-16,13.93,14.065,13.78,13.85
INNV,2021-09-17,13.95,14.2317,13.591,14.0
INNV,2021-09-20,13.85,14.006,12.61,12.71
INNV,2021-09-21,12.78,13.0699,11.45,11.65
INNV,2021-09-22,9.45,9.6933,8.5,8.75
INNV,2021-09-23,8.88,8.891,6.55,6.76
INNV,2021-09-24,7.0,7.65,6.86,7.2
INNV,2021-09-27,7.11,7.29,6.5626,7.08
INNV,2021-09-28,7.0,7.17,6.67,6.78
INNV,2021-09-29,6.61,6.68,6.34,6.41
INNV,2021-09-30,6.4,6.7,6.4,6.61
INNV,2021-10-01,6.65,6.9,6.62,6.77
INNV,2021-10-04,6.73,6.75,6.47,6.54
INNV,2021-10-05,6.49,6.88,6.49,6.87
INNV,2021-10-06,6.83,7.08,6.73,7.07
INNV,2021-10-07,7.11,7.32,6.98,7.05
INNV,2021-10-08,7.09,7.25,6.83,6.87
INNV,2021-10-11,6.76,6.785,6.29,6.32
INNV,2021-10-12,6.4,6.54,6.2,6.38
INNV,2021-10-13,6.41,6.52,6.35,6.49
INNV,2021-10-14,6.59,6.83,6.49,6.52
INNV,2021-10-15,6.59,6.6,6.36,6.42
INNV,2021-10-18,6.37,6.52,6.21,6.27
INNV,2021-10-19,6.27,6.56,6.2086,6.51
INNV,2021-10-20,6.5,6.77,6.4,6.53
INNV,2021-10-21,6.49,6.88,6.45,6.77
INNV,2021-10-22,6.71,6.8,6.61,6.73
INNV,2021-10-25,6.65,6.9,6.65,6.73
INNV,2021-10-26,6.78,6.78,6.4,6.43
INNV,2021-10-27,6.42,6.45,6.26,6.29
INNV,2021-10-28,6.31,6.62,6.29,6.6
INNV,2021-10-29,6.58,6.75,6.41,6.62
INNV,2021-11-01,6.65,6.85,6.59,6.7
INNV,2021-11-02,6.74,6.74,6.32,6.43
INNV,2021-11-03,6.37,6.54,6.3001,6.52
INNV,2021-11-04,6.6,6.86,6.56,6.71
INNV,2021-11-05,6.76,6.94,6.71,6.93
INNV,2021-11-08,6.93,7.1,6.81,7.04
INNV,2021-11-09,7.09,7.23,6.8,7.06
INNV,2021-11-10,7.29,8.19,7.22,7.89
INNV,2021-11-11,7.92,8.27,7.8,8.26
INNV,2021-11-12,8.26,8.75,8.22,8.74
INNV,2021-11-15,8.79,9.2109,8.6768,9.06
INNV,2021-11-16,8.99,9.2,8.6501,8.96
INNV,2021-11-17,8.88,9.16,8.7,8.86
INNV,2021-11-18,8.84,8.8559,8.15,8.5
INNV,2021-11-19,8.48,8.56,8.3,8.41
INNV,2021-11-22,8.3,8.45,8.24,8.31
INNV,2021-11-23,8.15,8.54,7.88,8.08
INNV,2021-11-24,7.89,8.07,7.74,7.99
INNV,2021-11-26,7.81,7.89,7.345,7.61
INNV,2021-11-29,7.64,8.05,7.62,7.96
INNV,2021-11-30,7.9,8.105,7.75,7.97
INNV,2021-12-01,8.16,8.65,8.01,8.49
INNV,2021-12-02,8.37,8.56,7.94,8.43
INNV,2021-12-03,8.49,8.5,7.86,8.31
INNV,2021-12-06,8.045,8.81,8.045,8.66
INNV,2021-12-07,8.71,9.15,8.71,8.99
INNV,2021-12-08,8.84,9.08,8.49,8.73
INNV,2021-12-09,8.75,8.875,8.13,8.18
INNV,2021-12-10,8.31,8.47,8.15,8.21
INNV,2021-12-13,8.12,8.5,7.95,7.99
INNV,2021-12-14,7.84,8.15,7.535,7.7
INNV,2021-12-15,7.83,8.45,7.6,8.4
INNV,2021-12-16,8.44,8.575,7.71,7.73
INNV,2021-12-17,7.83,8.29,7.58,8.17
INNV,2021-12-20,7.95,8.23,7.89,8.17
INNV,2021-12-21,8.37,8.5,8.03,8.3
INNV,2021-12-22,8.29,8.345,8.2,8.25
INNV,2021-12-23,5.4,5.98,3.46,5.31
INNV,2021-12-27,5.32,5.32,4.47,4.71
INNV,2021-12-28,4.61,4.74,3.97,4.62
INNV,2021-12-29,4.39,4.96,4.35,4.93
