ticker,date,open,high,low,close
JVA,2005-05-02,4.5067,4.5067,4.5067,4.5067
JVA,2005-05-03,4.5067,4.7849,4.5067,4.689
JVA,2005-05-04,4.66,4.7849,4.6025,4.7368
JVA,2005-05-05,4.7368,4.871,4.689,4.7368
JVA,2005-05-06,4.689,4.8232,4.689,4.7368
JVA,2005-05-09,4.7849,5.0054,4.7368,4.9189
JVA,2005-05-10,5.1394,5.1394,4.7849,4.9189
JVA,2005-05-11,4.9189,4.9189,4.7849,4.8232
JVA,2005-05-12,4.7849,4.8232,4.5547,4.6217
JVA,2005-05-13,4.6505,4.689,4.5738,4.6505
JVA,2005-05-16,4.6505,4.7175,4.5067,4.6025
JVA,2005-05-17,4.6025,4.6505,4.3724,4.4203
JVA,2005-05-18,4.4203,4.4203,4.0559,4.1997
JVA,2005-05-19,4.2381,4.2381,4.0559,4.1997
JVA,2005-05-20,4.2573,4.3341,4.2381,4.2766
JVA,2005-05-23,4.3341,4.3341,4.1997,4.2862
JVA,2005-05-24,4.2862,4.2862,4.0559,4.2381
JVA,2005-05-25,4.2381,4.6025,4.2381,4.5067
JVA,2005-05-26,4.4203,4.5067,4.3341,4.4684
JVA,2005-05-27,4.3724,4.5067,4.3341,4.4203
JVA,2005-05-31,4.3724,4.3724,4.1518,4.1997
JVA,2005-06-01,4.1518,4.1518,4.0559,4.1518
JVA,2005-06-02,4.1039,4.1518,3.9697,4.0177
JVA,2005-06-03,4.1518,4.3724,4.1422,4.3341
JVA,2005-06-06,4.3341,4.5067,4.3341,4.4203
JVA,2005-06-07,4.4013,4.4203,4.1997,4.2573
JVA,2005-06-08,4.2573,4.5067,4.2573,4.4394
JVA,2005-06-09,4.3724,4.4203,4.3341,4.382
JVA,2005-06-10,4.3916,4.4684,4.3341,4.4492
JVA,2005-06-13,4.4203,4.9669,4.3724,4.8232
JVA,2005-06-14,5.3217,6.7215,4.6025,6.7215
JVA,2005-06-15,6.7697,7.5176,6.1848,7.0381
JVA,2005-06-16,7.1245,7.1245,6.4629,6.5874
JVA,2005-06-17,6.5874,6.76,6.2231,6.4915
JVA,2005-06-20,6.4915,6.4915,6.175,6.4053
JVA,2005-06-21,6.4053,7.9395,6.3188,7.9395
JVA,2005-06-22,7.8916,8.3901,7.5462,7.8338
JVA,2005-06-23,7.8052,7.8531,7.1724,7.1724
JVA,2005-06-24,7.2107,7.8052,6.8079,7.6805
JVA,2005-06-27,7.7668,8.0161,7.4503,7.4887
JVA,2005-06-28,7.5654,7.8338,7.2585,7.5749
JVA,2005-06-29,7.671,7.671,7.1052,7.2204
JVA,2005-06-30,7.3066,7.4025,6.9518,7.1245
JVA,2005-07-01,7.2204,7.5749,6.7697,7.4887
JVA,2005-07-05,7.4409,8.3805,7.0668,8.3421
JVA,2005-07-06,8.4476,8.6778,8.1407,8.1887
JVA,2005-07-07,8.1216,8.7352,7.8436,8.6969
JVA,2005-07-08,8.9271,9.2435,8.2847,8.3421
JVA,2005-07-11,8.3039,8.812,8.2079,8.3039
JVA,2005-07-12,8.3421,8.7833,8.2558,8.438
JVA,2005-07-13,8.438,8.5243,8.2079,8.3039
JVA,2005-07-14,8.2941,8.3039,7.6901,7.9873
JVA,2005-07-15,8.0736,8.1121,7.671,7.671
JVA,2005-07-18,7.7093,7.8531,6.8079,6.9518
JVA,2005-07-19,6.9518,7.412,6.9518,7.3258
JVA,2005-07-20,7.4025,7.8436,7.2585,7.8436
JVA,2005-07-21,7.9298,8.1024,7.2395,7.7668
JVA,2005-07-22,7.7571,7.9298,7.5749,7.7189
JVA,2005-07-25,7.7189,7.9395,7.6133,7.8436
JVA,2005-07-26,7.8338,8.4764,7.7668,8.3421
JVA,2005-07-27,8.3901,9.2052,8.3421,9.0709
JVA,2005-07-28,9.253,9.55,8.5722,9.4737
JVA,2005-07-29,9.4737,9.56,8.8601,9.0709
JVA,2005-08-01,9.0709,9.3872,8.7928,8.9462
JVA,2005-08-02,9.1762,9.4255,8.7833,9.0229
JVA,2005-08-03,8.9366,9.2244,8.8983,8.9751
JVA,2005-08-04,8.9941,9.1476,8.8886,8.8886
