ticker,date,open,high,low,close
KYTX,2024-02-08,34.25,35.06,30.0,30.0
KYTX,2024-02-09,30.15,30.5,29.0,30.1
KYTX,2024-02-12,30.35,30.45,29.5401,29.93
KYTX,2024-02-13,29.21,30.12,28.7557,29.71
KYTX,2024-02-14,30.28,30.42,29.115,29.89
KYTX,2024-02-15,29.61,30.075,29.12,29.75
KYTX,2024-02-16,29.31,29.6,29.0489,29.5
KYTX,2024-02-20,29.29,30.0029,27.32,28.21
KYTX,2024-02-21,28.01,28.7846,26.04,27.55
KYTX,2024-02-22,27.19,29.085,26.91,27.16
KYTX,2024-02-23,27.2,28.2199,27.05,27.88
KYTX,2024-02-26,27.41,28.085,27.0,28.04
KYTX,2024-02-27,28.4,28.52,27.04,27.51
KYTX,2024-02-28,27.51,28.625,27.51,28.07
KYTX,2024-02-29,28.57,28.785,26.9,27.17
KYTX,2024-03-01,27.5,28.3121,27.31,27.75
KYTX,2024-03-04,28.25,28.4399,27.15,27.7
KYTX,2024-03-05,28.65,28.695,27.21,28.1
KYTX,2024-03-06,28.22,28.47,27.535,28.26
KYTX,2024-03-07,28.19,29.25,28.19,28.78
KYTX,2024-03-08,29.98,30.19,28.65,28.67
KYTX,2024-03-11,28.53,30.22,28.365,29.49
KYTX,2024-03-12,29.31,30.3663,28.88,29.0
KYTX,2024-03-13,28.8,30.16,28.8,30.08
KYTX,2024-03-14,30.44,30.6,29.29,29.54
KYTX,2024-03-15,29.52,30.1,29.1699,29.71
KYTX,2024-03-18,29.7,29.96,26.25,26.75
KYTX,2024-03-19,26.28,27.01,25.785,26.5
KYTX,2024-03-20,26.16,27.12,25.7,26.05
KYTX,2024-03-21,25.7,28.05,25.7,26.9
KYTX,2024-03-22,27.05,27.19,25.54,25.72
KYTX,2024-03-25,25.73,25.98,23.12,23.24
KYTX,2024-03-26,23.24,24.89,23.24,24.86
KYTX,2024-03-27,24.86,24.875,23.55,24.11
KYTX,2024-03-28,24.01,25.275,23.51,24.84
KYTX,2024-04-01,24.65,25.84,22.03,22.52
KYTX,2024-04-02,22.74,23.61,22.21,22.9
KYTX,2024-04-03,22.73,23.29,21.71,21.92
KYTX,2024-04-04,21.99,22.58,21.49,22.3
KYTX,2024-04-05,22.13,22.54,21.75,22.22
KYTX,2024-04-08,22.53,23.7,22.13,23.28
KYTX,2024-04-09,23.45,24.76,23.38,24.59
KYTX,2024-04-10,24.17,24.91,24.17,24.67
KYTX,2024-04-11,24.74,24.74,23.85,23.89
KYTX,2024-04-12,23.82,24.59,22.45,22.78
