ticker,date,open,high,low,close
LBRDA,2014-11-04,49.76,49.76,44.98,45.15
LBRDA,2014-11-05,46.88,50.14,44.98,48.76
LBRDA,2014-11-06,50.7,51.11,48.0,50.0
LBRDA,2014-11-07,50.1,50.61,49.4,49.52
LBRDA,2014-11-10,49.29,49.82,46.57,46.73
LBRDA,2014-11-11,46.26,46.75,44.8,45.69
LBRDA,2014-11-12,44.63,47.49,44.63,47.15
LBRDA,2014-11-13,46.35,49.0,46.11,48.52
LBRDA,2014-11-14,48.63,49.08,47.48,47.99
LBRDA,2014-11-17,48.15,49.12,48.01,48.68
LBRDA,2014-11-18,48.0,49.39,48.0,48.9
LBRDA,2014-11-19,49.93,50.85,48.84,50.72
LBRDA,2014-11-20,50.7,51.91,50.26,51.18
LBRDA,2014-11-21,50.81,52.11,50.81,51.6
LBRDA,2014-11-24,51.25,53.01,51.18,52.92
LBRDA,2014-11-25,53.27,54.17,52.33,53.9
LBRDA,2014-11-26,54.47,54.68,53.86,54.35
LBRDA,2014-11-28,54.5,55.22,54.383,54.84
LBRDA,2014-12-01,55.25,55.35,53.95,54.02
LBRDA,2014-12-02,54.5,54.505,53.69,54.26
LBRDA,2014-12-03,53.78,54.51,53.54,53.57
LBRDA,2014-12-04,53.3,54.13,53.21,54.02
LBRDA,2014-12-05,54.5,54.94,53.93,54.45
LBRDA,2014-12-08,54.48,54.62,53.89,54.38
LBRDA,2014-12-09,53.5,54.66,53.01,54.29
LBRDA,2014-12-10,53.87,54.97,53.87,54.06
LBRDA,2014-12-11,52.0,52.11,49.61,50.65
LBRDA,2014-12-12,50.19,50.74,49.02,49.07
LBRDA,2014-12-15,48.58,49.51,47.86,48.27
LBRDA,2014-12-16,47.28,48.06,47.28,47.75
LBRDA,2014-12-17,47.66,48.28,47.66,48.05
LBRDA,2014-12-18,48.31,48.71,48.12,48.29
LBRDA,2014-12-19,48.38,49.51,48.27,49.31
LBRDA,2014-12-22,49.43,50.79,49.31,50.68
LBRDA,2014-12-23,50.88,51.44,50.7,51.25
LBRDA,2014-12-24,51.12,51.27,50.88,50.88
LBRDA,2014-12-26,50.84,50.89,50.55,50.81
LBRDA,2014-12-29,50.65,50.65,49.784,50.37
LBRDA,2014-12-30,50.1,50.69,49.67,50.59
LBRDA,2014-12-31,50.64,50.66,49.18,50.09
LBRDA,2015-01-02,50.0,50.0,49.5,49.8
LBRDA,2015-01-05,49.55,49.55,48.64,48.81
LBRDA,2015-01-06,48.81,48.81,47.08,47.53
LBRDA,2015-01-07,47.68,48.35,47.36,47.68
LBRDA,2015-01-08,47.91,49.75,47.91,49.29
LBRDA,2015-01-09,49.14,49.89,48.22,48.89
LBRDA,2015-01-12,48.64,49.175,48.51,48.99
LBRDA,2015-01-13,49.15,50.19,49.06,49.85
LBRDA,2015-01-14,49.09,49.42,47.64,48.13
LBRDA,2015-01-15,48.22,49.11,47.71,49.06
LBRDA,2015-01-16,48.88,49.27,48.435,48.98
LBRDA,2015-01-20,49.04,49.57,47.24,47.47
LBRDA,2015-01-21,47.3,47.64,46.8,47.14
LBRDA,2015-01-22,47.16,47.75,46.85,47.56
