ticker,date,open,high,low,close
LGCL,2024-03-05,5.0,5.0,3.61,3.61
LGCL,2024-03-06,3.51,3.87,3.37,3.83
LGCL,2024-03-07,3.81,3.81,3.21,3.23
LGCL,2024-03-08,3.29,3.48,3.1,3.21
LGCL,2024-03-11,3.13,3.13,2.72,2.99
LGCL,2024-03-12,2.93,3.88,2.93,3.54
LGCL,2024-03-13,3.57,3.7,3.22,3.42
LGCL,2024-03-14,3.32,3.45,2.8542,2.91
LGCL,2024-03-15,3.0165,3.36,3.0165,3.3
LGCL,2024-03-18,3.4,3.4,2.93,3.1
LGCL,2024-03-19,3.01,3.4,2.9101,3.37
LGCL,2024-03-20,3.23,3.3876,3.1,3.26
LGCL,2024-03-21,3.37,3.54,3.3,3.38
LGCL,2024-03-22,3.367,3.4441,3.24,3.3698
LGCL,2024-03-25,3.33,3.5346,3.26,3.28
LGCL,2024-03-26,3.31,3.405,3.11,3.215
LGCL,2024-03-27,3.24,3.39,3.06,3.06
LGCL,2024-03-28,3.06,3.25,2.8,2.92
LGCL,2024-04-01,2.95,3.09,2.85,2.88
LGCL,2024-04-02,2.88,2.96,2.7,2.7338
LGCL,2024-04-03,2.8,2.8,2.35,2.35
LGCL,2024-04-04,2.46,2.55,2.1,2.3
LGCL,2024-04-05,2.375,2.375,2.02,2.14
LGCL,2024-04-08,2.15,2.6,2.15,2.32
LGCL,2024-04-09,2.41,2.42,2.33,2.37
LGCL,2024-04-10,2.385,2.56,2.38,2.51
LGCL,2024-04-11,2.5,2.5885,2.46,2.54
LGCL,2024-04-12,2.51,2.64,2.44,2.5439
LGCL,2024-04-15,2.55,2.55,2.16,2.19
LGCL,2024-04-16,2.19,2.45,2.19,2.42
LGCL,2024-04-17,2.41,2.55,2.31,2.4406
LGCL,2024-04-18,2.4588,2.61,2.3385,2.54
LGCL,2024-04-19,2.51,2.6599,2.35,2.6
LGCL,2024-04-22,2.513,2.63,2.43,2.53
LGCL,2024-04-23,2.51,2.605,2.4,2.56
LGCL,2024-04-24,2.59,2.62,2.45,2.5
