ticker,date,open,high,low,close
LGIH,2013-11-07,12.26,12.9,12.01,12.9
LGIH,2013-11-08,12.6,13.47,12.49,13.04
LGIH,2013-11-11,13.0,13.63,12.95,13.26
LGIH,2013-11-12,13.29,13.4,12.65,12.72
LGIH,2013-11-13,13.19,13.79,12.28,13.05
LGIH,2013-11-14,13.74,13.74,13.12,13.42
LGIH,2013-11-15,13.7,13.7,13.43,13.56
LGIH,2013-11-18,13.6,13.66,13.27,13.54
LGIH,2013-11-19,13.5,13.6,13.23,13.52
LGIH,2013-11-20,13.4,13.64,13.4,13.64
LGIH,2013-11-21,13.67,14.46,13.66,14.15
LGIH,2013-11-22,14.2,14.2,13.59,13.91
LGIH,2013-11-25,13.8,14.24,13.72,14.04
LGIH,2013-11-26,14.04,15.03,13.99,14.72
LGIH,2013-11-27,15.31,16.03,14.81,15.49
LGIH,2013-11-29,15.88,15.985,15.01,15.4
LGIH,2013-12-02,15.43,15.97,14.67,15.18
LGIH,2013-12-03,15.25,16.21,14.94,15.36
LGIH,2013-12-04,15.36,16.0,15.36,15.8
LGIH,2013-12-05,15.93,16.78,15.16,16.38
LGIH,2013-12-06,16.4,17.5,16.2,16.95
LGIH,2013-12-09,17.34,17.58,16.65,17.23
LGIH,2013-12-10,17.24,17.48,16.74,17.17
LGIH,2013-12-11,16.73,17.24,16.37,16.48
LGIH,2013-12-12,16.56,16.92,16.35,16.5
LGIH,2013-12-13,16.58,17.31,16.58,16.61
LGIH,2013-12-16,16.9,17.3,16.36,17.08
LGIH,2013-12-17,17.3,17.3,16.73,17.18
LGIH,2013-12-18,17.31,17.53,16.545,17.3
LGIH,2013-12-19,17.57,18.4,17.5,17.98
LGIH,2013-12-20,18.39,18.45,17.75,18.23
LGIH,2013-12-23,18.52,18.85,17.85,18.08
LGIH,2013-12-24,18.43,18.43,17.81,18.09
LGIH,2013-12-26,18.15,18.27,18.0,18.14
LGIH,2013-12-27,18.11,18.43,18.0,18.1
LGIH,2013-12-30,18.16,18.16,17.6,17.68
LGIH,2013-12-31,17.6,17.85,17.6,17.79
LGIH,2014-01-02,18.06,18.06,17.31,17.6
LGIH,2014-01-03,18.0,18.05,17.6,17.91
LGIH,2014-01-06,18.04,18.1,17.41,17.52
LGIH,2014-01-07,17.62,17.81,17.41,17.53
LGIH,2014-01-08,17.5,17.92,17.5,17.72
LGIH,2014-01-09,17.58,17.84,17.5,17.68
LGIH,2014-01-10,17.69,17.95,17.69,17.81
LGIH,2014-01-13,17.8,17.89,17.7,17.83
LGIH,2014-01-14,17.8,17.88,17.59,17.67
LGIH,2014-01-15,17.68,17.95,17.59,17.79
LGIH,2014-01-16,17.75,17.88,17.53,17.79
LGIH,2014-01-17,17.71,19.27,17.71,18.91
LGIH,2014-01-21,19.5,20.75,17.76,18.01
LGIH,2014-01-22,17.88,18.629,17.8,18.2
LGIH,2014-01-23,18.03,18.3,17.82,18.11
LGIH,2014-01-24,18.42,18.42,17.25,17.45
LGIH,2014-01-27,17.42,17.44,16.484,17.02
LGIH,2014-01-28,17.02,17.5,16.94,17.12
LGIH,2014-01-29,17.16,17.33,16.87,16.95
LGIH,2014-01-30,17.04,17.91,17.0,17.12
LGIH,2014-01-31,16.89,17.7,16.5,17.42
LGIH,2014-02-03,17.43,18.15,16.35,17.09
LGIH,2014-02-04,17.15,17.585,16.771,17.0
LGIH,2014-02-05,17.24,17.279,16.56,16.68
LGIH,2014-02-06,16.62,16.71,16.38,16.46
LGIH,2014-02-07,16.5,16.832,16.21,16.52
LGIH,2014-02-10,16.44,16.494,15.76,16.17
LGIH,2014-02-11,16.56,17.2,16.18,16.77
LGIH,2014-02-12,16.84,16.904,16.29,16.43
LGIH,2014-02-13,16.38,17.12,16.27,17.0
LGIH,2014-02-14,17.01,17.02,16.58,16.58
LGIH,2014-02-18,16.816,16.89,15.79,15.9
LGIH,2014-02-19,15.79,16.1,15.76,15.97
LGIH,2014-02-20,15.91,16.97,15.87,16.77
LGIH,2014-02-21,16.86,16.89,16.04,16.16
LGIH,2014-02-24,16.16,16.32,15.82,16.13
LGIH,2014-02-25,16.17,16.3,16.01,16.14
LGIH,2014-02-26,16.17,16.984,16.17,16.5
LGIH,2014-02-27,16.5,17.06,16.5,16.69
LGIH,2014-02-28,16.74,17.2,16.69,17.0
LGIH,2014-03-03,16.89,17.09,16.51,16.75
LGIH,2014-03-04,16.94,17.19,16.76,16.91
LGIH,2014-03-05,17.0,17.07,16.581,16.61
LGIH,2014-03-06,16.99,16.99,16.33,16.56
LGIH,2014-03-07,16.47,16.7,16.0,16.46
LGIH,2014-03-10,16.41,16.86,16.32,16.66
LGIH,2014-03-11,16.73,17.31,16.26,16.74
LGIH,2014-03-12,16.72,16.74,16.22,16.65
LGIH,2014-03-13,16.77,16.96,16.45,16.76
LGIH,2014-03-14,16.63,17.15,16.21,16.41
LGIH,2014-03-17,16.258,17.5,16.258,17.29
LGIH,2014-03-18,17.37,17.6,16.958,17.38
LGIH,2014-03-19,17.31,18.25,17.31,17.95
LGIH,2014-03-20,18.05,18.19,17.82,17.96
LGIH,2014-03-21,18.04,18.2,17.77,17.84
LGIH,2014-03-24,17.092,17.85,17.092,17.49
LGIH,2014-03-25,17.6,17.79,16.97,17.15
LGIH,2014-03-26,17.21,17.49,16.61,16.73
LGIH,2014-03-27,16.64,17.44,16.57,17.2
LGIH,2014-03-28,16.84,18.15,16.84,18.09
LGIH,2014-03-31,17.98,18.12,17.0,17.25
LGIH,2014-04-01,17.61,17.61,16.37,16.73
LGIH,2014-04-02,16.69,17.86,16.35,17.49
LGIH,2014-04-03,17.8,17.81,16.42,16.86
LGIH,2014-04-04,16.9,17.33,16.76,17.19
LGIH,2014-04-07,17.24,17.3,16.8,16.85
LGIH,2014-04-08,17.19,17.44,16.85,16.98
LGIH,2014-04-09,17.24,17.37,16.5,17.15
LGIH,2014-04-10,16.85,17.16,16.41,16.73
LGIH,2014-04-11,16.99,17.09,16.47,16.5
LGIH,2014-04-14,16.74,16.87,16.21,16.53
LGIH,2014-04-15,16.78,16.78,16.323,16.39
LGIH,2014-04-16,16.54,16.73,15.92,16.1
LGIH,2014-04-17,16.0,16.21,15.71,15.95
LGIH,2014-04-21,15.75,15.94,15.5,15.76
LGIH,2014-04-22,15.53,16.17,15.53,15.83
LGIH,2014-04-23,15.7,15.86,15.51,15.62
LGIH,2014-04-24,15.75,15.88,15.25,15.32
LGIH,2014-04-25,15.25,15.468,14.77,14.99
LGIH,2014-04-28,15.02,15.82,14.21,14.46
LGIH,2014-04-29,14.55,14.67,14.38,14.47
LGIH,2014-04-30,14.46,15.04,14.25,14.72
LGIH,2014-05-01,14.77,15.26,14.49,14.97
LGIH,2014-05-02,14.92,15.5,14.73,14.75
